年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,65000000,食,博士,10009,16820929
201401,65000000,食,碩士,100639,152530853
201401,65000000,食,大學,372593,557816472
201401,65000000,食,專科,217999,349195524
201401,65000000,食,高中高職,283195,454829906
201401,65000000,食,其他,278499,522186802
201402,65000000,食,博士,8439,11730909
201402,65000000,食,碩士,83867,101625647
201402,65000000,食,大學,297281,352249632
201402,65000000,食,專科,166644,206687511
201402,65000000,食,高中高職,209552,258483323
201402,65000000,食,其他,200479,290235344
201403,65000000,食,博士,9669,13379535
201403,65000000,食,碩士,95069,116535955
201403,65000000,食,大學,343980,407173540
201403,65000000,食,專科,196000,238934149
201403,65000000,食,高中高職,251405,311041358
201403,65000000,食,其他,243966,360618245
201404,65000000,食,博士,9223,11897743
201404,65000000,食,碩士,92099,112166654
201404,65000000,食,大學,332279,382540731
201404,65000000,食,專科,189101,226403722
201404,65000000,食,高中高職,240102,290604612
201404,65000000,食,其他,232681,333965777
201405,65000000,食,博士,10180,14387989
201405,65000000,食,碩士,101524,129574996
201405,65000000,食,大學,368327,450667471
201405,65000000,食,專科,207890,258372063
201405,65000000,食,高中高職,260721,331209955
201405,65000000,食,其他,252266,385128744
201406,65000000,食,博士,10000,13681616
201406,65000000,食,碩士,99578,121910623
201406,65000000,食,大學,360452,424690288
201406,65000000,食,專科,204874,249355015
201406,65000000,食,高中高職,256466,316457264
201406,65000000,食,其他,246880,359940638
201407,65000000,食,博士,10812,14523484
201407,65000000,食,碩士,108816,131190918
201407,65000000,食,大學,397004,453916882
201407,65000000,食,專科,228474,276971983
201407,65000000,食,高中高職,287970,357218487
201407,65000000,食,其他,274423,403184363
201408,65000000,食,博士,11282,15120810
201408,65000000,食,碩士,113656,141593199
201408,65000000,食,大學,411449,498986445
201408,65000000,食,專科,234323,300299910
201408,65000000,食,高中高職,297196,395533079
201408,65000000,食,其他,284375,430498515
201409,65000000,食,博士,10273,13584496
201409,65000000,食,碩士,105413,127086789
201409,65000000,食,大學,381197,448908829
201409,65000000,食,專科,215612,261088106
201409,65000000,食,高中高職,268905,331524014
201409,65000000,食,其他,268707,388565038
201410,65000000,食,博士,10017,13433139
201410,65000000,食,碩士,102644,124362584
201410,65000000,食,大學,372151,435039830
201410,65000000,食,專科,207964,246245331
201410,65000000,食,高中高職,259874,311391727
201410,65000000,食,其他,252193,362468326
201411,65000000,食,博士,10282,15037540
201411,65000000,食,碩士,102583,133471758
201411,65000000,食,大學,367428,453021964
