年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,65000000,住,博士,1581,8099668
201401,65000000,住,碩士,15144,86208314
201401,65000000,住,大學,55007,312846870
201401,65000000,住,專科,30323,170715404
201401,65000000,住,高中高職,39301,218016725
201401,65000000,住,其他,40188,218827992
201402,65000000,住,博士,1151,5494676
201402,65000000,住,碩士,12300,57512187
201402,65000000,住,大學,45059,199131769
201402,65000000,住,專科,23528,103317901
201402,65000000,住,高中高職,29640,136881318
201402,65000000,住,其他,32643,138896113
201403,65000000,住,博士,1066,6120306
201403,65000000,住,碩士,12149,58547322
201403,65000000,住,大學,44731,216523461
201403,65000000,住,專科,23989,112650620
201403,65000000,住,高中高職,29795,150793026
201403,65000000,住,其他,32001,154751810
201404,65000000,住,博士,1185,6857619
201404,65000000,住,碩士,12588,73718505
201404,65000000,住,大學,47762,271116524
201404,65000000,住,專科,25785,146176854
201404,65000000,住,高中高職,33236,187616826
201404,65000000,住,其他,34467,182102244
201405,65000000,住,博士,1235,6365502
201405,65000000,住,碩士,13076,66174127
201405,65000000,住,大學,48133,243861448
201405,65000000,住,專科,25549,131521623
201405,65000000,住,高中高職,32906,172831605
201405,65000000,住,其他,34588,180790180
201406,65000000,住,博士,1290,7330909
201406,65000000,住,碩士,13822,72180605
201406,65000000,住,大學,49915,257559885
201406,65000000,住,專科,28316,146094440
201406,65000000,住,高中高職,35968,196253637
201406,65000000,住,其他,37679,194193013
201407,65000000,住,博士,1530,8857266
201407,65000000,住,碩士,15686,84297735
201407,65000000,住,大學,58112,317852733
201407,65000000,住,專科,31807,168747134
201407,65000000,住,高中高職,41151,236178312
201407,65000000,住,其他,43687,226048981
201408,65000000,住,博士,1746,9084299
201408,65000000,住,碩士,15463,77211681
201408,65000000,住,大學,54988,272366101
201408,65000000,住,專科,29255,142379800
201408,65000000,住,高中高職,36610,188358301
201408,65000000,住,其他,40016,191067491
201409,65000000,住,博士,1315,7426518
201409,65000000,住,碩士,13065,67631632
201409,65000000,住,大學,47316,232203684
201409,65000000,住,專科,25229,127044835
201409,65000000,住,高中高職,32084,160573165
201409,65000000,住,其他,35435,169278217
201410,65000000,住,博士,1295,5943261
201410,65000000,住,碩士,13280,66142575
201410,65000000,住,大學,48693,231073814
201410,65000000,住,專科,25452,119432997
201410,65000000,住,高中高職,31775,153543839
201410,65000000,住,其他,35047,172384187
