年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10016000,衣,博士,24,45205
201401,10016000,衣,碩士,561,1569682
201401,10016000,衣,大學,3086,8205707
201401,10016000,衣,專科,2155,6439460
201401,10016000,衣,高中高職,3994,12362974
201401,10016000,衣,其他,2170,6076402
201402,10016000,衣,博士,23,52235
201402,10016000,衣,碩士,360,816506
201402,10016000,衣,大學,2088,5186680
201402,10016000,衣,專科,1151,3089083
201402,10016000,衣,高中高職,2027,5560906
201402,10016000,衣,其他,1223,2891583
201403,10016000,衣,博士,30,72510
201403,10016000,衣,碩士,389,902681
201403,10016000,衣,大學,2290,5122847
201403,10016000,衣,專科,1310,3557149
201403,10016000,衣,高中高職,2463,7383047
201403,10016000,衣,其他,1429,3588336
201404,10016000,衣,博士,15,42890
201404,10016000,衣,碩士,335,883178
201404,10016000,衣,大學,2207,4955625
201404,10016000,衣,專科,1270,3271247
201404,10016000,衣,高中高職,2294,6446338
201404,10016000,衣,其他,1388,3506702
201405,10016000,衣,博士,30,65619
201405,10016000,衣,碩士,420,951394
201405,10016000,衣,大學,2473,5612880
201405,10016000,衣,專科,1421,3573540
201405,10016000,衣,高中高職,2579,6478926
201405,10016000,衣,其他,1411,3413156
201406,10016000,衣,博士,31,94836
201406,10016000,衣,碩士,429,930202
201406,10016000,衣,大學,2250,4954008
201406,10016000,衣,專科,1269,3106303
201406,10016000,衣,高中高職,2264,5983844
201406,10016000,衣,其他,1360,3409680
201407,10016000,衣,博士,28,67451
201407,10016000,衣,碩士,443,1042172
201407,10016000,衣,大學,2365,5030769
201407,10016000,衣,專科,1386,3435468
201407,10016000,衣,高中高職,2292,5573011
201407,10016000,衣,其他,1345,3239523
201408,10016000,衣,博士,28,52451
201408,10016000,衣,碩士,467,1118685
201408,10016000,衣,大學,2441,5186878
201408,10016000,衣,專科,1420,3382578
201408,10016000,衣,高中高職,2501,6256869
201408,10016000,衣,其他,1339,2871456
201409,10016000,衣,博士,23,71169
201409,10016000,衣,碩士,379,938521
201409,10016000,衣,大學,2235,5309561
201409,10016000,衣,專科,1250,3543153
201409,10016000,衣,高中高職,2167,6706723
201409,10016000,衣,其他,1211,2983657
201410,10016000,衣,博士,20,30079
201410,10016000,衣,碩士,393,955728
201410,10016000,衣,大學,2290,5458543
201410,10016000,衣,專科,1203,3327248
201410,10016000,衣,高中高職,2323,6667717
201410,10016000,衣,其他,1305,3454761
201411,10016000,衣,博士,27,90481
201411,10016000,衣,碩士,429,1150596
201411,10016000,衣,大學,2331,6113444
201411,10016000,衣,專科,1353,4348743
201411,10016000,衣,高中高職,2440,7690670
201411,10016000,衣,其他,1416,3925388
201412,10016000,衣,博士,18,54402
201412,10016000,衣,碩士,446,1113658
201412,10016000,衣,大學,2631,6443736
201412,10016000,衣,專科,1540,4226475
201412,10016000,衣,高中高職,2852,8894851
201412,10016000,衣,其他,1526,4215374
201501,10016000,衣,博士,28,53884
201501,10016000,衣,碩士,471,1112647
201501,10016000,衣,大學,2619,6954934
201501,10016000,衣,專科,1570,4806365
201501,10016000,衣,高中高職,2776,8133242
201501,10016000,衣,其他,1584,5004634
201502,10016000,衣,博士,45,65754
201502,10016000,衣,碩士,525,1357375
201502,10016000,衣,大學,2784,7441221
201502,10016000,衣,專科,1677,5164382
201502,10016000,衣,高中高職,3203,9300200
201502,10016000,衣,其他,1802,5126354
201503,10016000,衣,博士,22,27300
201503,10016000,衣,碩士,351,888840
201503,10016000,衣,大學,2074,5039501
201503,10016000,衣,專科,1248,3548908
201503,10016000,衣,高中高職,2234,6828066
201503,10016000,衣,其他,1329,3742584
201504,10016000,衣,博士,17,17295
201504,10016000,衣,碩士,322,749169
201504,10016000,衣,大學,1715,4510020
201504,10016000,衣,專科,1027,3287318
201504,10016000,衣,高中高職,2013,6235455
201504,10016000,衣,其他,1167,3310410
201505,10016000,衣,博士,14,34724
201505,10016000,衣,碩士,327,730286
201505,10016000,衣,大學,1873,4744171
201505,10016000,衣,專科,1211,3459473
201505,10016000,衣,高中高職,2128,6432606
201505,10016000,衣,其他,1126,3238932
201506,10016000,衣,博士,15,25297
201506,10016000,衣,碩士,301,800655
201506,10016000,衣,大學,1779,4415116
201506,10016000,衣,專科,1138,3464330
201506,10016000,衣,高中高職,1977,5668885
201506,10016000,衣,其他,1082,3078480
201507,10016000,衣,博士,34,74845
201507,10016000,衣,碩士,383,825332
201507,10016000,衣,大學,1964,4933517
201507,10016000,衣,專科,1205,3463723
201507,10016000,衣,高中高職,2056,6040294
201507,10016000,衣,其他,1261,3315413
201508,10016000,衣,博士,26,54964
201508,10016000,衣,碩士,347,875403
201508,10016000,衣,大學,1859,4304605
201508,10016000,衣,專科,1218,3300527
201508,10016000,衣,高中高職,2115,5819483
201508,10016000,衣,其他,1139,2669850
201509,10016000,衣,博士,27,52875
201509,10016000,衣,碩士,288,852706
201509,10016000,衣,大學,1760,4444485
201509,10016000,衣,專科,1062,3033754
201509,10016000,衣,高中高職,1936,6167026
201509,10016000,衣,其他,990,2552819
201510,10016000,衣,博士,18,42245
201510,10016000,衣,碩士,288,783390
201510,10016000,衣,大學,1804,4672568
201510,10016000,衣,專科,994,2668575
201510,10016000,衣,高中高職,2021,6775967
201510,10016000,衣,其他,1100,3023524
201511,10016000,衣,博士,14,21712
201511,10016000,衣,碩士,261,780889
201511,10016000,衣,大學,1627,4399004
201511,10016000,衣,專科,878,2690593
201511,10016000,衣,高中高職,1888,6737380
201511,10016000,衣,其他,1059,3303100
201512,10016000,衣,博士,15,33051
201512,10016000,衣,碩士,278,802359
