年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10016000,百貨,博士,85,179947
201401,10016000,百貨,碩士,679,1074034
201401,10016000,百貨,大學,3034,4978761
201401,10016000,百貨,專科,1525,2489745
201401,10016000,百貨,高中高職,2341,4308844
201401,10016000,百貨,其他,2062,3507393
201402,10016000,百貨,博士,57,83570
201402,10016000,百貨,碩士,804,1408368
201402,10016000,百貨,大學,3803,6832497
201402,10016000,百貨,專科,1941,3828437
201402,10016000,百貨,高中高職,3300,6428601
201402,10016000,百貨,其他,2545,4647192
201403,10016000,百貨,博士,58,109351
201403,10016000,百貨,碩士,760,1211484
201403,10016000,百貨,大學,3485,5810560
201403,10016000,百貨,專科,1889,3324709
201403,10016000,百貨,高中高職,3342,6438002
201403,10016000,百貨,其他,2698,5223044
201404,10016000,百貨,博士,96,151970
201404,10016000,百貨,碩士,983,1844484
201404,10016000,百貨,大學,5558,10449280
201404,10016000,百貨,專科,3062,6497336
201404,10016000,百貨,高中高職,5172,11473116
201404,10016000,百貨,其他,4046,8196381
201405,10016000,百貨,博士,135,283744
201405,10016000,百貨,碩士,1370,2675230
201405,10016000,百貨,大學,8683,17471973
201405,10016000,百貨,專科,4357,9554399
201405,10016000,百貨,高中高職,7691,18038029
201405,10016000,百貨,其他,5711,13191215
201406,10016000,百貨,博士,109,192293
201406,10016000,百貨,碩士,1341,2801918
201406,10016000,百貨,大學,8440,17261927
201406,10016000,百貨,專科,4158,9384848
201406,10016000,百貨,高中高職,7075,16027476
201406,10016000,百貨,其他,5714,12818412
201407,10016000,百貨,博士,118,305445
201407,10016000,百貨,碩士,1220,2751997
201407,10016000,百貨,大學,7249,15508638
201407,10016000,百貨,專科,4407,10193930
201407,10016000,百貨,高中高職,7454,18376225
201407,10016000,百貨,其他,5268,12233884
201408,10016000,百貨,博士,73,129372
201408,10016000,百貨,碩士,1042,1986176
201408,10016000,百貨,大學,5668,11706814
201408,10016000,百貨,專科,3116,6572825
201408,10016000,百貨,高中高職,5152,11714948
201408,10016000,百貨,其他,3829,8485045
201409,10016000,百貨,博士,57,173624
201409,10016000,百貨,碩士,838,1578978
201409,10016000,百貨,大學,4746,9202389
201409,10016000,百貨,專科,2419,4876876
201409,10016000,百貨,高中高職,3925,8767999
201409,10016000,百貨,其他,3340,6897829
201410,10016000,百貨,博士,75,117621
201410,10016000,百貨,碩士,875,1461592
201410,10016000,百貨,大學,4133,6880798
