年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10016000,文教康樂,博士,76,138096
201401,10016000,文教康樂,碩士,613,1754119
201401,10016000,文教康樂,大學,2381,7965880
201401,10016000,文教康樂,專科,1648,5990578
201401,10016000,文教康樂,高中高職,2467,8903409
201401,10016000,文教康樂,其他,1459,4768216
201402,10016000,文教康樂,博士,54,136801
201402,10016000,文教康樂,碩士,616,1652219
201402,10016000,文教康樂,大學,2437,7688910
201402,10016000,文教康樂,專科,1508,5377943
201402,10016000,文教康樂,高中高職,2384,8247951
201402,10016000,文教康樂,其他,1450,4934162
201403,10016000,文教康樂,博士,77,299703
201403,10016000,文教康樂,碩士,765,2242387
201403,10016000,文教康樂,大學,2978,10916773
201403,10016000,文教康樂,專科,1926,7887777
201403,10016000,文教康樂,高中高職,2888,11573686
201403,10016000,文教康樂,其他,1796,7772237
201404,10016000,文教康樂,博士,83,413137
201404,10016000,文教康樂,碩士,782,2850721
201404,10016000,文教康樂,大學,2957,12576386
201404,10016000,文教康樂,專科,1854,8155136
201404,10016000,文教康樂,高中高職,2874,12212477
201404,10016000,文教康樂,其他,1823,8004654
201405,10016000,文教康樂,博士,70,529575
201405,10016000,文教康樂,碩士,835,3110462
201405,10016000,文教康樂,大學,3403,14432430
201405,10016000,文教康樂,專科,1983,8991676
201405,10016000,文教康樂,高中高職,3131,14850329
201405,10016000,文教康樂,其他,1897,9067717
201406,10016000,文教康樂,博士,66,531098
201406,10016000,文教康樂,碩士,691,3723584
201406,10016000,文教康樂,大學,2976,14377655
201406,10016000,文教康樂,專科,1890,9584000
201406,10016000,文教康樂,高中高職,3045,15504198
201406,10016000,文教康樂,其他,1889,9717155
201407,10016000,文教康樂,博士,64,396590
201407,10016000,文教康樂,碩士,772,3806296
201407,10016000,文教康樂,大學,2971,14079610
201407,10016000,文教康樂,專科,2074,11155462
201407,10016000,文教康樂,高中高職,3156,18235660
201407,10016000,文教康樂,其他,1774,9208715
201408,10016000,文教康樂,博士,57,390372
201408,10016000,文教康樂,碩士,680,2686775
201408,10016000,文教康樂,大學,2684,10848782
201408,10016000,文教康樂,專科,1820,7616858
201408,10016000,文教康樂,高中高職,2733,10925621
201408,10016000,文教康樂,其他,1572,5954187
201409,10016000,文教康樂,博士,46,173314
201409,10016000,文教康樂,碩士,490,1823730
201409,10016000,文教康樂,大學,2261,8545066
201409,10016000,文教康樂,專科,1550,5705657
201409,10016000,文教康樂,高中高職,2585,8884185
201409,10016000,文教康樂,其他,1557,5530039
201410,10016000,文教康樂,博士,48,209702
201410,10016000,文教康樂,碩士,573,2180163
201410,10016000,文教康樂,大學,2454,8909682
201410,10016000,文教康樂,專科,1704,6121624
201410,10016000,文教康樂,高中高職,2785,10396657
201410,10016000,文教康樂,其他,1693,7360578
201411,10016000,文教康樂,博士,44,216357
201411,10016000,文教康樂,碩士,529,1840395
201411,10016000,文教康樂,大學,2441,9104553
201411,10016000,文教康樂,專科,1456,5599643
201411,10016000,文教康樂,高中高職,2642,9223328
201411,10016000,文教康樂,其他,1534,5252141
201412,10016000,文教康樂,博士,74,430048
201412,10016000,文教康樂,碩士,590,2219936
201412,10016000,文教康樂,大學,2755,10139911
201412,10016000,文教康樂,專科,1858,6529959
201412,10016000,文教康樂,高中高職,3096,11259394
201412,10016000,文教康樂,其他,1840,6913019
201501,10016000,文教康樂,博士,51,1080987
201501,10016000,文教康樂,碩士,565,2576874
201501,10016000,文教康樂,大學,2504,9763214
201501,10016000,文教康樂,專科,1734,6542185
201501,10016000,文教康樂,高中高職,2821,10790418
201501,10016000,文教康樂,其他,1611,5907817
201502,10016000,文教康樂,博士,49,116781
201502,10016000,文教康樂,碩士,506,1562595
201502,10016000,文教康樂,大學,2382,7621737
201502,10016000,文教康樂,專科,1543,5379663
201502,10016000,文教康樂,高中高職,2611,9155549
201502,10016000,文教康樂,其他,1523,4966931
201503,10016000,文教康樂,博士,73,340575
201503,10016000,文教康樂,碩士,627,2603263
201503,10016000,文教康樂,大學,2998,12720646
201503,10016000,文教康樂,專科,1790,7049194
201503,10016000,文教康樂,高中高職,3253,12606573
201503,10016000,文教康樂,其他,1788,6959853
201504,10016000,文教康樂,博士,59,255440
201504,10016000,文教康樂,碩士,716,3144614
201504,10016000,文教康樂,大學,3167,13712737
201504,10016000,文教康樂,專科,1805,7616516
201504,10016000,文教康樂,高中高職,2905,11985009
201504,10016000,文教康樂,其他,1701,6623455
201505,10016000,文教康樂,博士,115,495358
201505,10016000,文教康樂,碩士,811,4059008
201505,10016000,文教康樂,大學,3488,15686369
201505,10016000,文教康樂,專科,2001,9460999
201505,10016000,文教康樂,高中高職,3241,14278603
201505,10016000,文教康樂,其他,1849,8492030
201506,10016000,文教康樂,博士,66,372977
201506,10016000,文教康樂,碩士,792,3856443
201506,10016000,文教康樂,大學,3590,14194808
