年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10016000,行,博士,119,167311
201401,10016000,行,碩士,1102,2258670
201401,10016000,行,大學,5304,7310543
201401,10016000,行,專科,3575,4461796
201401,10016000,行,高中高職,6864,7788447
201401,10016000,行,其他,4817,6447250
201402,10016000,行,博士,98,180283
201402,10016000,行,碩士,1143,2002891
201402,10016000,行,大學,5022,7009832
201402,10016000,行,專科,3374,4079824
201402,10016000,行,高中高職,6484,7806027
201402,10016000,行,其他,4492,6421139
201403,10016000,行,博士,136,209803
201403,10016000,行,碩士,1233,2137407
201403,10016000,行,大學,5661,7499963
201403,10016000,行,專科,3708,5039677
201403,10016000,行,高中高職,7243,8490806
201403,10016000,行,其他,4872,6716284
201404,10016000,行,博士,144,244657
201404,10016000,行,碩士,1326,2113963
201404,10016000,行,大學,6009,7762857
201404,10016000,行,專科,3964,5032427
201404,10016000,行,高中高職,7186,8809379
201404,10016000,行,其他,5007,6324976
201405,10016000,行,博士,153,192562
201405,10016000,行,碩士,1577,2528632
201405,10016000,行,大學,6775,9415352
201405,10016000,行,專科,4335,5393662
201405,10016000,行,高中高職,7845,9944304
201405,10016000,行,其他,5276,7079385
201406,10016000,行,博士,142,181533
201406,10016000,行,碩士,1575,2390042
201406,10016000,行,大學,6640,8960798
201406,10016000,行,專科,4339,5451862
201406,10016000,行,高中高職,7688,9893173
201406,10016000,行,其他,5496,7302985
201407,10016000,行,博士,147,322445
201407,10016000,行,碩士,1605,2611954
201407,10016000,行,大學,6912,9490757
201407,10016000,行,專科,4603,6287376
201407,10016000,行,高中高職,7865,10592264
201407,10016000,行,其他,5639,8192769
201408,10016000,行,博士,134,440805
201408,10016000,行,碩士,1599,2665206
201408,10016000,行,大學,6476,8756174
201408,10016000,行,專科,4335,5540278
201408,10016000,行,高中高職,7464,9739426
201408,10016000,行,其他,5467,8024641
201409,10016000,行,博士,121,203560
201409,10016000,行,碩士,1330,2202457
201409,10016000,行,大學,5801,7887633
201409,10016000,行,專科,3912,4913047
201409,10016000,行,高中高職,6960,8882711
201409,10016000,行,其他,4946,7515891
201410,10016000,行,博士,135,236204
201410,10016000,行,碩士,1446,2233067
201410,10016000,行,大學,5942,7840489
201410,10016000,行,專科,3845,4977751
201410,10016000,行,高中高職,6741,8197320
201410,10016000,行,其他,4872,6647788
201411,10016000,行,博士,135,250331
201411,10016000,行,碩士,1254,1688601
201411,10016000,行,大學,5546,6453819
201411,10016000,行,專科,3443,3979553
201411,10016000,行,高中高職,6390,6828409
201411,10016000,行,其他,4627,5851075
201412,10016000,行,博士,113,169898
201412,10016000,行,碩士,1315,1972582
201412,10016000,行,大學,5733,6325601
201412,10016000,行,專科,3826,4454525
201412,10016000,行,高中高職,7040,7528352
201412,10016000,行,其他,4841,5965147
201501,10016000,行,博士,90,112179
201501,10016000,行,碩士,1087,1358807
201501,10016000,行,大學,5170,4802734
201501,10016000,行,專科,3445,3245107
201501,10016000,行,高中高職,6535,6329800
201501,10016000,行,其他,4386,4948776
201502,10016000,行,博士,84,76497
201502,10016000,行,碩士,935,939346
201502,10016000,行,大學,4471,3892693
201502,10016000,行,專科,3086,2590387
201502,10016000,行,高中高職,5838,5506040
201502,10016000,行,其他,3831,3895655
201503,10016000,行,博士,107,138431
201503,10016000,行,碩士,1191,1334393
201503,10016000,行,大學,5488,5112322
201503,10016000,行,專科,3646,3314043
201503,10016000,行,高中高職,6789,6471578
201503,10016000,行,其他,4541,4698580
201504,10016000,行,博士,97,115217
201504,10016000,行,碩士,1204,1519274
201504,10016000,行,大學,5494,4986844
201504,10016000,行,專科,3562,3238891
201504,10016000,行,高中高職,6709,6750372
201504,10016000,行,其他,4432,4632088
201505,10016000,行,博士,96,131976
201505,10016000,行,碩士,1344,1646945
201505,10016000,行,大學,6286,6214370
201505,10016000,行,專科,3820,3758570
201505,10016000,行,高中高職,6910,7235303
201505,10016000,行,其他,4609,5289804
201506,10016000,行,博士,113,113698
201506,10016000,行,碩士,1419,1478519
201506,10016000,行,大學,6474,6157534
201506,10016000,行,專科,3960,3784298
201506,10016000,行,高中高職,7089,7129789
201506,10016000,行,其他,4793,5227202
201507,10016000,行,博士,132,156428
201507,10016000,行,碩士,1426,1549334
201507,10016000,行,大學,6367,6472564
201507,10016000,行,專科,4008,4031389
201507,10016000,行,高中高職,7495,7977445
201507,10016000,行,其他,4806,5581677
201508,10016000,行,博士,109,124691
201508,10016000,行,碩士,1317,1455025
201508,10016000,行,大學,5933,5464604
201508,10016000,行,專科,3897,4245745
201508,10016000,行,高中高職,7194,7177573
201508,10016000,行,其他,4615,4664066
201509,10016000,行,博士,146,185886
201509,10016000,行,碩士,1391,1788858
201509,10016000,行,大學,6384,6247865
201509,10016000,行,專科,3860,3776455
201509,10016000,行,高中高職,7000,7382721
201509,10016000,行,其他,4702,5011996
201510,10016000,行,博士,149,234919
201510,10016000,行,碩士,1269,1367679
201510,10016000,行,大學,5989,5565291
201510,10016000,行,專科,3608,3518182
201510,10016000,行,高中高職,6740,6959451
201510,10016000,行,其他,4616,5097491
201511,10016000,行,博士,150,160015
201511,10016000,行,碩士,1261,1310372
201511,10016000,行,大學,5805,5278355
201511,10016000,行,專科,3655,3671806
201511,10016000,行,高中高職,6451,5931825
201511,10016000,行,其他,4557,4727102
201512,10016000,行,博士,140,288865
201512,10016000,行,碩士,1328,1677222
201512,10016000,行,大學,6237,7418311
201512,10016000,行,專科,3922,4513319
201512,10016000,行,高中高職,6860,7426787
201512,10016000,行,其他,4586,5341901
201601,10016000,行,博士,92,86686
201601,10016000,行,碩士,771,802740
201601,10016000,行,大學,3677,3250455
201601,10016000,行,專科,2526,2248621
201601,10016000,行,高中高職,4241,3694771
201601,10016000,行,其他,2947,2821365
201602,10016000,行,博士,86,100044
201602,10016000,行,碩士,636,576560
201602,10016000,行,大學,2949,2537971
201602,10016000,行,專科,2023,1687175
201602,10016000,行,高中高職,3424,3135989
201602,10016000,行,其他,2408,2372032
201603,10016000,行,博士,135,150748
201603,10016000,行,碩士,751,962414
201603,10016000,行,大學,3612,3286338
201603,10016000,行,專科,2368,2362554
201603,10016000,行,高中高職,3820,3963941
201603,10016000,行,其他,2825,2806397
201604,10016000,行,博士,127,169386
201604,10016000,行,碩士,801,791154
201604,10016000,行,大學,3809,3488112
201604,10016000,行,專科,2457,2161434
201604,10016000,行,高中高職,3960,3895307
201604,10016000,行,其他,2865,2775287
201605,10016000,行,博士,120,125596
201605,10016000,行,碩士,822,764180
201605,10016000,行,大學,4329,3841747
201605,10016000,行,專科,2635,2292180
201605,10016000,行,高中高職,4102,4084854
201605,10016000,行,其他,3138,3357963
201606,10016000,行,博士,144,129077
201606,10016000,行,碩士,1023,1226150
201606,10016000,行,大學,4844,4427280
201606,10016000,行,專科,2731,2587693
201606,10016000,行,高中高職,4739,4867758
201606,10016000,行,其他,3341,3496541
201607,10016000,行,博士,105,110842
201607,10016000,行,碩士,935,917314
201607,10016000,行,大學,4313,3891778
201607,10016000,行,專科,2752,2612690
201607,10016000,行,高中高職,4299,4555322
201607,10016000,行,其他,3130,3415714
201608,10016000,行,博士,97,94594
201608,10016000,行,碩士,870,859711
201608,10016000,行,大學,4157,3589525
201608,10016000,行,專科,2582,2487778
201608,10016000,行,高中高職,4064,5276500
201608,10016000,行,其他,2837,2922395
201609,10016000,行,博士,101,119212
201609,10016000,行,碩士,744,898212
201609,10016000,行,大學,3575,3248116
201609,10016000,行,專科,2227,2003700
201609,10016000,行,高中高職,3402,3362882
201609,10016000,行,其他,2526,2534461
201610,10016000,行,博士,103,105802
201610,10016000,行,碩士,819,876759
201610,10016000,行,大學,3864,3570114
