年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,衣,博士,612,1945325
201401,66000000,衣,碩士,8089,23390000
201401,66000000,衣,大學,45877,131710188
201401,66000000,衣,專科,26296,80288506
201401,66000000,衣,高中高職,38647,122763502
201401,66000000,衣,其他,26607,85561269
201402,66000000,衣,博士,392,1168557
201402,66000000,衣,碩士,5716,15179222
201402,66000000,衣,大學,29530,80237336
201402,66000000,衣,專科,14719,42743547
201402,66000000,衣,高中高職,19907,61025163
201402,66000000,衣,其他,15617,47885455
201403,66000000,衣,博士,446,1274079
201403,66000000,衣,碩士,6242,15632615
201403,66000000,衣,大學,33522,88812429
201403,66000000,衣,專科,16737,48381188
201403,66000000,衣,高中高職,22646,67889090
201403,66000000,衣,其他,17521,53828092
201404,66000000,衣,博士,462,1306332
201404,66000000,衣,碩士,6331,15843721
201404,66000000,衣,大學,33898,90250592
201404,66000000,衣,專科,17216,49676076
201404,66000000,衣,高中高職,23724,70806066
201404,66000000,衣,其他,17320,53055125
201405,66000000,衣,博士,478,1313998
201405,66000000,衣,碩士,6589,16814544
201405,66000000,衣,大學,36319,93466045
201405,66000000,衣,專科,18481,51634228
201405,66000000,衣,高中高職,26297,76348558
201405,66000000,衣,其他,19104,58608134
201406,66000000,衣,博士,477,1577368
201406,66000000,衣,碩士,6321,16062868
201406,66000000,衣,大學,33925,86290288
201406,66000000,衣,專科,16847,47682057
201406,66000000,衣,高中高職,23423,68911954
201406,66000000,衣,其他,17522,51992969
201407,66000000,衣,博士,513,1440708
201407,66000000,衣,碩士,7068,17184754
201407,66000000,衣,大學,37673,91188586
201407,66000000,衣,專科,19409,50897271
201407,66000000,衣,高中高職,26087,69738572
201407,66000000,衣,其他,19006,50967291
201408,66000000,衣,博士,523,1409689
201408,66000000,衣,碩士,7262,17584338
201408,66000000,衣,大學,37705,89441717
201408,66000000,衣,專科,19777,49306316
201408,66000000,衣,高中高職,26236,67896537
201408,66000000,衣,其他,19600,52801040
201409,66000000,衣,博士,388,1330005
201409,66000000,衣,碩士,6380,15927895
201409,66000000,衣,大學,33564,88630527
201409,66000000,衣,專科,16703,47355181
201409,66000000,衣,高中高職,22679,68262992
201409,66000000,衣,其他,17127,50661940
201410,66000000,衣,博士,445,1453258
201410,66000000,衣,碩士,6982,17943085
201410,66000000,衣,大學,36897,98838216
201410,66000000,衣,專科,17856,51636982
201410,66000000,衣,高中高職,24518,72526517
201410,66000000,衣,其他,18749,55913001
201411,66000000,衣,博士,437,1258678
201411,66000000,衣,碩士,6426,17681436
201411,66000000,衣,大學,34982,99170391
201411,66000000,衣,專科,16702,52135902
201411,66000000,衣,高中高職,23136,73185230
201411,66000000,衣,其他,17306,55487516
201412,66000000,衣,博士,502,1388102
201412,66000000,衣,碩士,7630,20963826
201412,66000000,衣,大學,42068,117080193
201412,66000000,衣,專科,21266,64213362
201412,66000000,衣,高中高職,29981,94532975
201412,66000000,衣,其他,22155,67979179
201501,66000000,衣,博士,525,1476996
201501,66000000,衣,碩士,7568,21142750
201501,66000000,衣,大學,40605,113514079
201501,66000000,衣,專科,21012,64041662
201501,66000000,衣,高中高職,29413,93650869
201501,66000000,衣,其他,21213,66613218
201502,66000000,衣,博士,519,1568481
201502,66000000,衣,碩士,8023,21552132
201502,66000000,衣,大學,43109,119780616
201502,66000000,衣,專科,22998,66276360
201502,66000000,衣,高中高職,32203,95985515
201502,66000000,衣,其他,23843,71349010
201503,66000000,衣,博士,428,1128191
201503,66000000,衣,碩士,6757,16668097
201503,66000000,衣,大學,35017,91006164
201503,66000000,衣,專科,16423,48126781
201503,66000000,衣,高中高職,22021,66147504
201503,66000000,衣,其他,17496,51832388
201504,66000000,衣,博士,450,1220169
201504,66000000,衣,碩士,6995,17615810
201504,66000000,衣,大學,35874,93620218
201504,66000000,衣,專科,16871,48805699
201504,66000000,衣,高中高職,22994,69878937
201504,66000000,衣,其他,17949,53163697
201505,66000000,衣,博士,418,1371375
201505,66000000,衣,碩士,6577,17960658
201505,66000000,衣,大學,34350,93603410
201505,66000000,衣,專科,16418,49748304
201505,66000000,衣,高中高職,22397,71270220
201505,66000000,衣,其他,17494,54095884
201506,66000000,衣,博士,375,1142010
201506,66000000,衣,碩士,6287,16436091
201506,66000000,衣,大學,32409,85609412
201506,66000000,衣,專科,15048,45911318
201506,66000000,衣,高中高職,20160,63521495
201506,66000000,衣,其他,15999,49012536
201507,66000000,衣,博士,464,1456686
201507,66000000,衣,碩士,7247,19516725
201507,66000000,衣,大學,36306,95481141
201507,66000000,衣,專科,17331,49872559
201507,66000000,衣,高中高職,22943,68670183
201507,66000000,衣,其他,17952,51890195
201508,66000000,衣,博士,412,1120884
201508,66000000,衣,碩士,6749,18137764
201508,66000000,衣,大學,32572,83203268
201508,66000000,衣,專科,15109,44675651
201508,66000000,衣,高中高職,19881,59562491
201508,66000000,衣,其他,15912,46502942
201509,66000000,衣,博士,438,1149341
201509,66000000,衣,碩士,7623,18786803
201509,66000000,衣,大學,40342,100394050
201509,66000000,衣,專科,17150,48663006
201509,66000000,衣,高中高職,22319,69373569
201509,66000000,衣,其他,18669,55034333
201510,66000000,衣,博士,518,1584813
201510,66000000,衣,碩士,8727,21896550
201510,66000000,衣,大學,45901,116925623
201510,66000000,衣,專科,19090,55386618
201510,66000000,衣,高中高職,24632,76080436
201510,66000000,衣,其他,21027,62379778
201511,66000000,衣,博士,561,1347553
201511,66000000,衣,碩士,8928,21574002
201511,66000000,衣,大學,46810,116638176
201511,66000000,衣,專科,18829,55102630
201511,66000000,衣,高中高職,24562,76343517
201511,66000000,衣,其他,20225,58442776
201512,66000000,衣,博士,670,1738039
201512,66000000,衣,碩士,10255,25107705
201512,66000000,衣,大學,52717,133477487
201512,66000000,衣,專科,22489,64585057
201512,66000000,衣,高中高職,29179,91712253
201512,66000000,衣,其他,24315,73776220
201601,66000000,衣,博士,1432,4026857
201601,66000000,衣,碩士,21357,55981286
201601,66000000,衣,大學,114597,294705412
201601,66000000,衣,專科,51177,145986809
201601,66000000,衣,高中高職,67505,201970262
201601,66000000,衣,其他,52483,150917844
201602,66000000,衣,博士,1278,3363518
201602,66000000,衣,碩士,19039,47893851
201602,66000000,衣,大學,98155,246779030
201602,66000000,衣,專科,42647,116650373
201602,66000000,衣,高中高職,55972,161843239
201602,66000000,衣,其他,45395,127031895
201603,66000000,衣,博士,863,2160123
201603,66000000,衣,碩士,14219,35196065
201603,66000000,衣,大學,75069,186747858
201603,66000000,衣,專科,29319,82292478
201603,66000000,衣,高中高職,38150,109879706
201603,66000000,衣,其他,33170,90896210
201604,66000000,衣,博士,1272,3041033
201604,66000000,衣,碩士,19668,46117467
201604,66000000,衣,大學,98831,228766387
201604,66000000,衣,專科,39392,101723341
201604,66000000,衣,高中高職,50130,136493796
201604,66000000,衣,其他,43360,112124701
201605,66000000,衣,博士,1092,2526786
201605,66000000,衣,碩士,18348,43290440
201605,66000000,衣,大學,97176,225143955
201605,66000000,衣,專科,39189,98982008
201605,66000000,衣,高中高職,50996,137501455
201605,66000000,衣,其他,44314,111762038
201606,66000000,衣,博士,1333,3329830
201606,66000000,衣,碩士,19420,43826352
201606,66000000,衣,大學,99991,224600512
201606,66000000,衣,專科,40588,103480989
201606,66000000,衣,高中高職,52028,135073148
201606,66000000,衣,其他,45430,113833810
201607,66000000,衣,博士,1373,3424734
201607,66000000,衣,碩士,20732,46221676
201607,66000000,衣,大學,104630,226045823
201607,66000000,衣,專科,42093,101705354
201607,66000000,衣,高中高職,54352,137129055
201607,66000000,衣,其他,46067,108543879
201608,66000000,衣,博士,1132,2541039
201608,66000000,衣,碩士,17007,37338163
201608,66000000,衣,大學,86548,191316892
201608,66000000,衣,專科,36294,86679054
201608,66000000,衣,高中高職,46929,120671850
201608,66000000,衣,其他,40551,95557509
201609,66000000,衣,博士,1013,2589192
201609,66000000,衣,碩士,15199,34913060
201609,66000000,衣,大學,76438,179897365
201609,66000000,衣,專科,29937,77413960
201609,66000000,衣,高中高職,39342,107673723
201609,66000000,衣,其他,34076,89124043
201610,66000000,衣,博士,1062,2793097
201610,66000000,衣,碩士,17180,43165468
201610,66000000,衣,大學,85983,211444828
201610,66000000,衣,專科,33609,90855721
201610,66000000,衣,高中高職,44292,127794849
201610,66000000,衣,其他,37624,101221917
201611,66000000,衣,博士,1067,2824460
201611,66000000,衣,碩士,16311,41335875
201611,66000000,衣,大學,84097,222766140
201611,66000000,衣,專科,34443,101852635
201611,66000000,衣,高中高職,46089,142470911
201611,66000000,衣,其他,37676,108870811
201612,66000000,衣,博士,1467,4474257
