年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,食,博士,9063,19754750
201401,66000000,食,碩士,70917,150967433
201401,66000000,食,大學,280818,647733847
201401,66000000,食,專科,158783,303980588
201401,66000000,食,高中高職,176968,389527793
201401,66000000,食,其他,147549,383580675
201402,66000000,食,博士,7490,11040629
201402,66000000,食,碩士,60290,93077104
201402,66000000,食,大學,232595,356255052
201402,66000000,食,專科,125158,186249824
201402,66000000,食,高中高職,137722,226200377
201402,66000000,食,其他,114342,206618696
201403,66000000,食,博士,8023,11610955
201403,66000000,食,碩士,64631,99218186
201403,66000000,食,大學,258469,396158221
201403,66000000,食,專科,144204,211671439
201403,66000000,食,高中高職,161220,253531800
201403,66000000,食,其他,131486,250384098
201404,66000000,食,博士,7667,11107003
201404,66000000,食,碩士,61758,96903902
201404,66000000,食,大學,246743,371960789
201404,66000000,食,專科,137191,199819628
201404,66000000,食,高中高職,153264,244541477
201404,66000000,食,其他,123663,224904941
201405,66000000,食,博士,8294,13537444
201405,66000000,食,碩士,69664,108467257
201405,66000000,食,大學,274463,433638648
201405,66000000,食,專科,150743,245012821
201405,66000000,食,高中高職,169285,274383073
201405,66000000,食,其他,135646,256103112
201406,66000000,食,博士,8235,13307656
201406,66000000,食,碩士,67322,105828705
201406,66000000,食,大學,267323,409145684
201406,66000000,食,專科,148777,220077590
201406,66000000,食,高中高職,167268,264481705
201406,66000000,食,其他,133338,245976705
201407,66000000,食,博士,9137,13913980
201407,66000000,食,碩士,73423,117375078
201407,66000000,食,大學,287467,439311844
201407,66000000,食,專科,164653,245174204
201407,66000000,食,高中高職,183089,297969401
201407,66000000,食,其他,146098,269198306
201408,66000000,食,博士,9591,14664960
201408,66000000,食,碩士,79901,128064645
201408,66000000,食,大學,314360,513713909
201408,66000000,食,專科,174168,272416567
201408,66000000,食,高中高職,194571,339212713
201408,66000000,食,其他,155851,306591850
201409,66000000,食,博士,8673,14314214
201409,66000000,食,碩士,69607,109026005
201409,66000000,食,大學,277952,436130530
201409,66000000,食,專科,153794,219384840
201409,66000000,食,高中高職,169333,272465539
201409,66000000,食,其他,139832,253803627
201410,66000000,食,博士,8472,12483831
201410,66000000,食,碩士,69944,110992974
201410,66000000,食,大學,274382,400328117
201410,66000000,食,專科,151073,214835486
201410,66000000,食,高中高職,166042,255529892
201410,66000000,食,其他,136198,237889888
201411,66000000,食,博士,8450,13445357
201411,66000000,食,碩士,67524,108904933
201411,66000000,食,大學,267007,410792909
201411,66000000,食,專科,145612,217833036
201411,66000000,食,高中高職,161220,264199384
201411,66000000,食,其他,131870,250293902
201412,66000000,食,博士,8960,14861193
201412,66000000,食,碩士,72090,124927728
201412,66000000,食,大學,290849,465235827
201412,66000000,食,專科,158617,249848323
201412,66000000,食,高中高職,173879,294051647
201412,66000000,食,其他,142556,285744144
201501,66000000,食,博士,9163,15954875
201501,66000000,食,碩士,72305,126511742
201501,66000000,食,大學,284330,483027740
201501,66000000,食,專科,154309,282636644
201501,66000000,食,高中高職,171484,320806535
201501,66000000,食,其他,142533,294684342
201502,66000000,食,博士,8991,17264072
201502,66000000,食,碩士,75024,138092981
201502,66000000,食,大學,283138,518315568
201502,66000000,食,專科,153444,287951834
201502,66000000,食,高中高職,170609,345262352
201502,66000000,食,其他,140645,311536366
201503,66000000,食,博士,7927,12855102
201503,66000000,食,碩士,64812,119029108
201503,66000000,食,大學,257290,413103990
