年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,住,博士,958,6011597
201401,66000000,住,碩士,9470,60591498
201401,66000000,住,大學,37429,238077904
201401,66000000,住,專科,19826,122468529
201401,66000000,住,高中高職,25574,158436257
201401,66000000,住,其他,21981,137070858
201402,66000000,住,博士,749,3876981
201402,66000000,住,碩士,7560,38470157
201402,66000000,住,大學,29677,158186737
201402,66000000,住,專科,14940,77021374
201402,66000000,住,高中高職,19020,100175739
201402,66000000,住,其他,16976,90962905
201403,66000000,住,博士,746,4682983
201403,66000000,住,碩士,7157,41097142
201403,66000000,住,大學,29054,156479919
201403,66000000,住,專科,14758,81297167
201403,66000000,住,高中高職,18929,102232387
201403,66000000,住,其他,16865,97170243
201404,66000000,住,博士,736,4867821
201404,66000000,住,碩士,7590,47756396
201404,66000000,住,大學,31111,189973067
201404,66000000,住,專科,16041,95507118
201404,66000000,住,高中高職,20103,131455451
201404,66000000,住,其他,17750,114255574
201405,66000000,住,博士,709,4830783
201405,66000000,住,碩士,7204,41021914
201405,66000000,住,大學,29734,173867916
201405,66000000,住,專科,15180,87365830
201405,66000000,住,高中高職,19622,116411557
201405,66000000,住,其他,17397,101552303
201406,66000000,住,博士,671,3981873
201406,66000000,住,碩士,7209,43146073
201406,66000000,住,大學,29632,182791165
201406,66000000,住,專科,15724,91295116
201406,66000000,住,高中高職,21003,134569258
201406,66000000,住,其他,17791,112359007
201407,66000000,住,博士,865,6024890
201407,66000000,住,碩士,8717,55761096
201407,66000000,住,大學,35055,231497400
201407,66000000,住,專科,18626,113502992
201407,66000000,住,高中高職,23538,156794239
201407,66000000,住,其他,20431,133966018
201408,66000000,住,博士,925,5430444
201408,66000000,住,碩士,8793,50311944
201408,66000000,住,大學,33613,187439893
201408,66000000,住,專科,17010,90268798
201408,66000000,住,高中高職,21748,124289036
201408,66000000,住,其他,19817,114339742
201409,66000000,住,博士,674,4561151
201409,66000000,住,碩士,7073,41950303
201409,66000000,住,大學,28748,160771171
201409,66000000,住,專科,15334,82485535
201409,66000000,住,高中高職,19604,113475293
201409,66000000,住,其他,17865,103955460
201410,66000000,住,博士,716,4711605
201410,66000000,住,碩士,7433,41844048
201410,66000000,住,大學,30266,166573898
201410,66000000,住,專科,15681,77981658
201410,66000000,住,高中高職,19300,107543979
201410,66000000,住,其他,17717,101063873
201411,66000000,住,博士,807,4803330
201411,66000000,住,碩士,9133,52660235
201411,66000000,住,大學,35603,201953440
201411,66000000,住,專科,17596,95915224
201411,66000000,住,高中高職,21395,121333719
201411,66000000,住,其他,20092,121090095
201412,66000000,住,博士,785,5133468
201412,66000000,住,碩士,7980,47833004
201412,66000000,住,大學,32700,190398294
201412,66000000,住,專科,16931,95372648
201412,66000000,住,高中高職,21021,117163019
201412,66000000,住,其他,19257,111833687
201501,66000000,住,博士,875,5523455
201501,66000000,住,碩士,8462,58136871
201501,66000000,住,大學,34164,218712752
201501,66000000,住,專科,17598,105281586
201501,66000000,住,高中高職,21889,139573179
201501,66000000,住,其他,19682,125005021
201502,66000000,住,博士,852,4334945
201502,66000000,住,碩士,8102,47373232
201502,66000000,住,大學,31465,181212962
201502,66000000,住,專科,16245,87138968
201502,66000000,住,高中高職,20136,116947783
201502,66000000,住,其他,18493,121228817
201503,66000000,住,博士,579,3080495
201503,66000000,住,碩士,6582,34352347
201503,66000000,住,大學,27259,146965195
201503,66000000,住,專科,14272,78458573
201503,66000000,住,高中高職,18004,102616257
201503,66000000,住,其他,16524,99673776
201504,66000000,住,博士,740,4837230
201504,66000000,住,碩士,7530,48197268
201504,66000000,住,大學,30731,196813954
201504,66000000,住,專科,16058,97598507
201504,66000000,住,高中高職,20246,130092056
201504,66000000,住,其他,18163,124783309
201505,66000000,住,博士,657,5632372
201505,66000000,住,碩士,7328,46099118
201505,66000000,住,大學,29386,168607739
201505,66000000,住,專科,14887,80120426
201505,66000000,住,高中高職,19188,111910064
201505,66000000,住,其他,17200,109104188
201506,66000000,住,博士,755,5242439
201506,66000000,住,碩士,7325,47745143
201506,66000000,住,大學,30823,192925114
201506,66000000,住,專科,16026,99430443
201506,66000000,住,高中高職,21663,143957744
201506,66000000,住,其他,18506,118699165
201507,66000000,住,博士,931,7049035
201507,66000000,住,碩士,8551,50746714
201507,66000000,住,大學,34756,206209733
201507,66000000,住,專科,17679,96996487
201507,66000000,住,高中高職,21807,134023301
201507,66000000,住,其他,20560,127894746
201508,66000000,住,博士,960,4731750
201508,66000000,住,碩士,9141,46496121
201508,66000000,住,大學,35935,186971196
201508,66000000,住,專科,17638,87091224
201508,66000000,住,高中高職,22161,116251731
201508,66000000,住,其他,20317,111666259
201509,66000000,住,博士,1054,5378339
201509,66000000,住,碩士,11120,54863322
201509,66000000,住,大學,44526,209518472
201509,66000000,住,專科,20289,88571789
201509,66000000,住,高中高職,24327,117779326
201509,66000000,住,其他,23458,114486633
201510,66000000,住,博士,994,4742654
201510,66000000,住,碩士,11738,58639960
201510,66000000,住,大學,45990,216180687
201510,66000000,住,專科,19946,90945994
201510,66000000,住,高中高職,24143,120961012
201510,66000000,住,其他,22956,124879997
201511,66000000,住,博士,1056,4798292
201511,66000000,住,碩士,12965,69727230
201511,66000000,住,大學,51606,275257672
201511,66000000,住,專科,22183,110763711
201511,66000000,住,高中高職,26491,150346130
201511,66000000,住,其他,25289,147935069
201512,66000000,住,博士,1237,5865187
201512,66000000,住,碩士,13325,70661306
201512,66000000,住,大學,52798,275844325
201512,66000000,住,專科,22935,115164970
201512,66000000,住,高中高職,27293,148865263
201512,66000000,住,其他,26286,149927278
201601,66000000,住,博士,2782,13451615
201601,66000000,住,碩士,29083,142729852
201601,66000000,住,大學,110713,521897296
201601,66000000,住,專科,48962,230605157
201601,66000000,住,高中高職,58049,272269320
201601,66000000,住,其他,51951,279947240
201602,66000000,住,博士,2845,13093226
201602,66000000,住,碩士,29366,132053405
