年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,66000000,行,博士,2139,2992168
201401,66000000,行,碩士,20460,26140244
201401,66000000,行,大學,93227,106785222
201401,66000000,行,專科,69983,80662100
201401,66000000,行,高中高職,90468,109135843
201401,66000000,行,其他,68049,86658132
201402,66000000,行,博士,1859,2695096
201402,66000000,行,碩士,18109,22204577
201402,66000000,行,大學,82863,91917040
201402,66000000,行,專科,61096,70274970
201402,66000000,行,高中高職,79375,94448678
201402,66000000,行,其他,59479,73207382
201403,66000000,行,博士,2081,2766606
201403,66000000,行,碩士,20387,24843898
201403,66000000,行,大學,95375,104649151
201403,66000000,行,專科,70190,77423573
201403,66000000,行,高中高職,91914,109882774
201403,66000000,行,其他,67799,84552756
201404,66000000,行,博士,1997,2543459
201404,66000000,行,碩士,19628,23926728
201404,66000000,行,大學,91901,97879226
201404,66000000,行,專科,68574,75091207
201404,66000000,行,高中高職,88280,103098246
201404,66000000,行,其他,65744,78976672
201405,66000000,行,博士,2114,2702517
201405,66000000,行,碩士,20309,25238092
201405,66000000,行,大學,95598,103189102
201405,66000000,行,專科,71951,80870517
201405,66000000,行,高中高職,92168,108388276
201405,66000000,行,其他,68283,82474936
201406,66000000,行,博士,2293,3052874
201406,66000000,行,碩士,22259,26629216
201406,66000000,行,大學,102355,113038956
201406,66000000,行,專科,74707,85198749
201406,66000000,行,高中高職,96428,116387850
201406,66000000,行,其他,71807,90108458
201407,66000000,行,博士,2266,2926505
201407,66000000,行,碩士,23209,28876127
201407,66000000,行,大學,108128,119554158
201407,66000000,行,專科,78737,90089102
201407,66000000,行,高中高職,100118,121714624
201407,66000000,行,其他,75308,93712798
201408,66000000,行,博士,2423,3378299
201408,66000000,行,碩士,23929,29086680
201408,66000000,行,大學,109728,116744047
201408,66000000,行,專科,78087,85552613
201408,66000000,行,高中高職,99581,115772985
201408,66000000,行,其他,75688,91977844
201409,66000000,行,博士,2273,2632859
201409,66000000,行,碩士,22224,26108712
201409,66000000,行,大學,104059,108502169
201409,66000000,行,專科,74800,80589125
201409,66000000,行,高中高職,94938,109769068
201409,66000000,行,其他,72974,86560914
201410,66000000,行,博士,2276,3105057
201410,66000000,行,碩士,23332,25608479
201410,66000000,行,大學,108224,109157939
201410,66000000,行,專科,76943,78541691
201410,66000000,行,高中高職,97222,109646346
201410,66000000,行,其他,74583,83858490
201411,66000000,行,博士,2141,2594137
201411,66000000,行,碩士,22032,24758827
201411,66000000,行,大學,103115,101379903
201411,66000000,行,專科,73395,74715030
201411,66000000,行,高中高職,92760,101216851
201411,66000000,行,其他,71008,75748621
