年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,67000000,百貨,博士,3392,9197238
201401,67000000,百貨,碩士,29269,78013504
201401,67000000,百貨,大學,127055,330750233
201401,67000000,百貨,專科,57655,150847410
201401,67000000,百貨,高中高職,67546,202198111
201401,67000000,百貨,其他,70986,195720527
201402,67000000,百貨,博士,2823,6946064
201402,67000000,百貨,碩士,24679,65501037
201402,67000000,百貨,大學,109440,287521692
201402,67000000,百貨,專科,48629,129396097
201402,67000000,百貨,高中高職,57598,168036427
201402,67000000,百貨,其他,59632,165715547
201403,67000000,百貨,博士,2639,5859616
201403,67000000,百貨,碩士,21863,52536094
201403,67000000,百貨,大學,99962,228024510
201403,67000000,百貨,專科,44177,104486878
201403,67000000,百貨,高中高職,52415,137640873
201403,67000000,百貨,其他,55176,140014556
201404,67000000,百貨,博士,2859,8439439
201404,67000000,百貨,碩士,24992,75743657
201404,67000000,百貨,大學,114544,327285199
201404,67000000,百貨,專科,50567,143765613
201404,67000000,百貨,高中高職,60272,192103672
201404,67000000,百貨,其他,60924,192773797
201405,67000000,百貨,博士,3057,6922271
201405,67000000,百貨,碩士,26285,63083863
201405,67000000,百貨,大學,118499,278191587
201405,67000000,百貨,專科,52282,118593224
201405,67000000,百貨,高中高職,61401,156236512
201405,67000000,百貨,其他,64320,160672306
201406,67000000,百貨,博士,3378,7485044
201406,67000000,百貨,碩士,27681,67062480
201406,67000000,百貨,大學,125240,296692367
201406,67000000,百貨,專科,57040,141391291
201406,67000000,百貨,高中高職,66302,175015296
201406,67000000,百貨,其他,69225,185616090
201407,67000000,百貨,博士,3155,6611617
201407,67000000,百貨,碩士,27251,62305641
201407,67000000,百貨,大學,120444,271371276
201407,67000000,百貨,專科,53496,119817327
201407,67000000,百貨,高中高職,60607,148493813
201407,67000000,百貨,其他,64943,160773820
201408,67000000,百貨,博士,3400,7505919
201408,67000000,百貨,碩士,30131,72493192
201408,67000000,百貨,大學,131947,315255363
201408,67000000,百貨,專科,56032,129379445
201408,67000000,百貨,高中高職,65936,169276161
201408,67000000,百貨,其他,69099,177170980
201409,67000000,百貨,博士,2638,7058310
201409,67000000,百貨,碩士,23214,52936992
201409,67000000,百貨,大學,105477,245706693
201409,67000000,百貨,專科,45701,108621398
201409,67000000,百貨,高中高職,53102,145407862
201409,67000000,百貨,其他,55895,144082091
201410,67000000,百貨,博士,3145,8190614
201410,67000000,百貨,碩士,29919,75045973
201410,67000000,百貨,大學,140417,341855603
201410,67000000,百貨,專科,60370,145394768
201410,67000000,百貨,高中高職,71534,188230698
201410,67000000,百貨,其他,70735,186772278
201411,67000000,百貨,博士,4967,19783899
201411,67000000,百貨,碩士,46524,194203362
201411,67000000,百貨,大學,221423,866153327
201411,67000000,百貨,專科,97335,387966056
201411,67000000,百貨,高中高職,118965,504423376
201411,67000000,百貨,其他,109432,486449807
201412,67000000,百貨,博士,3232,7577696
201412,67000000,百貨,碩士,29256,69415303
201412,67000000,百貨,大學,134602,291362508
201412,67000000,百貨,專科,55872,126022645
201412,67000000,百貨,高中高職,65995,161406753
201412,67000000,百貨,其他,69916,167670658
201501,67000000,百貨,博士,4225,9755340
201501,67000000,百貨,碩士,38131,89263406
201501,67000000,百貨,大學,167628,381812047
201501,67000000,百貨,專科,69895,158707722
201501,67000000,百貨,高中高職,80841,197082746
201501,67000000,百貨,其他,84649,211689888
201502,67000000,百貨,博士,4763,11910957
201502,67000000,百貨,碩士,40942,109738816
201502,67000000,百貨,大學,173925,445460755
201502,67000000,百貨,專科,70780,179850467
201502,67000000,百貨,高中高職,80768,227088395
201502,67000000,百貨,其他,88282,244833479
201503,67000000,百貨,博士,3160,7070705
201503,67000000,百貨,碩士,28344,66075337
201503,67000000,百貨,大學,132763,304174719
201503,67000000,百貨,專科,52837,126068541
201503,67000000,百貨,高中高職,62465,158503020
201503,67000000,百貨,其他,68633,177930770
201504,67000000,百貨,博士,3672,8281172
201504,67000000,百貨,碩士,34173,91299322
201504,67000000,百貨,大學,153664,405054321
201504,67000000,百貨,專科,61698,164622582
201504,67000000,百貨,高中高職,71554,215619570
201504,67000000,百貨,其他,75832,215759118
201505,67000000,百貨,博士,4016,8705773
201505,67000000,百貨,碩士,35845,82002517
201505,67000000,百貨,大學,157182,339975450
201505,67000000,百貨,專科,63184,144264337
201505,67000000,百貨,高中高職,73762,177574086
201505,67000000,百貨,其他,79583,192446080
201506,67000000,百貨,博士,4156,9792862
201506,67000000,百貨,碩士,36388,81243762
201506,67000000,百貨,大學,160123,359066034
201506,67000000,百貨,專科,66277,163007740
201506,67000000,百貨,高中高職,76595,196399470
201506,67000000,百貨,其他,81575,208145973
201507,67000000,百貨,博士,4249,8582747
201507,67000000,百貨,碩士,36715,79401047
201507,67000000,百貨,大學,156844,336291451
201507,67000000,百貨,專科,63712,140973299
201507,67000000,百貨,高中高職,72044,166783228
201507,67000000,百貨,其他,78853,183954508
201508,67000000,百貨,博士,4044,8937190
201508,67000000,百貨,碩士,38129,84853525
201508,67000000,百貨,大學,158194,349681570
201508,67000000,百貨,專科,63171,146722020
201508,67000000,百貨,高中高職,72458,179385742
201508,67000000,百貨,其他,78203,186993793
201509,67000000,百貨,博士,3362,7193001
201509,67000000,百貨,碩士,30207,66895211
201509,67000000,百貨,大學,132457,289696257
201509,67000000,百貨,專科,52682,119574052
201509,67000000,百貨,高中高職,62211,156203487
201509,67000000,百貨,其他,67062,167836941
201510,67000000,百貨,博士,4005,8665668
201510,67000000,百貨,碩士,37043,87241558
201510,67000000,百貨,大學,165423,386870065
201510,67000000,百貨,專科,65179,155178962
201510,67000000,百貨,高中高職,76813,196141706
201510,67000000,百貨,其他,79936,196814105
201511,67000000,百貨,博士,5697,19379662
201511,67000000,百貨,碩士,56285,218409569
201511,67000000,百貨,大學,260061,959603932
201511,67000000,百貨,專科,103944,386023525
201511,67000000,百貨,高中高職,125434,502472744
201511,67000000,百貨,其他,121949,517175412
201512,67000000,百貨,博士,4125,8146029
201512,67000000,百貨,碩士,37999,76246859
201512,67000000,百貨,大學,164147,345132454
201512,67000000,百貨,專科,61773,131639069
201512,67000000,百貨,高中高職,71693,170490020
201512,67000000,百貨,其他,80251,191922112
201601,67000000,百貨,博士,4836,10889141
201601,67000000,百貨,碩士,41065,94116194
201601,67000000,百貨,大學,170587,379292545
201601,67000000,百貨,專科,67389,159195149
201601,67000000,百貨,高中高職,79091,201021911
201601,67000000,百貨,其他,84771,226627557
201602,67000000,百貨,博士,4270,9861473
201602,67000000,百貨,碩士,39865,94818728
201602,67000000,百貨,大學,164300,401352896
201602,67000000,百貨,專科,63075,159759774
201602,67000000,百貨,高中高職,73407,198242639
201602,67000000,百貨,其他,80725,215616851
201603,67000000,百貨,博士,2896,5840461
201603,67000000,百貨,碩士,26614,59772895
201603,67000000,百貨,大學,114181,256836496
201603,67000000,百貨,專科,40404,94923835
201603,67000000,百貨,高中高職,48322,124623663
201603,67000000,百貨,其他,55662,144008951
201604,67000000,百貨,博士,3566,8031310
201604,67000000,百貨,碩士,35499,90511979
201604,67000000,百貨,大學,146178,385038648
201604,67000000,百貨,專科,51481,135586943
201604,67000000,百貨,高中高職,60969,188346918
201604,67000000,百貨,其他,67266,189630970
201605,67000000,百貨,博士,3541,7878931
201605,67000000,百貨,碩士,34033,72021168
201605,67000000,百貨,大學,143135,308930850
201605,67000000,百貨,專科,50639,112858093
201605,67000000,百貨,高中高職,61239,154434865
201605,67000000,百貨,其他,68091,155764719
201606,67000000,百貨,博士,4384,9592693
201606,67000000,百貨,碩士,38882,81093155
201606,67000000,百貨,大學,168181,358737500
201606,67000000,百貨,專科,63360,142552999
201606,67000000,百貨,高中高職,74176,180729333
201606,67000000,百貨,其他,81712,188517397
201607,67000000,百貨,博士,4324,10667661
201607,67000000,百貨,碩士,40970,109300787
201607,67000000,百貨,大學,166908,413069313
201607,67000000,百貨,專科,59881,156253322
201607,67000000,百貨,高中高職,70092,195256659
201607,67000000,百貨,其他,76847,207346177
201608,67000000,百貨,博士,3461,7408335
201608,67000000,百貨,碩士,32162,64894646
201608,67000000,百貨,大學,133145,267690096
201608,67000000,百貨,專科,44781,94719893
201608,67000000,百貨,高中高職,54441,125189770
201608,67000000,百貨,其他,64415,135103871
201609,67000000,百貨,博士,3459,7748696
201609,67000000,百貨,碩士,30486,65387115
201609,67000000,百貨,大學,124442,278834881
201609,67000000,百貨,專科,43661,101207953
201609,67000000,百貨,高中高職,51966,137003518
201609,67000000,百貨,其他,59323,141644721
201610,67000000,百貨,博士,3518,8108066
201610,67000000,百貨,碩士,33668,78684069
201610,67000000,百貨,大學,148452,340164670
201610,67000000,百貨,專科,51009,122315043
201610,67000000,百貨,高中高職,60769,157430965
201610,67000000,百貨,其他,67899,160137832
201611,67000000,百貨,博士,5177,18140564
201611,67000000,百貨,碩士,51611,205908679
201611,67000000,百貨,大學,241548,915744656
201611,67000000,百貨,專科,91915,352885124
201611,67000000,百貨,高中高職,112547,482427330
201611,67000000,百貨,其他,111442,481051526
201612,67000000,百貨,博士,4160,7885465
201612,67000000,百貨,碩士,38483,75198031
201612,67000000,百貨,大學,163160,325319829
201612,67000000,百貨,專科,58710,125385260
201612,67000000,百貨,高中高職,68762,162747108
201612,67000000,百貨,其他,77070,174411343
201701,67000000,百貨,博士,4102,9241064
201701,67000000,百貨,碩士,39369,103579019
201701,67000000,百貨,大學,160233,411721120
201701,67000000,百貨,專科,58603,155843075
201701,67000000,百貨,高中高職,69955,197487566
201701,67000000,百貨,其他,76267,208292948
201702,67000000,百貨,博士,3221,7131648
201702,67000000,百貨,碩士,31265,77190574
201702,67000000,百貨,大學,132933,322331392
201702,67000000,百貨,專科,47719,118948725
201702,67000000,百貨,高中高職,56857,157647241
201702,67000000,百貨,其他,64350,168404011
201703,67000000,百貨,博士,3114,6666403
201703,67000000,百貨,碩士,27961,61284884
201703,67000000,百貨,大學,123690,287057926
201703,67000000,百貨,專科,42867,105742190
201703,67000000,百貨,高中高職,51924,140574363
201703,67000000,百貨,其他,59495,148289994
201704,67000000,百貨,博士,3989,9108286
201704,67000000,百貨,碩士,36615,90623797
201704,67000000,百貨,大學,153870,383557967
201704,67000000,百貨,專科,54913,148733171
201704,67000000,百貨,高中高職,65244,194399552
201704,67000000,百貨,其他,72143,190944896
201705,67000000,百貨,博士,3414,8521309
201705,67000000,百貨,碩士,33168,73215929
201705,67000000,百貨,大學,142132,319996267
201705,67000000,百貨,專科,49293,110958274
201705,67000000,百貨,高中高職,60675,157543787
201705,67000000,百貨,其他,68199,162781215
201706,67000000,百貨,博士,2834,6665443
201706,67000000,百貨,碩士,28162,66029201
201706,67000000,百貨,大學,126705,284043711
201706,67000000,百貨,專科,44854,107600925
201706,67000000,百貨,高中高職,56175,144483597
201706,67000000,百貨,其他,60895,142880238
201707,67000000,百貨,博士,3338,7238727
201707,67000000,百貨,碩士,33455,82641197
201707,67000000,百貨,大學,142724,341801324
201707,67000000,百貨,專科,50673,135188182
201707,67000000,百貨,高中高職,61746,168734079
201707,67000000,百貨,其他,65355,178169817
201708,67000000,百貨,博士,3134,7053540
201708,67000000,百貨,碩士,31904,69876794
201708,67000000,百貨,大學,139202,297793351
201708,67000000,百貨,專科,49097,112429592
201708,67000000,百貨,高中高職,60107,147575292
201708,67000000,百貨,其他,65379,152231417
