年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,67000000,文教康樂,博士,1611,13501947
201401,67000000,文教康樂,碩士,13992,81803553
201401,67000000,文教康樂,大學,58447,265288963
201401,67000000,文教康樂,專科,21579,112425470
201401,67000000,文教康樂,高中高職,28304,141906344
201401,67000000,文教康樂,其他,25780,136300076
201402,67000000,文教康樂,博士,1477,8413299
201402,67000000,文教康樂,碩士,13444,58813834
201402,67000000,文教康樂,大學,59367,234278851
201402,67000000,文教康樂,專科,21378,102809998
201402,67000000,文教康樂,高中高職,29103,143072210
201402,67000000,文教康樂,其他,25430,123591183
201403,67000000,文教康樂,博士,1477,12403541
201403,67000000,文教康樂,碩士,13653,71988763
201403,67000000,文教康樂,大學,63883,248785261
201403,67000000,文教康樂,專科,21189,103196302
201403,67000000,文教康樂,高中高職,29095,136833283
201403,67000000,文教康樂,其他,26136,134807600
201404,67000000,文教康樂,博士,1392,10625320
201404,67000000,文教康樂,碩士,13205,72464614
201404,67000000,文教康樂,大學,60049,257406107
201404,67000000,文教康樂,專科,20620,110943648
201404,67000000,文教康樂,高中高職,27023,141112947
201404,67000000,文教康樂,其他,24582,138620050
201405,67000000,文教康樂,博士,1527,14937192
201405,67000000,文教康樂,碩士,14396,83871757
201405,67000000,文教康樂,大學,65889,285423499
201405,67000000,文教康樂,專科,22296,122521132
201405,67000000,文教康樂,高中高職,28964,154096856
201405,67000000,文教康樂,其他,26524,156590241
201406,67000000,文教康樂,博士,1669,19351226
201406,67000000,文教康樂,碩士,13853,95606414
201406,67000000,文教康樂,大學,57045,282806882
201406,67000000,文教康樂,專科,22282,121257192
201406,67000000,文教康樂,高中高職,27105,142355281
201406,67000000,文教康樂,其他,25361,146279938
201407,67000000,文教康樂,博士,1829,18198132
201407,67000000,文教康樂,碩士,14830,95040441
201407,67000000,文教康樂,大學,60143,288237613
201407,67000000,文教康樂,專科,24576,121202260
201407,67000000,文教康樂,高中高職,28662,133241226
201407,67000000,文教康樂,其他,26700,147072856
201408,67000000,文教康樂,博士,1843,15736279
201408,67000000,文教康樂,碩士,16114,86682102
201408,67000000,文教康樂,大學,67883,282759386
201408,67000000,文教康樂,專科,26425,129433452
201408,67000000,文教康樂,高中高職,31746,152046791
201408,67000000,文教康樂,其他,28767,152507252
201409,67000000,文教康樂,博士,1502,11720068
201409,67000000,文教康樂,碩士,13072,74792656
201409,67000000,文教康樂,大學,56189,269779078
201409,67000000,文教康樂,專科,21562,117783525
201409,67000000,文教康樂,高中高職,27040,149992010
201409,67000000,文教康樂,其他,24816,143250064
201410,67000000,文教康樂,博士,1554,11551963
201410,67000000,文教康樂,碩士,13619,75152639
201410,67000000,文教康樂,大學,59069,280824395
201410,67000000,文教康樂,專科,22189,119611727
201410,67000000,文教康樂,高中高職,27390,149156175
201410,67000000,文教康樂,其他,25810,153029513
201411,67000000,文教康樂,博士,1650,10045897
201411,67000000,文教康樂,碩士,13973,73630056
201411,67000000,文教康樂,大學,57579,249433293
201411,67000000,文教康樂,專科,21094,98731829
201411,67000000,文教康樂,高中高職,26423,128995461
201411,67000000,文教康樂,其他,24820,126202713
201412,67000000,文教康樂,博士,1659,11116794
201412,67000000,文教康樂,碩士,14997,75892048
