年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,67000000,食,博士,7120,12790225
201401,67000000,食,碩士,49695,89050763
201401,67000000,食,大學,202690,351322808
201401,67000000,食,專科,105437,186512814
201401,67000000,食,高中高職,146510,257647230
201401,67000000,食,其他,135435,240994584
201402,67000000,食,博士,5597,8568973
201402,67000000,食,碩士,40546,61928582
201402,67000000,食,大學,159738,234087960
201402,67000000,食,專科,78014,110890322
201402,67000000,食,高中高職,104919,150579545
201402,67000000,食,其他,99801,148258472
201403,67000000,食,博士,6315,9339081
201403,67000000,食,碩士,43890,63080532
201403,67000000,食,大學,180421,250429528
201403,67000000,食,專科,90732,120030549
201403,67000000,食,高中高職,125060,164843799
201403,67000000,食,其他,116292,162464072
201404,67000000,食,博士,6184,8665334
201404,67000000,食,碩士,43238,62316831
201404,67000000,食,大學,175662,238268551
201404,67000000,食,專科,86854,114588307
201404,67000000,食,高中高職,118894,155985968
201404,67000000,食,其他,110614,152275956
201405,67000000,食,博士,6867,10543193
201405,67000000,食,碩士,48680,72122236
201405,67000000,食,大學,194657,279687514
201405,67000000,食,專科,95695,133630274
201405,67000000,食,高中高職,129215,179435049
201405,67000000,食,其他,119970,177036656
201406,67000000,食,博士,6906,9973956
201406,67000000,食,碩士,48300,70700358
201406,67000000,食,大學,194456,268297218
201406,67000000,食,專科,96162,127361428
201406,67000000,食,高中高職,131722,177414253
201406,67000000,食,其他,123249,175045309
201407,67000000,食,博士,7438,11027174
201407,67000000,食,碩士,53421,75793157
201407,67000000,食,大學,216850,296160387
201407,67000000,食,專科,108367,148290985
201407,67000000,食,高中高職,149122,206744038
201407,67000000,食,其他,138666,199345668
201408,67000000,食,博士,7991,11627154
201408,67000000,食,碩士,58446,88313323
201408,67000000,食,大學,234721,347911716
201408,67000000,食,專科,115646,171491818
201408,67000000,食,高中高職,159931,239463422
201408,67000000,食,其他,148852,229986984
201409,67000000,食,博士,7324,10412093
201409,67000000,食,碩士,50267,73258083
201409,67000000,食,大學,202280,278604346
201409,67000000,食,專科,99722,134463047
201409,67000000,食,高中高職,137346,189333881
201409,67000000,食,其他,129461,186685497
201410,67000000,食,博士,7075,10003776
201410,67000000,食,碩士,48930,70299271
201410,67000000,食,大學,198585,265242641
201410,67000000,食,專科,97159,126443843
201410,67000000,食,高中高職,132246,170698835
201410,67000000,食,其他,124698,174082645
201411,67000000,食,博士,7017,10122471
201411,67000000,食,碩士,48575,74872010
201411,67000000,食,大學,195647,278317859
201411,67000000,食,專科,94974,128161050
201411,67000000,食,高中高職,128717,170837815
201411,67000000,食,其他,121640,180130675
201412,67000000,食,博士,7520,11564263
201412,67000000,食,碩士,52024,80381965
201412,67000000,食,大學,212728,308306871
201412,67000000,食,專科,101903,143196308
201412,67000000,食,高中高職,137740,191920926
201412,67000000,食,其他,131312,198530412
201501,67000000,食,博士,8658,14105407
201501,67000000,食,碩士,58979,104116443
201501,67000000,食,大學,235802,407758863
201501,67000000,食,專科,112859,191257292
201501,67000000,食,高中高職,152017,256248649
201501,67000000,食,其他,143586,255701885
201502,67000000,食,博士,8399,13908411
201502,67000000,食,碩士,61484,102370324
201502,67000000,食,大學,236309,392544832
201502,67000000,食,專科,113341,190285746
201502,67000000,食,高中高職,150084,256209189
201502,67000000,食,其他,144530,256570922
201503,67000000,食,博士,7306,10350379
201503,67000000,食,碩士,51487,72909035
201503,67000000,食,大學,206593,281941936
201503,67000000,食,專科,96627,129309734
201503,67000000,食,高中高職,129190,176249240
201503,67000000,食,其他,125554,182759956
201504,67000000,食,博士,7963,10053208
201504,67000000,食,碩士,54696,75693230
201504,67000000,食,大學,215798,285488068
201504,67000000,食,專科,99946,131056616
201504,67000000,食,高中高職,132927,179227412
201504,67000000,食,其他,129009,182002049
201505,67000000,食,博士,8719,12266345
201505,67000000,食,碩士,61797,88521909
201505,67000000,食,大學,244542,334496381
