年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,67000000,住,博士,1893,8499393
201401,67000000,住,碩士,14566,66691582
201401,67000000,住,大學,51121,240785791
201401,67000000,住,專科,22284,105496193
201401,67000000,住,高中高職,26762,139350616
201401,67000000,住,其他,25942,129450067
201402,67000000,住,博士,1374,5952205
201402,67000000,住,碩士,11616,48769674
201402,67000000,住,大學,40715,166220245
201402,67000000,住,專科,17349,73805563
201402,67000000,住,高中高職,20821,93509231
201402,67000000,住,其他,20470,95669663
201403,67000000,住,博士,1277,5304824
201403,67000000,住,碩士,11011,44869836
201403,67000000,住,大學,39576,169225797
201403,67000000,住,專科,16936,73028954
201403,67000000,住,高中高職,20403,96853853
201403,67000000,住,其他,20023,94038042
201404,67000000,住,博士,1164,5709044
201404,67000000,住,碩士,10712,49764280
201404,67000000,住,大學,38772,186586057
201404,67000000,住,專科,16701,87730196
201404,67000000,住,高中高職,19670,105057844
201404,67000000,住,其他,19554,98899650
201405,67000000,住,博士,1331,6543796
201405,67000000,住,碩士,12378,55797162
201405,67000000,住,大學,43366,198256482
201405,67000000,住,專科,18211,82511991
201405,67000000,住,高中高職,22358,113575802
201405,67000000,住,其他,21745,107254013
201406,67000000,住,博士,1420,6160471
201406,67000000,住,碩士,11662,52287100
201406,67000000,住,大學,41760,188695097
201406,67000000,住,專科,18150,84151347
201406,67000000,住,高中高職,22064,112492968
201406,67000000,住,其他,21642,106431531
201407,67000000,住,博士,1671,6869034
201407,67000000,住,碩士,13830,65004552
201407,67000000,住,大學,47447,223066342
201407,67000000,住,專科,20431,99501906
201407,67000000,住,高中高職,23801,127714942
201407,67000000,住,其他,24098,121071446
201408,67000000,住,博士,1738,6695623
201408,67000000,住,碩士,14885,63025115
201408,67000000,住,大學,49022,209000154
201408,67000000,住,專科,20376,91936656
201408,67000000,住,高中高職,24026,112222893
201408,67000000,住,其他,24477,113321624
201409,67000000,住,博士,1433,5947031
201409,67000000,住,碩士,11978,49998563
201409,67000000,住,大學,41829,176154370
201409,67000000,住,專科,17581,78008230
201409,67000000,住,高中高職,21518,101812506
201409,67000000,住,其他,21541,104859662
201410,67000000,住,博士,1431,6054851
201410,67000000,住,碩士,12956,54148579
201410,67000000,住,大學,44035,200773520
201410,67000000,住,專科,18467,84755327
201410,67000000,住,高中高職,22253,101643412
201410,67000000,住,其他,22318,108595119
201411,67000000,住,博士,1476,5982668
201411,67000000,住,碩士,13151,61912349
201411,67000000,住,大學,46323,221662278
201411,67000000,住,專科,19850,94413280
201411,67000000,住,高中高職,23731,116319859
201411,67000000,住,其他,23601,116318485
201412,67000000,住,博士,1616,6505304
