年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,67000000,其他,博士,2030,10633209
201401,67000000,其他,碩士,17491,88230167
201401,67000000,其他,大學,84167,355158167
201401,67000000,其他,專科,38535,173237514
201401,67000000,其他,高中高職,56598,248446982
201401,67000000,其他,其他,47956,214874314
201402,67000000,其他,博士,1417,6800469
201402,67000000,其他,碩士,13368,59171636
201402,67000000,其他,大學,65421,273397693
201402,67000000,其他,專科,29664,130250539
201402,67000000,其他,高中高職,42266,184998269
201402,67000000,其他,其他,36697,152595864
201403,67000000,其他,博士,1491,7183634
201403,67000000,其他,碩士,13829,64253149
201403,67000000,其他,大學,68059,292919203
201403,67000000,其他,專科,31669,147181118
201403,67000000,其他,高中高職,45256,204305359
201403,67000000,其他,其他,37932,170521236
201404,67000000,其他,博士,1335,7492580
201404,67000000,其他,碩士,12827,64237189
201404,67000000,其他,大學,63399,281668187
201404,67000000,其他,專科,29332,135561610
201404,67000000,其他,高中高職,42400,197646370
201404,67000000,其他,其他,34996,154168147
201405,67000000,其他,博士,1491,8557185
201405,67000000,其他,碩士,14054,68465887
201405,67000000,其他,大學,68866,287979329
201405,67000000,其他,專科,31692,141604801
201405,67000000,其他,高中高職,45263,203886420
201405,67000000,其他,其他,37528,163480943
201406,67000000,其他,博士,1453,8518228
201406,67000000,其他,碩士,13869,59650424
201406,67000000,其他,大學,67247,270353581
201406,67000000,其他,專科,30797,125448795
201406,67000000,其他,高中高職,44839,197228535
201406,67000000,其他,其他,37176,159403390
201407,67000000,其他,博士,1554,8366216
201407,67000000,其他,碩士,14423,63800553
201407,67000000,其他,大學,69242,285112349
201407,67000000,其他,專科,31967,141446166
201407,67000000,其他,高中高職,45134,196603685
201407,67000000,其他,其他,37658,161587970
201408,67000000,其他,博士,1615,7791603
201408,67000000,其他,碩士,15456,64920697
201408,67000000,其他,大學,71187,278374568
201408,67000000,其他,專科,31891,131724514
201408,67000000,其他,高中高職,45697,197208292
201408,67000000,其他,其他,37866,163016643
201409,67000000,其他,博士,1628,8145259
201409,67000000,其他,碩士,16220,66622936
201409,67000000,其他,大學,72391,302429743
201409,67000000,其他,專科,30848,134583903
201409,67000000,其他,高中高職,45344,209267158
201409,67000000,其他,其他,38749,174070377
201410,67000000,其他,博士,1744,9419371
201410,67000000,其他,碩士,16665,73420785
201410,67000000,其他,大學,77113,321102025
201410,67000000,其他,專科,33874,150205811
201410,67000000,其他,高中高職,47929,217764151
201410,67000000,其他,其他,40502,178179013
201411,67000000,其他,博士,1620,8371070
201411,67000000,其他,碩士,15552,70178515
201411,67000000,其他,大學,74692,326200906
201411,67000000,其他,專科,32085,142446889
201411,67000000,其他,高中高職,46224,218378449
201411,67000000,其他,其他,38504,174166837
201412,67000000,其他,博士,1747,9901528
201412,67000000,其他,碩士,16394,82426902
201412,67000000,其他,大學,78653,358560080
201412,67000000,其他,專科,34101,160088099
201412,67000000,其他,高中高職,49072,238187338
201412,67000000,其他,其他,40789,199225984
201501,67000000,其他,博士,1823,9955124
201501,67000000,其他,碩士,16622,81203746
201501,67000000,其他,大學,78025,351988138
201501,67000000,其他,專科,34464,163690887
201501,67000000,其他,高中高職,49120,236151992
201501,67000000,其他,其他,41367,205494087
201502,67000000,其他,博士,1811,9112880
201502,67000000,其他,碩士,15789,71305367
201502,67000000,其他,大學,70441,321695064
201502,67000000,其他,專科,30719,141362759
201502,67000000,其他,高中高職,42551,207412427
201502,67000000,其他,其他,37778,175089244
201503,67000000,其他,博士,1560,7447863
201503,67000000,其他,碩士,15040,72790206
201503,67000000,其他,大學,71808,315974306
201503,67000000,其他,專科,32096,147846736
201503,67000000,其他,高中高職,46118,217413013
201503,67000000,其他,其他,38490,169569869
201504,67000000,其他,博士,1650,7885632
201504,67000000,其他,碩士,14830,67205130
201504,67000000,其他,大學,70055,298104135
201504,67000000,其他,專科,30988,139180886
201504,67000000,其他,高中高職,43843,209143762
201504,67000000,其他,其他,37150,163268460
201505,67000000,其他,博士,1698,8017848
201505,67000000,其他,碩士,15398,66584233
201505,67000000,其他,大學,72326,308215370
201505,67000000,其他,專科,31881,143169702
201505,67000000,其他,高中高職,45260,209179202
201505,67000000,其他,其他,38289,171695923
201506,67000000,其他,博士,1748,8155708
201506,67000000,其他,碩士,15846,72016141
201506,67000000,其他,大學,73897,307069504
201506,67000000,其他,專科,32204,140168267
201506,67000000,其他,高中高職,46036,212034400
201506,67000000,其他,其他,39189,173667383
201507,67000000,其他,博士,1897,9013091
201507,67000000,其他,碩士,16496,73036038
201507,67000000,其他,大學,75338,309189923
201507,67000000,其他,專科,33334,147128517
201507,67000000,其他,高中高職,47653,216494620
201507,67000000,其他,其他,40002,173508520
201508,67000000,其他,博士,1827,8198902
201508,67000000,其他,碩士,16549,68197787
201508,67000000,其他,大學,76790,306989414
201508,67000000,其他,專科,33226,142212192
201508,67000000,其他,高中高職,47081,212777645
201508,67000000,其他,其他,39737,175163730
201509,67000000,其他,博士,1745,7585494
201509,67000000,其他,碩士,15920,63763437
201509,67000000,其他,大學,74306,290759176
201509,67000000,其他,專科,32450,135483339
201509,67000000,其他,高中高職,46982,201111736
201509,67000000,其他,其他,39136,164647489
201510,67000000,其他,博士,1844,8867109
201510,67000000,其他,碩士,17557,77750956
201510,67000000,其他,大學,83463,372401336
201510,67000000,其他,專科,34661,160054048
201510,67000000,其他,高中高職,49726,244734476
201510,67000000,其他,其他,42337,196237641
