年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,67000000,行,博士,8473,10368214
201401,67000000,行,碩士,70894,78368802
201401,67000000,行,大學,278269,279508648
201401,67000000,行,專科,134554,148848714
201401,67000000,行,高中高職,202975,240387665
201401,67000000,行,其他,169042,201527804
201402,67000000,行,博士,7542,9129004
201402,67000000,行,碩士,66801,73052251
201402,67000000,行,大學,258938,261927800
201402,67000000,行,專科,124876,136999626
201402,67000000,行,高中高職,188553,221310781
201402,67000000,行,其他,156466,181658050
201403,67000000,行,博士,8614,10398233
201403,67000000,行,碩士,72407,79084325
201403,67000000,行,大學,283831,280650109
201403,67000000,行,專科,135473,148110334
201403,67000000,行,高中高職,204173,238879468
201403,67000000,行,其他,170144,197545948
201404,67000000,行,博士,8127,9592282
201404,67000000,行,碩士,69984,76112514
201404,67000000,行,大學,273244,268717766
201404,67000000,行,專科,131420,142400054
201404,67000000,行,高中高職,197183,232773357
201404,67000000,行,其他,164641,191075483
201405,67000000,行,博士,9010,10828416
201405,67000000,行,碩士,75592,81832184
201405,67000000,行,大學,293359,291330782
201405,67000000,行,專科,140564,155213726
201405,67000000,行,高中高職,210145,246415133
201405,67000000,行,其他,173430,200939321
201406,67000000,行,博士,8657,10256589
201406,67000000,行,碩士,73807,81508069
201406,67000000,行,大學,292082,294639953
201406,67000000,行,專科,140260,157013805
201406,67000000,行,高中高職,211780,250250087
201406,67000000,行,其他,173802,204024686
201407,67000000,行,博士,8866,10838884
201407,67000000,行,碩士,77039,85042396
201407,67000000,行,大學,300296,300818442
201407,67000000,行,專科,144468,163006390
201407,67000000,行,高中高職,214333,253587357
201407,67000000,行,其他,176463,206813529
201408,67000000,行,博士,8980,11319175
201408,67000000,行,碩士,79671,86441810
201408,67000000,行,大學,306940,302543084
201408,67000000,行,專科,145322,159317181
201408,67000000,行,高中高職,214015,245878928
201408,67000000,行,其他,177906,203843600
201409,67000000,行,博士,8868,10274300
201409,67000000,行,碩士,74358,78781338
201409,67000000,行,大學,289436,278105881
201409,67000000,行,專科,136850,146567627
201409,67000000,行,高中高職,202626,229760146
201409,67000000,行,其他,170069,190256616
201410,67000000,行,博士,9519,10860828
201410,67000000,行,碩士,79067,80161569
201410,67000000,行,大學,303400,276689722
201410,67000000,行,專科,141534,146074323
201410,67000000,行,高中高職,208681,228495435
201410,67000000,行,其他,175418,189722962
201411,67000000,行,博士,9158,10318771
201411,67000000,行,碩士,75384,74964332
201411,67000000,行,大學,291892,259057406
201411,67000000,行,專科,133608,130636781
201411,67000000,行,高中高職,198594,207683019
201411,67000000,行,其他,168692,173599335
201412,67000000,行,博士,9543,10393099
201412,67000000,行,碩士,79299,75962847
201412,67000000,行,大學,305163,262336432
201412,67000000,行,專科,139452,127503640
201412,67000000,行,高中高職,206497,202328986
201412,67000000,行,其他,176004,172939637
201501,67000000,行,博士,9095,9549347
201501,67000000,行,碩士,78541,72164500
201501,67000000,行,大學,299438,240206224
201501,67000000,行,專科,136113,117693051
201501,67000000,行,高中高職,199733,180146505
201501,67000000,行,其他,168930,155247644
201502,67000000,行,博士,8462,8528704
201502,67000000,行,碩士,76529,67701898
201502,67000000,行,大學,282881,228902209
