年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,衣,博士,5322,19706697
201401,63000000,衣,碩士,79805,250801677
201401,63000000,衣,大學,324160,1003016373
201401,63000000,衣,專科,133458,417055101
201401,63000000,衣,高中高職,158390,510824940
201401,63000000,衣,其他,177427,643055901
201402,63000000,衣,博士,3648,12255956
201402,63000000,衣,碩士,58994,181945733
201402,63000000,衣,大學,233325,687324787
201402,63000000,衣,專科,89317,268711456
201402,63000000,衣,高中高職,103378,321754358
201402,63000000,衣,其他,123230,441682307
201403,63000000,衣,博士,4068,14075641
201403,63000000,衣,碩士,68790,211805435
201403,63000000,衣,大學,273988,814906769
201403,63000000,衣,專科,101526,302751782
201403,63000000,衣,高中高職,116934,358128850
201403,63000000,衣,其他,142137,516965026
201404,63000000,衣,博士,3982,13562981
201404,63000000,衣,碩士,65293,195963694
201404,63000000,衣,大學,264775,745468741
201404,63000000,衣,專科,99040,286275839
201404,63000000,衣,高中高職,113501,345014387
201404,63000000,衣,其他,136509,488149280
201405,63000000,衣,博士,4409,14290690
201405,63000000,衣,碩士,74864,221266444
201405,63000000,衣,大學,288482,798077058
201405,63000000,衣,專科,104919,306828713
201405,63000000,衣,高中高職,119148,353263535
201405,63000000,衣,其他,147801,497998321
201406,63000000,衣,博士,4649,18649296
201406,63000000,衣,碩士,77956,218115477
201406,63000000,衣,大學,303571,795996647
201406,63000000,衣,專科,111816,301390135
201406,63000000,衣,高中高職,127815,359880399
201406,63000000,衣,其他,157923,499945113
201407,63000000,衣,博士,5103,15985373
201407,63000000,衣,碩士,80925,216561751
201407,63000000,衣,大學,316209,817493098
201407,63000000,衣,專科,118767,319739961
201407,63000000,衣,高中高職,133733,360043176
201407,63000000,衣,其他,162942,510215286
201408,63000000,衣,博士,4748,13773016
201408,63000000,衣,碩士,77954,209388966
201408,63000000,衣,大學,298580,762605979
201408,63000000,衣,專科,112260,297327955
201408,63000000,衣,高中高職,126939,342700988
201408,63000000,衣,其他,153652,476436800
201409,63000000,衣,博士,4015,12966143
201409,63000000,衣,碩士,66800,199074126
201409,63000000,衣,大學,268389,746268648
201409,63000000,衣,專科,97446,275767518
201409,63000000,衣,高中高職,111283,323483849
201409,63000000,衣,其他,136155,486218460
201410,63000000,衣,博士,4477,14196025
201410,63000000,衣,碩士,77082,235307228
201410,63000000,衣,大學,311049,911297870
201410,63000000,衣,專科,109619,333797536
201410,63000000,衣,高中高職,126445,394133830
201410,63000000,衣,其他,154135,548232051
201411,63000000,衣,博士,4611,18429777
201411,63000000,衣,碩士,77225,260379470
201411,63000000,衣,大學,301927,944788304
201411,63000000,衣,專科,107294,344088439
201411,63000000,衣,高中高職,124532,422079583
201411,63000000,衣,其他,149774,563919504
201412,63000000,衣,博士,5709,22155061
201412,63000000,衣,碩士,95787,315092635
201412,63000000,衣,大學,379115,1180282327
201412,63000000,衣,專科,137314,445351480
201412,63000000,衣,高中高職,157497,530344305
201412,63000000,衣,其他,191052,714499644
201501,63000000,衣,博士,5670,18773547
201501,63000000,衣,碩士,87583,274966372
201501,63000000,衣,大學,344896,1042306560
201501,63000000,衣,專科,129672,410591678
201501,63000000,衣,高中高職,147959,483754103
201501,63000000,衣,其他,173529,628046958
201502,63000000,衣,博士,5167,17285439
201502,63000000,衣,碩士,82141,251278242
201502,63000000,衣,大學,330219,988510789
201502,63000000,衣,專科,125824,380618016
201502,63000000,衣,高中高職,145563,453622573
201502,63000000,衣,其他,171240,576300864
201503,63000000,衣,博士,4787,16415202
201503,63000000,衣,碩士,79377,242568507
201503,63000000,衣,大學,318517,907842087
201503,63000000,衣,專科,111967,334460115
201503,63000000,衣,高中高職,126757,389646471
201503,63000000,衣,其他,159696,570132206
201504,63000000,衣,博士,4946,15723119
201504,63000000,衣,碩士,82597,242201102
201504,63000000,衣,大學,329490,913925577
201504,63000000,衣,專科,116923,333814091
201504,63000000,衣,高中高職,132299,390286461
201504,63000000,衣,其他,162523,549135442
201505,63000000,衣,博士,5634,17971692
201505,63000000,衣,碩士,92447,260034486
201505,63000000,衣,大學,363043,959073578
201505,63000000,衣,專科,128811,353780213
201505,63000000,衣,高中高職,147310,419233985
201505,63000000,衣,其他,182083,584603165
201506,63000000,衣,博士,5738,16958437
201506,63000000,衣,碩士,95133,249057587
201506,63000000,衣,大學,377373,935539743
201506,63000000,衣,專科,130243,337368906
201506,63000000,衣,高中高職,147903,395348488
201506,63000000,衣,其他,187641,556453752
201507,63000000,衣,博士,5988,17359085
201507,63000000,衣,碩士,97278,244066518
201507,63000000,衣,大學,379533,905242381
201507,63000000,衣,專科,133277,337268135
201507,63000000,衣,高中高職,148864,378164478
201507,63000000,衣,其他,187924,523526615
201508,63000000,衣,博士,5330,14829366
201508,63000000,衣,碩士,88810,223010651
201508,63000000,衣,大學,344570,821820846
201508,63000000,衣,專科,119054,296307316
201508,63000000,衣,高中高職,133851,343199660
201508,63000000,衣,其他,167744,482769927
201509,63000000,衣,博士,4627,14012209
201509,63000000,衣,碩士,81267,229466059
