年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,百貨,博士,26950,83158073
201401,63000000,百貨,碩士,334875,964590726
201401,63000000,百貨,大學,1110841,3050654915
201401,63000000,百貨,專科,426734,1189994900
201401,63000000,百貨,高中高職,410215,1211441316
201401,63000000,百貨,其他,607441,1815378859
201402,63000000,百貨,博士,22559,67806437
201402,63000000,百貨,碩士,286679,784045382
201402,63000000,百貨,大學,945387,2481110538
201402,63000000,百貨,專科,353436,917073854
201402,63000000,百貨,高中高職,337385,923720846
201402,63000000,百貨,其他,505959,1441302552
201403,63000000,百貨,博士,22766,56824405
201403,63000000,百貨,碩士,291262,725506414
201403,63000000,百貨,大學,973786,2306588413
201403,63000000,百貨,專科,363951,865172194
201403,63000000,百貨,高中高職,351092,873849858
201403,63000000,百貨,其他,524539,1371509147
201404,63000000,百貨,博士,22326,70743657
201404,63000000,百貨,碩士,297970,918951685
201404,63000000,百貨,大學,998987,2926113777
201404,63000000,百貨,專科,376534,1106621035
201404,63000000,百貨,高中高職,362889,1132433521
201404,63000000,百貨,其他,547603,2002800492
201405,63000000,百貨,博士,24708,79974736
201405,63000000,百貨,碩士,321483,907917578
201405,63000000,百貨,大學,1067517,2841178232
201405,63000000,百貨,專科,398878,1049054583
201405,63000000,百貨,高中高職,385693,1069924161
201405,63000000,百貨,其他,576774,1810228289
201406,63000000,百貨,博士,24723,64152542
201406,63000000,百貨,碩士,314325,810301507
201406,63000000,百貨,大學,1028996,2482760925
201406,63000000,百貨,專科,387566,940559369
201406,63000000,百貨,高中高職,371198,962166354
201406,63000000,百貨,其他,572009,1602971538
201407,63000000,百貨,博士,25000,68344164
201407,63000000,百貨,碩士,320256,802335422
201407,63000000,百貨,大學,1066064,2520185910
201407,63000000,百貨,專科,398282,963436589
201407,63000000,百貨,高中高職,382318,951255973
201407,63000000,百貨,其他,579254,1553358837
201408,63000000,百貨,博士,25583,74682425
201408,63000000,百貨,碩士,325626,842888704
201408,63000000,百貨,大學,1065608,2641331666
201408,63000000,百貨,專科,392318,964703137
201408,63000000,百貨,高中高職,375002,981555871
201408,63000000,百貨,其他,566462,1554844590
201409,63000000,百貨,博士,23570,77388995
201409,63000000,百貨,碩士,291570,900774113
201409,63000000,百貨,大學,977899,3003252671
201409,63000000,百貨,專科,359830,1096007659
201409,63000000,百貨,高中高職,348803,1129945590
201409,63000000,百貨,其他,520493,1842894958
201410,63000000,百貨,博士,29857,103622558
201410,63000000,百貨,碩士,387204,1336910656
201410,63000000,百貨,大學,1288906,4218812199
