年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,食,博士,61070,91118862
201401,63000000,食,碩士,620847,932134926
201401,63000000,食,大學,1941328,2863810898
201401,63000000,食,專科,916210,1211592071
201401,63000000,食,高中高職,1020366,1376601971
201401,63000000,食,其他,1247556,1839837737
201402,63000000,食,博士,52703,66809457
201402,63000000,食,碩士,536881,716869633
201402,63000000,食,大學,1641077,2131965223
201402,63000000,食,專科,773491,869662779
201402,63000000,食,高中高職,836338,969518836
201402,63000000,食,其他,1009384,1284317427
201403,63000000,食,博士,60012,70646155
201403,63000000,食,碩士,612237,758602922
201403,63000000,食,大學,1908867,2243041819
201403,63000000,食,專科,909775,926662838
201403,63000000,食,高中高職,1001021,1029973994
201403,63000000,食,其他,1196271,1386500610
201404,63000000,食,博士,57800,67048344
201404,63000000,食,碩士,586352,703234355
201404,63000000,食,大學,1842183,2114677299
201404,63000000,食,專科,894101,878228807
201404,63000000,食,高中高職,984107,989205117
201404,63000000,食,其他,1175083,1317641313
201405,63000000,食,博士,64188,79517902
201405,63000000,食,碩士,645018,834754893
201405,63000000,食,大學,2011771,2451126579
201405,63000000,食,專科,965680,1017915573
201405,63000000,食,高中高職,1056573,1142132474
201405,63000000,食,其他,1272731,1505222421
201406,63000000,食,博士,62948,74223924
201406,63000000,食,碩士,640658,787295621
201406,63000000,食,大學,1998985,2293832614
201406,63000000,食,專科,974518,937493072
201406,63000000,食,高中高職,1064544,1068742027
201406,63000000,食,其他,1277690,1432713953
201407,63000000,食,博士,68189,77504944
201407,63000000,食,碩士,700486,821756776
201407,63000000,食,大學,2218698,2474379726
201407,63000000,食,專科,1092489,1066234781
201407,63000000,食,高中高職,1201571,1208761946
201407,63000000,食,其他,1426543,1567925528
201408,63000000,食,博士,71762,84424894
201408,63000000,食,碩士,745604,934980222
201408,63000000,食,大學,2342304,2808342574
201408,63000000,食,專科,1138298,1222894891
