年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,住,博士,9292,46209850
201401,63000000,住,碩士,98145,505760715
201401,63000000,住,大學,293934,1538445841
201401,63000000,住,專科,116306,578221378
201401,63000000,住,高中高職,120770,580806784
201401,63000000,住,其他,156988,849234980
201402,63000000,住,博士,7507,31582693
201402,63000000,住,碩士,79540,356669543
201402,63000000,住,大學,229744,1024507247
201402,63000000,住,專科,86154,370595751
201402,63000000,住,高中高職,87182,368320699
201402,63000000,住,其他,118064,576387610
201403,63000000,住,博士,7510,35400892
201403,63000000,住,碩士,80896,392339433
201403,63000000,住,大學,238366,1140989966
201403,63000000,住,專科,90417,413988925
201403,63000000,住,高中高職,92814,425537346
201403,63000000,住,其他,123988,642412108
201404,63000000,住,博士,6851,32253982
201404,63000000,住,碩士,74023,362058289
201404,63000000,住,大學,220729,1083442315
201404,63000000,住,專科,85334,411894341
201404,63000000,住,高中高職,86086,399491407
201404,63000000,住,其他,114507,611113812
201405,63000000,住,博士,7878,35104270
201405,63000000,住,碩士,85538,411554253
201405,63000000,住,大學,248533,1164421380
201405,63000000,住,專科,96112,448778809
201405,63000000,住,高中高職,96874,448681336
201405,63000000,住,其他,128408,672998602
201406,63000000,住,博士,8106,38505986
201406,63000000,住,碩士,86453,415645547
201406,63000000,住,大學,251042,1165778376
201406,63000000,住,專科,97831,444397326
201406,63000000,住,高中高職,99706,444561058
201406,63000000,住,其他,131495,673559608
201407,63000000,住,博士,9198,39026584
201407,63000000,住,碩士,94374,435796610
201407,63000000,住,大學,273280,1227485590
201407,63000000,住,專科,106473,465789249
201407,63000000,住,高中高職,108694,478838681
201407,63000000,住,其他,141409,697127739
201408,63000000,住,博士,9574,40792595
201408,63000000,住,碩士,99874,446341852
201408,63000000,住,大學,283071,1272268887
201408,63000000,住,專科,108969,475555038
201408,63000000,住,高中高職,108535,468515518
201408,63000000,住,其他,144706,700554875
201409,63000000,住,博士,8223,36688245
201409,63000000,住,碩士,86003,419813485
201409,63000000,住,大學,250992,1197941489
201409,63000000,住,專科,97207,437860525
201409,63000000,住,高中高職,98831,438788170
201409,63000000,住,其他,129331,665206742
201410,63000000,住,博士,8421,37245838
201410,63000000,住,碩士,90613,425763411
201410,63000000,住,大學,266122,1258387781
201410,63000000,住,專科,103148,458715535
201410,63000000,住,高中高職,104589,452686234
201410,63000000,住,其他,136234,704107227
201411,63000000,住,博士,9002,44811969
201411,63000000,住,碩士,99743,510101955
201411,63000000,住,大學,293208,1474137146
201411,63000000,住,專科,112220,539432121
201411,63000000,住,高中高職,111177,518375209
201411,63000000,住,其他,145578,827327126
201412,63000000,住,博士,9337,48162500
201412,63000000,住,碩士,106549,525658448
201412,63000000,住,大學,312505,1495619761
201412,63000000,住,專科,115348,536490879
201412,63000000,住,高中高職,115628,526001600
201412,63000000,住,其他,152549,814482473
201501,63000000,住,博士,9990,45040597
201501,63000000,住,碩士,105800,498173558
201501,63000000,住,大學,314919,1462441389
201501,63000000,住,專科,123225,542400497
201501,63000000,住,高中高職,125683,537841097
201501,63000000,住,其他,158939,809253504
201502,63000000,住,博士,9885,42796933
201502,63000000,住,碩士,106672,448901590
201502,63000000,住,大學,310234,1353860719
201502,63000000,住,專科,118663,507091399
201502,63000000,住,高中高職,119229,502116512
201502,63000000,住,其他,153922,761222311
201503,63000000,住,博士,8669,36731513
201503,63000000,住,碩士,96348,430452549
201503,63000000,住,大學,285353,1256301489
201503,63000000,住,專科,106715,444742517
201503,63000000,住,高中高職,108316,435229151
