年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,其他,博士,84768,301468546
201401,63000000,其他,碩士,1021909,3255893253
201401,63000000,其他,大學,4253799,12559897752
201401,63000000,其他,專科,1979523,5995911980
201401,63000000,其他,高中高職,2860821,8816845430
201401,63000000,其他,其他,2326563,7941401828
201402,63000000,其他,博士,77037,269476482
201402,63000000,其他,碩士,930117,2689790773
201402,63000000,其他,大學,3886703,10536031986
201402,63000000,其他,專科,1818569,5371881848
201402,63000000,其他,高中高職,2652890,7842586726
201402,63000000,其他,其他,2112446,6685701737
201403,63000000,其他,博士,87703,292049745
201403,63000000,其他,碩士,1079731,3052047804
201403,63000000,其他,大學,4495576,12081242964
201403,63000000,其他,專科,2083546,6175090144
201403,63000000,其他,高中高職,3054871,9483871451
201403,63000000,其他,其他,2426141,8108943868
201404,63000000,其他,博士,86272,291174906
201404,63000000,其他,碩士,1047124,3059394379
201404,63000000,其他,大學,4280586,11923392042
201404,63000000,其他,專科,2028411,6218160362
201404,63000000,其他,高中高職,2883732,9069078999
201404,63000000,其他,其他,2326607,8014571882
201405,63000000,其他,博士,99314,1752532262
201405,63000000,其他,碩士,1192126,10811209781
201405,63000000,其他,大學,4677097,24826710567
201405,63000000,其他,專科,2137025,10035938333
201405,63000000,其他,高中高職,2977231,11314455846
201405,63000000,其他,其他,2473046,13968388827
201406,63000000,其他,博士,90259,609391879
201406,63000000,其他,碩士,1092458,4748732946
201406,63000000,其他,大學,4411373,14696991380
201406,63000000,其他,專科,2064198,6919542554
201406,63000000,其他,高中高職,2932922,9596579651
201406,63000000,其他,其他,2390252,9007751694
201407,63000000,其他,博士,93382,306325078
201407,63000000,其他,碩士,1057297,3110834804
201407,63000000,其他,大學,4180022,11999557662
201407,63000000,其他,專科,2123044,6203089091
201407,63000000,其他,高中高職,2849110,8789144067
201407,63000000,其他,其他,2390236,7693253710
201408,63000000,其他,博士,92621,327312623
201408,63000000,其他,碩士,1116214,3347953730
201408,63000000,其他,大學,4501234,12394680008
201408,63000000,其他,專科,2062477,6227629110
201408,63000000,其他,高中高職,2914655,8992135834
201408,63000000,其他,其他,2382085,7914508182
201409,63000000,其他,博士,94505,377265915
201409,63000000,其他,碩士,1155681,3655608117
201409,63000000,其他,大學,4689034,14332615612
201409,63000000,其他,專科,2140592,7047467177
201409,63000000,其他,高中高職,3055621,10263961940
201409,63000000,其他,其他,2470341,8548030343
201410,63000000,其他,博士,95083,349753551
201410,63000000,其他,碩士,1123200,3652721995
201410,63000000,其他,大學,4543164,13971855241
201410,63000000,其他,專科,2122330,6607714782
201410,63000000,其他,高中高職,2958784,9440813057
201410,63000000,其他,其他,2472821,8221990525
201411,63000000,其他,博士,94249,324221200
201411,63000000,其他,碩士,1129069,3448176333
201411,63000000,其他,大學,4566217,13098734713
201411,63000000,其他,專科,2037300,6170670413
201411,63000000,其他,高中高職,2826358,8731178666
201411,63000000,其他,其他,2336903,7637640169
201412,63000000,其他,博士,104603,414688593
201412,63000000,其他,碩士,1275677,4340067427
201412,63000000,其他,大學,5170295,16797546658
201412,63000000,其他,專科,2354056,8374197593
201412,63000000,其他,高中高職,3384108,12239516195
201412,63000000,其他,其他,2827685,11122736238
201501,63000000,其他,博士,97893,346915190
201501,63000000,其他,碩士,1195679,3600086945
201501,63000000,其他,大學,4820518,13735217138
201501,63000000,其他,專科,2168787,6665060208
201501,63000000,其他,高中高職,3055466,9525481516
201501,63000000,其他,其他,2510643,8269776308
201502,63000000,其他,博士,83991,300865877
201502,63000000,其他,碩士,1022276,3017261124
201502,63000000,其他,大學,4113386,11358684904
201502,63000000,其他,專科,1828757,5623314503
201502,63000000,其他,高中高職,2550752,7542231633
201502,63000000,其他,其他,2070349,6326957077
201503,63000000,其他,博士,107695,368792186
201503,63000000,其他,碩士,1314982,3757830118
201503,63000000,其他,大學,5260109,14532717962
201503,63000000,其他,專科,2430199,7460046964
201503,63000000,其他,高中高職,3368783,11063080038
201503,63000000,其他,其他,2817192,9820800086
201504,63000000,其他,博士,103301,388691914
201504,63000000,其他,碩士,1218041,4055798238
201504,63000000,其他,大學,4825693,15368834374
201504,63000000,其他,專科,2284849,8362634510
