年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,63000000,行,博士,50945,64406402
201401,63000000,行,碩士,494596,580132077
201401,63000000,行,大學,1604058,1705274561
201401,63000000,行,專科,786719,846793359
201401,63000000,行,高中高職,964618,1070237380
201401,63000000,行,其他,1010284,1158205836
201402,63000000,行,博士,45292,56082618
201402,63000000,行,碩士,433000,500888677
201402,63000000,行,大學,1407545,1498257575
201402,63000000,行,專科,702288,754553961
201402,63000000,行,高中高職,854090,955609279
201402,63000000,行,其他,889950,1025976416
201403,63000000,行,博士,54520,68148527
201403,63000000,行,碩士,516997,597360276
201403,63000000,行,大學,1660620,1763713107
201403,63000000,行,專科,810610,869382980
201403,63000000,行,高中高職,991069,1101816391
201403,63000000,行,其他,1039728,1207237750
201404,63000000,行,博士,51586,65025440
201404,63000000,行,碩士,496786,564132037
201404,63000000,行,大學,1604125,1650042482
201404,63000000,行,專科,782609,820367619
201404,63000000,行,高中高職,961980,1050161703
201404,63000000,行,其他,1005788,1126003700
201405,63000000,行,博士,56551,70596434
201405,63000000,行,碩士,532439,610634447
201405,63000000,行,大學,1702973,1796057009
201405,63000000,行,專科,829739,887044804
201405,63000000,行,高中高職,1019321,1123072949
201405,63000000,行,其他,1065125,1210688301
201406,63000000,行,博士,53493,67144747
201406,63000000,行,碩士,514313,598397462
201406,63000000,行,大學,1668246,1762563640
201406,63000000,行,專科,826776,889674800
201406,63000000,行,高中高職,1018983,1139201624
201406,63000000,行,其他,1060561,1212320481
201407,63000000,行,博士,55571,70248317
201407,63000000,行,碩士,544289,624233163
201407,63000000,行,大學,1775993,1863451277
201407,63000000,行,專科,876965,936717918
201407,63000000,行,高中高職,1073361,1185033406
201407,63000000,行,其他,1119838,1293180466
201408,63000000,行,博士,56273,68416580
201408,63000000,行,碩士,563239,630825465
201408,63000000,行,大學,1823777,1860851128
201408,63000000,行,專科,889779,927029780
201408,63000000,行,高中高職,1080342,1156334597
201408,63000000,行,其他,1139261,1255319719
201409,63000000,行,博士,55531,66270253
201409,63000000,行,碩士,534122,588195716
201409,63000000,行,大學,1730012,1725692482
201409,63000000,行,專科,846547,855490444
201409,63000000,行,高中高職,1031501,1081079397
201409,63000000,行,其他,1086456,1173742478
201410,63000000,行,博士,58036,67321508
201410,63000000,行,碩士,555803,589274048
201410,63000000,行,大學,1791920,1712686873
201410,63000000,行,專科,868944,844018576
201410,63000000,行,高中高職,1056373,1063508710
201410,63000000,行,其他,1121770,1154266040
201411,63000000,行,博士,57252,64043564
201411,63000000,行,碩士,543277,572996497
201411,63000000,行,大學,1746409,1652490503
201411,63000000,行,專科,836564,795142163
201411,63000000,行,高中高職,1013036,982896473
201411,63000000,行,其他,1081457,1093434060
201412,63000000,行,博士,60886,68694906
201412,63000000,行,碩士,581871,618441933
201412,63000000,行,大學,1866532,1786836361
201412,63000000,行,專科,891134,831372571
201412,63000000,行,高中高職,1070463,1011928960
201412,63000000,行,其他,1144941,1122676187
201501,63000000,行,博士,57199,62966975
201501,63000000,行,碩士,567689,583426658
201501,63000000,行,大學,1817758,1655651661
201501,63000000,行,專科,859665,747316361
201501,63000000,行,高中高職,1031042,896116817
201501,63000000,行,其他,1094526,1005515867
201502,63000000,行,博士,50046,52677390
201502,63000000,行,碩士,496391,485094050
201502,63000000,行,大學,1602583,1435940460
201502,63000000,行,專科,770609,673264460
201502,63000000,行,高中高職,926927,808734610
201502,63000000,行,其他,988071,904070502
201503,63000000,行,博士,60354,66025515
201503,63000000,行,碩士,578968,584846065
201503,63000000,行,大學,1851279,1686834368
201503,63000000,行,專科,874389,784758627
201503,63000000,行,高中高職,1048905,947915151
201503,63000000,行,其他,1122021,1051989033
201504,63000000,行,博士,58151,60586965
201504,63000000,行,碩士,560234,560506672
201504,63000000,行,大學,1792466,1605142778
201504,63000000,行,專科,841429,748233177
201504,63000000,行,高中高職,1009670,902578019
201504,63000000,行,其他,1083293,1007748151
201505,63000000,行,博士,61568,66547839
201505,63000000,行,碩士,584786,602622068
201505,63000000,行,大學,1862863,1724905256
201505,63000000,行,專科,873568,802515798
201505,63000000,行,高中高職,1052721,972267646
201505,63000000,行,其他,1128065,1088679121
201506,63000000,行,博士,60104,66864774
201506,63000000,行,碩士,583925,599460271
201506,63000000,行,大學,1885369,1736081285
201506,63000000,行,專科,892140,814525596
201506,63000000,行,高中高職,1079238,1000912964
201506,63000000,行,其他,1148361,1121689718
201507,63000000,行,博士,60804,68864580
201507,63000000,行,碩士,601388,635236708
201507,63000000,行,大學,1945448,1843003110
201507,63000000,行,專科,915323,847249484
201507,63000000,行,高中高職,1103649,1017477655
201507,63000000,行,其他,1172752,1154824043
201508,63000000,行,博士,58864,61883178
201508,63000000,行,碩士,593666,607100136
201508,63000000,行,大學,1907575,1762929981
201508,63000000,行,專科,891219,789866352
201508,63000000,行,高中高職,1069911,945306175
201508,63000000,行,其他,1144163,1071570318
201509,63000000,行,博士,59718,62233792
201509,63000000,行,碩士,595582,589271068
201509,63000000,行,大學,1899959,1690607909
201509,63000000,行,專科,877687,749341356
201509,63000000,行,高中高職,1057114,903721882
201509,63000000,行,其他,1138947,1023478111
201510,63000000,行,博士,63663,67439553
201510,63000000,行,碩士,612501,614734482
201510,63000000,行,大學,1956215,1734795559
201510,63000000,行,專科,900358,772158016
201510,63000000,行,高中高職,1085661,934627633
201510,63000000,行,其他,1175348,1068295126
201511,63000000,行,博士,63106,65584662
201511,63000000,行,碩士,602102,606938622
201511,63000000,行,大學,1926446,1702120337
201511,63000000,行,專科,884161,750535759
201511,63000000,行,高中高職,1060489,896535083
201511,63000000,行,其他,1148695,1037168309
201512,63000000,行,博士,66820,70074071
201512,63000000,行,碩士,648230,676390860
201512,63000000,行,大學,2063013,1906799299
201512,63000000,行,專科,926652,795247120
201512,63000000,行,高中高職,1106739,941541165
201512,63000000,行,其他,1198038,1095043651
201601,63000000,行,博士,81451,75994229
201601,63000000,行,碩士,811728,719800478
201601,63000000,行,大學,2694896,2106299512
201601,63000000,行,專科,1251488,937176188
201601,63000000,行,高中高職,1609681,1202971507
201601,63000000,行,其他,1579716,1267634925
201602,63000000,行,博士,69231,62474736
201602,63000000,行,碩士,702843,597594531
201602,63000000,行,大學,2325068,1804062385
201602,63000000,行,專科,1083784,805104690
201602,63000000,行,高中高職,1397425,1034016916
201602,63000000,行,其他,1373094,1086113704
201603,63000000,行,博士,79468,73722601
201603,63000000,行,碩士,779664,702981057
201603,63000000,行,大學,2586253,2100176157
201603,63000000,行,專科,1168191,922860518
201603,63000000,行,高中高職,1505073,1196895259
201603,63000000,行,其他,1510267,1234438059
201604,63000000,行,博士,75842,71324868
201604,63000000,行,碩士,768757,671333778
201604,63000000,行,大學,2540069,2016747482
201604,63000000,行,專科,1140248,888388780
201604,63000000,行,高中高職,1472403,1171424399
201604,63000000,行,其他,1477253,1174725338
201605,63000000,行,博士,80686,79583662
201605,63000000,行,碩士,812868,732045141
201605,63000000,行,大學,2682390,2176559684
201605,63000000,行,專科,1192788,970122996
201605,63000000,行,高中高職,1545002,1281878348
201605,63000000,行,其他,1555514,1290803630
201606,63000000,行,博士,81016,80430860
201606,63000000,行,碩士,820702,758664603
201606,63000000,行,大學,2766100,2333636900
201606,63000000,行,專科,1252588,1054680467
201606,63000000,行,高中高職,1650968,1433959995
201606,63000000,行,其他,1641202,1472156924
201607,63000000,行,博士,80720,79287084
201607,63000000,行,碩士,843396,753131700
201607,63000000,行,大學,2796520,2273564148
201607,63000000,行,專科,1248323,1020989987
201607,63000000,行,高中高職,1619020,1358630005
201607,63000000,行,其他,1600993,1340109580
201608,63000000,行,博士,80158,77038448
201608,63000000,行,碩士,847450,740250654
201608,63000000,行,大學,2770106,2215961643
201608,63000000,行,專科,1200610,956919098
201608,63000000,行,高中高職,1555889,1273851714
201608,63000000,行,其他,1612612,1316625254
201609,63000000,行,博士,75640,71457270
201609,63000000,行,碩士,768905,681745125
201609,63000000,行,大學,2461794,2002912552
201609,63000000,行,專科,1026872,832428353
201609,63000000,行,高中高職,1318747,1097918676
201609,63000000,行,其他,1401129,1147162480
201610,63000000,行,博士,82448,78373995
201610,63000000,行,碩士,826197,745189575
201610,63000000,行,大學,2605313,2142909088
201610,63000000,行,專科,1071784,879578206
201610,63000000,行,高中高職,1389930,1177675115
201610,63000000,行,其他,1426803,1226542916
201611,63000000,行,博士,88012,82946753
201611,63000000,行,碩士,857562,760011579
201611,63000000,行,大學,2799560,2232222085
201611,63000000,行,專科,1243433,1002727462
201611,63000000,行,高中高職,1585909,1317788998
201611,63000000,行,其他,1630600,1394168726
201612,63000000,行,博士,91569,89436013
201612,63000000,行,碩士,930809,845485353
201612,63000000,行,大學,3000576,2470690179
201612,63000000,行,專科,1292660,1080647669
201612,63000000,行,高中高職,1645585,1428580051
201612,63000000,行,其他,1720634,1539638761
201701,63000000,行,博士,76506,78185231
201701,63000000,行,碩士,794174,755287970
201701,63000000,行,大學,2532886,2187157976
201701,63000000,行,專科,1041710,920197783
201701,63000000,行,高中高職,1348349,1207205555
201701,63000000,行,其他,1383256,1277477583
201702,63000000,行,博士,70205,71641276
