年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,百貨,博士,15,44755
201401,10014000,百貨,碩士,249,304673
201401,10014000,百貨,大學,1199,1436614
201401,10014000,百貨,專科,661,836494
201401,10014000,百貨,高中高職,1119,1780991
201401,10014000,百貨,其他,747,1112686
201402,10014000,百貨,博士,11,7766
201402,10014000,百貨,碩士,184,249096
201402,10014000,百貨,大學,900,1213703
201402,10014000,百貨,專科,570,859107
201402,10014000,百貨,高中高職,864,1362945
201402,10014000,百貨,其他,575,901023
201403,10014000,百貨,博士,13,9592
201403,10014000,百貨,碩士,406,401602
201403,10014000,百貨,大學,1950,2149892
201403,10014000,百貨,專科,1162,1374136
201403,10014000,百貨,高中高職,1761,2348763
201403,10014000,百貨,其他,1185,1398017
201404,10014000,百貨,博士,19,64160
201404,10014000,百貨,碩士,400,466185
201404,10014000,百貨,大學,1934,2271617
201404,10014000,百貨,專科,1193,1561493
201404,10014000,百貨,高中高職,1892,3248001
201404,10014000,百貨,其他,1277,1926425
201405,10014000,百貨,博士,25,27161
201405,10014000,百貨,碩士,456,494702
201405,10014000,百貨,大學,2534,3468287
201405,10014000,百貨,專科,1404,2027813
201405,10014000,百貨,高中高職,2255,3690800
201405,10014000,百貨,其他,1566,2490540
201406,10014000,百貨,博士,21,20482
201406,10014000,百貨,碩士,479,577037
201406,10014000,百貨,大學,2521,3473609
201406,10014000,百貨,專科,1415,2140710
201406,10014000,百貨,高中高職,2354,4041037
201406,10014000,百貨,其他,1663,2639358
201407,10014000,百貨,博士,26,44040
201407,10014000,百貨,碩士,527,739079
201407,10014000,百貨,大學,2813,3886939
201407,10014000,百貨,專科,1737,2901153
201407,10014000,百貨,高中高職,2748,5134749
201407,10014000,百貨,其他,1953,3342597
201408,10014000,百貨,博士,32,36633
201408,10014000,百貨,碩士,565,682476
201408,10014000,百貨,大學,2845,3637171
201408,10014000,百貨,專科,1587,2450552
201408,10014000,百貨,高中高職,2719,4675821
201408,10014000,百貨,其他,1955,3272721
201409,10014000,百貨,博士,24,22618
201409,10014000,百貨,碩士,459,527247
201409,10014000,百貨,大學,2454,3451309
201409,10014000,百貨,專科,1332,1771030
201409,10014000,百貨,高中高職,2205,3603562
201409,10014000,百貨,其他,1628,2392788
201410,10014000,百貨,博士,20,18604
201410,10014000,百貨,碩士,475,510945
201410,10014000,百貨,大學,2399,2993552
201410,10014000,百貨,專科,1268,1605188
201410,10014000,百貨,高中高職,1953,2870615
201410,10014000,百貨,其他,1427,2069268
201411,10014000,百貨,博士,23,36162
201411,10014000,百貨,碩士,388,380621
201411,10014000,百貨,大學,1879,1866035
201411,10014000,百貨,專科,997,967444
201411,10014000,百貨,高中高職,1497,1776098
201411,10014000,百貨,其他,1108,1171909
201412,10014000,百貨,博士,25,28974
201412,10014000,百貨,碩士,441,399094
201412,10014000,百貨,大學,2263,1930329
201412,10014000,百貨,專科,1122,964692
201412,10014000,百貨,高中高職,1783,1925045
201412,10014000,百貨,其他,1301,1087561
201501,10014000,百貨,博士,30,37711
201501,10014000,百貨,碩士,439,430132
201501,10014000,百貨,大學,2018,1908469
201501,10014000,百貨,專科,988,1098740
201501,10014000,百貨,高中高職,1596,1764096
201501,10014000,百貨,其他,1182,1181891
201502,10014000,百貨,博士,23,50589
201502,10014000,百貨,碩士,478,502443
201502,10014000,百貨,大學,1928,2328106
201502,10014000,百貨,專科,978,1274126
201502,10014000,百貨,高中高職,1564,2671080
201502,10014000,百貨,其他,1229,1693749
201503,10014000,百貨,博士,18,25226
201503,10014000,百貨,碩士,379,378985
201503,10014000,百貨,大學,1844,1974476
201503,10014000,百貨,專科,1001,1201622
201503,10014000,百貨,高中高職,1504,2153126
201503,10014000,百貨,其他,1220,1396102
201504,10014000,百貨,博士,20,46724
201504,10014000,百貨,碩士,481,526103
201504,10014000,百貨,大學,2547,3478385
201504,10014000,百貨,專科,1328,1908232
201504,10014000,百貨,高中高職,2179,3771193
201504,10014000,百貨,其他,1700,2527140
201505,10014000,百貨,博士,36,38560
201505,10014000,百貨,碩士,569,766195
201505,10014000,百貨,大學,2914,3582720
201505,10014000,百貨,專科,1582,2320875
201505,10014000,百貨,高中高職,2447,4098705
201505,10014000,百貨,其他,1921,2867433
201506,10014000,百貨,博士,33,84078
201506,10014000,百貨,碩士,581,775523
201506,10014000,百貨,大學,3117,4574974
201506,10014000,百貨,專科,1618,2417020
201506,10014000,百貨,高中高職,2558,4584183
201506,10014000,百貨,其他,1916,2969260
201507,10014000,百貨,博士,30,57260
201507,10014000,百貨,碩士,598,573936
201507,10014000,百貨,大學,3143,4055959
201507,10014000,百貨,專科,1601,2289332
201507,10014000,百貨,高中高職,2666,4514923
201507,10014000,百貨,其他,2092,3111982
201508,10014000,百貨,博士,28,22518
201508,10014000,百貨,碩士,523,532510
201508,10014000,百貨,大學,2625,3099488
201508,10014000,百貨,專科,1457,2041258
201508,10014000,百貨,高中高職,2298,3741365
201508,10014000,百貨,其他,1759,2609686
201509,10014000,百貨,博士,27,17443
201509,10014000,百貨,碩士,481,619325
201509,10014000,百貨,大學,2599,3327585
201509,10014000,百貨,專科,1323,1873233
201509,10014000,百貨,高中高職,2219,3682492
201509,10014000,百貨,其他,1725,2371782
201510,10014000,百貨,博士,20,19635
201510,10014000,百貨,碩士,530,512451
201510,10014000,百貨,大學,2451,2810859
201510,10014000,百貨,專科,1302,1788163
201510,10014000,百貨,高中高職,1893,2917750
201510,10014000,百貨,其他,1527,2001984
201511,10014000,百貨,博士,22,21512
201511,10014000,百貨,碩士,405,343500
201511,10014000,百貨,大學,1993,1769682
201511,10014000,百貨,專科,993,986503
201511,10014000,百貨,高中高職,1506,1854844
201511,10014000,百貨,其他,1276,1383559
201512,10014000,百貨,博士,24,20224
201512,10014000,百貨,碩士,467,383732
201512,10014000,百貨,大學,2157,1926974
201512,10014000,百貨,專科,1159,1115135
201512,10014000,百貨,高中高職,1569,1857188
201512,10014000,百貨,其他,1317,1304638
201601,10014000,百貨,博士,32,26795
201601,10014000,百貨,碩士,441,405036
201601,10014000,百貨,大學,2213,2382872
201601,10014000,百貨,專科,1111,1341534
201601,10014000,百貨,高中高職,1602,2060406
201601,10014000,百貨,其他,1281,2094987
201602,10014000,百貨,博士,29,21669
201602,10014000,百貨,碩士,498,575965
201602,10014000,百貨,大學,2189,2524261
201602,10014000,百貨,專科,1174,1492229
201602,10014000,百貨,高中高職,1651,2593739
201602,10014000,百貨,其他,1373,1716007
201603,10014000,百貨,博士,22,14288
201603,10014000,百貨,碩士,351,285192
201603,10014000,百貨,大學,1952,2049717
201603,10014000,百貨,專科,956,1161851
201603,10014000,百貨,高中高職,1493,1819517
201603,10014000,百貨,其他,1236,1539885
201604,10014000,百貨,博士,20,30023
201604,10014000,百貨,碩士,473,542785
201604,10014000,百貨,大學,2585,3333451
201604,10014000,百貨,專科,1320,1923155
201604,10014000,百貨,高中高職,2014,3321354
201604,10014000,百貨,其他,1739,2362758
201605,10014000,百貨,博士,20,35091
201605,10014000,百貨,碩士,519,652400
201605,10014000,百貨,大學,2877,3566061
201605,10014000,百貨,專科,1543,2245954
201605,10014000,百貨,高中高職,2237,3653660
201605,10014000,百貨,其他,1963,2851774
201606,10014000,百貨,博士,28,30121
201606,10014000,百貨,碩士,546,601708
201606,10014000,百貨,大學,3163,4207148
201606,10014000,百貨,專科,1704,2471068
201606,10014000,百貨,高中高職,2619,4404479
201606,10014000,百貨,其他,2031,3107920
201607,10014000,百貨,博士,27,41175
201607,10014000,百貨,碩士,608,643871
201607,10014000,百貨,大學,2833,3375794
201607,10014000,百貨,專科,1505,2363293
201607,10014000,百貨,高中高職,2332,4140041
201607,10014000,百貨,其他,1869,2945163
201608,10014000,百貨,博士,30,28763
201608,10014000,百貨,碩士,566,606193
201608,10014000,百貨,大學,2624,3117226
201608,10014000,百貨,專科,1489,2119676
201608,10014000,百貨,高中高職,2130,3610159
201608,10014000,百貨,其他,1788,2377243
201609,10014000,百貨,博士,24,40133
201609,10014000,百貨,碩士,420,423407
201609,10014000,百貨,大學,2074,2348137
201609,10014000,百貨,專科,1020,1246710
201609,10014000,百貨,高中高職,1489,2664950
201609,10014000,百貨,其他,1390,1838345
201610,10014000,百貨,博士,21,19618
201610,10014000,百貨,碩士,463,465164
201610,10014000,百貨,大學,2277,2577597
201610,10014000,百貨,專科,1152,1330315
201610,10014000,百貨,高中高職,1686,2352493
201610,10014000,百貨,其他,1461,1767651
201611,10014000,百貨,博士,13,7961
201611,10014000,百貨,碩士,380,315428
201611,10014000,百貨,大學,1995,1818798
201611,10014000,百貨,專科,922,1005300
201611,10014000,百貨,高中高職,1472,1571003
201611,10014000,百貨,其他,1159,1193309
201612,10014000,百貨,博士,28,41123
201612,10014000,百貨,碩士,419,311722
201612,10014000,百貨,大學,2206,1969238
201612,10014000,百貨,專科,1130,1073898
201612,10014000,百貨,高中高職,1508,1656785
201612,10014000,百貨,其他,1272,1215194
201701,10014000,百貨,博士,26,27509
201701,10014000,百貨,碩士,465,464322
201701,10014000,百貨,大學,2308,2232311
201701,10014000,百貨,專科,1158,1651391
201701,10014000,百貨,高中高職,1507,2217308
201701,10014000,百貨,其他,1469,2908901
201702,10014000,百貨,博士,17,16335
201702,10014000,百貨,碩士,391,397129
201702,10014000,百貨,大學,2074,1968987
201702,10014000,百貨,專科,993,1020059
201702,10014000,百貨,高中高職,1370,1775202
201702,10014000,百貨,其他,1415,1626403
201703,10014000,百貨,博士,20,21616
201703,10014000,百貨,碩士,412,401234
201703,10014000,百貨,大學,1922,1861044
201703,10014000,百貨,專科,963,1139364
201703,10014000,百貨,高中高職,1545,2072917
201703,10014000,百貨,其他,1288,1403308
201704,10014000,百貨,博士,17,23659
201704,10014000,百貨,碩士,503,579044
201704,10014000,百貨,大學,2602,3163802
201704,10014000,百貨,專科,1302,1942255
201704,10014000,百貨,高中高職,2201,3770849
201704,10014000,百貨,其他,1788,2746372
201705,10014000,百貨,博士,20,21278
201705,10014000,百貨,碩士,483,550274
201705,10014000,百貨,大學,2763,3767972
201705,10014000,百貨,專科,1417,2109624
201705,10014000,百貨,高中高職,2333,4268988
201705,10014000,百貨,其他,1779,2973294
201706,10014000,百貨,博士,20,24188
201706,10014000,百貨,碩士,482,504027
201706,10014000,百貨,大學,2718,3576795
201706,10014000,百貨,專科,1375,2173847
201706,10014000,百貨,高中高職,2173,3516458
201706,10014000,百貨,其他,1711,2671582
201707,10014000,百貨,博士,33,42977
201707,10014000,百貨,碩士,547,565610
201707,10014000,百貨,大學,3136,3916781
201707,10014000,百貨,專科,1594,2390221
201707,10014000,百貨,高中高職,2447,4340773
201707,10014000,百貨,其他,1958,2914861
201708,10014000,百貨,博士,27,41547
