年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,食,博士,510,609745
201401,10014000,食,碩士,4228,5741600
201401,10014000,食,大學,14898,21951125
201401,10014000,食,專科,9287,14817838
201401,10014000,食,高中高職,14102,26421161
201401,10014000,食,其他,9583,16228025
201402,10014000,食,博士,389,474675
201402,10014000,食,碩士,3424,4023693
201402,10014000,食,大學,12206,14962204
201402,10014000,食,專科,7267,9609019
201402,10014000,食,高中高職,10497,14546766
201402,10014000,食,其他,7524,10109463
201403,10014000,食,博士,379,414345
201403,10014000,食,碩士,3430,3778373
201403,10014000,食,大學,12857,13905869
201403,10014000,食,專科,7836,9502301
201403,10014000,食,高中高職,11582,15039882
201403,10014000,食,其他,7575,9667075
201404,10014000,食,博士,352,308361
201404,10014000,食,碩士,3435,3867944
201404,10014000,食,大學,12313,14271961
201404,10014000,食,專科,7347,9040796
201404,10014000,食,高中高職,11152,14654171
201404,10014000,食,其他,7335,9544974
201405,10014000,食,博士,398,399705
201405,10014000,食,碩士,3708,4360615
201405,10014000,食,大學,13232,16328510
201405,10014000,食,專科,7825,10375545
201405,10014000,食,高中高職,11949,16865491
201405,10014000,食,其他,8151,10953779
201406,10014000,食,博士,385,450841
201406,10014000,食,碩士,3854,4484065
201406,10014000,食,大學,13514,16045694
201406,10014000,食,專科,8044,10084397
201406,10014000,食,高中高職,12079,16982065
201406,10014000,食,其他,8179,11357441
201407,10014000,食,博士,457,533325
201407,10014000,食,碩士,4809,5586573
201407,10014000,食,大學,16291,19728781
201407,10014000,食,專科,10103,13943842
201407,10014000,食,高中高職,14237,21127263
201407,10014000,食,其他,10025,14688695
201408,10014000,食,博士,506,582072
201408,10014000,食,碩士,5094,5953186
201408,10014000,食,大學,17054,21606372
201408,10014000,食,專科,10333,14169334
201408,10014000,食,高中高職,15065,24198928
201408,10014000,食,其他,10342,15055992
201409,10014000,食,博士,365,391520
201409,10014000,食,碩士,3642,4225050
201409,10014000,食,大學,13557,15854418
201409,10014000,食,專科,8337,10232441
201409,10014000,食,高中高職,12573,17215090
201409,10014000,食,其他,8539,11322853
201410,10014000,食,博士,417,419865
201410,10014000,食,碩士,3765,4362005
201410,10014000,食,大學,13700,15911543
201410,10014000,食,專科,8661,10530427
201410,10014000,食,高中高職,12180,15836911
201410,10014000,食,其他,8276,10646293
201411,10014000,食,博士,383,395636
201411,10014000,食,碩士,3597,4110402
201411,10014000,食,大學,12909,14977575
201411,10014000,食,專科,7816,9290276
201411,10014000,食,高中高職,11182,14450539
201411,10014000,食,其他,7738,9656594
201412,10014000,食,博士,363,419921
201412,10014000,食,碩士,3843,4279373
201412,10014000,食,大學,14367,16723415
201412,10014000,食,專科,8425,10499292
201412,10014000,食,高中高職,12515,16969227
201412,10014000,食,其他,8633,11667997
201501,10014000,食,博士,446,591533
201501,10014000,食,碩士,4331,5291871
201501,10014000,食,大學,14840,18980473
201501,10014000,食,專科,9244,13100357
201501,10014000,食,高中高職,13102,22010773
201501,10014000,食,其他,9162,13809884
201502,10014000,食,博士,508,752651
