年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,住,博士,310,1733951
201401,10014000,住,碩士,2488,15996097
201401,10014000,住,大學,7040,57714919
201401,10014000,住,專科,3319,24915542
201401,10014000,住,高中高職,3470,30259790
201401,10014000,住,其他,3232,30312277
201402,10014000,住,博士,218,1460017
201402,10014000,住,碩士,1861,12143825
201402,10014000,住,大學,6063,48387821
201402,10014000,住,專科,3244,26189520
201402,10014000,住,高中高職,3596,30722671
201402,10014000,住,其他,3201,27570334
201403,10014000,住,博士,150,795684
201403,10014000,住,碩士,1637,13325031
201403,10014000,住,大學,5462,53846816
201403,10014000,住,專科,2780,26754735
201403,10014000,住,高中高職,3147,35558981
201403,10014000,住,其他,2858,30959090
201404,10014000,住,博士,161,1168483
201404,10014000,住,碩士,1637,12862356
201404,10014000,住,大學,5787,58212344
201404,10014000,住,專科,2903,30907741
201404,10014000,住,高中高職,3040,32011091
201404,10014000,住,其他,2904,33944067
201405,10014000,住,博士,198,1237918
201405,10014000,住,碩士,1989,14296745
201405,10014000,住,大學,6707,60073281
201405,10014000,住,專科,3464,30907290
201405,10014000,住,高中高職,3538,35093654
201405,10014000,住,其他,3409,34350606
201406,10014000,住,博士,231,1206954
201406,10014000,住,碩士,2158,12635739
201406,10014000,住,大學,6903,53907803
201406,10014000,住,專科,3612,32000621
201406,10014000,住,高中高職,3415,32641402
201406,10014000,住,其他,3309,29340561
201407,10014000,住,博士,365,2399051
201407,10014000,住,碩士,3316,20263030
201407,10014000,住,大學,9698,76652654
201407,10014000,住,專科,5131,40091071
201407,10014000,住,高中高職,4517,40053609
201407,10014000,住,其他,4475,39666169
201408,10014000,住,博士,376,1672307
201408,10014000,住,碩士,3416,18721324
201408,10014000,住,大學,9493,67804404
201408,10014000,住,專科,4782,33231398
201408,10014000,住,高中高職,4603,34136563
201408,10014000,住,其他,4599,46260565
201409,10014000,住,博士,203,1717250
201409,10014000,住,碩士,1856,11440698
201409,10014000,住,大學,6092,44616437
201409,10014000,住,專科,3156,27112820
201409,10014000,住,高中高職,3306,27891727
201409,10014000,住,其他,3189,28611427
201410,10014000,住,博士,203,1071598
201410,10014000,住,碩士,1992,12172448
201410,10014000,住,大學,6527,49865278
201410,10014000,住,專科,3230,27802164
201410,10014000,住,高中高職,3374,30296115
201410,10014000,住,其他,3374,38438721
201411,10014000,住,博士,212,1645271
201411,10014000,住,碩士,2186,16248324
201411,10014000,住,大學,6997,63478863
201411,10014000,住,專科,3448,32338967
201411,10014000,住,高中高職,3331,31714907
201411,10014000,住,其他,3767,42652729
201412,10014000,住,博士,279,1532667
201412,10014000,住,碩士,2140,14843184
201412,10014000,住,大學,6625,60630634
201412,10014000,住,專科,3259,29242632
201412,10014000,住,高中高職,3265,34834510
201412,10014000,住,其他,3584,42501759
201501,10014000,住,博士,335,2247405
201501,10014000,住,碩士,2598,15439935
201501,10014000,住,大學,7596,55245311
201501,10014000,住,專科,3749,28043024
201501,10014000,住,高中高職,3638,34004722
201501,10014000,住,其他,3863,40239801
201502,10014000,住,博士,397,1954755
201502,10014000,住,碩士,3525,21953502
201502,10014000,住,大學,9058,67721699
201502,10014000,住,專科,4449,34292169
201502,10014000,住,高中高職,4154,34450102
201502,10014000,住,其他,4334,38495923
201503,10014000,住,博士,176,973206
201503,10014000,住,碩士,1892,12304512
201503,10014000,住,大學,5760,44226371
201503,10014000,住,專科,2994,22446142
201503,10014000,住,高中高職,3139,25013301
201503,10014000,住,其他,3328,31280557
201504,10014000,住,博士,216,994133
201504,10014000,住,碩士,2216,15290932
201504,10014000,住,大學,6782,57212663
201504,10014000,住,專科,3532,33120308
201504,10014000,住,高中高職,3374,31368819
201504,10014000,住,其他,3633,38668442
201505,10014000,住,博士,269,1551863
201505,10014000,住,碩士,2392,15365423
201505,10014000,住,大學,7282,65204697
201505,10014000,住,專科,3556,35342826
201505,10014000,住,高中高職,3688,35938467
201505,10014000,住,其他,3839,40109646
201506,10014000,住,博士,251,1025576
201506,10014000,住,碩士,2362,14343850
201506,10014000,住,大學,6996,56330953
201506,10014000,住,專科,3628,34106665
201506,10014000,住,高中高職,3547,31857419
201506,10014000,住,其他,3704,33573116
201507,10014000,住,博士,385,1968747
201507,10014000,住,碩士,3667,21922108
201507,10014000,住,大學,10333,77522985
201507,10014000,住,專科,5314,43639476
201507,10014000,住,高中高職,4736,39517752
201507,10014000,住,其他,5005,46982079
201508,10014000,住,博士,364,1895211
201508,10014000,住,碩士,3119,17096597
201508,10014000,住,大學,8774,60383990
201508,10014000,住,專科,4759,34806927
201508,10014000,住,高中高職,4134,30152098
201508,10014000,住,其他,4334,36762484
201509,10014000,住,博士,220,1213246
201509,10014000,住,碩士,2078,12890759
201509,10014000,住,大學,6825,48464371
201509,10014000,住,專科,3306,26034439
201509,10014000,住,高中高職,3568,29497224
201509,10014000,住,其他,3498,29819393
201510,10014000,住,博士,215,1965982
201510,10014000,住,碩士,2314,13332599
201510,10014000,住,大學,7559,62713640
201510,10014000,住,專科,3618,31412174
201510,10014000,住,高中高職,3658,31641401
201510,10014000,住,其他,3710,37037068
201511,10014000,住,博士,257,1214826
201511,10014000,住,碩士,2839,18785324
201511,10014000,住,大學,8492,67990386
201511,10014000,住,專科,4120,37438666
201511,10014000,住,高中高職,3970,37268431
201511,10014000,住,其他,4356,42113349
201512,10014000,住,博士,274,1618382
201512,10014000,住,碩士,2609,15767781
201512,10014000,住,大學,7953,66754259
201512,10014000,住,專科,3664,31197403
201512,10014000,住,高中高職,3594,32631113
201512,10014000,住,其他,4163,43260879
201601,10014000,住,博士,407,2501450
201601,10014000,住,碩士,3214,19443918
201601,10014000,住,大學,8835,62346391
201601,10014000,住,專科,4036,31983608
201601,10014000,住,高中高職,3821,32992542
201601,10014000,住,其他,4327,39106964
201602,10014000,住,博士,324,2139126
201602,10014000,住,碩士,3086,20102181
201602,10014000,住,大學,9218,71030474
201602,10014000,住,專科,4366,32488779
201602,10014000,住,高中高職,4572,39207035
201602,10014000,住,其他,4663,42346465
201603,10014000,住,博士,216,1404177
201603,10014000,住,碩士,1881,11623904
201603,10014000,住,大學,6292,49123253
201603,10014000,住,專科,3080,24020823
201603,10014000,住,高中高職,3094,29334397
201603,10014000,住,其他,3168,30228699
201604,10014000,住,博士,276,1861390
201604,10014000,住,碩士,2580,16603466
201604,10014000,住,大學,7425,58030135
201604,10014000,住,專科,3517,28129175
201604,10014000,住,高中高職,3306,30507601
201604,10014000,住,其他,3539,33512194
201605,10014000,住,博士,247,1319964
201605,10014000,住,碩士,2440,15407072
201605,10014000,住,大學,7359,55158249
201605,10014000,住,專科,3534,28596969
201605,10014000,住,高中高職,3514,30905921
201605,10014000,住,其他,3738,37241815
201606,10014000,住,博士,273,1203369
201606,10014000,住,碩士,2826,17311956
201606,10014000,住,大學,7965,53446126
201606,10014000,住,專科,3837,26645561
201606,10014000,住,高中高職,3814,31980105
201606,10014000,住,其他,4163,35948307
201607,10014000,住,博士,409,2743290
201607,10014000,住,碩士,3611,19212194
201607,10014000,住,大學,9908,66892002
201607,10014000,住,專科,4583,32452331
201607,10014000,住,高中高職,4306,35008485
201607,10014000,住,其他,4468,34234321
201608,10014000,住,博士,387,1744386
201608,10014000,住,碩士,3406,16776259
201608,10014000,住,大學,9266,59532840
201608,10014000,住,專科,4527,28856348
201608,10014000,住,高中高職,4380,29770562
201608,10014000,住,其他,4462,30602212
201609,10014000,住,博士,165,665783
201609,10014000,住,碩士,1746,7696795
201609,10014000,住,大學,5590,34000563
201609,10014000,住,專科,2502,17559318
201609,10014000,住,高中高職,2609,18671430
201609,10014000,住,其他,2520,17656044
201610,10014000,住,博士,213,797387
201610,10014000,住,碩士,2107,10008664
201610,10014000,住,大學,5843,39556073
201610,10014000,住,專科,2620,21719428
201610,10014000,住,高中高職,2579,21834746
201610,10014000,住,其他,2683,21134323
201611,10014000,住,博士,245,943225
201611,10014000,住,碩士,2644,14213393
201611,10014000,住,大學,7653,50782878
201611,10014000,住,專科,3818,28126290
201611,10014000,住,高中高職,4006,27411439
201611,10014000,住,其他,4203,33274055
201612,10014000,住,博士,253,1555818
201612,10014000,住,碩士,2819,14739730
201612,10014000,住,大學,8063,45694381
201612,10014000,住,專科,3622,24522496
201612,10014000,住,高中高職,3517,25990687
201612,10014000,住,其他,4265,36950713
201701,10014000,住,博士,358,2221483
201701,10014000,住,碩士,3161,19221218
201701,10014000,住,大學,8308,53576562
201701,10014000,住,專科,4063,29447899
201701,10014000,住,高中高職,3880,31633144
201701,10014000,住,其他,4528,36406299
201702,10014000,住,博士,307,1479394
201702,10014000,住,碩士,3297,18592732
201702,10014000,住,大學,9002,48651970
201702,10014000,住,專科,4066,24823435
201702,10014000,住,高中高職,4268,27878204
201702,10014000,住,其他,4635,31132337
201703,10014000,住,博士,185,718798
201703,10014000,住,碩士,2194,13319534
201703,10014000,住,大學,6615,41643087
201703,10014000,住,專科,3127,24761060
201703,10014000,住,高中高職,3212,22543833
201703,10014000,住,其他,3573,27813597
201704,10014000,住,博士,278,1513740
201704,10014000,住,碩士,2789,17867108
201704,10014000,住,大學,8338,57000873
201704,10014000,住,專科,3960,27981842
201704,10014000,住,高中高職,4191,32482349
201704,10014000,住,其他,4176,33258069
201705,10014000,住,博士,293,1479670
201705,10014000,住,碩士,3102,21051157
201705,10014000,住,大學,9036,60979674
201705,10014000,住,專科,4182,30863439
201705,10014000,住,高中高職,4166,35905927
201705,10014000,住,其他,4365,37633174
