年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,其他,博士,69,277705
201401,10014000,其他,碩士,733,3413768
201401,10014000,其他,大學,3284,14150792
201401,10014000,其他,專科,1993,9910420
201401,10014000,其他,高中高職,3198,15580426
201401,10014000,其他,其他,2075,9230984
201402,10014000,其他,博士,50,133981
201402,10014000,其他,碩士,643,2187377
201402,10014000,其他,大學,2631,10063930
201402,10014000,其他,專科,1512,6628392
201402,10014000,其他,高中高職,2425,11764363
201402,10014000,其他,其他,1719,6594539
201403,10014000,其他,博士,42,255671
201403,10014000,其他,碩士,629,2330488
201403,10014000,其他,大學,2714,11166420
201403,10014000,其他,專科,1678,7166463
201403,10014000,其他,高中高職,2733,12646731
201403,10014000,其他,其他,1804,7197564
201404,10014000,其他,博士,58,237463
201404,10014000,其他,碩士,581,2144885
201404,10014000,其他,大學,2740,12056869
201404,10014000,其他,專科,1663,8413628
201404,10014000,其他,高中高職,2518,12017810
201404,10014000,其他,其他,1696,7170297
201405,10014000,其他,博士,58,424786
201405,10014000,其他,碩士,746,3115182
201405,10014000,其他,大學,2986,12118763
201405,10014000,其他,專科,1905,9795789
201405,10014000,其他,高中高職,2900,13651490
201405,10014000,其他,其他,1824,8625901
201406,10014000,其他,博士,55,254151
201406,10014000,其他,碩士,689,2645680
201406,10014000,其他,大學,2871,11461445
201406,10014000,其他,專科,1700,7380372
201406,10014000,其他,高中高職,2628,12021513
201406,10014000,其他,其他,1728,6419620
201407,10014000,其他,博士,58,294228
201407,10014000,其他,碩士,792,3336046
201407,10014000,其他,大學,3148,12326028
201407,10014000,其他,專科,1864,9785090
201407,10014000,其他,高中高職,2805,13111563
201407,10014000,其他,其他,1890,7577814
201408,10014000,其他,博士,53,196627
201408,10014000,其他,碩士,860,3172363
201408,10014000,其他,大學,3181,11394128
201408,10014000,其他,專科,1794,7560877
201408,10014000,其他,高中高職,2941,12812106
201408,10014000,其他,其他,1988,7485358
201409,10014000,其他,博士,57,343513
201409,10014000,其他,碩士,708,2341136
201409,10014000,其他,大學,2879,10726105
201409,10014000,其他,專科,1741,8533554
201409,10014000,其他,高中高職,2653,11370831
201409,10014000,其他,其他,1834,7530890
201410,10014000,其他,博士,64,251238
201410,10014000,其他,碩士,754,3358502
201410,10014000,其他,大學,3291,14671653
201410,10014000,其他,專科,1863,9003411
201410,10014000,其他,高中高職,2930,13430926
201410,10014000,其他,其他,1840,7901635
201411,10014000,其他,博士,58,302278
201411,10014000,其他,碩士,736,2902261
201411,10014000,其他,大學,2852,12890242
201411,10014000,其他,專科,1662,7931515
201411,10014000,其他,高中高職,2594,12024451
201411,10014000,其他,其他,1727,6727050
201412,10014000,其他,博士,71,437593
201412,10014000,其他,碩士,757,3326413
201412,10014000,其他,大學,3027,12630517
201412,10014000,其他,專科,1867,10226529
201412,10014000,其他,高中高職,2881,14122157
201412,10014000,其他,其他,1900,8306913
201501,10014000,其他,博士,75,305288
201501,10014000,其他,碩士,809,3231454
201501,10014000,其他,大學,3127,13996352
201501,10014000,其他,專科,1850,9887063
201501,10014000,其他,高中高職,2865,14378604
201501,10014000,其他,其他,2034,9417733
201502,10014000,其他,博士,49,439392
201502,10014000,其他,碩士,863,3546981
201502,10014000,其他,大學,3126,13592838
201502,10014000,其他,專科,1723,9973800
201502,10014000,其他,高中高職,2711,14251996
201502,10014000,其他,其他,1982,9202076
201503,10014000,其他,博士,52,266750
201503,10014000,其他,碩士,640,2707575
201503,10014000,其他,大學,2641,11698260
201503,10014000,其他,專科,1705,8828496
201503,10014000,其他,高中高職,2599,12521418
201503,10014000,其他,其他,1818,8363730
201504,10014000,其他,博士,65,889937
201504,10014000,其他,碩士,733,3516461
201504,10014000,其他,大學,2864,13665709
201504,10014000,其他,專科,1659,8122377
201504,10014000,其他,高中高職,2600,13600660
201504,10014000,其他,其他,1746,8036108
201505,10014000,其他,博士,70,322594
201505,10014000,其他,碩士,748,3452369
201505,10014000,其他,大學,3090,14416533
201505,10014000,其他,專科,1753,10517383
201505,10014000,其他,高中高職,2786,14611111
201505,10014000,其他,其他,1894,8535347
201506,10014000,其他,博士,70,310596
201506,10014000,其他,碩士,751,3010153
201506,10014000,其他,大學,3065,12646892
201506,10014000,其他,專科,1902,9395565
201506,10014000,其他,高中高職,2855,15099330
201506,10014000,其他,其他,1911,8476260
201507,10014000,其他,博士,63,242448
201507,10014000,其他,碩士,896,3901481
201507,10014000,其他,大學,3312,13198936
201507,10014000,其他,專科,1881,9403198
201507,10014000,其他,高中高職,2834,12943262
201507,10014000,其他,其他,2102,9020427
201508,10014000,其他,博士,94,705669
201508,10014000,其他,碩士,950,5043426
201508,10014000,其他,大學,3524,18955665
201508,10014000,其他,專科,2026,11178380
201508,10014000,其他,高中高職,3221,18379740
201508,10014000,其他,其他,2292,12147772
201509,10014000,其他,博士,46,264568
201509,10014000,其他,碩士,729,2873216
201509,10014000,其他,大學,2874,11315210
201509,10014000,其他,專科,1681,7764396
201509,10014000,其他,高中高職,2829,14317505
201509,10014000,其他,其他,1862,7488778
201510,10014000,其他,博士,45,234838
201510,10014000,其他,碩士,809,3613474
201510,10014000,其他,大學,3100,24622521
201510,10014000,其他,專科,1835,10758910
201510,10014000,其他,高中高職,2884,16627548
