年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10014000,行,博士,478,584598
201401,10014000,行,碩士,4430,5165311
201401,10014000,行,大學,16212,17725073
201401,10014000,行,專科,10310,11801311
201401,10014000,行,高中高職,17092,20625189
201401,10014000,行,其他,13235,16344909
201402,10014000,行,博士,376,445670
201402,10014000,行,碩士,4419,4986817
201402,10014000,行,大學,17840,19613686
201402,10014000,行,專科,11449,13003030
201402,10014000,行,高中高職,19875,23921004
201402,10014000,行,其他,15235,18696598
201403,10014000,行,博士,259,391608
201403,10014000,行,碩士,4077,4309328
201403,10014000,行,大學,15958,16526613
201403,10014000,行,專科,10378,11837562
201403,10014000,行,高中高職,17143,21029584
201403,10014000,行,其他,12935,15488929
201404,10014000,行,博士,298,320835
201404,10014000,行,碩士,4037,4310328
201404,10014000,行,大學,15732,17088056
201404,10014000,行,專科,9919,11012329
201404,10014000,行,高中高職,17136,21313394
201404,10014000,行,其他,12945,16330427
201405,10014000,行,博士,311,375091
201405,10014000,行,碩士,4365,4503451
201405,10014000,行,大學,16769,18227077
201405,10014000,行,專科,10288,11170912
201405,10014000,行,高中高職,17447,21325728
201405,10014000,行,其他,13204,16263119
201406,10014000,行,博士,330,387259
201406,10014000,行,碩士,4912,5362035
201406,10014000,行,大學,19181,20935588
201406,10014000,行,專科,11465,13155320
201406,10014000,行,高中高職,18803,24070196
201406,10014000,行,其他,14519,18745574
201407,10014000,行,博士,564,691716
201407,10014000,行,碩士,6599,7574650
201407,10014000,行,大學,23775,26794914
201407,10014000,行,專科,14477,16862534
201407,10014000,行,高中高職,21556,26185491
201407,10014000,行,其他,17129,22239788
201408,10014000,行,博士,600,748964
201408,10014000,行,碩士,7185,8022191
201408,10014000,行,大學,24114,26867469
201408,10014000,行,專科,14549,16450700
201408,10014000,行,高中高職,21968,26374152
201408,10014000,行,其他,17618,21591639
201409,10014000,行,博士,353,423799
201409,10014000,行,碩士,4483,4669041
201409,10014000,行,大學,17649,19109522
201409,10014000,行,專科,10730,11331702
201409,10014000,行,高中高職,17879,21461705
201409,10014000,行,其他,14140,16580622
201410,10014000,行,博士,332,343537
201410,10014000,行,碩士,4718,4671354
201410,10014000,行,大學,18748,19786072
201410,10014000,行,專科,11120,11236901
201410,10014000,行,高中高職,18217,21652470
201410,10014000,行,其他,14357,16741314
201411,10014000,行,博士,302,314780
201411,10014000,行,碩士,4154,4023721
201411,10014000,行,大學,16301,16704508
201411,10014000,行,專科,9874,10239487
201411,10014000,行,高中高職,16204,18963620
201411,10014000,行,其他,12988,15927620
201412,10014000,行,博士,315,401289
201412,10014000,行,碩士,3997,3667712
201412,10014000,行,大學,15992,15403393
201412,10014000,行,專科,9765,9082953
201412,10014000,行,高中高職,16269,17751786
201412,10014000,行,其他,12844,14390168
201501,10014000,行,博士,408,446067
201501,10014000,行,碩士,5068,4706791
201501,10014000,行,大學,18533,17081380
201501,10014000,行,專科,10964,9835915
201501,10014000,行,高中高職,17153,17005964
201501,10014000,行,其他,13910,14172311
201502,10014000,行,博士,617,578401
201502,10014000,行,碩士,6053,5674302
201502,10014000,行,大學,20441,18866287
201502,10014000,行,專科,12699,11445600
201502,10014000,行,高中高職,19768,19324234
201502,10014000,行,其他,16562,16372457
201503,10014000,行,博士,277,287741
201503,10014000,行,碩士,3984,3555364
201503,10014000,行,大學,15796,14131384
201503,10014000,行,專科,10075,8670933
201503,10014000,行,高中高職,16095,15465084
201503,10014000,行,其他,13158,13266060
201504,10014000,行,博士,334,368022
201504,10014000,行,碩士,4516,4148257
201504,10014000,行,大學,17491,16647636
201504,10014000,行,專科,10587,9679219
201504,10014000,行,高中高職,16740,16502198
201504,10014000,行,其他,13484,13388296
201505,10014000,行,博士,321,346441
201505,10014000,行,碩士,4292,3985757
201505,10014000,行,大學,16964,16300391
201505,10014000,行,專科,10128,9418843
201505,10014000,行,高中高職,16485,16952380
201505,10014000,行,其他,13517,14261566
201506,10014000,行,博士,360,375789
201506,10014000,行,碩士,4834,4700239
201506,10014000,行,大學,18905,18452991
201506,10014000,行,專科,11220,11074091
201506,10014000,行,高中高職,17952,20327348
201506,10014000,行,其他,14675,15973657
201507,10014000,行,博士,549,588754
201507,10014000,行,碩士,6608,6715172
201507,10014000,行,大學,23073,22610619
201507,10014000,行,專科,13983,13294023
201507,10014000,行,高中高職,20448,22112519
201507,10014000,行,其他,17093,18188128
201508,10014000,行,博士,499,493695
201508,10014000,行,碩士,5772,5444155
201508,10014000,行,大學,20915,19146111
201508,10014000,行,專科,12649,11199810
201508,10014000,行,高中高職,18672,18475459
201508,10014000,行,其他,15707,15889743
201509,10014000,行,博士,324,371798
201509,10014000,行,碩士,4717,4446262
201509,10014000,行,大學,18657,17099125
201509,10014000,行,專科,11192,9796179
201509,10014000,行,高中高職,17377,16718596
201509,10014000,行,其他,14215,14081768
201510,10014000,行,博士,335,290684
201510,10014000,行,碩士,4913,4429795
201510,10014000,行,大學,18863,16664779
201510,10014000,行,專科,10867,9580290
201510,10014000,行,高中高職,17299,17007390
201510,10014000,行,其他,14059,13998353
201511,10014000,行,博士,331,299470
201511,10014000,行,碩士,4408,3848795
201511,10014000,行,大學,17691,15509766
201511,10014000,行,專科,10555,9479292
201511,10014000,行,高中高職,16351,16078943
201511,10014000,行,其他,13788,13596172
201512,10014000,行,博士,386,352312
201512,10014000,行,碩士,4249,3605019
201512,10014000,行,大學,16519,13963158
201512,10014000,行,專科,10204,8592126
201512,10014000,行,高中高職,15821,15106470
201512,10014000,行,其他,13208,12808173
201601,10014000,行,博士,257,305200
201601,10014000,行,碩士,2768,2871464
201601,10014000,行,大學,9682,9306745
201601,10014000,行,專科,5391,5309393
201601,10014000,行,高中高職,8037,8785722
201601,10014000,行,其他,7245,8380645
201602,10014000,行,博士,330,291851
201602,10014000,行,碩士,3191,3143694
201602,10014000,行,大學,12177,10840676
201602,10014000,行,專科,7729,6960442
201602,10014000,行,高中高職,11806,10205249
201602,10014000,行,其他,9599,8732714
201603,10014000,行,博士,220,173853
201603,10014000,行,碩士,1946,2097718
201603,10014000,行,大學,8137,7567429
201603,10014000,行,專科,4704,4473598
201603,10014000,行,高中高職,6965,7459362
201603,10014000,行,其他,6188,5922756
201604,10014000,行,博士,262,349075
201604,10014000,行,碩士,2684,2789992
201604,10014000,行,大學,10109,9531504
201604,10014000,行,專科,5587,5434382
201604,10014000,行,高中高職,8417,8280258
201604,10014000,行,其他,7426,7136450
201605,10014000,行,博士,210,161181
201605,10014000,行,碩士,2439,2328437
201605,10014000,行,大學,9435,9007709
201605,10014000,行,專科,5372,5307709
201605,10014000,行,高中高職,7846,8041611
201605,10014000,行,其他,7114,6683834
201606,10014000,行,博士,249,277491
201606,10014000,行,碩士,3035,3230092
201606,10014000,行,大學,11290,11382193
201606,10014000,行,專科,6325,6409064
201606,10014000,行,高中高職,9633,10357779
201606,10014000,行,其他,8489,9062075
201607,10014000,行,博士,315,377049
201607,10014000,行,碩士,3473,4219703
201607,10014000,行,大學,12298,12913589
201607,10014000,行,專科,6817,6899524
201607,10014000,行,高中高職,9217,10358869
201607,10014000,行,其他,8639,9206492
201608,10014000,行,博士,363,378068
201608,10014000,行,碩士,3457,3837667
201608,10014000,行,大學,11916,12038498
201608,10014000,行,專科,6525,7195309
201608,10014000,行,高中高職,9332,10192681
201608,10014000,行,其他,8925,9052544
201609,10014000,行,博士,190,202726
201609,10014000,行,碩士,2114,2253056
201609,10014000,行,大學,8297,8354984
201609,10014000,行,專科,4515,4789047
201609,10014000,行,高中高職,6816,7098136
201609,10014000,行,其他,6648,6598388
201610,10014000,行,博士,208,213594
201610,10014000,行,碩士,2359,2636412
201610,10014000,行,大學,8858,9193872
201610,10014000,行,專科,4529,4966865
201610,10014000,行,高中高職,7132,8327182
201610,10014000,行,其他,6667,6736921
201611,10014000,行,博士,215,239757
201611,10014000,行,碩士,2455,2571009
201611,10014000,行,大學,9354,9344476
201611,10014000,行,專科,5219,5870437
201611,10014000,行,高中高職,7748,8630078
201611,10014000,行,其他,7142,7373245
201612,10014000,行,博士,219,224319
201612,10014000,行,碩士,2715,3083132
201612,10014000,行,大學,10153,10672693
201612,10014000,行,專科,5576,6256275
201612,10014000,行,高中高職,8090,9035819
201612,10014000,行,其他,7561,7794094
201701,10014000,行,博士,299,422631
201701,10014000,行,碩士,2862,3129923
201701,10014000,行,大學,10479,11190238
201701,10014000,行,專科,5777,6922648
201701,10014000,行,高中高職,8959,9679959
201701,10014000,行,其他,8138,8673743
201702,10014000,行,博士,278,314843
201702,10014000,行,碩士,2930,3112848
201702,10014000,行,大學,10265,10336482
201702,10014000,行,專科,5567,5916531
201702,10014000,行,高中高職,8428,8766542
201702,10014000,行,其他,7885,8397444
201703,10014000,行,博士,219,275133
201703,10014000,行,碩士,2321,2570117
201703,10014000,行,大學,9057,9435033
201703,10014000,行,專科,4757,5607016
201703,10014000,行,高中高職,7207,7909434
201703,10014000,行,其他,6891,7093785
201704,10014000,行,博士,287,291901
201704,10014000,行,碩士,2893,3063376
201704,10014000,行,大學,11092,11652404
201704,10014000,行,專科,5947,5786657
201704,10014000,行,高中高職,9011,9609042
201704,10014000,行,其他,7999,7951548
201705,10014000,行,博士,271,386796
201705,10014000,行,碩士,2850,3016127
201705,10014000,行,大學,10462,11310147
201705,10014000,行,專科,5432,6148297
201705,10014000,行,高中高職,8095,8408949
201705,10014000,行,其他,7375,7933577
201706,10014000,行,博士,173,176743
201706,10014000,行,碩士,2356,2760155
201706,10014000,行,大學,8383,9129746
201706,10014000,行,專科,4306,4992176
201706,10014000,行,高中高職,6441,7740102
201706,10014000,行,其他,5935,6928914
201707,10014000,行,博士,301,404972
201707,10014000,行,碩士,3698,4302135
