年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,68000000,文教康樂,博士,1533,10099988
201401,68000000,文教康樂,碩士,19344,92507435
201401,68000000,文教康樂,大學,74108,341515864
201401,68000000,文教康樂,專科,33668,164346608
201401,68000000,文教康樂,高中高職,43519,218959139
201401,68000000,文教康樂,其他,39275,191515316
201402,68000000,文教康樂,博士,1437,10218021
201402,68000000,文教康樂,碩士,18025,92988063
201402,68000000,文教康樂,大學,70948,352520211
201402,68000000,文教康樂,專科,31827,172193571
201402,68000000,文教康樂,高中高職,41158,210787744
201402,68000000,文教康樂,其他,36925,187006283
201403,68000000,文教康樂,博士,1619,9563550
201403,68000000,文教康樂,碩士,19520,90580180
201403,68000000,文教康樂,大學,77115,329857684
201403,68000000,文教康樂,專科,33308,150208764
201403,68000000,文教康樂,高中高職,43746,207578492
201403,68000000,文教康樂,其他,39801,201221840
201404,68000000,文教康樂,博士,1484,9617278
201404,68000000,文教康樂,碩士,19122,87683147
201404,68000000,文教康樂,大學,76123,335980089
201404,68000000,文教康樂,專科,33113,165512914
201404,68000000,文教康樂,高中高職,42759,227472234
201404,68000000,文教康樂,其他,39156,202434242
201405,68000000,文教康樂,博士,1576,10410705
201405,68000000,文教康樂,碩士,19680,104664004
201405,68000000,文教康樂,大學,77304,371812192
201405,68000000,文教康樂,專科,32857,171369552
201405,68000000,文教康樂,高中高職,43661,251154036
201405,68000000,文教康樂,其他,39431,227519825
201406,68000000,文教康樂,博士,1731,11466180
201406,68000000,文教康樂,碩士,20543,108704211
201406,68000000,文教康樂,大學,81203,381581360
201406,68000000,文教康樂,專科,35207,186496584
201406,68000000,文教康樂,高中高職,45445,238915192
201406,68000000,文教康樂,其他,41493,228903922
201407,68000000,文教康樂,博士,1798,12512046
201407,68000000,文教康樂,碩士,21718,111052530
201407,68000000,文教康樂,大學,85135,386286306
201407,68000000,文教康樂,專科,37712,183395937
201407,68000000,文教康樂,高中高職,48621,233207780
201407,68000000,文教康樂,其他,43052,224418945
201408,68000000,文教康樂,博士,1910,13719964
201408,68000000,文教康樂,碩士,23172,113033379
201408,68000000,文教康樂,大學,93432,408150543
201408,68000000,文教康樂,專科,39874,200655457
201408,68000000,文教康樂,高中高職,52111,251154679
201408,68000000,文教康樂,其他,46676,228392798
201409,68000000,文教康樂,博士,1673,10601999
201409,68000000,文教康樂,碩士,20069,101994419
201409,68000000,文教康樂,大學,82207,400045992
201409,68000000,文教康樂,專科,34881,192229498
201409,68000000,文教康樂,高中高職,45921,258057292
201409,68000000,文教康樂,其他,41150,226230628
201410,68000000,文教康樂,博士,1639,9950389
201410,68000000,文教康樂,碩士,20829,98474398
201410,68000000,文教康樂,大學,84048,369188843
201410,68000000,文教康樂,專科,35529,170227477
201410,68000000,文教康樂,高中高職,46490,237407148
201410,68000000,文教康樂,其他,42734,217491756
201411,68000000,文教康樂,博士,1747,9929958
201411,68000000,文教康樂,碩士,20864,93990183
201411,68000000,文教康樂,大學,81430,339226942
201411,68000000,文教康樂,專科,33330,148139529
201411,68000000,文教康樂,高中高職,43800,210116485
201411,68000000,文教康樂,其他,41058,203749638
201412,68000000,文教康樂,博士,1607,8662592
201412,68000000,文教康樂,碩士,21256,97344708
201412,68000000,文教康樂,大學,83748,359589281
201412,68000000,文教康樂,專科,35157,162411831
201412,68000000,文教康樂,高中高職,45647,216262997
201412,68000000,文教康樂,其他,42873,212323164
201501,68000000,文教康樂,博士,1813,10165531
201501,68000000,文教康樂,碩士,22082,110474289
201501,68000000,文教康樂,大學,87786,385582012
201501,68000000,文教康樂,專科,36545,171855745
201501,68000000,文教康樂,高中高職,47313,225180932
201501,68000000,文教康樂,其他,43549,209400184
201502,68000000,文教康樂,博士,1707,11996667
201502,68000000,文教康樂,碩士,21843,111908313
201502,68000000,文教康樂,大學,86100,408671536
201502,68000000,文教康樂,專科,37499,205704129
201502,68000000,文教康樂,高中高職,47753,245067099
201502,68000000,文教康樂,其他,44070,221216939
201503,68000000,文教康樂,博士,1668,11599206
201503,68000000,文教康樂,碩士,20317,101854160
201503,68000000,文教康樂,大學,82649,384986722
201503,68000000,文教康樂,專科,34468,172285371
201503,68000000,文教康樂,高中高職,45814,245560817
201503,68000000,文教康樂,其他,42832,229578334
201504,68000000,文教康樂,博士,1804,12741881
201504,68000000,文教康樂,碩士,21527,103699270
201504,68000000,文教康樂,大學,89400,399132235
201504,68000000,文教康樂,專科,37169,179460083
