年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10002000,百貨,博士,460,873159
201401,10002000,百貨,碩士,6332,10670840
201401,10002000,百貨,大學,26758,43635577
201401,10002000,百貨,專科,16610,24999821
201401,10002000,百貨,高中高職,25003,38617146
201401,10002000,百貨,其他,20429,31375307
201402,10002000,百貨,博士,422,651799
201402,10002000,百貨,碩士,5165,8425761
201402,10002000,百貨,大學,21399,35633868
201402,10002000,百貨,專科,12326,18624386
201402,10002000,百貨,高中高職,17702,26314398
201402,10002000,百貨,其他,15447,23343524
201403,10002000,百貨,博士,345,651409
201403,10002000,百貨,碩士,4704,7302308
201403,10002000,百貨,大學,20912,32261077
201403,10002000,百貨,專科,12541,19034106
201403,10002000,百貨,高中高職,18978,27484619
201403,10002000,百貨,其他,15472,23337613
201404,10002000,百貨,博士,403,489387
201404,10002000,百貨,碩士,5020,7424337
201404,10002000,百貨,大學,21183,31297114
201404,10002000,百貨,專科,12409,17810404
201404,10002000,百貨,高中高職,18310,25903394
201404,10002000,百貨,其他,15123,21648940
201405,10002000,百貨,博士,440,621556
201405,10002000,百貨,碩士,5720,8911400
201405,10002000,百貨,大學,24123,38320190
201405,10002000,百貨,專科,14023,21094028
201405,10002000,百貨,高中高職,20744,30653834
201405,10002000,百貨,其他,17815,28786353
201406,10002000,百貨,博士,434,772615
201406,10002000,百貨,碩士,6067,8513331
201406,10002000,百貨,大學,24804,35003095
201406,10002000,百貨,專科,14556,18848120
201406,10002000,百貨,高中高職,21214,27454976
201406,10002000,百貨,其他,17893,24151787
201407,10002000,百貨,博士,555,879536
201407,10002000,百貨,碩士,6726,8687995
201407,10002000,百貨,大學,27395,36085886
201407,10002000,百貨,專科,16132,20079525
201407,10002000,百貨,高中高職,24500,30836697
201407,10002000,百貨,其他,19732,26517348
201408,10002000,百貨,博士,605,1069862
201408,10002000,百貨,碩士,7203,10117439
201408,10002000,百貨,大學,28537,41162162
201408,10002000,百貨,專科,16965,23268802
201408,10002000,百貨,高中高職,24806,35117643
201408,10002000,百貨,其他,20725,29570634
201409,10002000,百貨,博士,428,686913
201409,10002000,百貨,碩士,5750,8696068
201409,10002000,百貨,大學,23629,38444224
201409,10002000,百貨,專科,14072,24279265
201409,10002000,百貨,高中高職,20469,34492246
