年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10002000,食,博士,729,1267094
201401,10002000,食,碩士,8221,12182747
201401,10002000,食,大學,29614,43608011
201401,10002000,食,專科,18471,28518667
201401,10002000,食,高中高職,25055,37005609
201401,10002000,食,其他,20285,29332772
201402,10002000,食,博士,547,724848
201402,10002000,食,碩士,6636,9161112
201402,10002000,食,大學,24332,32991491
201402,10002000,食,專科,14725,18934669
201402,10002000,食,高中高職,19389,26269621
201402,10002000,食,其他,15969,20844010
201403,10002000,食,博士,484,820374
201403,10002000,食,碩士,6427,7602115
201403,10002000,食,大學,24649,29638244
201403,10002000,食,專科,15094,17286221
201403,10002000,食,高中高職,20462,23225697
201403,10002000,食,其他,16882,19412709
201404,10002000,食,博士,550,659318
201404,10002000,食,碩士,6376,7579558
201404,10002000,食,大學,24338,28309132
201404,10002000,食,專科,14688,16561753
201404,10002000,食,高中高職,19925,22343019
201404,10002000,食,其他,16121,18374659
201405,10002000,食,博士,602,946448
201405,10002000,食,碩士,7306,9592382
201405,10002000,食,大學,27515,33721014
201405,10002000,食,專科,16442,19999382
201405,10002000,食,高中高職,21893,25915605
201405,10002000,食,其他,18205,21550837
201406,10002000,食,博士,608,879998
201406,10002000,食,碩士,7252,9079541
201406,10002000,食,大學,27386,32788203
201406,10002000,食,專科,16668,19654629
201406,10002000,食,高中高職,22360,26346181
201406,10002000,食,其他,18541,21939968
201407,10002000,食,博士,803,1091063
201407,10002000,食,碩士,9223,11086154
201407,10002000,食,大學,32748,40445741
201407,10002000,食,專科,20339,25240151
201407,10002000,食,高中高職,26573,32518284
201407,10002000,食,其他,21979,26414709
201408,10002000,食,博士,880,1158821
201408,10002000,食,碩士,9809,13393263
201408,10002000,食,大學,35659,47933647
201408,10002000,食,專科,21715,30029820
201408,10002000,食,高中高職,28422,39460986
201408,10002000,食,其他,23918,31718974
201409,10002000,食,博士,614,802366
201409,10002000,食,碩士,6861,8335463
201409,10002000,食,大學,26052,31435349
201409,10002000,食,專科,15875,19102171
201409,10002000,食,高中高職,21277,25685345
