年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10002000,住,博士,531,3657158
201401,10002000,住,碩士,6188,35571453
201401,10002000,住,大學,18737,117262695
201401,10002000,住,專科,8895,57603364
201401,10002000,住,高中高職,9720,57852235
201401,10002000,住,其他,9808,70980658
201402,10002000,住,博士,377,2203323
201402,10002000,住,碩士,5098,28097373
201402,10002000,住,大學,16419,94738577
201402,10002000,住,專科,7918,43714424
201402,10002000,住,高中高職,8820,49153256
201402,10002000,住,其他,8503,53944755
201403,10002000,住,博士,373,2226428
201403,10002000,住,碩士,4571,24163694
201403,10002000,住,大學,14678,85123351
201403,10002000,住,專科,7039,39818789
201403,10002000,住,高中高職,7866,45257748
201403,10002000,住,其他,7596,50872373
201404,10002000,住,博士,411,1893820
201404,10002000,住,碩士,4824,27854266
201404,10002000,住,大學,14719,87073670
201404,10002000,住,專科,7119,47668123
201404,10002000,住,高中高職,7742,49808340
201404,10002000,住,其他,7683,55270446
201405,10002000,住,博士,432,2511755
201405,10002000,住,碩士,5503,32474047
201405,10002000,住,大學,16608,98442293
201405,10002000,住,專科,8039,53220026
201405,10002000,住,高中高職,8841,58345441
201405,10002000,住,其他,8755,63468638
201406,10002000,住,博士,438,3013796
201406,10002000,住,碩士,5339,30393061
201406,10002000,住,大學,16598,101373186
201406,10002000,住,專科,8273,54817550
201406,10002000,住,高中高職,8962,59810436
201406,10002000,住,其他,8801,63858600
201407,10002000,住,博士,637,4233745
201407,10002000,住,碩士,7005,40086338
201407,10002000,住,大學,20762,135183389
201407,10002000,住,專科,9925,66189489
201407,10002000,住,高中高職,10868,72507678
201407,10002000,住,其他,10275,76001421
201408,10002000,住,博士,705,3227320
201408,10002000,住,碩士,7656,42992939
201408,10002000,住,大學,22703,133156125
201408,10002000,住,專科,11305,75688179
201408,10002000,住,高中高職,11429,78332984
201408,10002000,住,其他,11353,76524614
201409,10002000,住,博士,374,2287285
201409,10002000,住,碩士,4787,26005657
201409,10002000,住,大學,15628,94402400
201409,10002000,住,專科,7196,44607617
201409,10002000,住,高中高職,8210,51354996
201409,10002000,住,其他,8145,55972495
201410,10002000,住,博士,354,2333568
201410,10002000,住,碩士,5598,30207558
201410,10002000,住,大學,17979,103619315
201410,10002000,住,專科,8539,56313242
201410,10002000,住,高中高職,9190,60042760
201410,10002000,住,其他,9245,61211047
201411,10002000,住,博士,469,2869473
201411,10002000,住,碩士,6720,42529302
201411,10002000,住,大學,20013,137336038
201411,10002000,住,專科,9184,67547428
201411,10002000,住,高中高職,9861,66640343
201411,10002000,住,其他,9996,75489744
201412,10002000,住,博士,458,2674831
201412,10002000,住,碩士,6011,35740222
201412,10002000,住,大學,19115,115887143
201412,10002000,住,專科,8541,55963935
201412,10002000,住,高中高職,9584,55705570
201412,10002000,住,其他,9873,69411257
201501,10002000,住,博士,538,3263837
201501,10002000,住,碩士,6056,34837299
201501,10002000,住,大學,18625,113464553
201501,10002000,住,專科,9029,59920515
201501,10002000,住,高中高職,9664,61285137
201501,10002000,住,其他,9683,65358477
201502,10002000,住,博士,557,3892951
201502,10002000,住,碩士,7000,39501795
201502,10002000,住,大學,19560,124587441
201502,10002000,住,專科,9341,60320533
201502,10002000,住,高中高職,9963,63087251
201502,10002000,住,其他,10081,75331147
201503,10002000,住,博士,336,1975864
201503,10002000,住,碩士,4412,25022578
201503,10002000,住,大學,15060,88161648
201503,10002000,住,專科,7048,41488725
201503,10002000,住,高中高職,8027,49126356
201503,10002000,住,其他,7790,51176517
201504,10002000,住,博士,362,2302570
201504,10002000,住,碩士,5059,27605704
201504,10002000,住,大學,15226,97264292
