年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10002000,其他,博士,231,859292
201401,10002000,其他,碩士,3294,11020643
201401,10002000,其他,大學,13426,47052732
201401,10002000,其他,專科,7558,31124954
201401,10002000,其他,高中高職,9744,41891339
201401,10002000,其他,其他,8287,37303525
201402,10002000,其他,博士,234,838382
201402,10002000,其他,碩士,2955,7981279
201402,10002000,其他,大學,11784,37658276
201402,10002000,其他,專科,6750,25977959
201402,10002000,其他,高中高職,8887,33721821
201402,10002000,其他,其他,7314,25418026
201403,10002000,其他,博士,199,1022768
201403,10002000,其他,碩士,2803,8286351
201403,10002000,其他,大學,11993,38891720
201403,10002000,其他,專科,6617,26727173
201403,10002000,其他,高中高職,9287,36484567
201403,10002000,其他,其他,7381,28117615
201404,10002000,其他,博士,190,829958
201404,10002000,其他,碩士,2703,8357331
201404,10002000,其他,大學,11157,38011881
201404,10002000,其他,專科,6062,23865007
201404,10002000,其他,高中高職,8381,34695513
201404,10002000,其他,其他,6887,26541339
201405,10002000,其他,博士,233,907700
201405,10002000,其他,碩士,2882,9453920
201405,10002000,其他,大學,11812,39409595
201405,10002000,其他,專科,6590,25641127
201405,10002000,其他,高中高職,8939,34712009
201405,10002000,其他,其他,7625,28575537
201406,10002000,其他,博士,226,1806597
201406,10002000,其他,碩士,3071,9594407
201406,10002000,其他,大學,12208,38533077
201406,10002000,其他,專科,6544,25668153
201406,10002000,其他,高中高職,8719,36031305
201406,10002000,其他,其他,7379,26772195
201407,10002000,其他,博士,279,1232539
201407,10002000,其他,碩士,3564,10112816
201407,10002000,其他,大學,13543,42708574
201407,10002000,其他,專科,7397,28189614
201407,10002000,其他,高中高職,9744,39137390
201407,10002000,其他,其他,8300,28023371
201408,10002000,其他,博士,321,1168064
201408,10002000,其他,碩士,3693,9642276
201408,10002000,其他,大學,14580,40767806
201408,10002000,其他,專科,7838,27580174
201408,10002000,其他,高中高職,9711,34694012
201408,10002000,其他,其他,8413,29480532
201409,10002000,其他,博士,227,872061
201409,10002000,其他,碩士,2995,8508074
201409,10002000,其他,大學,12554,41101400
201409,10002000,其他,專科,6632,23922773
201409,10002000,其他,高中高職,9063,34845328
