年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10009000,文教康樂,博士,328,1502801
201401,10009000,文教康樂,碩士,2804,9169858
201401,10009000,文教康樂,大學,10184,33172830
201401,10009000,文教康樂,專科,4880,19398968
201401,10009000,文教康樂,高中高職,6284,23753945
201401,10009000,文教康樂,其他,4255,13976554
201402,10009000,文教康樂,博士,269,713460
201402,10009000,文教康樂,碩士,2884,5856682
201402,10009000,文教康樂,大學,11251,29320121
201402,10009000,文教康樂,專科,5644,18367966
201402,10009000,文教康樂,高中高職,7216,22486338
201402,10009000,文教康樂,其他,5043,14081730
201403,10009000,文教康樂,博士,174,691940
201403,10009000,文教康樂,碩士,2025,5656373
201403,10009000,文教康樂,大學,9172,29842718
201403,10009000,文教康樂,專科,4617,15794858
201403,10009000,文教康樂,高中高職,6445,22751376
201403,10009000,文教康樂,其他,4439,15216473
201404,10009000,文教康樂,博士,192,772735
201404,10009000,文教康樂,碩士,1917,6092632
201404,10009000,文教康樂,大學,8665,30843896
201404,10009000,文教康樂,專科,4546,17073242
201404,10009000,文教康樂,高中高職,6151,25275365
201404,10009000,文教康樂,其他,4425,16507915
201405,10009000,文教康樂,博士,221,753941
201405,10009000,文教康樂,碩士,1966,6029002
201405,10009000,文教康樂,大學,8884,30566523
201405,10009000,文教康樂,專科,4509,17210365
201405,10009000,文教康樂,高中高職,5946,22694624
201405,10009000,文教康樂,其他,4458,16030068
201406,10009000,文教康樂,博士,215,1767744
201406,10009000,文教康樂,碩士,2136,10874895
201406,10009000,文教康樂,大學,8808,35742868
201406,10009000,文教康樂,專科,4482,18127637
201406,10009000,文教康樂,高中高職,6207,27666074
201406,10009000,文教康樂,其他,4388,18008376
201407,10009000,文教康樂,博士,285,1058974
201407,10009000,文教康樂,碩士,2620,9030132
201407,10009000,文教康樂,大學,10101,34751245
201407,10009000,文教康樂,專科,5223,20189070
201407,10009000,文教康樂,高中高職,6921,25944043
201407,10009000,文教康樂,其他,4976,18453387
201408,10009000,文教康樂,博士,293,1394154
201408,10009000,文教康樂,碩士,2654,7573479
201408,10009000,文教康樂,大學,10651,35136485
201408,10009000,文教康樂,專科,5616,19081253
201408,10009000,文教康樂,高中高職,6875,25916526
201408,10009000,文教康樂,其他,5018,16474393
201409,10009000,文教康樂,博士,206,700096
201409,10009000,文教康樂,碩士,1835,4688839
201409,10009000,文教康樂,大學,8536,27291112
201409,10009000,文教康樂,專科,4169,14680693
201409,10009000,文教康樂,高中高職,5584,21298074
201409,10009000,文教康樂,其他,3942,15221627
201410,10009000,文教康樂,博士,192,1068252
201410,10009000,文教康樂,碩士,2153,6728625
201410,10009000,文教康樂,大學,9136,29843023
201410,10009000,文教康樂,專科,4659,17648360
201410,10009000,文教康樂,高中高職,6122,25499905
201410,10009000,文教康樂,其他,4449,16606729
201411,10009000,文教康樂,博士,176,708930
201411,10009000,文教康樂,碩士,2003,5803468
201411,10009000,文教康樂,大學,9015,30282531
201411,10009000,文教康樂,專科,4285,15750565
201411,10009000,文教康樂,高中高職,6059,23752801
201411,10009000,文教康樂,其他,4421,15414850
201412,10009000,文教康樂,博士,214,770291
201412,10009000,文教康樂,碩士,2199,7526005
201412,10009000,文教康樂,大學,9025,31900952
201412,10009000,文教康樂,專科,4473,19855563
201412,10009000,文教康樂,高中高職,6033,27678296
201412,10009000,文教康樂,其他,4420,18392797
201501,10009000,文教康樂,博士,271,1550328
201501,10009000,文教康樂,碩士,2451,8988872
201501,10009000,文教康樂,大學,10081,36412413
201501,10009000,文教康樂,專科,5057,19461741
201501,10009000,文教康樂,高中高職,6311,26286498
201501,10009000,文教康樂,其他,4668,17352652
201502,10009000,文教康樂,博士,287,1119245
201502,10009000,文教康樂,碩士,2853,8787404
201502,10009000,文教康樂,大學,11125,38102043
201502,10009000,文教康樂,專科,5487,22040554
201502,10009000,文教康樂,高中高職,6745,27056472
201502,10009000,文教康樂,其他,5102,19199311
201503,10009000,文教康樂,博士,186,988833
201503,10009000,文教康樂,碩士,1737,5430017
201503,10009000,文教康樂,大學,8328,32115963
201503,10009000,文教康樂,專科,4231,18051931
201503,10009000,文教康樂,高中高職,5891,27511394
201503,10009000,文教康樂,其他,4199,16487037
201504,10009000,文教康樂,博士,197,1163339
201504,10009000,文教康樂,碩士,2126,7248950
201504,10009000,文教康樂,大學,9446,32736040
201504,10009000,文教康樂,專科,4878,19615758
201504,10009000,文教康樂,高中高職,6290,25658472
201504,10009000,文教康樂,其他,4752,18847304
201505,10009000,文教康樂,博士,196,830679
201505,10009000,文教康樂,碩士,2066,6414019
201505,10009000,文教康樂,大學,8793,32490266
201505,10009000,文教康樂,專科,4366,19211840
201505,10009000,文教康樂,高中高職,6095,28055021
201505,10009000,文教康樂,其他,4704,21100696
201506,10009000,文教康樂,博士,219,1257534
201506,10009000,文教康樂,碩士,2083,9576824
201506,10009000,文教康樂,大學,8468,31616591
201506,10009000,文教康樂,專科,4214,17078733
201506,10009000,文教康樂,高中高職,5657,23252704
201506,10009000,文教康樂,其他,4160,18126715
201507,10009000,文教康樂,博士,296,2216061
201507,10009000,文教康樂,碩士,2543,10665249
201507,10009000,文教康樂,大學,9923,38866466
201507,10009000,文教康樂,專科,4844,23348101
201507,10009000,文教康樂,高中高職,6270,27938988
201507,10009000,文教康樂,其他,4660,21293659
201508,10009000,文教康樂,博士,246,2247710
201508,10009000,文教康樂,碩士,2460,8316190
201508,10009000,文教康樂,大學,9906,33831794
201508,10009000,文教康樂,專科,5177,19517104
201508,10009000,文教康樂,高中高職,6566,27788514
201508,10009000,文教康樂,其他,4635,17965490
201509,10009000,文教康樂,博士,171,608126
201509,10009000,文教康樂,碩士,2071,6106861
201509,10009000,文教康樂,大學,8516,28894155
201509,10009000,文教康樂,專科,4274,16630853
201509,10009000,文教康樂,高中高職,5528,24590479
201509,10009000,文教康樂,其他,4055,17242657
201510,10009000,文教康樂,博士,223,1083798
201510,10009000,文教康樂,碩士,2133,7088420
201510,10009000,文教康樂,大學,9274,33833355
201510,10009000,文教康樂,專科,4599,19491333
201510,10009000,文教康樂,高中高職,6112,27200118
201510,10009000,文教康樂,其他,4562,19280468
201511,10009000,文教康樂,博士,224,822697
201511,10009000,文教康樂,碩士,2065,6701889
201511,10009000,文教康樂,大學,8829,33754221
201511,10009000,文教康樂,專科,4480,19829716
201511,10009000,文教康樂,高中高職,6011,26428402
201511,10009000,文教康樂,其他,4491,19011233
201512,10009000,文教康樂,博士,211,1322705
201512,10009000,文教康樂,碩士,2131,8022328
201512,10009000,文教康樂,大學,8969,32527590
201512,10009000,文教康樂,專科,4213,18561689
201512,10009000,文教康樂,高中高職,5486,23769705
201512,10009000,文教康樂,其他,4228,17326567
201601,10009000,文教康樂,博士,235,1207079
201601,10009000,文教康樂,碩士,2274,10217151
201601,10009000,文教康樂,大學,8142,36223443
