年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10009000,住,博士,189,1245721
201401,10009000,住,碩士,1617,7447489
201401,10009000,住,大學,6366,33994264
201401,10009000,住,專科,3545,19807582
201401,10009000,住,高中高職,4620,24797089
201401,10009000,住,其他,3126,16654311
201402,10009000,住,博士,132,595445
201402,10009000,住,碩士,1344,5588494
201402,10009000,住,大學,5208,23340402
201402,10009000,住,專科,2794,12982060
201402,10009000,住,高中高職,3786,18098429
201402,10009000,住,其他,2815,14024313
201403,10009000,住,博士,129,457152
201403,10009000,住,碩士,1195,5697286
201403,10009000,住,大學,4867,21797193
201403,10009000,住,專科,2504,11615371
201403,10009000,住,高中高職,3659,18549620
201403,10009000,住,其他,2692,14254215
201404,10009000,住,博士,120,974779
201404,10009000,住,碩士,1266,6410591
201404,10009000,住,大學,5279,28670152
201404,10009000,住,專科,2787,16653699
201404,10009000,住,高中高職,3657,19778775
201404,10009000,住,其他,2521,14133408
201405,10009000,住,博士,140,440977
201405,10009000,住,碩士,1353,5184670
201405,10009000,住,大學,5521,27928016
201405,10009000,住,專科,2911,13841786
201405,10009000,住,高中高職,3770,20319663
201405,10009000,住,其他,2665,14604519
201406,10009000,住,博士,143,724536
201406,10009000,住,碩士,1377,5505841
201406,10009000,住,大學,5365,25989271
201406,10009000,住,專科,2838,15335090
201406,10009000,住,高中高職,3844,22730975
201406,10009000,住,其他,2765,15374822
201407,10009000,住,博士,170,914509
201407,10009000,住,碩士,1762,7581542
201407,10009000,住,大學,6503,34310272
201407,10009000,住,專科,3443,17800429
201407,10009000,住,高中高職,4522,26911553
201407,10009000,住,其他,3411,18277523
201408,10009000,住,博士,168,885297
201408,10009000,住,碩士,1689,6980461
201408,10009000,住,大學,6289,30042108
201408,10009000,住,專科,3515,17312688
201408,10009000,住,高中高職,4369,23916175
201408,10009000,住,其他,3249,14689598
201409,10009000,住,博士,139,788465
201409,10009000,住,碩士,1353,6361538
201409,10009000,住,大學,5288,25050466
201409,10009000,住,專科,2806,13367955
201409,10009000,住,高中高職,3868,19909624
201409,10009000,住,其他,2870,13888864
201410,10009000,住,博士,101,446865
201410,10009000,住,碩士,1320,5835243
201410,10009000,住,大學,5523,22740972
201410,10009000,住,專科,2823,12620559
201410,10009000,住,高中高職,3722,17356715
201410,10009000,住,其他,2836,11869182
201411,10009000,住,博士,132,694032
201411,10009000,住,碩士,1541,7003901
201411,10009000,住,大學,6113,28979260
201411,10009000,住,專科,3021,14052578
201411,10009000,住,高中高職,3859,17798502
201411,10009000,住,其他,3073,15451945
201412,10009000,住,博士,109,487085
201412,10009000,住,碩士,1413,7051423
201412,10009000,住,大學,5827,25068121
201412,10009000,住,專科,2858,13359736
201412,10009000,住,高中高職,4025,18465907
201412,10009000,住,其他,2842,14156418
201501,10009000,住,博士,165,594401
201501,10009000,住,碩士,1593,6485376
201501,10009000,住,大學,6379,31122406
201501,10009000,住,專科,3176,14999101
201501,10009000,住,高中高職,4231,22472908
201501,10009000,住,其他,3111,15906943
201502,10009000,住,博士,180,732841
201502,10009000,住,碩士,1841,8222657
201502,10009000,住,大學,6642,33433240
201502,10009000,住,專科,3303,16847806
201502,10009000,住,高中高職,4143,20794347
201502,10009000,住,其他,3266,18007122
201503,10009000,住,博士,107,394101
201503,10009000,住,碩士,1142,4368065
201503,10009000,住,大學,4843,20556705
201503,10009000,住,專科,2602,11569776
201503,10009000,住,高中高職,3537,17044926
201503,10009000,住,其他,2533,12121935
201504,10009000,住,博士,107,649700
201504,10009000,住,碩士,1444,7059267
201504,10009000,住,大學,5717,29460303
201504,10009000,住,專科,2980,16678702
201504,10009000,住,高中高職,3913,22231811
201504,10009000,住,其他,2721,16030899
201505,10009000,住,博士,147,483375
201505,10009000,住,碩士,1445,8021922
201505,10009000,住,大學,5431,26520912
201505,10009000,住,專科,2808,16474089
201505,10009000,住,高中高職,3759,20183525
201505,10009000,住,其他,2820,15884977
201506,10009000,住,博士,126,443832
201506,10009000,住,碩士,1393,7161842
201506,10009000,住,大學,5541,28204289
201506,10009000,住,專科,2834,15100881
201506,10009000,住,高中高職,3918,25168451
201506,10009000,住,其他,2863,16333487
201507,10009000,住,博士,171,587821
201507,10009000,住,碩士,1688,7589917
201507,10009000,住,大學,6258,31252235
201507,10009000,住,專科,3198,16071144
201507,10009000,住,高中高職,4175,22756323
201507,10009000,住,其他,3136,17126903
201508,10009000,住,博士,141,555177
201508,10009000,住,碩士,1586,6249692
201508,10009000,住,大學,6303,26504651
201508,10009000,住,專科,3152,14512219
201508,10009000,住,高中高職,4084,21232168
201508,10009000,住,其他,2991,15234653
201509,10009000,住,博士,129,509296
201509,10009000,住,碩士,1370,6192127
201509,10009000,住,大學,5375,24283715
201509,10009000,住,專科,2698,12326362
201509,10009000,住,高中高職,3640,20214329
201509,10009000,住,其他,2686,12288973
201510,10009000,住,博士,128,358701
201510,10009000,住,碩士,1408,6265595
201510,10009000,住,大學,5621,26306310
201510,10009000,住,專科,2838,13371423
201510,10009000,住,高中高職,3647,16913934
201510,10009000,住,其他,2711,12418323
201511,10009000,住,博士,162,946553
201511,10009000,住,碩士,1533,8139441
201511,10009000,住,大學,5746,30541409
201511,10009000,住,專科,2895,15172346
201511,10009000,住,高中高職,3819,21752066
201511,10009000,住,其他,2782,15687877
201512,10009000,住,博士,140,551827
201512,10009000,住,碩士,1621,7253303
201512,10009000,住,大學,6078,28249725
201512,10009000,住,專科,2934,13502514
201512,10009000,住,高中高職,3989,20162091
201512,10009000,住,其他,2876,15004247
201601,10009000,住,博士,188,616530
201601,10009000,住,碩士,1931,9533300
201601,10009000,住,大學,7890,37104077
201601,10009000,住,專科,3904,18285216
201601,10009000,住,高中高職,5363,28988763
201601,10009000,住,其他,3816,18690770
201602,10009000,住,博士,201,910939
201602,10009000,住,碩士,2293,11858049
201602,10009000,住,大學,8343,40026796
201602,10009000,住,專科,4159,21458384
201602,10009000,住,高中高職,5406,30607670
201602,10009000,住,其他,3987,21434802
201603,10009000,住,博士,117,348180
201603,10009000,住,碩士,1492,5731261
201603,10009000,住,大學,6013,24058178
201603,10009000,住,專科,2926,13782609
201603,10009000,住,高中高職,4022,17566089
201603,10009000,住,其他,2937,11627569
201604,10009000,住,博士,160,649310
201604,10009000,住,碩士,1740,6886650
201604,10009000,住,大學,6763,30857049
201604,10009000,住,專科,3282,15429655
201604,10009000,住,高中高職,4499,26756340
201604,10009000,住,其他,3245,17463651
201605,10009000,住,博士,121,340459
201605,10009000,住,碩士,1546,6252584
201605,10009000,住,大學,6138,28756931
201605,10009000,住,專科,2924,14924769
201605,10009000,住,高中高職,4047,23734212
201605,10009000,住,其他,3280,19897180
201606,10009000,住,博士,153,452062
201606,10009000,住,碩士,1654,7670308
201606,10009000,住,大學,6541,32306240
201606,10009000,住,專科,3359,15946328
