年月,地區,產業別,教育程度類別,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10009000,行,博士,1508,1731133
201401,10009000,行,碩士,14278,14981377
201401,10009000,行,大學,65993,69673916
201401,10009000,行,專科,49111,55017843
201401,10009000,行,高中高職,76134,95311388
201401,10009000,行,其他,46107,61117454
201402,10009000,行,博士,1417,1605787
201402,10009000,行,碩士,14614,15591501
201402,10009000,行,大學,65913,69025645
201402,10009000,行,專科,47816,53267931
201402,10009000,行,高中高職,74355,92177344
201402,10009000,行,其他,46775,59598989
201403,10009000,行,博士,1411,1564989
201403,10009000,行,碩士,14118,14680889
201403,10009000,行,大學,66597,67960209
201403,10009000,行,專科,49710,54913462
201403,10009000,行,高中高職,76910,95109132
201403,10009000,行,其他,47263,60617128
201404,10009000,行,博士,1313,1516487
201404,10009000,行,碩士,13831,14174929
201404,10009000,行,大學,65089,66869974
201404,10009000,行,專科,48877,53991416
201404,10009000,行,高中高職,76049,94433141
201404,10009000,行,其他,46627,60081636
201405,10009000,行,博士,1488,1743328
201405,10009000,行,碩士,14739,15703028
201405,10009000,行,大學,67569,70313782
201405,10009000,行,專科,50561,55900365
201405,10009000,行,高中高職,77358,94460643
201405,10009000,行,其他,46789,60323833
201406,10009000,行,博士,1412,1592620
201406,10009000,行,碩士,14566,15738622
201406,10009000,行,大學,67780,71625730
201406,10009000,行,專科,50823,57086899
201406,10009000,行,高中高職,78490,101288035
201406,10009000,行,其他,47678,64583329
201407,10009000,行,博士,1497,1765974
201407,10009000,行,碩士,15608,16779434
201407,10009000,行,大學,70980,73762462
201407,10009000,行,專科,52833,58614031
201407,10009000,行,高中高職,80152,100969636
201407,10009000,行,其他,49111,65127764
201408,10009000,行,博士,1542,1727477
201408,10009000,行,碩士,16155,16630364
201408,10009000,行,大學,72738,73689770
201408,10009000,行,專科,53121,57194840
201408,10009000,行,高中高職,80231,96582380
201408,10009000,行,其他,49498,62409727
201409,10009000,行,博士,1397,1497022
201409,10009000,行,碩士,14805,15247020
201409,10009000,行,大學,67881,67393729
201409,10009000,行,專科,50104,53005601
201409,10009000,行,高中高職,76753,91320445
201409,10009000,行,其他,46830,57764818
201410,10009000,行,博士,1553,1640071
201410,10009000,行,碩士,15124,14600668
201410,10009000,行,大學,70279,66056658
201410,10009000,行,專科,51503,51749263
201410,10009000,行,高中高職,77686,88316047
201410,10009000,行,其他,47830,57282906
201411,10009000,行,博士,1494,1465398
201411,10009000,行,碩士,14374,13167440
201411,10009000,行,大學,67234,60403323
201411,10009000,行,專科,49217,47374168
201411,10009000,行,高中高職,74455,81739680
201411,10009000,行,其他,45647,53486324
201412,10009000,行,博士,1443,1292671
201412,10009000,行,碩士,14829,12831871
201412,10009000,行,大學,69610,58982161
201412,10009000,行,專科,50887,45241793
201412,10009000,行,高中高職,76690,76804802
201412,10009000,行,其他,47190,49983599
201501,10009000,行,博士,1416,1117902
201501,10009000,行,碩士,15217,11740694
201501,10009000,行,大學,69183,52983599
201501,10009000,行,專科,49775,40045841
201501,10009000,行,高中高職,74336,68881059
201501,10009000,行,其他,46079,44501175
201502,10009000,行,博士,1591,1326398
201502,10009000,行,碩士,16825,13303925
201502,10009000,行,大學,70065,55601847
201502,10009000,行,專科,48701,40093196
201502,10009000,行,高中高職,74015,68410404
201502,10009000,行,其他,46801,45562217
201503,10009000,行,博士,1377,1147855
201503,10009000,行,碩士,14420,11388383
201503,10009000,行,大學,67627,53966144
201503,10009000,行,專科,48428,40141196
201503,10009000,行,高中高職,73936,70394193
201503,10009000,行,其他,45590,45487600
201504,10009000,行,博士,1482,1271785
201504,10009000,行,碩士,15362,12279913
201504,10009000,行,大學,69778,56218979
201504,10009000,行,專科,49305,41650964
201504,10009000,行,高中高職,74294,71033851
201504,10009000,行,其他,46542,46403395
201505,10009000,行,博士,1447,1325010
201505,10009000,行,碩士,15823,13221056
201505,10009000,行,大學,71178,59529350
201505,10009000,行,專科,48766,43156465
201505,10009000,行,高中高職,75135,74074414
201505,10009000,行,其他,46312,47960904
201506,10009000,行,博士,1472,1411921
201506,10009000,行,碩士,15329,13090424
201506,10009000,行,大學,70876,60409139
201506,10009000,行,專科,47946,43183589
201506,10009000,行,高中高職,74936,77622360
201506,10009000,行,其他,47513,51974307
201507,10009000,行,博士,1420,1286160
201507,10009000,行,碩士,16415,14196473
201507,10009000,行,大學,73884,62533585
201507,10009000,行,專科,51650,45788239
201507,10009000,行,高中高職,77625,77983645
201507,10009000,行,其他,47615,50019726
201508,10009000,行,博士,1353,1147055
201508,10009000,行,碩士,16045,13223053
201508,10009000,行,大學,71051,55657573
201508,10009000,行,專科,49898,40252379
201508,10009000,行,高中高職,74240,68193198
201508,10009000,行,其他,45744,43674429
201509,10009000,行,博士,1493,1351654
201509,10009000,行,碩士,15358,11660280
201509,10009000,行,大學,70644,54554153
201509,10009000,行,專科,49121,39184060
201509,10009000,行,高中高職,74103,67290424
201509,10009000,行,其他,45715,43282045
201510,10009000,行,博士,1463,1235804
201510,10009000,行,碩士,15700,12062487
201510,10009000,行,大學,72431,56065452
201510,10009000,行,專科,50011,40270951
201510,10009000,行,高中高職,75240,68136742
201510,10009000,行,其他,46993,44415865
201511,10009000,行,博士,1463,1200882
201511,10009000,行,碩士,15533,11922353
201511,10009000,行,大學,71595,52858289
201511,10009000,行,專科,49523,38616877
201511,10009000,行,高中高職,73049,65923839
201511,10009000,行,其他,45780,43148078
201512,10009000,行,博士,1924,1644701
201512,10009000,行,碩士,17453,13795425
201512,10009000,行,大學,75607,55611747
201512,10009000,行,專科,50210,38419713
201512,10009000,行,高中高職,74198,62644692
201512,10009000,行,其他,46621,41654708
201601,10009000,行,博士,1478,1191799
201601,10009000,行,碩士,13426,11669507
201601,10009000,行,大學,54887,38846058
201601,10009000,行,專科,39008,27900983
201601,10009000,行,高中高職,52234,40812990
201601,10009000,行,其他,31160,25648398
201602,10009000,行,博士,1433,1087127
201602,10009000,行,碩士,13608,11290458
201602,10009000,行,大學,52968,37842910
201602,10009000,行,專科,36063,25388881
201602,10009000,行,高中高職,49135,38124445
201602,10009000,行,其他,30903,25499101
201603,10009000,行,博士,1468,1175910
201603,10009000,行,碩士,12845,12524893
201603,10009000,行,大學,52156,39835921
201603,10009000,行,專科,36652,27846504
201603,10009000,行,高中高職,49324,41445465
201603,10009000,行,其他,30227,27585108
201604,10009000,行,博士,1557,1331053
201604,10009000,行,碩士,13879,11837720
201604,10009000,行,大學,55018,41919711
201604,10009000,行,專科,37730,28628517
201604,10009000,行,高中高職,50407,42603851
201604,10009000,行,其他,31425,27078028
201605,10009000,行,博士,1485,1291551
201605,10009000,行,碩士,13676,15441895
201605,10009000,行,大學,55570,43942958
201605,10009000,行,專科,37634,29725093
