年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10007000,百貨,未達50萬,210558,359224043
201401,10007000,百貨,50(含)-75萬,82837,155895135
201401,10007000,百貨,75(含)-100萬,26481,55036223
201401,10007000,百貨,100(含)-125萬,16196,37513188
201401,10007000,百貨,125(含)-150萬,4984,11215750
201401,10007000,百貨,150(含)-175萬,4864,11085580
201401,10007000,百貨,175(含)-200萬,2281,5520669
201401,10007000,百貨,200(含)萬以上,9973,29785110
201402,10007000,百貨,未達50萬,167685,275935977
201402,10007000,百貨,50(含)-75萬,66283,115173418
201402,10007000,百貨,75(含)-100萬,21064,39834629
201402,10007000,百貨,100(含)-125萬,12962,29070167
201402,10007000,百貨,125(含)-150萬,4173,8578923
201402,10007000,百貨,150(含)-175萬,3746,8593401
201402,10007000,百貨,175(含)-200萬,1827,4105942
201402,10007000,百貨,200(含)萬以上,8122,21903359
201403,10007000,百貨,未達50萬,187386,312427505
201403,10007000,百貨,50(含)-75萬,71215,128286609
201403,10007000,百貨,75(含)-100萬,21809,44507946
201403,10007000,百貨,100(含)-125萬,13685,31053088
201403,10007000,百貨,125(含)-150萬,4330,9104423
201403,10007000,百貨,150(含)-175萬,3936,9592702
201403,10007000,百貨,175(含)-200萬,1948,4977158
201403,10007000,百貨,200(含)萬以上,8442,24169308
201404,10007000,百貨,未達50萬,187319,311564138
201404,10007000,百貨,50(含)-75萬,71096,127787268
201404,10007000,百貨,75(含)-100萬,22075,42442529
201404,10007000,百貨,100(含)-125萬,13276,29035337
201404,10007000,百貨,125(含)-150萬,4502,9762069
201404,10007000,百貨,150(含)-175萬,4048,9349197
201404,10007000,百貨,175(含)-200萬,2022,4661060
201404,10007000,百貨,200(含)萬以上,8579,23535185
201405,10007000,百貨,未達50萬,194901,303319813
201405,10007000,百貨,50(含)-75萬,74688,125082843
201405,10007000,百貨,75(含)-100萬,23353,41380873
201405,10007000,百貨,100(含)-125萬,13969,28818756
201405,10007000,百貨,125(含)-150萬,4685,9944939
201405,10007000,百貨,150(含)-175萬,4208,8511657
201405,10007000,百貨,175(含)-200萬,2091,4864864
201405,10007000,百貨,200(含)萬以上,9002,23949272
201406,10007000,百貨,未達50萬,196501,286797212
201406,10007000,百貨,50(含)-75萬,74875,116457973
201406,10007000,百貨,75(含)-100萬,23623,41442669
201406,10007000,百貨,100(含)-125萬,14175,27710765
201406,10007000,百貨,125(含)-150萬,4742,9068991
201406,10007000,百貨,150(含)-175萬,4288,9214003
201406,10007000,百貨,175(含)-200萬,2129,4476781
201406,10007000,百貨,200(含)萬以上,8982,22538293
201407,10007000,百貨,未達50萬,197617,280699226
201407,10007000,百貨,50(含)-75萬,75063,116054184
201407,10007000,百貨,75(含)-100萬,23814,40807894
201407,10007000,百貨,100(含)-125萬,13865,26252999
201407,10007000,百貨,125(含)-150萬,4581,8314212
201407,10007000,百貨,150(含)-175萬,4033,8233722
201407,10007000,百貨,175(含)-200萬,2082,4392716
201407,10007000,百貨,200(含)萬以上,8755,20381776
201408,10007000,百貨,未達50萬,202478,289858463
201408,10007000,百貨,50(含)-75萬,77154,118813127
201408,10007000,百貨,75(含)-100萬,24404,42166695
201408,10007000,百貨,100(含)-125萬,13894,27020389
201408,10007000,百貨,125(含)-150萬,4734,9042875
201408,10007000,百貨,150(含)-175萬,4204,8301902
