年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10007000,文教康樂,未達50萬,200525,768173864
201401,10007000,文教康樂,50(含)-75萬,101943,421263435
201401,10007000,文教康樂,75(含)-100萬,34020,171566201
201401,10007000,文教康樂,100(含)-125萬,24675,156783132
201401,10007000,文教康樂,125(含)-150萬,6821,46484884
201401,10007000,文教康樂,150(含)-175萬,6885,48119692
201401,10007000,文教康樂,175(含)-200萬,3257,23918096
201401,10007000,文教康樂,200(含)萬以上,18214,172035126
201402,10007000,文教康樂,未達50萬,211555,841553876
201402,10007000,文教康樂,50(含)-75萬,106783,459148677
201402,10007000,文教康樂,75(含)-100萬,34425,180138513
201402,10007000,文教康樂,100(含)-125萬,25351,161007144
201402,10007000,文教康樂,125(含)-150萬,6899,44930160
201402,10007000,文教康樂,150(含)-175萬,7024,48439711
201402,10007000,文教康樂,175(含)-200萬,3150,24564143
201402,10007000,文教康樂,200(含)萬以上,17851,145539048
201403,10007000,文教康樂,未達50萬,223789,741962832
201403,10007000,文教康樂,50(含)-75萬,111202,381385869
201403,10007000,文教康樂,75(含)-100萬,35268,156372377
201403,10007000,文教康樂,100(含)-125萬,25452,134401708
201403,10007000,文教康樂,125(含)-150萬,7167,39627659
201403,10007000,文教康樂,150(含)-175萬,7121,40486759
201403,10007000,文教康樂,175(含)-200萬,3315,20060644
201403,10007000,文教康樂,200(含)萬以上,18755,143326586
201404,10007000,文教康樂,未達50萬,211582,771639332
201404,10007000,文教康樂,50(含)-75萬,104093,402206449
201404,10007000,文教康樂,75(含)-100萬,33604,168366359
201404,10007000,文教康樂,100(含)-125萬,23816,133163921
201404,10007000,文教康樂,125(含)-150萬,6925,44162478
201404,10007000,文教康樂,150(含)-175萬,6826,43792826
201404,10007000,文教康樂,175(含)-200萬,3307,22310204
201404,10007000,文教康樂,200(含)萬以上,17831,147830834
201405,10007000,文教康樂,未達50萬,215252,822201731
201405,10007000,文教康樂,50(含)-75萬,104621,431635504
201405,10007000,文教康樂,75(含)-100萬,33435,183754794
201405,10007000,文教康樂,100(含)-125萬,23142,145091984
201405,10007000,文教康樂,125(含)-150萬,7111,49881088
201405,10007000,文教康樂,150(含)-175萬,6563,47945188
201405,10007000,文教康樂,175(含)-200萬,3167,25124166
201405,10007000,文教康樂,200(含)萬以上,17677,162479085
201406,10007000,文教康樂,未達50萬,165200,764097963
201406,10007000,文教康樂,50(含)-75萬,82089,417714206
201406,10007000,文教康樂,75(含)-100萬,30075,196615696
201406,10007000,文教康樂,100(含)-125萬,21242,150505036
201406,10007000,文教康樂,125(含)-150萬,6474,51526574
201406,10007000,文教康樂,150(含)-175萬,6109,48788334
201406,10007000,文教康樂,175(含)-200萬,3173,26643989
201406,10007000,文教康樂,200(含)萬以上,16654,172538158
201407,10007000,文教康樂,未達50萬,174470,786349902
201407,10007000,文教康樂,50(含)-75萬,87836,433524452
201407,10007000,文教康樂,75(含)-100萬,32760,202711210
201407,10007000,文教康樂,100(含)-125萬,22365,158259323
201407,10007000,文教康樂,125(含)-150萬,6682,50332279
201407,10007000,文教康樂,150(含)-175萬,6469,51121862
201407,10007000,文教康樂,175(含)-200萬,3175,28789059
201407,10007000,文教康樂,200(含)萬以上,17197,174298279
201408,10007000,文教康樂,未達50萬,186946,877949989
201408,10007000,文教康樂,50(含)-75萬,92601,489029061
201408,10007000,文教康樂,75(含)-100萬,34149,217126279
201408,10007000,文教康樂,100(含)-125萬,23275,178633795
201408,10007000,文教康樂,125(含)-150萬,7174,57220685
201408,10007000,文教康樂,150(含)-175萬,6740,55054698
201408,10007000,文教康樂,175(含)-200萬,3327,27586008
201408,10007000,文教康樂,200(含)萬以上,18050,187293336
201409,10007000,文教康樂,未達50萬,165145,840066687
201409,10007000,文教康樂,50(含)-75萬,81914,457441715
201409,10007000,文教康樂,75(含)-100萬,30077,192158627
201409,10007000,文教康樂,100(含)-125萬,21524,165318362
201409,10007000,文教康樂,125(含)-150萬,6611,48802735
201409,10007000,文教康樂,150(含)-175萬,6346,52925209
201409,10007000,文教康樂,175(含)-200萬,3126,23904381
201409,10007000,文教康樂,200(含)萬以上,17242,171706226
201410,10007000,文教康樂,未達50萬,167234,772643903
201410,10007000,文教康樂,50(含)-75萬,82933,400209261
201410,10007000,文教康樂,75(含)-100萬,30352,172063405
201410,10007000,文教康樂,100(含)-125萬,22040,139992622
201410,10007000,文教康樂,125(含)-150萬,6825,45246212
201410,10007000,文教康樂,150(含)-175萬,6531,46284282
201410,10007000,文教康樂,175(含)-200萬,3347,24021634
201410,10007000,文教康樂,200(含)萬以上,17813,163724381
201411,10007000,文教康樂,未達50萬,165286,706791696
201411,10007000,文教康樂,50(含)-75萬,81868,365776541
201411,10007000,文教康樂,75(含)-100萬,30249,154906263
201411,10007000,文教康樂,100(含)-125萬,22040,124394469
201411,10007000,文教康樂,125(含)-150萬,6861,43402011
201411,10007000,文教康樂,150(含)-175萬,6755,43730258
201411,10007000,文教康樂,175(含)-200萬,3290,22801952
201411,10007000,文教康樂,200(含)萬以上,18174,138206100
201412,10007000,文教康樂,未達50萬,171673,745273022
201412,10007000,文教康樂,50(含)-75萬,84095,379609160
201412,10007000,文教康樂,75(含)-100萬,31255,165987197
201412,10007000,文教康樂,100(含)-125萬,22787,133970882
201412,10007000,文教康樂,125(含)-150萬,7148,43186691
201412,10007000,文教康樂,150(含)-175萬,6873,43999997
201412,10007000,文教康樂,175(含)-200萬,3390,22369969
201412,10007000,文教康樂,200(含)萬以上,18799,150487223
201501,10007000,文教康樂,未達50萬,176278,805655196
201501,10007000,文教康樂,50(含)-75萬,89374,440692919
201501,10007000,文教康樂,75(含)-100萬,33338,195909368
201501,10007000,文教康樂,100(含)-125萬,23268,151738085
201501,10007000,文教康樂,125(含)-150萬,7234,51779686
201501,10007000,文教康樂,150(含)-175萬,6874,48765469
201501,10007000,文教康樂,175(含)-200萬,3484,26806246
201501,10007000,文教康樂,200(含)萬以上,19310,179662255
201502,10007000,文教康樂,未達50萬,188055,930859955
