年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10007000,食,未達50萬,671787,1070489103
201401,10007000,食,50(含)-75萬,282664,521430398
201401,10007000,食,75(含)-100萬,105387,220914785
201401,10007000,食,100(含)-125萬,67280,151221375
201401,10007000,食,125(含)-150萬,21413,57173426
201401,10007000,食,150(含)-175萬,18691,69035249
201401,10007000,食,175(含)-200萬,9530,21560750
201401,10007000,食,200(含)萬以上,42181,159051860
201402,10007000,食,未達50萬,511034,685683563
201402,10007000,食,50(含)-75萬,221862,326696793
201402,10007000,食,75(含)-100萬,83251,133486699
201402,10007000,食,100(含)-125萬,53273,100107443
201402,10007000,食,125(含)-150萬,17167,32680711
201402,10007000,食,150(含)-175萬,15392,30965938
201402,10007000,食,175(含)-200萬,7665,14825333
201402,10007000,食,200(含)萬以上,34215,87143626
201403,10007000,食,未達50萬,592237,730064884
201403,10007000,食,50(含)-75萬,246852,334506681
201403,10007000,食,75(含)-100萬,91303,135664531
201403,10007000,食,100(含)-125萬,58256,97705393
201403,10007000,食,125(含)-150萬,19053,33667000
201403,10007000,食,150(含)-175萬,16709,29554979
201403,10007000,食,175(含)-200萬,8535,14439162
201403,10007000,食,200(含)萬以上,37683,92262375
201404,10007000,食,未達50萬,554014,686374258
201404,10007000,食,50(含)-75萬,233670,317153249
201404,10007000,食,75(含)-100萬,86287,128550565
201404,10007000,食,100(含)-125萬,53963,90633860
201404,10007000,食,125(含)-150萬,18345,33683844
201404,10007000,食,150(含)-175萬,15472,29478134
201404,10007000,食,175(含)-200萬,8198,14032669
201404,10007000,食,200(含)萬以上,34771,85198660
201405,10007000,食,未達50萬,614215,812884125
201405,10007000,食,50(含)-75萬,260729,377170437
201405,10007000,食,75(含)-100萬,96339,153397706
201405,10007000,食,100(含)-125萬,60125,111410821
201405,10007000,食,125(含)-150萬,20519,37454903
201405,10007000,食,150(含)-175萬,17255,32789127
201405,10007000,食,175(含)-200萬,9064,17220755
201405,10007000,食,200(含)萬以上,38364,103675533
201406,10007000,食,未達50萬,625217,774711010
201406,10007000,食,50(含)-75萬,264958,356277428
201406,10007000,食,75(含)-100萬,98580,150946526
201406,10007000,食,100(含)-125萬,59980,105355611
201406,10007000,食,125(含)-150萬,20621,36252524
201406,10007000,食,150(含)-175萬,17231,35097210
201406,10007000,食,175(含)-200萬,9346,16030575
201406,10007000,食,200(含)萬以上,38405,100551215
201407,10007000,食,未達50萬,705674,890235530
201407,10007000,食,50(含)-75萬,298785,409599791
201407,10007000,食,75(含)-100萬,110956,167112430
201407,10007000,食,100(含)-125萬,67686,115145756
201407,10007000,食,125(含)-150萬,22920,38838342
201407,10007000,食,150(含)-175萬,19679,38075874
201407,10007000,食,175(含)-200萬,10322,17382809
201407,10007000,食,200(含)萬以上,42621,108239367
201408,10007000,食,未達50萬,760520,1053722992
201408,10007000,食,50(含)-75萬,324234,479457219
201408,10007000,食,75(含)-100萬,120405,188804899
201408,10007000,食,100(含)-125萬,73244,131454238
201408,10007000,食,125(含)-150萬,24842,44270882
201408,10007000,食,150(含)-175萬,21055,50095869
201408,10007000,食,175(含)-200萬,11088,20075062
