年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10007000,其他,未達50萬,288356,1125947975
201401,10007000,其他,50(含)-75萬,119055,547101739
201401,10007000,其他,75(含)-100萬,37516,204948409
201401,10007000,其他,100(含)-125萬,24249,160207262
201401,10007000,其他,125(含)-150萬,7216,43230500
201401,10007000,其他,150(含)-175萬,6402,49160528
201401,10007000,其他,175(含)-200萬,2883,25359297
201401,10007000,其他,200(含)萬以上,14233,135357552
201402,10007000,其他,未達50萬,231038,856582273
201402,10007000,其他,50(含)-75萬,94193,406297133
201402,10007000,其他,75(含)-100萬,29066,147066997
201402,10007000,其他,100(含)-125萬,19222,120733516
201402,10007000,其他,125(含)-150萬,5628,35026136
201402,10007000,其他,150(含)-175萬,5155,39015861
201402,10007000,其他,175(含)-200萬,2222,16915981
201402,10007000,其他,200(含)萬以上,10851,94192375
201403,10007000,其他,未達50萬,263930,986197303
201403,10007000,其他,50(含)-75萬,106438,476336208
201403,10007000,其他,75(含)-100萬,32775,171389432
201403,10007000,其他,100(含)-125萬,21720,141931645
201403,10007000,其他,125(含)-150萬,6742,41786800
201403,10007000,其他,150(含)-175萬,5897,44267503
201403,10007000,其他,175(含)-200萬,2458,19178383
201403,10007000,其他,200(含)萬以上,12750,130553102
201404,10007000,其他,未達50萬,249534,966688151
201404,10007000,其他,50(含)-75萬,100977,458353152
201404,10007000,其他,75(含)-100萬,31373,168866521
201404,10007000,其他,100(含)-125萬,19738,134122613
201404,10007000,其他,125(含)-150萬,6410,48788852
201404,10007000,其他,150(含)-175萬,5296,38485242
201404,10007000,其他,175(含)-200萬,2399,19506800
201404,10007000,其他,200(含)萬以上,11951,115198699
201405,10007000,其他,未達50萬,263149,989834106
201405,10007000,其他,50(含)-75萬,107578,479150746
201405,10007000,其他,75(含)-100萬,34021,181599330
201405,10007000,其他,100(含)-125萬,21267,134521851
201405,10007000,其他,125(含)-150萬,6894,43954387
201405,10007000,其他,150(含)-175萬,5724,40269354
201405,10007000,其他,175(含)-200萬,2652,21345734
201405,10007000,其他,200(含)萬以上,12828,112711209
201406,10007000,其他,未達50萬,265068,955596670
201406,10007000,其他,50(含)-75萬,109532,470590487
201406,10007000,其他,75(含)-100萬,33841,168399775
201406,10007000,其他,100(含)-125萬,21688,131719953
201406,10007000,其他,125(含)-150萬,6921,37842040
201406,10007000,其他,150(含)-175萬,5898,40856663
201406,10007000,其他,175(含)-200萬,2770,20554423
201406,10007000,其他,200(含)萬以上,12872,110846025
201407,10007000,其他,未達50萬,270897,974490326
201407,10007000,其他,50(含)-75萬,111170,477749342
201407,10007000,其他,75(含)-100萬,35600,181173075
201407,10007000,其他,100(含)-125萬,22341,139111189
201407,10007000,其他,125(含)-150萬,7022,39502493
201407,10007000,其他,150(含)-175萬,5976,39538657
201407,10007000,其他,175(含)-200萬,2797,20544369
201407,10007000,其他,200(含)萬以上,13489,115638573
201408,10007000,其他,未達50萬,277031,992264480
201408,10007000,其他,50(含)-75萬,114627,475159417
201408,10007000,其他,75(含)-100萬,36751,180673725
201408,10007000,其他,100(含)-125萬,22737,138503357
201408,10007000,其他,125(含)-150萬,7287,42846900
201408,10007000,其他,150(含)-175萬,6129,37374078
201408,10007000,其他,175(含)-200萬,2974,18786171
201408,10007000,其他,200(含)萬以上,13734,112550850
201409,10007000,其他,未達50萬,273572,1016355838
201409,10007000,其他,50(含)-75萬,111045,485701460
201409,10007000,其他,75(含)-100萬,35419,185376183
201409,10007000,其他,100(含)-125萬,22116,134687084
201409,10007000,其他,125(含)-150萬,6969,41425967
201409,10007000,其他,150(含)-175萬,6253,41651253
201409,10007000,其他,175(含)-200萬,2857,21901148
201409,10007000,其他,200(含)萬以上,13370,108973538
201410,10007000,其他,未達50萬,288412,1090386137
201410,10007000,其他,50(含)-75萬,118681,521068777
201410,10007000,其他,75(含)-100萬,37982,194165672
201410,10007000,其他,100(含)-125萬,23742,148545206
201410,10007000,其他,125(含)-150萬,7737,44437341
201410,10007000,其他,150(含)-175萬,6692,43125155
201410,10007000,其他,175(含)-200萬,3071,22116644
201410,10007000,其他,200(含)萬以上,14319,123211073
201411,10007000,其他,未達50萬,276602,1035639885
201411,10007000,其他,50(含)-75萬,112140,494884978
