年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10007000,行,未達50萬,1166537,1217399935
201401,10007000,行,50(含)-75萬,511519,578025240
201401,10007000,行,75(含)-100萬,176160,219865260
201401,10007000,行,100(含)-125萬,119667,161570910
201401,10007000,行,125(含)-150萬,35797,45373705
201401,10007000,行,150(含)-175萬,31226,46701357
201401,10007000,行,175(含)-200萬,13719,19097094
201401,10007000,行,200(含)萬以上,67917,106009613
201402,10007000,行,未達50萬,1032872,1075735877
201402,10007000,行,50(含)-75萬,460155,514488293
201402,10007000,行,75(含)-100萬,157791,191228956
201402,10007000,行,100(含)-125萬,106019,140234649
201402,10007000,行,125(含)-150萬,31884,39189768
201402,10007000,行,150(含)-175萬,27622,39690643
201402,10007000,行,175(含)-200萬,12042,16876898
201402,10007000,行,200(含)萬以上,58471,88107382
201403,10007000,行,未達50萬,1179317,1213697686
201403,10007000,行,50(含)-75萬,519411,579190955
201403,10007000,行,75(含)-100萬,179069,217993105
201403,10007000,行,100(含)-125萬,120769,159038652
201403,10007000,行,125(含)-150萬,36613,44979437
201403,10007000,行,150(含)-175萬,31873,45817305
201403,10007000,行,175(含)-200萬,13704,18082462
201403,10007000,行,200(含)萬以上,68091,103748002
201404,10007000,行,未達50萬,1117030,1139604822
201404,10007000,行,50(含)-75萬,494851,547809389
201404,10007000,行,75(含)-100萬,170314,207797058
201404,10007000,行,100(含)-125萬,111016,146917585
201404,10007000,行,125(含)-150萬,34947,43267787
201404,10007000,行,150(含)-175萬,29675,41575779
201404,10007000,行,175(含)-200萬,13178,18174236
201404,10007000,行,200(含)萬以上,62546,94188578
201405,10007000,行,未達50萬,1184676,1219646344
201405,10007000,行,50(含)-75萬,523187,582788780
201405,10007000,行,75(含)-100萬,179269,219330016
201405,10007000,行,100(含)-125萬,117153,153779617
201405,10007000,行,125(含)-150萬,36462,45317911
201405,10007000,行,150(含)-175萬,30934,44344081
201405,10007000,行,175(含)-200萬,13624,17825584
201405,10007000,行,200(含)萬以上,65554,99759207
201406,10007000,行,未達50萬,1181649,1238817081
201406,10007000,行,50(含)-75萬,519249,586442413
201406,10007000,行,75(含)-100萬,178820,224440573
201406,10007000,行,100(含)-125萬,116370,155195947
201406,10007000,行,125(含)-150萬,36726,46815038
201406,10007000,行,150(含)-175萬,30579,44841460
201406,10007000,行,175(含)-200萬,13564,19085590
201406,10007000,行,200(含)萬以上,65587,102018106
201407,10007000,行,未達50萬,1219893,1269889450
201407,10007000,行,50(含)-75萬,541136,608682607
201407,10007000,行,75(含)-100萬,188112,232571406
201407,10007000,行,100(含)-125萬,120920,162837188
201407,10007000,行,125(含)-150萬,38112,47778878
201407,10007000,行,150(含)-175萬,32472,48121071
201407,10007000,行,175(含)-200萬,14570,21144449
201407,10007000,行,200(含)萬以上,68281,107549074
201408,10007000,行,未達50萬,1239483,1255592521
201408,10007000,行,50(含)-75萬,551051,606215244
201408,10007000,行,75(含)-100萬,191517,230933266
201408,10007000,行,100(含)-125萬,122084,157458517
201408,10007000,行,125(含)-150萬,38913,48935317
201408,10007000,行,150(含)-175萬,33199,47876027
201408,10007000,行,175(含)-200萬,14723,19597876
201408,10007000,行,200(含)萬以上,69874,104677927
201409,10007000,行,未達50萬,1177237,1162422376
201409,10007000,行,50(含)-75萬,520064,557597496
201409,10007000,行,75(含)-100萬,180610,212520683
201409,10007000,行,100(含)-125萬,117042,151030516
201409,10007000,行,125(含)-150萬,37212,44827510
201409,10007000,行,150(含)-175萬,31920,46252301
201409,10007000,行,175(含)-200萬,14200,17923216
201409,10007000,行,200(含)萬以上,67051,99579952
201410,10007000,行,未達50萬,1215643,1153717611
201410,10007000,行,50(含)-75萬,538999,554192000
201410,10007000,行,75(含)-100萬,186160,213289229
201410,10007000,行,100(含)-125萬,120679,148473400
201410,10007000,行,125(含)-150萬,38515,44658529
201410,10007000,行,150(含)-175萬,32881,43338568
201410,10007000,行,175(含)-200萬,14679,18358785
201410,10007000,行,200(含)萬以上,69178,100391206
201411,10007000,行,未達50萬,1171427,1069194010
201411,10007000,行,50(含)-75萬,516082,510819760
201411,10007000,行,75(含)-100萬,179666,196371116
201411,10007000,行,100(含)-125萬,116594,136947900
201411,10007000,行,125(含)-150萬,37142,42434839
201411,10007000,行,150(含)-175萬,31986,41929403
201411,10007000,行,175(含)-200萬,14107,16841205
201411,10007000,行,200(含)萬以上,67429,92511264
201412,10007000,行,未達50萬,1217008,1053165653
201412,10007000,行,50(含)-75萬,535611,506410723
201412,10007000,行,75(含)-100萬,187009,194458073
201412,10007000,行,100(含)-125萬,123020,138982419
201412,10007000,行,125(含)-150萬,39146,42040530
