年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10020000,衣,未達50萬,28967,78735305
201401,10020000,衣,50(含)-75萬,12428,36468322
201401,10020000,衣,75(含)-100萬,3551,11054936
201401,10020000,衣,100(含)-125萬,1743,6387256
201401,10020000,衣,125(含)-150萬,550,2185690
201401,10020000,衣,150(含)-175萬,508,1823389
201401,10020000,衣,175(含)-200萬,224,862261
201401,10020000,衣,200(含)萬以上,1167,5514846
201402,10020000,衣,未達50萬,18673,46707523
201402,10020000,衣,50(含)-75萬,8003,21650021
201402,10020000,衣,75(含)-100萬,2434,6879153
201402,10020000,衣,100(含)-125萬,1231,4068990
201402,10020000,衣,125(含)-150萬,356,1205895
201402,10020000,衣,150(含)-175萬,340,1556848
201402,10020000,衣,175(含)-200萬,129,380316
201402,10020000,衣,200(含)萬以上,828,3835104
201403,10020000,衣,未達50萬,20153,49650237
201403,10020000,衣,50(含)-75萬,7868,21726332
201403,10020000,衣,75(含)-100萬,2354,6658939
201403,10020000,衣,100(含)-125萬,1168,3877986
201403,10020000,衣,125(含)-150萬,414,1334933
201403,10020000,衣,150(含)-175萬,283,885043
201403,10020000,衣,175(含)-200萬,176,819309
201403,10020000,衣,200(含)萬以上,763,3665505
201404,10020000,衣,未達50萬,20561,49408183
201404,10020000,衣,50(含)-75萬,8059,20762052
201404,10020000,衣,75(含)-100萬,2437,6891042
201404,10020000,衣,100(含)-125萬,1219,3998858
201404,10020000,衣,125(含)-150萬,410,1329082
201404,10020000,衣,150(含)-175萬,323,1080034
201404,10020000,衣,175(含)-200萬,174,848803
201404,10020000,衣,200(含)萬以上,917,3452805
201405,10020000,衣,未達50萬,21603,51540646
201405,10020000,衣,50(含)-75萬,8630,22657183
201405,10020000,衣,75(含)-100萬,2584,7393492
201405,10020000,衣,100(含)-125萬,1185,4033007
201405,10020000,衣,125(含)-150萬,449,1587246
201405,10020000,衣,150(含)-175萬,331,1303515
201405,10020000,衣,175(含)-200萬,182,785768
201405,10020000,衣,200(含)萬以上,847,3977682
201406,10020000,衣,未達50萬,19745,45382543
201406,10020000,衣,50(含)-75萬,7957,20024085
201406,10020000,衣,75(含)-100萬,2311,5973994
201406,10020000,衣,100(含)-125萬,1127,3192473
201406,10020000,衣,125(含)-150萬,441,1471039
201406,10020000,衣,150(含)-175萬,274,934825
201406,10020000,衣,175(含)-200萬,186,516434
201406,10020000,衣,200(含)萬以上,792,3295411
201407,10020000,衣,未達50萬,20619,46897248
201407,10020000,衣,50(含)-75萬,8646,21372472
201407,10020000,衣,75(含)-100萬,2835,7479683
201407,10020000,衣,100(含)-125萬,1319,3899396
201407,10020000,衣,125(含)-150萬,484,1408067
201407,10020000,衣,150(含)-175萬,351,1336940
201407,10020000,衣,175(含)-200萬,213,596650
201407,10020000,衣,200(含)萬以上,889,3191003
201408,10020000,衣,未達50萬,21770,48545952
201408,10020000,衣,50(含)-75萬,9160,22357268
201408,10020000,衣,75(含)-100萬,2880,7010492
201408,10020000,衣,100(含)-125萬,1243,3749504
201408,10020000,衣,125(含)-150萬,449,1520061
201408,10020000,衣,150(含)-175萬,355,1227430
201408,10020000,衣,175(含)-200萬,173,529812
201408,10020000,衣,200(含)萬以上,921,3139134
201409,10020000,衣,未達50萬,19837,46911425
201409,10020000,衣,50(含)-75萬,8001,20691033
201409,10020000,衣,75(含)-100萬,2361,6780430
201409,10020000,衣,100(含)-125萬,1188,3836899
201409,10020000,衣,125(含)-150萬,445,1526702
201409,10020000,衣,150(含)-175萬,369,1327179
201409,10020000,衣,175(含)-200萬,165,823819
201409,10020000,衣,200(含)萬以上,879,3652333
201410,10020000,衣,未達50萬,20448,49341042
201410,10020000,衣,50(含)-75萬,7930,20805383
201410,10020000,衣,75(含)-100萬,2384,6685644
201410,10020000,衣,100(含)-125萬,1120,4036767
201410,10020000,衣,125(含)-150萬,448,1275168
201410,10020000,衣,150(含)-175萬,330,1058348
201410,10020000,衣,175(含)-200萬,177,600646
201410,10020000,衣,200(含)萬以上,881,3312649
201411,10020000,衣,未達50萬,19711,50747468
201411,10020000,衣,50(含)-75萬,7504,20938256
201411,10020000,衣,75(含)-100萬,2251,6844089
201411,10020000,衣,100(含)-125萬,1158,4328418
201411,10020000,衣,125(含)-150萬,390,1446238
201411,10020000,衣,150(含)-175萬,341,1388934
201411,10020000,衣,175(含)-200萬,164,944762
201411,10020000,衣,200(含)萬以上,790,3844811
201412,10020000,衣,未達50萬,24783,65575172
201412,10020000,衣,50(含)-75萬,9484,26748095
201412,10020000,衣,75(含)-100萬,2769,8019533
201412,10020000,衣,100(含)-125萬,1310,4479908
201412,10020000,衣,125(含)-150萬,447,1562681
201412,10020000,衣,150(含)-175萬,396,1738127
201412,10020000,衣,175(含)-200萬,254,1067067
201412,10020000,衣,200(含)萬以上,1064,5318841
201501,10020000,衣,未達50萬,23220,63571372
201501,10020000,衣,50(含)-75萬,9273,26898093
201501,10020000,衣,75(含)-100萬,2790,8732331
201501,10020000,衣,100(含)-125萬,1387,5210792
201501,10020000,衣,125(含)-150萬,469,1794333
201501,10020000,衣,150(含)-175萬,392,1787141
201501,10020000,衣,175(含)-200萬,228,962941
201501,10020000,衣,200(含)萬以上,996,4748793
201502,10020000,衣,未達50萬,27962,69999377
201502,10020000,衣,50(含)-75萬,11616,31030188
201502,10020000,衣,75(含)-100萬,3444,9768562
201502,10020000,衣,100(含)-125萬,1609,5548403
201502,10020000,衣,125(含)-150萬,575,1746590
201502,10020000,衣,150(含)-175萬,441,1503650
201502,10020000,衣,175(含)-200萬,237,864155
201502,10020000,衣,200(含)萬以上,998,4025457
201503,10020000,衣,未達50萬,20560,49788781
201503,10020000,衣,50(含)-75萬,8016,21406888
201503,10020000,衣,75(含)-100萬,2293,6537119
201503,10020000,衣,100(含)-125萬,1105,3603347
201503,10020000,衣,125(含)-150萬,400,1327722
201503,10020000,衣,150(含)-175萬,355,1507519
201503,10020000,衣,175(含)-200萬,190,877297
201503,10020000,衣,200(含)萬以上,812,3166939
201504,10020000,衣,未達50萬,21844,51631862
201504,10020000,衣,50(含)-75萬,8471,21850790
201504,10020000,衣,75(含)-100萬,2547,7513577
201504,10020000,衣,100(含)-125萬,1241,3939729
201504,10020000,衣,125(含)-150萬,474,1553040
201504,10020000,衣,150(含)-175萬,365,1422630
201504,10020000,衣,175(含)-200萬,198,708847
201504,10020000,衣,200(含)萬以上,824,3836527
201505,10020000,衣,未達50萬,23143,53963568
201505,10020000,衣,50(含)-75萬,8939,21665965
201505,10020000,衣,75(含)-100萬,2806,7426025
201505,10020000,衣,100(含)-125萬,1289,4372507
201505,10020000,衣,125(含)-150萬,420,1186422
201505,10020000,衣,150(含)-175萬,350,1219575
201505,10020000,衣,175(含)-200萬,200,681208
201505,10020000,衣,200(含)萬以上,933,3917420
201506,10020000,衣,未達50萬,20968,47892018
201506,10020000,衣,50(含)-75萬,8152,20665390
201506,10020000,衣,75(含)-100萬,2516,6992554
201506,10020000,衣,100(含)-125萬,1229,4032741
201506,10020000,衣,125(含)-150萬,437,1317192
201506,10020000,衣,150(含)-175萬,320,1529795
201506,10020000,衣,175(含)-200萬,199,641648
201506,10020000,衣,200(含)萬以上,851,3327025
201507,10020000,衣,未達50萬,22132,50405158
201507,10020000,衣,50(含)-75萬,8960,22341308
201507,10020000,衣,75(含)-100萬,2951,7495716
