年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10020000,住,未達50萬,18884,78961573
201401,10020000,住,50(含)-75萬,10120,40422709
201401,10020000,住,75(含)-100萬,4095,17926661
201401,10020000,住,100(含)-125萬,2397,14837805
201401,10020000,住,125(含)-150萬,774,3282489
201401,10020000,住,150(含)-175萬,859,6514912
201401,10020000,住,175(含)-200萬,347,1906548
201401,10020000,住,200(含)萬以上,1873,15084128
201402,10020000,住,未達50萬,14471,52905868
201402,10020000,住,50(含)-75萬,7699,27352795
201402,10020000,住,75(含)-100萬,3091,10974494
201402,10020000,住,100(含)-125萬,1924,11313410
201402,10020000,住,125(含)-150萬,657,2462727
201402,10020000,住,150(含)-175萬,716,6141769
201402,10020000,住,175(含)-200萬,282,1529357
201402,10020000,住,200(含)萬以上,1497,11091767
201403,10020000,住,未達50萬,13932,55825513
201403,10020000,住,50(含)-75萬,7211,26345805
201403,10020000,住,75(含)-100萬,2951,12218969
201403,10020000,住,100(含)-125萬,1948,10939697
201403,10020000,住,125(含)-150萬,554,3158238
201403,10020000,住,150(含)-175萬,775,7614943
201403,10020000,住,175(含)-200萬,278,1763343
201403,10020000,住,200(含)萬以上,1617,13940732
201404,10020000,住,未達50萬,13400,62309818
201404,10020000,住,50(含)-75萬,7140,31450652
201404,10020000,住,75(含)-100萬,2940,12530986
201404,10020000,住,100(含)-125萬,1713,11256849
201404,10020000,住,125(含)-150萬,529,3165055
201404,10020000,住,150(含)-175萬,609,4444230
201404,10020000,住,175(含)-200萬,273,1565840
201404,10020000,住,200(含)萬以上,1499,13128061
201405,10020000,住,未達50萬,15050,64436788
201405,10020000,住,50(含)-75萬,7681,29230433
201405,10020000,住,75(含)-100萬,3104,13691533
201405,10020000,住,100(含)-125萬,1991,12312092
201405,10020000,住,125(含)-150萬,605,2873549
201405,10020000,住,150(含)-175萬,655,4288291
201405,10020000,住,175(含)-200萬,299,1861497
201405,10020000,住,200(含)萬以上,1565,12506602
201406,10020000,住,未達50萬,14585,62822365
201406,10020000,住,50(含)-75萬,7743,32125169
201406,10020000,住,75(含)-100萬,3292,13409086
201406,10020000,住,100(含)-125萬,1909,10322082
201406,10020000,住,125(含)-150萬,610,3108419
201406,10020000,住,150(含)-175萬,620,4355801
201406,10020000,住,175(含)-200萬,268,1139028
201406,10020000,住,200(含)萬以上,1542,12354924
201407,10020000,住,未達50萬,15850,74897995
201407,10020000,住,50(含)-75萬,8415,34994099
201407,10020000,住,75(含)-100萬,3511,15673078
201407,10020000,住,100(含)-125萬,2136,11621660
201407,10020000,住,125(含)-150萬,730,3773902
201407,10020000,住,150(含)-175萬,695,4529108
201407,10020000,住,175(含)-200萬,309,1735564
201407,10020000,住,200(含)萬以上,1645,13439995
201408,10020000,住,未達50萬,16064,65550313
201408,10020000,住,50(含)-75萬,8457,31548972
201408,10020000,住,75(含)-100萬,3457,14066552
201408,10020000,住,100(含)-125萬,2172,11483772
201408,10020000,住,125(含)-150萬,746,3221735
201408,10020000,住,150(含)-175萬,690,4346472
201408,10020000,住,175(含)-200萬,334,3108616
201408,10020000,住,200(含)萬以上,1807,13256747
201409,10020000,住,未達50萬,14550,61277260
201409,10020000,住,50(含)-75萬,7426,30891922
