年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10020000,其他,未達50萬,52740,173246768
201401,10020000,其他,50(含)-75萬,21621,82361714
201401,10020000,其他,75(含)-100萬,6747,30314986
201401,10020000,其他,100(含)-125萬,3765,18286495
201401,10020000,其他,125(含)-150萬,1242,5972958
201401,10020000,其他,150(含)-175萬,953,5270939
201401,10020000,其他,175(含)-200萬,566,2204858
201401,10020000,其他,200(含)萬以上,2017,13381339
201402,10020000,其他,未達50萬,41789,132715400
201402,10020000,其他,50(含)-75萬,17126,61392278
201402,10020000,其他,75(含)-100萬,5419,24157776
201402,10020000,其他,100(含)-125萬,2880,13573497
201402,10020000,其他,125(含)-150萬,998,4717778
201402,10020000,其他,150(含)-175萬,705,3761490
201402,10020000,其他,175(含)-200萬,431,1773822
201402,10020000,其他,200(含)萬以上,1591,9176139
201403,10020000,其他,未達50萬,41450,138670521
201403,10020000,其他,50(含)-75萬,16843,66537246
201403,10020000,其他,75(含)-100萬,5200,22192978
201403,10020000,其他,100(含)-125萬,2954,15952765
201403,10020000,其他,125(含)-150萬,964,4568477
201403,10020000,其他,150(含)-175萬,734,4198891
201403,10020000,其他,175(含)-200萬,509,2265093
201403,10020000,其他,200(含)萬以上,1594,11552432
201404,10020000,其他,未達50萬,43358,132990995
201404,10020000,其他,50(含)-75萬,17263,61527880
201404,10020000,其他,75(含)-100萬,5635,24958125
201404,10020000,其他,100(含)-125萬,2950,14386652
201404,10020000,其他,125(含)-150萬,939,4877274
201404,10020000,其他,150(含)-175萬,752,4741718
201404,10020000,其他,175(含)-200萬,474,2218922
201404,10020000,其他,200(含)萬以上,1700,11151818
201405,10020000,其他,未達50萬,50268,141745011
201405,10020000,其他,50(含)-75萬,19888,67231363
201405,10020000,其他,75(含)-100萬,6199,24849075
201405,10020000,其他,100(含)-125萬,3305,14864016
201405,10020000,其他,125(含)-150萬,1146,5624278
201405,10020000,其他,150(含)-175萬,811,4365504
201405,10020000,其他,175(含)-200萬,500,1921311
201405,10020000,其他,200(含)萬以上,1918,10778765
201406,10020000,其他,未達50萬,46024,134653269
201406,10020000,其他,50(含)-75萬,18466,64865314
201406,10020000,其他,75(含)-100萬,5899,24414608
201406,10020000,其他,100(含)-125萬,2924,14247241
201406,10020000,其他,125(含)-150萬,1018,5465360
201406,10020000,其他,150(含)-175萬,787,4166898
201406,10020000,其他,175(含)-200萬,560,2221568
201406,10020000,其他,200(含)萬以上,1752,10901141
201407,10020000,其他,未達50萬,63387,187718581
201407,10020000,其他,50(含)-75萬,28875,98990126
201407,10020000,其他,75(含)-100萬,8833,34129680
201407,10020000,其他,100(含)-125萬,4538,22248908
201407,10020000,其他,125(含)-150萬,1478,6382108
201407,10020000,其他,150(含)-175萬,1172,5288128
201407,10020000,其他,175(含)-200萬,638,2931095
201407,10020000,其他,200(含)萬以上,2699,14113253
201408,10020000,其他,未達50萬,49084,142139503
201408,10020000,其他,50(含)-75萬,19778,67600722
201408,10020000,其他,75(含)-100萬,6394,23999422
201408,10020000,其他,100(含)-125萬,3325,15903980
201408,10020000,其他,125(含)-150萬,1119,5478966
201408,10020000,其他,150(含)-175萬,919,5351282
201408,10020000,其他,175(含)-200萬,428,1980451
201408,10020000,其他,200(含)萬以上,1861,10895185
201409,10020000,其他,未達50萬,45739,139091325
201409,10020000,其他,50(含)-75萬,17960,68954395
201409,10020000,其他,75(含)-100萬,5709,25813170
201409,10020000,其他,100(含)-125萬,3158,16615221
201409,10020000,其他,125(含)-150萬,1037,4968569
201409,10020000,其他,150(含)-175萬,842,6189509
201409,10020000,其他,175(含)-200萬,474,1729194
201409,10020000,其他,200(含)萬以上,1821,10039221
201410,10020000,其他,未達50萬,47975,150304583
201410,10020000,其他,50(含)-75萬,19310,76100505
201410,10020000,其他,75(含)-100萬,5994,27861314
201410,10020000,其他,100(含)-125萬,3352,19066319
201410,10020000,其他,125(含)-150萬,1109,5264468
201410,10020000,其他,150(含)-175萬,860,4670890
201410,10020000,其他,175(含)-200萬,458,2142832
201410,10020000,其他,200(含)萬以上,1882,11319652
201411,10020000,其他,未達50萬,45522,139318470
201411,10020000,其他,50(含)-75萬,17949,66789617
201411,10020000,其他,75(含)-100萬,5591,24347924
201411,10020000,其他,100(含)-125萬,3153,16610691
201411,10020000,其他,125(含)-150萬,1012,5660647
201411,10020000,其他,150(含)-175萬,830,4743585
201411,10020000,其他,175(含)-200萬,356,2047215
201411,10020000,其他,200(含)萬以上,1887,11069642
201412,10020000,其他,未達50萬,51767,159571740
201412,10020000,其他,50(含)-75萬,20338,78407843
201412,10020000,其他,75(含)-100萬,6595,29093775
201412,10020000,其他,100(含)-125萬,3443,16177533
201412,10020000,其他,125(含)-150萬,1103,5520267
201412,10020000,其他,150(含)-175萬,886,4732417
201412,10020000,其他,175(含)-200萬,510,2565682
201412,10020000,其他,200(含)萬以上,2211,13557796
201501,10020000,其他,未達50萬,49404,159331974
201501,10020000,其他,50(含)-75萬,19579,75601868
201501,10020000,其他,75(含)-100萬,6356,29154103
201501,10020000,其他,100(含)-125萬,3340,16098924
201501,10020000,其他,125(含)-150萬,1128,7547199
201501,10020000,其他,150(含)-175萬,926,5331943
201501,10020000,其他,175(含)-200萬,472,2493426
201501,10020000,其他,200(含)萬以上,2047,12386005
201502,10020000,其他,未達50萬,44468,143437326
201502,10020000,其他,50(含)-75萬,17981,69797637
201502,10020000,其他,75(含)-100萬,5759,26477286
201502,10020000,其他,100(含)-125萬,3176,15412695
201502,10020000,其他,125(含)-150萬,1129,5719445
201502,10020000,其他,150(含)-175萬,868,4732411
201502,10020000,其他,175(含)-200萬,469,1809659
201502,10020000,其他,200(含)萬以上,1869,10726504
201503,10020000,其他,未達50萬,45259,135939203
201503,10020000,其他,50(含)-75萬,17471,65902716
201503,10020000,其他,75(含)-100萬,5591,26426169
201503,10020000,其他,100(含)-125萬,3037,16024403
201503,10020000,其他,125(含)-150萬,1021,4472553
201503,10020000,其他,150(含)-175萬,798,4537576
201503,10020000,其他,175(含)-200萬,456,2191123
201503,10020000,其他,200(含)萬以上,1721,9508452
201504,10020000,其他,未達50萬,45498,138889954
201504,10020000,其他,50(含)-75萬,17742,67606023
201504,10020000,其他,75(含)-100萬,5634,23390845
201504,10020000,其他,100(含)-125萬,3093,15891060
201504,10020000,其他,125(含)-150萬,992,5171599
201504,10020000,其他,150(含)-175萬,786,4875351
201504,10020000,其他,175(含)-200萬,420,2368145
201504,10020000,其他,200(含)萬以上,1802,12551673
201505,10020000,其他,未達50萬,46031,146327371
201505,10020000,其他,50(含)-75萬,17901,70039676
201505,10020000,其他,75(含)-100萬,5758,28358753
201505,10020000,其他,100(含)-125萬,3031,15032826
201505,10020000,其他,125(含)-150萬,988,4518234
201505,10020000,其他,150(含)-175萬,811,5293249
201505,10020000,其他,175(含)-200萬,535,2604204
201505,10020000,其他,200(含)萬以上,1770,10366345
201506,10020000,其他,未達50萬,46350,145250969
201506,10020000,其他,50(含)-75萬,18072,70215617
201506,10020000,其他,75(含)-100萬,5842,34248991
201506,10020000,其他,100(含)-125萬,3200,16572415
201506,10020000,其他,125(含)-150萬,1111,6142882
201506,10020000,其他,150(含)-175萬,812,3647805
201506,10020000,其他,175(含)-200萬,449,2112813
201506,10020000,其他,200(含)萬以上,1797,10969915
201507,10020000,其他,未達50萬,67331,201932415
201507,10020000,其他,50(含)-75萬,30815,110163338
201507,10020000,其他,75(含)-100萬,9582,37014188
201507,10020000,其他,100(含)-125萬,4945,21664052
201507,10020000,其他,125(含)-150萬,1707,7219362
201507,10020000,其他,150(含)-175萬,1336,5522095
201507,10020000,其他,175(含)-200萬,682,2709533
201507,10020000,其他,200(含)萬以上,2887,15584061
201508,10020000,其他,未達50萬,52225,147678959
201508,10020000,其他,50(含)-75萬,20869,73722530
201508,10020000,其他,75(含)-100萬,6849,26719863
201508,10020000,其他,100(含)-125萬,3343,14624674
201508,10020000,其他,125(含)-150萬,1281,4759372
201508,10020000,其他,150(含)-175萬,911,4469993
201508,10020000,其他,175(含)-200萬,473,2544719
201508,10020000,其他,200(含)萬以上,2040,10581092
201509,10020000,其他,未達50萬,46107,133813026
201509,10020000,其他,50(含)-75萬,17589,64531487
201509,10020000,其他,75(含)-100萬,5727,22540674
201509,10020000,其他,100(含)-125萬,2852,12864833
201509,10020000,其他,125(含)-150萬,1021,4090355
201509,10020000,其他,150(含)-175萬,774,3670798
201509,10020000,其他,175(含)-200萬,409,2701605
201509,10020000,其他,200(含)萬以上,1810,10021983
201510,10020000,其他,未達50萬,49167,161504786
201510,10020000,其他,50(含)-75萬,18462,74556859
201510,10020000,其他,75(含)-100萬,6255,30307006
201510,10020000,其他,100(含)-125萬,3136,16018052
201510,10020000,其他,125(含)-150萬,1168,5319069
201510,10020000,其他,150(含)-175萬,899,4555287
201510,10020000,其他,175(含)-200萬,416,2232643
201510,10020000,其他,200(含)萬以上,1889,11414085
201511,10020000,其他,未達50萬,45818,145586762
201511,10020000,其他,50(含)-75萬,17211,70816072
201511,10020000,其他,75(含)-100萬,5676,26259843
201511,10020000,其他,100(含)-125萬,2967,15486831
201511,10020000,其他,125(含)-150萬,1150,5547998
201511,10020000,其他,150(含)-175萬,815,4629847
201511,10020000,其他,175(含)-200萬,396,2327358
201511,10020000,其他,200(含)萬以上,1740,13558015
201512,10020000,其他,未達50萬,48624,158757019
201512,10020000,其他,50(含)-75萬,18435,72912302
201512,10020000,其他,75(含)-100萬,5928,29814160
201512,10020000,其他,100(含)-125萬,3122,16133516
201512,10020000,其他,125(含)-150萬,1064,5418749
201512,10020000,其他,150(含)-175萬,905,5596634
201512,10020000,其他,175(含)-200萬,413,1957466
201512,10020000,其他,200(含)萬以上,1946,12366399
201601,10020000,其他,未達50萬,35314,126781179
201601,10020000,其他,50(含)-75萬,13690,62336298
201601,10020000,其他,75(含)-100萬,4686,22799784
201601,10020000,其他,100(含)-125萬,2542,14124892
201601,10020000,其他,125(含)-150萬,817,4368028
201601,10020000,其他,150(含)-175萬,696,4523762
201601,10020000,其他,175(含)-200萬,313,1876322
201601,10020000,其他,200(含)萬以上,1410,9638006
201602,10020000,其他,未達50萬,38880,126126495
201602,10020000,其他,50(含)-75萬,15701,60308267
201602,10020000,其他,75(含)-100萬,5353,20796290
201602,10020000,其他,100(含)-125萬,2807,12865840
201602,10020000,其他,125(含)-150萬,966,4139856
201602,10020000,其他,150(含)-175萬,782,3850781
201602,10020000,其他,175(含)-200萬,424,1509633
201602,10020000,其他,200(含)萬以上,1682,9742368
201603,10020000,其他,未達50萬,35423,115820536
201603,10020000,其他,50(含)-75萬,13225,53529240
201603,10020000,其他,75(含)-100萬,4748,21072684
201603,10020000,其他,100(含)-125萬,2504,12604675
201603,10020000,其他,125(含)-150萬,867,5139617
201603,10020000,其他,150(含)-175萬,686,4101419
201603,10020000,其他,175(含)-200萬,397,1641220
201603,10020000,其他,200(含)萬以上,1439,10463091
201604,10020000,其他,未達50萬,36047,117357665
201604,10020000,其他,50(含)-75萬,13493,54020936
201604,10020000,其他,75(含)-100萬,4982,20831647
201604,10020000,其他,100(含)-125萬,2442,13445890
201604,10020000,其他,125(含)-150萬,971,5092516
201604,10020000,其他,150(含)-175萬,689,3455984
201604,10020000,其他,175(含)-200萬,380,1504995
201604,10020000,其他,200(含)萬以上,1547,10169475
201605,10020000,其他,未達50萬,37983,127975860
201605,10020000,其他,50(含)-75萬,13991,59067769
201605,10020000,其他,75(含)-100萬,4937,23246538
201605,10020000,其他,100(含)-125萬,2320,11054790
201605,10020000,其他,125(含)-150萬,931,3901792
201605,10020000,其他,150(含)-175萬,648,2935459
201605,10020000,其他,175(含)-200萬,406,1672160
201605,10020000,其他,200(含)萬以上,1538,8912150
201606,10020000,其他,未達50萬,40310,123911556
201606,10020000,其他,50(含)-75萬,15280,63552969
201606,10020000,其他,75(含)-100萬,5180,22603833
201606,10020000,其他,100(含)-125萬,2605,12487927
201606,10020000,其他,125(含)-150萬,908,4575065
201606,10020000,其他,150(含)-175萬,754,4929861
201606,10020000,其他,175(含)-200萬,360,2155118
201606,10020000,其他,200(含)萬以上,1596,10679082
201607,10020000,其他,未達50萬,63662,190884324
201607,10020000,其他,50(含)-75萬,27784,96753618
201607,10020000,其他,75(含)-100萬,9308,35729309
201607,10020000,其他,100(含)-125萬,4808,19835974
201607,10020000,其他,125(含)-150萬,1641,7811768
201607,10020000,其他,150(含)-175萬,1311,6123925
201607,10020000,其他,175(含)-200萬,584,2722174
201607,10020000,其他,200(含)萬以上,2830,15253244
201608,10020000,其他,未達50萬,44794,140085698
201608,10020000,其他,50(含)-75萬,17298,73498103
201608,10020000,其他,75(含)-100萬,5752,26784991
201608,10020000,其他,100(含)-125萬,2947,16558259
201608,10020000,其他,125(含)-150萬,1061,5785489
201608,10020000,其他,150(含)-175萬,899,4760936
201608,10020000,其他,175(含)-200萬,548,2295841
201608,10020000,其他,200(含)萬以上,1779,12454884
201609,10020000,其他,未達50萬,38384,126296478
201609,10020000,其他,50(含)-75萬,14355,57183900
201609,10020000,其他,75(含)-100萬,4788,20424171
201609,10020000,其他,100(含)-125萬,2594,12898290
201609,10020000,其他,125(含)-150萬,982,4465454
201609,10020000,其他,150(含)-175萬,781,5307701
201609,10020000,其他,175(含)-200萬,455,2082069
201609,10020000,其他,200(含)萬以上,1529,10944383
201610,10020000,其他,未達50萬,42117,139159109
201610,10020000,其他,50(含)-75萬,16072,67263749
201610,10020000,其他,75(含)-100萬,5505,24893440
201610,10020000,其他,100(含)-125萬,2803,14455031
201610,10020000,其他,125(含)-150萬,1068,5114394
201610,10020000,其他,150(含)-175萬,832,4620353
201610,10020000,其他,175(含)-200萬,484,2257765
201610,10020000,其他,200(含)萬以上,1743,10098595
201611,10020000,其他,未達50萬,37747,125013027
201611,10020000,其他,50(含)-75萬,14167,63672754
201611,10020000,其他,75(含)-100萬,4896,25232579
201611,10020000,其他,100(含)-125萬,2360,12162705
201611,10020000,其他,125(含)-150萬,851,4380610
201611,10020000,其他,150(含)-175萬,747,4242601
201611,10020000,其他,175(含)-200萬,504,1931531
201611,10020000,其他,200(含)萬以上,1485,11393413
201612,10020000,其他,未達50萬,41002,136448181
201612,10020000,其他,50(含)-75萬,15752,66354698
201612,10020000,其他,75(含)-100萬,5306,23696314
201612,10020000,其他,100(含)-125萬,2622,15040837
201612,10020000,其他,125(含)-150萬,910,4612019
201612,10020000,其他,150(含)-175萬,793,4496404
201612,10020000,其他,175(含)-200萬,471,2648370
201612,10020000,其他,200(含)萬以上,1585,12387862
201701,10020000,其他,未達50萬,40079,133065486
201701,10020000,其他,50(含)-75萬,15354,63405836
201701,10020000,其他,75(含)-100萬,5258,25423700
201701,10020000,其他,100(含)-125萬,2648,12818697
201701,10020000,其他,125(含)-150萬,1020,5814746
201701,10020000,其他,150(含)-175萬,764,4603250
201701,10020000,其他,175(含)-200萬,433,2187547
201701,10020000,其他,200(含)萬以上,1616,11334799
201702,10020000,其他,未達50萬,35281,112581518
201702,10020000,其他,50(含)-75萬,12977,52209447
201702,10020000,其他,75(含)-100萬,4527,19490531
201702,10020000,其他,100(含)-125萬,2377,11252873
201702,10020000,其他,125(含)-150萬,814,4482581
201702,10020000,其他,150(含)-175萬,682,3266444
201702,10020000,其他,175(含)-200萬,374,1457342
201702,10020000,其他,200(含)萬以上,1420,9317228
201703,10020000,其他,未達50萬,36208,111563476
201703,10020000,其他,50(含)-75萬,13377,52337831
201703,10020000,其他,75(含)-100萬,4659,21474535
201703,10020000,其他,100(含)-125萬,2280,11452154
201703,10020000,其他,125(含)-150萬,807,4861708
201703,10020000,其他,150(含)-175萬,677,3911180
201703,10020000,其他,175(含)-200萬,450,3288146
201703,10020000,其他,200(含)萬以上,1442,10350781
201704,10020000,其他,未達50萬,37083,112105557
201704,10020000,其他,50(含)-75萬,13835,53015682
201704,10020000,其他,75(含)-100萬,4782,20610619
201704,10020000,其他,100(含)-125萬,2455,11918418
201704,10020000,其他,125(含)-150萬,832,4105671
201704,10020000,其他,150(含)-175萬,672,3291672
201704,10020000,其他,175(含)-200萬,483,1698025
201704,10020000,其他,200(含)萬以上,1450,8992876
201705,10020000,其他,未達50萬,38739,126430625
201705,10020000,其他,50(含)-75萬,14176,60378991
201705,10020000,其他,75(含)-100萬,4787,22984439
201705,10020000,其他,100(含)-125萬,2539,13932074
201705,10020000,其他,125(含)-150萬,834,3564526
201705,10020000,其他,150(含)-175萬,709,4108170
201705,10020000,其他,175(含)-200萬,470,2426523
201705,10020000,其他,200(含)萬以上,1587,9749723
201706,10020000,其他,未達50萬,37822,117353972
201706,10020000,其他,50(含)-75萬,13763,54024470
201706,10020000,其他,75(含)-100萬,4781,20837891
201706,10020000,其他,100(含)-125萬,2425,12604782
201706,10020000,其他,125(含)-150萬,864,4360319
201706,10020000,其他,150(含)-175萬,693,5060650
201706,10020000,其他,175(含)-200萬,497,2066111
201706,10020000,其他,200(含)萬以上,1526,10139884
201707,10020000,其他,未達50萬,70476,209301761
201707,10020000,其他,50(含)-75萬,32004,107775949
201707,10020000,其他,75(含)-100萬,10782,39877060
201707,10020000,其他,100(含)-125萬,5480,23923672
201707,10020000,其他,125(含)-150萬,2074,8161898
201707,10020000,其他,150(含)-175萬,1473,6184984
201707,10020000,其他,175(含)-200萬,824,3195947
201707,10020000,其他,200(含)萬以上,3400,16783826
201708,10020000,其他,未達50萬,43700,132643553
201708,10020000,其他,50(含)-75萬,16692,65780706
201708,10020000,其他,75(含)-100萬,5717,24247205
201708,10020000,其他,100(含)-125萬,2942,14121864
201708,10020000,其他,125(含)-150萬,1135,5357027
201708,10020000,其他,150(含)-175萬,834,5349174
201708,10020000,其他,175(含)-200萬,608,2392211
201708,10020000,其他,200(含)萬以上,1881,11063851
201709,10020000,其他,未達50萬,38910,125924716
201709,10020000,其他,50(含)-75萬,14147,58206885
201709,10020000,其他,75(含)-100萬,4954,23845309
201709,10020000,其他,100(含)-125萬,2510,14281470
201709,10020000,其他,125(含)-150萬,906,5348005
201709,10020000,其他,150(含)-175萬,666,3832094
201709,10020000,其他,175(含)-200萬,527,2475997
201709,10020000,其他,200(含)萬以上,1540,13241116
201710,10020000,其他,未達50萬,43733,131407008
201710,10020000,其他,50(含)-75萬,16259,61435653
201710,10020000,其他,75(含)-100萬,5678,25668206
201710,10020000,其他,100(含)-125萬,2952,13945857
201710,10020000,其他,125(含)-150萬,1035,4734300
201710,10020000,其他,150(含)-175萬,787,4685821
201710,10020000,其他,175(含)-200萬,548,2044271
201710,10020000,其他,200(含)萬以上,1835,9470398
201711,10020000,其他,未達50萬,41099,136657850
201711,10020000,其他,50(含)-75萬,14838,59168900
201711,10020000,其他,75(含)-100萬,5303,24989145
201711,10020000,其他,100(含)-125萬,2684,15427489
201711,10020000,其他,125(含)-150萬,1018,5238019
201711,10020000,其他,150(含)-175萬,771,5350499
201711,10020000,其他,175(含)-200萬,516,1720681
201711,10020000,其他,200(含)萬以上,1683,11141141
201712,10020000,其他,未達50萬,44107,134405709
201712,10020000,其他,50(含)-75萬,16034,64449614
201712,10020000,其他,75(含)-100萬,5693,24726287
201712,10020000,其他,100(含)-125萬,2810,12739772
201712,10020000,其他,125(含)-150萬,993,5192108
201712,10020000,其他,150(含)-175萬,802,4819291
201712,10020000,其他,175(含)-200萬,535,2085888
201712,10020000,其他,200(含)萬以上,1839,13383939
201801,10020000,其他,未達50萬,38735,114137044
201801,10020000,其他,50(含)-75萬,14334,54490710
201801,10020000,其他,75(含)-100萬,5115,20721227
201801,10020000,其他,100(含)-125萬,2486,11319483
201801,10020000,其他,125(含)-150萬,835,4126324
201801,10020000,其他,150(含)-175萬,667,3729749
201801,10020000,其他,175(含)-200萬,503,1560332
