年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10020000,行,未達50萬,160025,170342686
201401,10020000,行,50(含)-75萬,62013,71739903
201401,10020000,行,75(含)-100萬,22392,27535429
201401,10020000,行,100(含)-125萬,13758,22282110
201401,10020000,行,125(含)-150萬,4473,6455360
201401,10020000,行,150(含)-175萬,3615,5232933
201401,10020000,行,175(含)-200萬,1711,2344972
201401,10020000,行,200(含)萬以上,8079,12659482
201402,10020000,行,未達50萬,153022,163315269
201402,10020000,行,50(含)-75萬,60291,69572030
201402,10020000,行,75(含)-100萬,21359,26425251
201402,10020000,行,100(含)-125萬,13028,18581401
201402,10020000,行,125(含)-150萬,4323,5927478
201402,10020000,行,150(含)-175萬,3517,5380945
201402,10020000,行,175(含)-200萬,1586,2147690
201402,10020000,行,200(含)萬以上,7859,11503706
201403,10020000,行,未達50萬,167492,175553644
201403,10020000,行,50(含)-75萬,64993,74226446
201403,10020000,行,75(含)-100萬,23529,28683779
201403,10020000,行,100(含)-125萬,14403,20035370
201403,10020000,行,125(含)-150萬,4633,6270174
201403,10020000,行,150(含)-175萬,3950,6070646
201403,10020000,行,175(含)-200萬,1820,2387779
201403,10020000,行,200(含)萬以上,8704,12960053
201404,10020000,行,未達50萬,163024,169812121
201404,10020000,行,50(含)-75萬,63574,72198351
201404,10020000,行,75(含)-100萬,22799,27264809
201404,10020000,行,100(含)-125萬,13645,19395123
201404,10020000,行,125(含)-150萬,4461,6398502
201404,10020000,行,150(含)-175萬,3720,5442644
201404,10020000,行,175(含)-200萬,1659,2183171
201404,10020000,行,200(含)萬以上,8033,12479711
201405,10020000,行,未達50萬,168641,176254682
201405,10020000,行,50(含)-75萬,65180,74630329
201405,10020000,行,75(含)-100萬,23503,28166530
201405,10020000,行,100(含)-125萬,13802,19645288
201405,10020000,行,125(含)-150萬,4718,6566237
201405,10020000,行,150(含)-175萬,3800,5288255
201405,10020000,行,175(含)-200萬,1704,2242915
201405,10020000,行,200(含)萬以上,8102,12901829
201406,10020000,行,未達50萬,170927,183353583
201406,10020000,行,50(含)-75萬,65193,76810200
201406,10020000,行,75(含)-100萬,23085,28717375
201406,10020000,行,100(含)-125萬,13445,19514148
201406,10020000,行,125(含)-150萬,4715,6969413
201406,10020000,行,150(含)-175萬,3614,5098518
201406,10020000,行,175(含)-200萬,1741,2362444
201406,10020000,行,200(含)萬以上,8177,13530082
201407,10020000,行,未達50萬,173516,184192489
201407,10020000,行,50(含)-75萬,67325,78824244
201407,10020000,行,75(含)-100萬,24196,30395235
201407,10020000,行,100(含)-125萬,14145,21043371
201407,10020000,行,125(含)-150萬,4730,6681087
201407,10020000,行,150(含)-175萬,3715,5408948
201407,10020000,行,175(含)-200萬,1888,2675206
201407,10020000,行,200(含)萬以上,8511,13499491
201408,10020000,行,未達50萬,173171,179206102
201408,10020000,行,50(含)-75萬,67885,77020899
201408,10020000,行,75(含)-100萬,24445,29487424
201408,10020000,行,100(含)-125萬,14317,20177516
201408,10020000,行,125(含)-150萬,4697,6612654
201408,10020000,行,150(含)-175萬,3854,5515022
201408,10020000,行,175(含)-200萬,1898,2758237
201408,10020000,行,200(含)萬以上,8631,13313026
201409,10020000,行,未達50萬,165130,165925385
201409,10020000,行,50(含)-75萬,63654,70582620
201409,10020000,行,75(含)-100萬,22861,26868463
201409,10020000,行,100(含)-125萬,13535,18763418
201409,10020000,行,125(含)-150萬,4452,6326114
201409,10020000,行,150(含)-175萬,3603,5959020
201409,10020000,行,175(含)-200萬,1833,2439562
201409,10020000,行,200(含)萬以上,8190,12237860
201410,10020000,行,未達50萬,171366,165566218
201410,10020000,行,50(含)-75萬,66250,71663706
201410,10020000,行,75(含)-100萬,24004,27220369
201410,10020000,行,100(含)-125萬,14158,19373663
201410,10020000,行,125(含)-150萬,4638,6218034
201410,10020000,行,150(含)-175萬,3772,5340312
201410,10020000,行,175(含)-200萬,1885,2348039
201410,10020000,行,200(含)萬以上,8336,11573743
201411,10020000,行,未達50萬,162320,151653528
201411,10020000,行,50(含)-75萬,63011,66349373
201411,10020000,行,75(含)-100萬,22626,25470265
201411,10020000,行,100(含)-125萬,13368,17449478
201411,10020000,行,125(含)-150萬,4508,5927273
201411,10020000,行,150(含)-175萬,3789,5437144
201411,10020000,行,175(含)-200萬,1802,2272719
201411,10020000,行,200(含)萬以上,8224,11744930
201412,10020000,行,未達50萬,166271,147542189
201412,10020000,行,50(含)-75萬,63793,63416672
201412,10020000,行,75(含)-100萬,23039,24612084
201412,10020000,行,100(含)-125萬,13832,16963510
201412,10020000,行,125(含)-150萬,4539,5702502
201412,10020000,行,150(含)-175萬,3870,4973983
201412,10020000,行,175(含)-200萬,1798,2161447
201412,10020000,行,200(含)萬以上,8275,11007934
201501,10020000,行,未達50萬,161354,133132055
201501,10020000,行,50(含)-75萬,64080,59296278
201501,10020000,行,75(含)-100萬,23058,23258132
201501,10020000,行,100(含)-125萬,13287,15544375
201501,10020000,行,125(含)-150萬,4484,5486218
201501,10020000,行,150(含)-175萬,3713,4719549
201501,10020000,行,175(含)-200萬,1838,2115213
201501,10020000,行,200(含)萬以上,8097,10514090
201502,10020000,行,未達50萬,154750,129992254
201502,10020000,行,50(含)-75萬,62380,58117756
201502,10020000,行,75(含)-100萬,22941,22318524
201502,10020000,行,100(含)-125萬,13290,15042156
201502,10020000,行,125(含)-150萬,4385,4996296
201502,10020000,行,150(含)-175萬,3724,5522620
201502,10020000,行,175(含)-200萬,1700,1920234
201502,10020000,行,200(含)萬以上,7856,9619001
201503,10020000,行,未達50萬,161515,137471155
201503,10020000,行,50(含)-75萬,63383,59598617
201503,10020000,行,75(含)-100萬,23089,23322413
201503,10020000,行,100(含)-125萬,13934,15759429
201503,10020000,行,125(含)-150萬,4663,5919471
201503,10020000,行,150(含)-175萬,3892,5245909
201503,10020000,行,175(含)-200萬,1866,2243454
201503,10020000,行,200(含)萬以上,8464,10960020
201504,10020000,行,未達50萬,160026,136625211
201504,10020000,行,50(含)-75萬,63507,60319241
201504,10020000,行,75(含)-100萬,23330,23877210
201504,10020000,行,100(含)-125萬,13583,15841815
201504,10020000,行,125(含)-150萬,4652,5412000
201504,10020000,行,150(含)-175萬,3850,5757661
201504,10020000,行,175(含)-200萬,1906,2148166
201504,10020000,行,200(含)萬以上,8249,10396298
201505,10020000,行,未達50萬,165665,144278045
201505,10020000,行,50(含)-75萬,65081,62438499
201505,10020000,行,75(含)-100萬,23511,24543160
201505,10020000,行,100(含)-125萬,13630,16049139
201505,10020000,行,125(含)-150萬,4655,5610231
201505,10020000,行,150(含)-175萬,3903,4983591
201505,10020000,行,175(含)-200萬,1904,2259939
201505,10020000,行,200(含)萬以上,8458,10990226
201506,10020000,行,未達50萬,166821,149010349
201506,10020000,行,50(含)-75萬,66060,64552243
201506,10020000,行,75(含)-100萬,23731,25340902
201506,10020000,行,100(含)-125萬,13811,17300531
201506,10020000,行,125(含)-150萬,4631,5662760
201506,10020000,行,150(含)-175萬,4007,5222415
201506,10020000,行,175(含)-200萬,1843,2165620
201506,10020000,行,200(含)萬以上,8271,11017697
201507,10020000,行,未達50萬,167760,147055474
201507,10020000,行,50(含)-75萬,67460,65894156
201507,10020000,行,75(含)-100萬,24712,26599886
201507,10020000,行,100(含)-125萬,14083,17097862
201507,10020000,行,125(含)-150萬,4787,6068004
201507,10020000,行,150(含)-175萬,4058,5357605
201507,10020000,行,175(含)-200萬,1878,2275397
201507,10020000,行,200(含)萬以上,8638,11122530
201508,10020000,行,未達50萬,160929,133797100
201508,10020000,行,50(含)-75萬,64916,59962270
201508,10020000,行,75(含)-100萬,23313,23081331
201508,10020000,行,100(含)-125萬,13361,14969135
201508,10020000,行,125(含)-150萬,4665,5150282
201508,10020000,行,150(含)-175萬,3941,4899478
201508,10020000,行,175(含)-200萬,1895,2183551
201508,10020000,行,200(含)萬以上,8310,10568489
201509,10020000,行,未達50萬,159962,129780106
201509,10020000,行,50(含)-75萬,63543,57657445
201509,10020000,行,75(含)-100萬,22918,22723829
201509,10020000,行,100(含)-125萬,13541,14911562
201509,10020000,行,125(含)-150萬,4775,5593351
201509,10020000,行,150(含)-175萬,3891,5057956
201509,10020000,行,175(含)-200萬,1814,2071515
