年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10010000,衣,未達50萬,3865,11310250
201401,10010000,衣,50(含)-75萬,1477,4775280
201401,10010000,衣,75(含)-100萬,397,1177481
201401,10010000,衣,100(含)-125萬,164,563596
201401,10010000,衣,125(含)-150萬,61,215786
201401,10010000,衣,150(含)-175萬,41,114054
201401,10010000,衣,175(含)-200萬,20,98154
201401,10010000,衣,200(含)萬以上,100,385804
201402,10010000,衣,未達50萬,2220,5994462
201402,10010000,衣,50(含)-75萬,958,2831584
201402,10010000,衣,75(含)-100萬,252,780393
201402,10010000,衣,100(含)-125萬,87,276700
201402,10010000,衣,125(含)-150萬,29,67984
201402,10010000,衣,150(含)-175萬,18,54611
201402,10010000,衣,175(含)-200萬,20,61929
201402,10010000,衣,200(含)萬以上,61,184617
201403,10010000,衣,未達50萬,2394,6573818
201403,10010000,衣,50(含)-75萬,884,2653185
201403,10010000,衣,75(含)-100萬,260,886063
201403,10010000,衣,100(含)-125萬,100,424569
201403,10010000,衣,125(含)-150萬,36,107450
201403,10010000,衣,150(含)-175萬,32,77849
201403,10010000,衣,175(含)-200萬,14,17890
201403,10010000,衣,200(含)萬以上,78,291433
201404,10010000,衣,未達50萬,2530,7169058
201404,10010000,衣,50(含)-75萬,935,2804915
201404,10010000,衣,75(含)-100萬,235,699441
201404,10010000,衣,100(含)-125萬,124,456063
201404,10010000,衣,125(含)-150萬,30,72227
201404,10010000,衣,150(含)-175萬,27,133542
201404,10010000,衣,175(含)-200萬,16,66438
201404,10010000,衣,200(含)萬以上,71,275243
201405,10010000,衣,未達50萬,2909,7581920
201405,10010000,衣,50(含)-75萬,1093,3256938
201405,10010000,衣,75(含)-100萬,289,1012291
201405,10010000,衣,100(含)-125萬,152,455698
201405,10010000,衣,125(含)-150萬,53,147809
201405,10010000,衣,150(含)-175萬,37,108211
201405,10010000,衣,175(含)-200萬,15,37684
201405,10010000,衣,200(含)萬以上,68,226073
201406,10010000,衣,未達50萬,2463,6338806
201406,10010000,衣,50(含)-75萬,934,2515441
201406,10010000,衣,75(含)-100萬,279,856377
201406,10010000,衣,100(含)-125萬,87,311338
201406,10010000,衣,125(含)-150萬,48,133693
201406,10010000,衣,150(含)-175萬,25,56914
201406,10010000,衣,175(含)-200萬,19,28480
201406,10010000,衣,200(含)萬以上,74,266978
201407,10010000,衣,未達50萬,2664,6811837
201407,10010000,衣,50(含)-75萬,1009,2824655
201407,10010000,衣,75(含)-100萬,309,838481
201407,10010000,衣,100(含)-125萬,126,325021
201407,10010000,衣,125(含)-150萬,41,103995
201407,10010000,衣,150(含)-175萬,19,51127
201407,10010000,衣,175(含)-200萬,24,69958
201407,10010000,衣,200(含)萬以上,69,195208
201408,10010000,衣,未達50萬,3054,7462086
201408,10010000,衣,50(含)-75萬,1196,3124872
201408,10010000,衣,75(含)-100萬,373,941067
201408,10010000,衣,100(含)-125萬,124,308055
201408,10010000,衣,125(含)-150萬,61,153763
201408,10010000,衣,150(含)-175萬,26,61966
201408,10010000,衣,175(含)-200萬,26,61983
201408,10010000,衣,200(含)萬以上,97,364593
201409,10010000,衣,未達50萬,2549,7106849
201409,10010000,衣,50(含)-75萬,880,2734426
201409,10010000,衣,75(含)-100萬,312,961594
201409,10010000,衣,100(含)-125萬,100,291981
201409,10010000,衣,125(含)-150萬,39,111413
201409,10010000,衣,150(含)-175萬,24,82076
201409,10010000,衣,175(含)-200萬,14,60861
201409,10010000,衣,200(含)萬以上,71,237862
201410,10010000,衣,未達50萬,2709,7301201
201410,10010000,衣,50(含)-75萬,985,3179118
201410,10010000,衣,75(含)-100萬,231,662358
201410,10010000,衣,100(含)-125萬,133,500100
201410,10010000,衣,125(含)-150萬,36,121480
201410,10010000,衣,150(含)-175萬,24,65942
201410,10010000,衣,175(含)-200萬,12,68333
201410,10010000,衣,200(含)萬以上,66,224728
201411,10010000,衣,未達50萬,2510,6894303
