年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10010000,百貨,未達50萬,28,159530
201401,10010000,百貨,50(含)-75萬,13,79035
201401,10010000,百貨,75(含)-100萬,4,11609
201401,10010000,百貨,100(含)-125萬,1,4680
201401,10010000,百貨,125(含)-150萬,0,0
201401,10010000,百貨,150(含)-175萬,0,0
201401,10010000,百貨,175(含)-200萬,0,0
201401,10010000,百貨,200(含)萬以上,1,7000
201402,10010000,百貨,未達50萬,18,87726
201402,10010000,百貨,50(含)-75萬,9,88255
201402,10010000,百貨,75(含)-100萬,2,6415
201402,10010000,百貨,100(含)-125萬,1,2070
201402,10010000,百貨,125(含)-150萬,0,0
201402,10010000,百貨,150(含)-175萬,2,8695
201402,10010000,百貨,175(含)-200萬,0,0
201402,10010000,百貨,200(含)萬以上,1,9900
201403,10010000,百貨,未達50萬,21,112620
201403,10010000,百貨,50(含)-75萬,8,47065
201403,10010000,百貨,75(含)-100萬,0,0
201403,10010000,百貨,100(含)-125萬,2,6650
201403,10010000,百貨,125(含)-150萬,1,10000
201403,10010000,百貨,150(含)-175萬,0,0
201403,10010000,百貨,175(含)-200萬,0,0
201403,10010000,百貨,200(含)萬以上,3,25720
201404,10010000,百貨,未達50萬,18,130492
201404,10010000,百貨,50(含)-75萬,4,18595
201404,10010000,百貨,75(含)-100萬,2,10090
201404,10010000,百貨,100(含)-125萬,1,5940
201404,10010000,百貨,125(含)-150萬,0,0
201404,10010000,百貨,150(含)-175萬,0,0
201404,10010000,百貨,175(含)-200萬,0,0
201404,10010000,百貨,200(含)萬以上,0,0
201405,10010000,百貨,未達50萬,99,210396
201405,10010000,百貨,50(含)-75萬,33,55134
201405,10010000,百貨,75(含)-100萬,9,21214
201405,10010000,百貨,100(含)-125萬,7,2933
201405,10010000,百貨,125(含)-150萬,0,0
201405,10010000,百貨,150(含)-175萬,4,25203
201405,10010000,百貨,175(含)-200萬,3,683
201405,10010000,百貨,200(含)萬以上,1,5960
201406,10010000,百貨,未達50萬,303,420386
201406,10010000,百貨,50(含)-75萬,127,176980
201406,10010000,百貨,75(含)-100萬,28,18106
201406,10010000,百貨,100(含)-125萬,15,4208
201406,10010000,百貨,125(含)-150萬,3,7145
201406,10010000,百貨,150(含)-175萬,2,833
201406,10010000,百貨,175(含)-200萬,7,6447
201406,10010000,百貨,200(含)萬以上,3,4781
201407,10010000,百貨,未達50萬,214,228404
201407,10010000,百貨,50(含)-75萬,80,106372
201407,10010000,百貨,75(含)-100萬,21,12806
201407,10010000,百貨,100(含)-125萬,8,17461
201407,10010000,百貨,125(含)-150萬,7,6009
201407,10010000,百貨,150(含)-175萬,2,3454
201407,10010000,百貨,175(含)-200萬,2,1308
201407,10010000,百貨,200(含)萬以上,2,10570
201408,10010000,百貨,未達50萬,227,297785
201408,10010000,百貨,50(含)-75萬,71,129755
201408,10010000,百貨,75(含)-100萬,21,23526
201408,10010000,百貨,100(含)-125萬,10,21038
201408,10010000,百貨,125(含)-150萬,1,340
201408,10010000,百貨,150(含)-175萬,2,2689
201408,10010000,百貨,175(含)-200萬,11,8752
201408,10010000,百貨,200(含)萬以上,4,3798
201409,10010000,百貨,未達50萬,194,206205
201409,10010000,百貨,50(含)-75萬,75,109095
201409,10010000,百貨,75(含)-100萬,18,25618
201409,10010000,百貨,100(含)-125萬,17,34901
201409,10010000,百貨,125(含)-150萬,5,9754
201409,10010000,百貨,150(含)-175萬,2,877
201409,10010000,百貨,175(含)-200萬,5,4022
201409,10010000,百貨,200(含)萬以上,7,7588
201410,10010000,百貨,未達50萬,213,232140
201410,10010000,百貨,50(含)-75萬,68,59884
201410,10010000,百貨,75(含)-100萬,21,13957
201410,10010000,百貨,100(含)-125萬,7,13936
201410,10010000,百貨,125(含)-150萬,2,1257
201410,10010000,百貨,150(含)-175萬,2,2307
201410,10010000,百貨,175(含)-200萬,4,4687
201410,10010000,百貨,200(含)萬以上,4,8408
201411,10010000,百貨,未達50萬,176,218753
201411,10010000,百貨,50(含)-75萬,77,100318
201411,10010000,百貨,75(含)-100萬,16,18719
201411,10010000,百貨,100(含)-125萬,7,15204
201411,10010000,百貨,125(含)-150萬,0,0
201411,10010000,百貨,150(含)-175萬,3,2631
201411,10010000,百貨,175(含)-200萬,5,8820
201411,10010000,百貨,200(含)萬以上,3,20325
201412,10010000,百貨,未達50萬,230,278821
201412,10010000,百貨,50(含)-75萬,91,127877
201412,10010000,百貨,75(含)-100萬,24,19684
201412,10010000,百貨,100(含)-125萬,12,12770
201412,10010000,百貨,125(含)-150萬,1,2106
201412,10010000,百貨,150(含)-175萬,3,1684
201412,10010000,百貨,175(含)-200萬,9,25409
201412,10010000,百貨,200(含)萬以上,6,7599
201501,10010000,百貨,未達50萬,217,303912
201501,10010000,百貨,50(含)-75萬,76,132014
201501,10010000,百貨,75(含)-100萬,18,17305
201501,10010000,百貨,100(含)-125萬,8,19752
201501,10010000,百貨,125(含)-150萬,3,985
