年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10010000,其他,未達50萬,8940,34737264
201401,10010000,其他,50(含)-75萬,4080,16406462
201401,10010000,其他,75(含)-100萬,1626,6563878
201401,10010000,其他,100(含)-125萬,786,3787500
201401,10010000,其他,125(含)-150萬,239,1245842
201401,10010000,其他,150(含)-175萬,253,936687
201401,10010000,其他,175(含)-200萬,87,418363
201401,10010000,其他,200(含)萬以上,347,1903824
201402,10010000,其他,未達50萬,7281,27571445
201402,10010000,其他,50(含)-75萬,3285,13128061
201402,10010000,其他,75(含)-100萬,1358,5091998
201402,10010000,其他,100(含)-125萬,649,3073165
201402,10010000,其他,125(含)-150萬,226,887220
201402,10010000,其他,150(含)-175萬,157,666858
201402,10010000,其他,175(含)-200萬,106,470343
201402,10010000,其他,200(含)萬以上,259,2970576
201403,10010000,其他,未達50萬,8905,32042244
201403,10010000,其他,50(含)-75萬,3902,14742832
201403,10010000,其他,75(含)-100萬,1511,6574760
201403,10010000,其他,100(含)-125萬,791,4445633
201403,10010000,其他,125(含)-150萬,251,1194308
201403,10010000,其他,150(含)-175萬,230,1669983
201403,10010000,其他,175(含)-200萬,118,496818
201403,10010000,其他,200(含)萬以上,339,2836310
201404,10010000,其他,未達50萬,8802,32335376
201404,10010000,其他,50(含)-75萬,3954,16648060
201404,10010000,其他,75(含)-100萬,1559,6011186
201404,10010000,其他,100(含)-125萬,735,3114275
201404,10010000,其他,125(含)-150萬,270,1690527
201404,10010000,其他,150(含)-175萬,204,677306
201404,10010000,其他,175(含)-200萬,109,531970
201404,10010000,其他,200(含)萬以上,303,2226686
201405,10010000,其他,未達50萬,9722,33914366
201405,10010000,其他,50(含)-75萬,4389,17167720
201405,10010000,其他,75(含)-100萬,1613,5767928
201405,10010000,其他,100(含)-125萬,725,3762613
201405,10010000,其他,125(含)-150萬,274,1145241
201405,10010000,其他,150(含)-175萬,241,1232064
201405,10010000,其他,175(含)-200萬,122,521116
201405,10010000,其他,200(含)萬以上,350,3604163
201406,10010000,其他,未達50萬,9446,33052618
201406,10010000,其他,50(含)-75萬,4230,15860610
201406,10010000,其他,75(含)-100萬,1652,6147296
201406,10010000,其他,100(含)-125萬,730,3807065
201406,10010000,其他,125(含)-150萬,283,974014
201406,10010000,其他,150(含)-175萬,228,1031219
201406,10010000,其他,175(含)-200萬,127,600547
201406,10010000,其他,200(含)萬以上,356,2572591
201407,10010000,其他,未達50萬,9633,35094324
201407,10010000,其他,50(含)-75萬,4498,17752396
201407,10010000,其他,75(含)-100萬,1746,6419332
201407,10010000,其他,100(含)-125萬,774,4173465
201407,10010000,其他,125(含)-150萬,277,1188495
201407,10010000,其他,150(含)-175萬,230,1072950
201407,10010000,其他,175(含)-200萬,140,552219
201407,10010000,其他,200(含)萬以上,329,2286865
201408,10010000,其他,未達50萬,9471,30931769
201408,10010000,其他,50(含)-75萬,4399,16950047
201408,10010000,其他,75(含)-100萬,1760,6580508
201408,10010000,其他,100(含)-125萬,792,3566092
201408,10010000,其他,125(含)-150萬,275,1546655
201408,10010000,其他,150(含)-175萬,200,908274
201408,10010000,其他,175(含)-200萬,115,730366
201408,10010000,其他,200(含)萬以上,365,2318211
201409,10010000,其他,未達50萬,9582,32042652
201409,10010000,其他,50(含)-75萬,4203,16647047
201409,10010000,其他,75(含)-100萬,1628,6700804
201409,10010000,其他,100(含)-125萬,715,3884635
201409,10010000,其他,125(含)-150萬,266,1302819
201409,10010000,其他,150(含)-175萬,218,612088
201409,10010000,其他,175(含)-200萬,116,673944
