年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10010000,行,未達50萬,52939,55460895
201401,10010000,行,50(含)-75萬,10349,13376388
201401,10010000,行,75(含)-100萬,3935,5570014
201401,10010000,行,100(含)-125萬,2067,3940401
201401,10010000,行,125(含)-150萬,820,1305021
201401,10010000,行,150(含)-175萬,394,834693
201401,10010000,行,175(含)-200萬,230,682742
201401,10010000,行,200(含)萬以上,1002,2208286
201402,10010000,行,未達50萬,49818,51613420
201402,10010000,行,50(含)-75萬,10734,13423715
201402,10010000,行,75(含)-100萬,4098,5135925
201402,10010000,行,100(含)-125萬,2116,3126419
201402,10010000,行,125(含)-150萬,782,1073942
201402,10010000,行,150(含)-175萬,435,777078
201402,10010000,行,175(含)-200萬,248,423617
201402,10010000,行,200(含)萬以上,984,1698837
201403,10010000,行,未達50萬,52597,54306035
201403,10010000,行,50(含)-75萬,10813,13228596
201403,10010000,行,75(含)-100萬,4070,5658970
201403,10010000,行,100(含)-125萬,2127,3498906
201403,10010000,行,125(含)-150萬,771,1318846
201403,10010000,行,150(含)-175萬,448,1056078
201403,10010000,行,175(含)-200萬,214,303487
201403,10010000,行,200(含)萬以上,956,2052633
201404,10010000,行,未達50萬,51698,53430578
201404,10010000,行,50(含)-75萬,10332,13045729
201404,10010000,行,75(含)-100萬,3934,5349168
201404,10010000,行,100(含)-125萬,1913,3063222
201404,10010000,行,125(含)-150萬,705,1292741
201404,10010000,行,150(含)-175萬,398,1233670
201404,10010000,行,175(含)-200萬,198,315995
201404,10010000,行,200(含)萬以上,901,2134577
201405,10010000,行,未達50萬,53138,56156737
201405,10010000,行,50(含)-75萬,10093,12536715
201405,10010000,行,75(含)-100萬,3932,5616759
201405,10010000,行,100(含)-125萬,2021,3634018
201405,10010000,行,125(含)-150萬,782,1223843
201405,10010000,行,150(含)-175萬,410,927430
201405,10010000,行,175(含)-200萬,191,233294
201405,10010000,行,200(含)萬以上,891,2159846
201406,10010000,行,未達50萬,53825,57527833
201406,10010000,行,50(含)-75萬,10437,13268274
201406,10010000,行,75(含)-100萬,3929,5003647
201406,10010000,行,100(含)-125萬,2038,3413867
201406,10010000,行,125(含)-150萬,755,1179181
201406,10010000,行,150(含)-175萬,400,1233418
201406,10010000,行,175(含)-200萬,190,380537
201406,10010000,行,200(含)萬以上,862,1710528
201407,10010000,行,未達50萬,54726,56635324
201407,10010000,行,50(含)-75萬,10986,14043018
201407,10010000,行,75(含)-100萬,4071,5511350
201407,10010000,行,100(含)-125萬,2107,3718895
201407,10010000,行,125(含)-150萬,762,1192296
201407,10010000,行,150(含)-175萬,400,779333
201407,10010000,行,175(含)-200萬,218,416235
201407,10010000,行,200(含)萬以上,971,2290929
201408,10010000,行,未達50萬,55013,55657421
201408,10010000,行,50(含)-75萬,10888,13246291
201408,10010000,行,75(含)-100萬,4176,5172805
201408,10010000,行,100(含)-125萬,2097,3463509
201408,10010000,行,125(含)-150萬,759,1139057
201408,10010000,行,150(含)-175萬,380,771879
201408,10010000,行,175(含)-200萬,243,495328
201408,10010000,行,200(含)萬以上,969,2021523
201409,10010000,行,未達50萬,53376,52383035
201409,10010000,行,50(含)-75萬,10163,12329004
201409,10010000,行,75(含)-100萬,3944,5075057
201409,10010000,行,100(含)-125萬,1970,3146510
201409,10010000,行,125(含)-150萬,705,1158597
201409,10010000,行,150(含)-175萬,395,643854
201409,10010000,行,175(含)-200萬,186,373247
201409,10010000,行,200(含)萬以上,901,1953300
201410,10010000,行,未達50萬,56353,53729489
201410,10010000,行,50(含)-75萬,10559,11899613
201410,10010000,行,75(含)-100萬,4052,4873004
201410,10010000,行,100(含)-125萬,2044,3210248
201410,10010000,行,125(含)-150萬,739,1001436
201410,10010000,行,150(含)-175萬,459,984163
201410,10010000,行,175(含)-200萬,208,351230
201410,10010000,行,200(含)萬以上,941,1899839
201411,10010000,行,未達50萬,54131,48832373
201411,10010000,行,50(含)-75萬,10083,11399771
201411,10010000,行,75(含)-100萬,3877,4365251
201411,10010000,行,100(含)-125萬,1911,2758412
201411,10010000,行,125(含)-150萬,670,1272110
201411,10010000,行,150(含)-175萬,403,839319
201411,10010000,行,175(含)-200萬,214,253425
201411,10010000,行,200(含)萬以上,871,1772811
201412,10010000,行,未達50萬,56074,46450157
201412,10010000,行,50(含)-75萬,10025,10728232
201412,10010000,行,75(含)-100萬,3779,4097515
201412,10010000,行,100(含)-125萬,1888,2980184
201412,10010000,行,125(含)-150萬,708,1205939
201412,10010000,行,150(含)-175萬,378,976360
201412,10010000,行,175(含)-200萬,212,300267
201412,10010000,行,200(含)萬以上,940,2388738
201501,10010000,行,未達50萬,54989,41817719
201501,10010000,行,50(含)-75萬,10687,9821343
201501,10010000,行,75(含)-100萬,4056,4843660
201501,10010000,行,100(含)-125萬,2020,2337782
201501,10010000,行,125(含)-150萬,726,942502
201501,10010000,行,150(含)-175萬,473,1175297
201501,10010000,行,175(含)-200萬,232,362891
201501,10010000,行,200(含)萬以上,934,2024683
201502,10010000,行,未達50萬,54708,42206551
201502,10010000,行,50(含)-75萬,11485,10959177
201502,10010000,行,75(含)-100萬,4562,4468183
201502,10010000,行,100(含)-125萬,2388,2851982
201502,10010000,行,125(含)-150萬,815,927359
201502,10010000,行,150(含)-175萬,464,792757
201502,10010000,行,175(含)-200萬,243,303905
201502,10010000,行,200(含)萬以上,1038,1362795
201503,10010000,行,未達50萬,56386,44140892
201503,10010000,行,50(含)-75萬,11176,10901394
201503,10010000,行,75(含)-100萬,4102,4129309
201503,10010000,行,100(含)-125萬,2089,2668105
201503,10010000,行,125(含)-150萬,807,991316
201503,10010000,行,150(含)-175萬,418,947097
201503,10010000,行,175(含)-200萬,228,271035
201503,10010000,行,200(含)萬以上,994,1838012
201504,10010000,行,未達50萬,56234,44554197
201504,10010000,行,50(含)-75萬,11210,10800762
201504,10010000,行,75(含)-100萬,4327,4350477
201504,10010000,行,100(含)-125萬,2231,3193932
201504,10010000,行,125(含)-150萬,771,922517
201504,10010000,行,150(含)-175萬,486,935559
201504,10010000,行,175(含)-200萬,233,355103
201504,10010000,行,200(含)萬以上,999,1903764
201505,10010000,行,未達50萬,56966,47489795
201505,10010000,行,50(含)-75萬,10954,11157393
201505,10010000,行,75(含)-100萬,4149,4295206
201505,10010000,行,100(含)-125萬,2075,2524216
201505,10010000,行,125(含)-150萬,740,909798
201505,10010000,行,150(含)-175萬,407,665769
201505,10010000,行,175(含)-200萬,208,580947
201505,10010000,行,200(含)萬以上,1011,2054691
201506,10010000,行,未達50萬,57927,48453532
201506,10010000,行,50(含)-75萬,11315,11327167
201506,10010000,行,75(含)-100萬,4201,4616632
201506,10010000,行,100(含)-125萬,2130,3153386
201506,10010000,行,125(含)-150萬,773,1417145
201506,10010000,行,150(含)-175萬,434,795431
201506,10010000,行,175(含)-200萬,203,233377
201506,10010000,行,200(含)萬以上,1037,2038211
201507,10010000,行,未達50萬,57686,48203844
201507,10010000,行,50(含)-75萬,11798,12557279
201507,10010000,行,75(含)-100萬,4489,5255399
201507,10010000,行,100(含)-125萬,2126,2953657
201507,10010000,行,125(含)-150萬,812,1458558
201507,10010000,行,150(含)-175萬,446,656882
201507,10010000,行,175(含)-200萬,221,466006
201507,10010000,行,200(含)萬以上,1008,2103469
201508,10010000,行,未達50萬,54390,41879419
