年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10018000,百貨,未達50萬,132503,385636093
201401,10018000,百貨,50(含)-75萬,57160,186171012
201401,10018000,百貨,75(含)-100萬,21392,71272557
201401,10018000,百貨,100(含)-125萬,12945,46955943
201401,10018000,百貨,125(含)-150萬,5127,17857677
201401,10018000,百貨,150(含)-175萬,4149,14656511
201401,10018000,百貨,175(含)-200萬,2410,9283859
201401,10018000,百貨,200(含)萬以上,9355,39128528
201402,10018000,百貨,未達50萬,110537,300764390
201402,10018000,百貨,50(含)-75萬,45717,133490280
201402,10018000,百貨,75(含)-100萬,17279,52477338
201402,10018000,百貨,100(含)-125萬,10323,34288586
201402,10018000,百貨,125(含)-150萬,4102,12645655
201402,10018000,百貨,150(含)-175萬,3433,11812755
201402,10018000,百貨,175(含)-200萬,1978,6546760
201402,10018000,百貨,200(含)萬以上,7554,29399314
201403,10018000,百貨,未達50萬,103937,275940323
201403,10018000,百貨,50(含)-75萬,42827,121787888
201403,10018000,百貨,75(含)-100萬,16173,48806280
201403,10018000,百貨,100(含)-125萬,9685,29956010
201403,10018000,百貨,125(含)-150萬,4141,12964268
201403,10018000,百貨,150(含)-175萬,3279,9321739
201403,10018000,百貨,175(含)-200萬,2035,7452917
201403,10018000,百貨,200(含)萬以上,7623,29740205
201404,10018000,百貨,未達50萬,112258,350987247
201404,10018000,百貨,50(含)-75萬,45991,156452385
201404,10018000,百貨,75(含)-100萬,17352,60582494
201404,10018000,百貨,100(含)-125萬,9962,36828381
201404,10018000,百貨,125(含)-150萬,4299,14729602
201404,10018000,百貨,150(含)-175萬,3658,14825664
201404,10018000,百貨,175(含)-200萬,2005,8317606
201404,10018000,百貨,200(含)萬以上,8194,34605676
201405,10018000,百貨,未達50萬,128371,374667503
201405,10018000,百貨,50(含)-75萬,53400,170744012
201405,10018000,百貨,75(含)-100萬,20314,67505474
201405,10018000,百貨,100(含)-125萬,11902,44168576
201405,10018000,百貨,125(含)-150萬,5130,17374534
201405,10018000,百貨,150(含)-175萬,4213,14736717
201405,10018000,百貨,175(含)-200萬,2364,8945877
201405,10018000,百貨,200(含)萬以上,9060,40720672
201406,10018000,百貨,未達50萬,121697,317557316
201406,10018000,百貨,50(含)-75萬,52029,147708271
201406,10018000,百貨,75(含)-100萬,19856,59166019
201406,10018000,百貨,100(含)-125萬,11165,36089583
201406,10018000,百貨,125(含)-150萬,5176,16103496
201406,10018000,百貨,150(含)-175萬,4044,12642267
201406,10018000,百貨,175(含)-200萬,2374,7724639
201406,10018000,百貨,200(含)萬以上,9181,35799041
201407,10018000,百貨,未達50萬,128936,314325180
201407,10018000,百貨,50(含)-75萬,53497,139274969
201407,10018000,百貨,75(含)-100萬,20449,55650079
201407,10018000,百貨,100(含)-125萬,11279,32887237
201407,10018000,百貨,125(含)-150萬,5221,14448959
201407,10018000,百貨,150(含)-175萬,4321,12219328
201407,10018000,百貨,175(含)-200萬,2467,6917475
201407,10018000,百貨,200(含)萬以上,9299,32972611
201408,10018000,百貨,未達50萬,134979,332079570
201408,10018000,百貨,50(含)-75萬,56521,149833356
201408,10018000,百貨,75(含)-100萬,21258,57552053
201408,10018000,百貨,100(含)-125萬,12453,36806679
201408,10018000,百貨,125(含)-150萬,5487,16308133
201408,10018000,百貨,150(含)-175萬,4367,13272457
201408,10018000,百貨,175(含)-200萬,2415,7360840
201408,10018000,百貨,200(含)萬以上,9732,32372164
201409,10018000,百貨,未達50萬,105786,298911419
201409,10018000,百貨,50(含)-75萬,42665,127574844
201409,10018000,百貨,75(含)-100萬,16542,49730877
201409,10018000,百貨,100(含)-125萬,9334,29585213
201409,10018000,百貨,125(含)-150萬,4316,13911567
201409,10018000,百貨,150(含)-175萬,3570,10972007
201409,10018000,百貨,175(含)-200萬,1986,6346284
201409,10018000,百貨,200(含)萬以上,7746,28247861
201410,10018000,百貨,未達50萬,153097,554815942
201410,10018000,百貨,50(含)-75萬,58311,226237551
201410,10018000,百貨,75(含)-100萬,21555,81309751
201410,10018000,百貨,100(含)-125萬,12115,51754764
201410,10018000,百貨,125(含)-150萬,5344,21736087
201410,10018000,百貨,150(含)-175萬,4350,16703724
201410,10018000,百貨,175(含)-200萬,2398,11112694
201410,10018000,百貨,200(含)萬以上,9732,49372512
