年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10018000,食,未達50萬,177422,279751231
201401,10018000,食,50(含)-75萬,83541,130600194
201401,10018000,食,75(含)-100萬,31440,51877890
201401,10018000,食,100(含)-125萬,20167,32913156
201401,10018000,食,125(含)-150萬,8911,18564793
201401,10018000,食,150(含)-175萬,7951,16296375
201401,10018000,食,175(含)-200萬,4048,7693614
201401,10018000,食,200(含)萬以上,12947,26998441
201402,10018000,食,未達50萬,141400,172681434
201402,10018000,食,50(含)-75萬,68081,83268480
201402,10018000,食,75(含)-100萬,25916,35061397
201402,10018000,食,100(含)-125萬,16581,22211712
201402,10018000,食,125(含)-150萬,7163,10950018
201402,10018000,食,150(含)-175萬,6442,10641464
201402,10018000,食,175(含)-200萬,3247,5086784
201402,10018000,食,200(含)萬以上,10545,17353455
201403,10018000,食,未達50萬,165972,213471132
201403,10018000,食,50(含)-75萬,79060,98965383
201403,10018000,食,75(含)-100萬,29391,40213518
201403,10018000,食,100(含)-125萬,18517,25739169
201403,10018000,食,125(含)-150萬,8395,13660081
201403,10018000,食,150(含)-175萬,7668,13217340
201403,10018000,食,175(含)-200萬,3898,6164915
201403,10018000,食,200(含)萬以上,12440,21301727
201404,10018000,食,未達50萬,155909,203546338
201404,10018000,食,50(含)-75萬,74594,94702993
201404,10018000,食,75(含)-100萬,27773,39656008
201404,10018000,食,100(含)-125萬,17303,23338357
201404,10018000,食,125(含)-150萬,7799,14120419
201404,10018000,食,150(含)-175萬,7225,12960032
201404,10018000,食,175(含)-200萬,3532,6125464
201404,10018000,食,200(含)萬以上,11816,21000731
201405,10018000,食,未達50萬,174613,230119055
201405,10018000,食,50(含)-75萬,82687,107276272
201405,10018000,食,75(含)-100萬,31436,43830553
201405,10018000,食,100(含)-125萬,19734,27750412
201405,10018000,食,125(含)-150萬,9223,15880288
201405,10018000,食,150(含)-175萬,8189,15415451
201405,10018000,食,175(含)-200萬,3891,7021302
201405,10018000,食,200(含)萬以上,13142,23105582
201406,10018000,食,未達50萬,176454,222937208
201406,10018000,食,50(含)-75萬,84898,105845312
201406,10018000,食,75(含)-100萬,32616,44483074
201406,10018000,食,100(含)-125萬,20035,26166098
201406,10018000,食,125(含)-150萬,9351,15307009
201406,10018000,食,150(含)-175萬,8259,14806582
201406,10018000,食,175(含)-200萬,4341,7077303
201406,10018000,食,200(含)萬以上,13679,21590558
201407,10018000,食,未達50萬,197146,247745071
201407,10018000,食,50(含)-75萬,93109,117409917
201407,10018000,食,75(含)-100萬,35133,47097259
201407,10018000,食,100(含)-125萬,21421,28590939
201407,10018000,食,125(含)-150萬,9990,16157476
201407,10018000,食,150(含)-175萬,9063,15887785
201407,10018000,食,175(含)-200萬,4639,7581609
201407,10018000,食,200(含)萬以上,14468,23655605
201408,10018000,食,未達50萬,200673,264291277
201408,10018000,食,50(含)-75萬,97401,127791450
201408,10018000,食,75(含)-100萬,36880,52026980
201408,10018000,食,100(含)-125萬,22415,31056135
201408,10018000,食,125(含)-150萬,10148,18199838
201408,10018000,食,150(含)-175萬,9167,16037066
201408,10018000,食,175(含)-200萬,4576,7587624
201408,10018000,食,200(含)萬以上,14965,25413893
201409,10018000,食,未達50萬,182817,242165412
201409,10018000,食,50(含)-75萬,87101,112816224
201409,10018000,食,75(含)-100萬,33365,46969486
201409,10018000,食,100(含)-125萬,20173,28014671
201409,10018000,食,125(含)-150萬,9549,16355235
201409,10018000,食,150(含)-175萬,8821,16006958
201409,10018000,食,175(含)-200萬,4266,7888803
201409,10018000,食,200(含)萬以上,14132,23540207
201410,10018000,食,未達50萬,179231,231565501
201410,10018000,食,50(含)-75萬,84137,107114036
201410,10018000,食,75(含)-100萬,32497,44825606
201410,10018000,食,100(含)-125萬,20188,27094455
201410,10018000,食,125(含)-150萬,9551,16131213
201410,10018000,食,150(含)-175萬,8561,15478284
201410,10018000,食,175(含)-200萬,4204,7218341
201410,10018000,食,200(含)萬以上,13585,23400452
201411,10018000,食,未達50萬,178758,244585187
201411,10018000,食,50(含)-75萬,84321,111916326
201411,10018000,食,75(含)-100萬,33056,47974892
201411,10018000,食,100(含)-125萬,20153,29136680
201411,10018000,食,125(含)-150萬,9802,19551108
201411,10018000,食,150(含)-175萬,8623,16420448
201411,10018000,食,175(含)-200萬,4349,8094995
201411,10018000,食,200(含)萬以上,13845,23860446
201412,10018000,食,未達50萬,203881,282143770
201412,10018000,食,50(含)-75萬,95062,128646488
201412,10018000,食,75(含)-100萬,36975,55846909
201412,10018000,食,100(含)-125萬,22534,33335964
201412,10018000,食,125(含)-150萬,10478,20769413
201412,10018000,食,150(含)-175萬,9574,19678781
201412,10018000,食,175(含)-200萬,4637,8870466
201412,10018000,食,200(含)萬以上,15536,29348021
201501,10018000,食,未達50萬,185228,268560920
201501,10018000,食,50(含)-75萬,87613,124583885
201501,10018000,食,75(含)-100萬,33949,53842711
201501,10018000,食,100(含)-125萬,20836,32122394
201501,10018000,食,125(含)-150萬,10133,19157109
201501,10018000,食,150(含)-175萬,8983,18831353
201501,10018000,食,175(含)-200萬,4434,8610056
201501,10018000,食,200(含)萬以上,14233,26824300
201502,10018000,食,未達50萬,174839,280330550
201502,10018000,食,50(含)-75萬,83650,130209687
201502,10018000,食,75(含)-100萬,33113,56247644
201502,10018000,食,100(含)-125萬,20030,33086553
201502,10018000,食,125(含)-150萬,9313,18965245
201502,10018000,食,150(含)-175萬,8740,19998100
201502,10018000,食,175(含)-200萬,4351,9413133
201502,10018000,食,200(含)萬以上,13509,28186822
201503,10018000,食,未達50萬,168243,229917956
201503,10018000,食,50(含)-75萬,79451,107108391
201503,10018000,食,75(含)-100萬,31490,45954040
201503,10018000,食,100(含)-125萬,19324,26820348
201503,10018000,食,125(含)-150萬,9217,16513489
201503,10018000,食,150(含)-175萬,8533,15885158
201503,10018000,食,175(含)-200萬,4260,8115343
201503,10018000,食,200(含)萬以上,13128,23665645
201504,10018000,食,未達50萬,170687,230335201
201504,10018000,食,50(含)-75萬,80750,106018972
201504,10018000,食,75(含)-100萬,31657,46013398
201504,10018000,食,100(含)-125萬,19388,26501536
201504,10018000,食,125(含)-150萬,9380,17440926
201504,10018000,食,150(含)-175萬,8490,16313556
201504,10018000,食,175(含)-200萬,4122,7748598
201504,10018000,食,200(含)萬以上,13471,24428723
201505,10018000,食,未達50萬,192840,263828326
201505,10018000,食,50(含)-75萬,89576,117946884
201505,10018000,食,75(含)-100萬,35789,52657344
201505,10018000,食,100(含)-125萬,22115,30957790
201505,10018000,食,125(含)-150萬,10520,19378441
201505,10018000,食,150(含)-175萬,9646,18156518
201505,10018000,食,175(含)-200萬,4962,9129834
201505,10018000,食,200(含)萬以上,15177,26005215
201506,10018000,食,未達50萬,187662,241799520
201506,10018000,食,50(含)-75萬,86969,109811034
201506,10018000,食,75(含)-100萬,34184,48017013
201506,10018000,食,100(含)-125萬,21026,27432043
201506,10018000,食,125(含)-150萬,9949,17383177
201506,10018000,食,150(含)-175萬,9066,16485106
201506,10018000,食,175(含)-200萬,4495,7871668
201506,10018000,食,200(含)萬以上,14587,24200933
201507,10018000,食,未達50萬,201983,258615208
201507,10018000,食,50(含)-75萬,94279,119652081
201507,10018000,食,75(含)-100萬,37028,49567077
201507,10018000,食,100(含)-125萬,22565,30360609
201507,10018000,食,125(含)-150萬,10708,18049695
201507,10018000,食,150(含)-175萬,9766,17602469
201507,10018000,食,175(含)-200萬,4715,8697009
201507,10018000,食,200(含)萬以上,15239,25712350
201508,10018000,食,未達50萬,218875,296804299
201508,10018000,食,50(含)-75萬,103455,136628138
201508,10018000,食,75(含)-100萬,41215,58541000
201508,10018000,食,100(含)-125萬,25257,35008779
201508,10018000,食,125(含)-150萬,11838,20114868
201508,10018000,食,150(含)-175萬,10781,19878575
201508,10018000,食,175(含)-200萬,5301,9189627
201508,10018000,食,200(含)萬以上,17256,29102848
201509,10018000,食,未達50萬,192622,267299347
201509,10018000,食,50(含)-75萬,91166,122976936
201509,10018000,食,75(含)-100萬,36726,53044183
201509,10018000,食,100(含)-125萬,22168,31171397
201509,10018000,食,125(含)-150萬,10710,20310173
201509,10018000,食,150(含)-175萬,10182,19644386
201509,10018000,食,175(含)-200萬,5037,9427556
201509,10018000,食,200(含)萬以上,15700,27279221
201510,10018000,食,未達50萬,188952,246330759
201510,10018000,食,50(含)-75萬,88694,113068511
201510,10018000,食,75(含)-100萬,36145,49758823
201510,10018000,食,100(含)-125萬,21947,29353703
201510,10018000,食,125(含)-150萬,10729,20000096
201510,10018000,食,150(含)-175萬,9785,17859380
201510,10018000,食,175(含)-200萬,4839,8261440
201510,10018000,食,200(含)萬以上,15629,26224131
201511,10018000,食,未達50萬,185640,259656620
201511,10018000,食,50(含)-75萬,87697,118235800
201511,10018000,食,75(含)-100萬,35614,53857470
201511,10018000,食,100(含)-125萬,21886,31094705
201511,10018000,食,125(含)-150萬,10785,20530771
201511,10018000,食,150(含)-175萬,9862,19638380
201511,10018000,食,175(含)-200萬,5064,9734996
201511,10018000,食,200(含)萬以上,15491,27589565
201512,10018000,食,未達50萬,210857,296139118
201512,10018000,食,50(含)-75萬,98933,138431432
201512,10018000,食,75(含)-100萬,40499,62142334
201512,10018000,食,100(含)-125萬,24517,36574544
201512,10018000,食,125(含)-150萬,11976,24184482
201512,10018000,食,150(含)-175萬,11079,22502622
201512,10018000,食,175(含)-200萬,5406,10593324
201512,10018000,食,200(含)萬以上,17870,34344819
201601,10018000,食,未達50萬,295617,454011686
201601,10018000,食,50(含)-75萬,140667,216676983
201601,10018000,食,75(含)-100萬,59334,97356084
201601,10018000,食,100(含)-125萬,36899,59623475
201601,10018000,食,125(含)-150萬,17167,32950389
201601,10018000,食,150(含)-175萬,15441,32757039
201601,10018000,食,175(含)-200萬,8038,16346283
201601,10018000,食,200(含)萬以上,26481,53323829
201602,10018000,食,未達50萬,255362,380158664
201602,10018000,食,50(含)-75萬,123069,181489982
201602,10018000,食,75(含)-100萬,51795,79899293
201602,10018000,食,100(含)-125萬,32601,50939609
201602,10018000,食,125(含)-150萬,15124,27505668
201602,10018000,食,150(含)-175萬,13871,28349023
201602,10018000,食,175(含)-200萬,7029,13623530
201602,10018000,食,200(含)萬以上,23072,46215794
201603,10018000,食,未達50萬,254736,335052844
201603,10018000,食,50(含)-75萬,119266,154765938
201603,10018000,食,75(含)-100萬,51949,71722044
201603,10018000,食,100(含)-125萬,31904,42986847
201603,10018000,食,125(含)-150萬,15386,26387841
201603,10018000,食,150(含)-175萬,13910,24936442
201603,10018000,食,175(含)-200萬,7187,13026465
201603,10018000,食,200(含)萬以上,23628,42974260
201604,10018000,食,未達50萬,255664,340521438
201604,10018000,食,50(含)-75萬,119608,157656600
201604,10018000,食,75(含)-100萬,52136,71823812
201604,10018000,食,100(含)-125萬,32503,43936098
201604,10018000,食,125(含)-150萬,15721,27110819
201604,10018000,食,150(含)-175萬,14336,25231475
201604,10018000,食,175(含)-200萬,7647,13519041
201604,10018000,食,200(含)萬以上,24748,44687885
201605,10018000,食,未達50萬,271784,361632313
201605,10018000,食,50(含)-75萬,128573,165885581
201605,10018000,食,75(含)-100萬,56198,77565110
201605,10018000,食,100(含)-125萬,35150,46488865
201605,10018000,食,125(含)-150萬,16933,27935685
201605,10018000,食,150(含)-175萬,15469,27491004
201605,10018000,食,175(含)-200萬,7947,13480407
201605,10018000,食,200(含)萬以上,26090,44780567
201606,10018000,食,未達50萬,282891,361080214
201606,10018000,食,50(含)-75萬,134836,170460652
201606,10018000,食,75(含)-100萬,57281,79166549
201606,10018000,食,100(含)-125萬,35987,47052545
201606,10018000,食,125(含)-150萬,17056,28298028
201606,10018000,食,150(含)-175萬,15746,29441925
201606,10018000,食,175(含)-200萬,8105,13639757
201606,10018000,食,200(含)萬以上,27058,46097106
201607,10018000,食,未達50萬,298599,392418747
201607,10018000,食,50(含)-75萬,141899,183322799
201607,10018000,食,75(含)-100萬,61665,84418846
201607,10018000,食,100(含)-125萬,38115,51930889
201607,10018000,食,125(含)-150萬,18678,30708457
201607,10018000,食,150(含)-175萬,16783,30153737
201607,10018000,食,175(含)-200萬,8708,14846879
201607,10018000,食,200(含)萬以上,28165,49853396
201608,10018000,食,未達50萬,269632,363039736
201608,10018000,食,50(含)-75萬,117354,159996479
201608,10018000,食,75(含)-100萬,54565,76752268
201608,10018000,食,100(含)-125萬,32845,45698497
201608,10018000,食,125(含)-150萬,17714,28667527
201608,10018000,食,150(含)-175萬,15642,27335291
201608,10018000,食,175(含)-200萬,8139,13671466
201608,10018000,食,200(含)萬以上,26719,47528255
201609,10018000,食,未達50萬,277171,379703118
201609,10018000,食,50(含)-75萬,130019,176031405
201609,10018000,食,75(含)-100萬,57596,83321109
201609,10018000,食,100(含)-125萬,35859,50216767
201609,10018000,食,125(含)-150萬,18306,30303670
201609,10018000,食,150(含)-175萬,16221,29160618
201609,10018000,食,175(含)-200萬,8210,14320874
201609,10018000,食,200(含)萬以上,27194,46904923
201610,10018000,食,未達50萬,286690,366194057
201610,10018000,食,50(含)-75萬,134227,170246121
201610,10018000,食,75(含)-100萬,59941,80348893
201610,10018000,食,100(含)-125萬,36925,48751889
201610,10018000,食,125(含)-150萬,18950,29240528
201610,10018000,食,150(含)-175萬,16652,28842710
201610,10018000,食,175(含)-200萬,8634,14076266
201610,10018000,食,200(含)萬以上,28285,46562422
201611,10018000,食,未達50萬,221885,211295859
201611,10018000,食,50(含)-75萬,107585,108065497
201611,10018000,食,75(含)-100萬,44292,45947784
201611,10018000,食,100(含)-125萬,28695,30781119
201611,10018000,食,125(含)-150萬,12611,13433279
201611,10018000,食,150(含)-175萬,9651,10542292
201611,10018000,食,175(含)-200萬,5153,5633923
201611,10018000,食,200(含)萬以上,21014,27294891
201612,10018000,食,未達50萬,243296,238998321
201612,10018000,食,50(含)-75萬,116767,123241434
201612,10018000,食,75(含)-100萬,48030,52450875
201612,10018000,食,100(含)-125萬,31244,35359053
201612,10018000,食,125(含)-150萬,13806,15353461
201612,10018000,食,150(含)-175萬,10415,12522744
201612,10018000,食,175(含)-200萬,5864,7204920
201612,10018000,食,200(含)萬以上,22934,31579724
201701,10018000,食,未達50萬,236424,289613723
201701,10018000,食,50(含)-75萬,114443,146504985
201701,10018000,食,75(含)-100萬,46794,61572506
201701,10018000,食,100(含)-125萬,30775,41737982
201701,10018000,食,125(含)-150萬,13462,18426926
201701,10018000,食,150(含)-175萬,10036,13945346
201701,10018000,食,175(含)-200萬,5825,8241530
201701,10018000,食,200(含)萬以上,21949,35471671
201702,10018000,食,未達50萬,200600,200444021
201702,10018000,食,50(含)-75萬,97962,104332387
201702,10018000,食,75(含)-100萬,41398,44940489
201702,10018000,食,100(含)-125萬,27219,30373185
201702,10018000,食,125(含)-150萬,12235,13070487
201702,10018000,食,150(含)-175萬,9072,10548858
201702,10018000,食,175(含)-200萬,5324,6265622
201702,10018000,食,200(含)萬以上,20057,26542277
201703,10018000,食,未達50萬,215730,204803306
201703,10018000,食,50(含)-75萬,103647,103958363
201703,10018000,食,75(含)-100萬,43157,44829683
201703,10018000,食,100(含)-125萬,28629,30445255
201703,10018000,食,125(含)-150萬,12483,14241336
201703,10018000,食,150(含)-175萬,9185,10162723
201703,10018000,食,175(含)-200萬,5351,6068107
201703,10018000,食,200(含)萬以上,20642,27696884
201704,10018000,食,未達50萬,219039,216129664
201704,10018000,食,50(含)-75萬,105102,109758128
201704,10018000,食,75(含)-100萬,44214,46137237
201704,10018000,食,100(含)-125萬,28713,30925218
201704,10018000,食,125(含)-150萬,12643,13652719
201704,10018000,食,150(含)-175萬,9235,10588138
201704,10018000,食,175(含)-200萬,5525,6115493
201704,10018000,食,200(含)萬以上,21591,28254302
201705,10018000,食,未達50萬,222633,225178600
201705,10018000,食,50(含)-75萬,105931,113332007
201705,10018000,食,75(含)-100萬,44824,47688818
201705,10018000,食,100(含)-125萬,28969,32768310
201705,10018000,食,125(含)-150萬,13030,15123823
201705,10018000,食,150(含)-175萬,9797,11344894
201705,10018000,食,175(含)-200萬,5883,6691260
201705,10018000,食,200(含)萬以上,22512,29296424
201706,10018000,食,未達50萬,229234,217259893
201706,10018000,食,50(含)-75萬,108068,108995862
201706,10018000,食,75(含)-100萬,45836,47612549
201706,10018000,食,100(含)-125萬,29669,31880158
201706,10018000,食,125(含)-150萬,13113,13562890
201706,10018000,食,150(含)-175萬,9766,11040001
201706,10018000,食,175(含)-200萬,5931,6149828
201706,10018000,食,200(含)萬以上,22784,28237365
201707,10018000,食,未達50萬,255696,246845394
201707,10018000,食,50(含)-75萬,123089,123332815
201707,10018000,食,75(含)-100萬,51535,53722847
201707,10018000,食,100(含)-125萬,33058,35397915
201707,10018000,食,125(含)-150萬,14628,15480359
201707,10018000,食,150(含)-175萬,11174,12449297
201707,10018000,食,175(含)-200萬,6694,7151525
201707,10018000,食,200(含)萬以上,25414,31825451
201708,10018000,食,未達50萬,252562,258540300
201708,10018000,食,50(含)-75萬,119999,127080647
201708,10018000,食,75(含)-100萬,49553,53174371
201708,10018000,食,100(含)-125萬,31769,36326686
201708,10018000,食,125(含)-150萬,14268,16131039
201708,10018000,食,150(含)-175萬,10600,12695972
201708,10018000,食,175(含)-200萬,6366,7159460
201708,10018000,食,200(含)萬以上,24532,32059466
201709,10018000,食,未達50萬,235891,242418118
201709,10018000,食,50(含)-75萬,112890,121325276
201709,10018000,食,75(含)-100萬,47119,51315599
201709,10018000,食,100(含)-125萬,30806,34920032
201709,10018000,食,125(含)-150萬,13908,15210994
201709,10018000,食,150(含)-175萬,10512,12492424
201709,10018000,食,175(含)-200萬,6403,7330972
201709,10018000,食,200(含)萬以上,24131,31821229
201710,10018000,食,未達50萬,245435,242698600
201710,10018000,食,50(含)-75萬,117364,121016836
201710,10018000,食,75(含)-100萬,49552,53523327
201710,10018000,食,100(含)-125萬,32198,35339225
201710,10018000,食,125(含)-150萬,14539,15305395
201710,10018000,食,150(含)-175萬,11024,12734199
201710,10018000,食,175(含)-200萬,6368,6734444
201710,10018000,食,200(含)萬以上,25351,31833580
201711,10018000,食,未達50萬,235324,223469282
201711,10018000,食,50(含)-75萬,109310,108797083
201711,10018000,食,75(含)-100萬,46576,48361877
201711,10018000,食,100(含)-125萬,29939,33059446
201711,10018000,食,125(含)-150萬,13835,14488792
201711,10018000,食,150(含)-175萬,10107,11654527
201711,10018000,食,175(含)-200萬,6172,6612189
201711,10018000,食,200(含)萬以上,23667,30058055
201712,10018000,食,未達50萬,260500,260269408
201712,10018000,食,50(含)-75萬,121175,128533837
201712,10018000,食,75(含)-100萬,51922,55318849
201712,10018000,食,100(含)-125萬,33326,38775917
201712,10018000,食,125(含)-150萬,15303,16452611
201712,10018000,食,150(含)-175萬,11304,13744182
201712,10018000,食,175(含)-200萬,7073,8048981
201712,10018000,食,200(含)萬以上,27613,38326203
201801,10018000,食,未達50萬,226535,239383840
201801,10018000,食,50(含)-75萬,110358,123967272
201801,10018000,食,75(含)-100萬,46591,53119773
201801,10018000,食,100(含)-125萬,30572,37384509
201801,10018000,食,125(含)-150萬,13910,15450844
201801,10018000,食,150(含)-175萬,10168,12165397
201801,10018000,食,175(含)-200萬,6290,7638151
201801,10018000,食,200(含)萬以上,23906,32899807
201802,10018000,食,未達50萬,234501,280931158
201802,10018000,食,50(含)-75萬,112370,142576798
201802,10018000,食,75(含)-100萬,48501,62105047
201802,10018000,食,100(含)-125萬,31775,42576648
201802,10018000,食,125(含)-150萬,14207,18357249
201802,10018000,食,150(含)-175萬,10773,14635021
201802,10018000,食,175(含)-200萬,6657,8799125
201802,10018000,食,200(含)萬以上,25045,37575719
201803,10018000,食,未達50萬,223379,209275962
201803,10018000,食,50(含)-75萬,107505,103486794
201803,10018000,食,75(含)-100萬,46637,46846395
201803,10018000,食,100(含)-125萬,30406,32206647
201803,10018000,食,125(含)-150萬,13658,13811079
201803,10018000,食,150(含)-175萬,10808,11881633
201803,10018000,食,175(含)-200萬,6312,7000118
201803,10018000,食,200(含)萬以上,24432,29924110
201804,10018000,食,未達50萬,264979,295772939
201804,10018000,食,50(含)-75萬,124967,140726567
201804,10018000,食,75(含)-100萬,56719,66312370
201804,10018000,食,100(含)-125萬,35857,41875557
201804,10018000,食,125(含)-150萬,17103,22192409
201804,10018000,食,150(含)-175萬,14021,19994098
201804,10018000,食,175(含)-200萬,8163,11709337
201804,10018000,食,200(含)萬以上,29054,40506144
201805,10018000,食,未達50萬,325905,400280914
201805,10018000,食,50(含)-75萬,154058,186605418
201805,10018000,食,75(含)-100萬,71250,91425180
201805,10018000,食,100(含)-125萬,43823,54492666
201805,10018000,食,125(含)-150萬,23107,32343388
201805,10018000,食,150(含)-175萬,19396,30887383
201805,10018000,食,175(含)-200萬,10678,16067323
201805,10018000,食,200(含)萬以上,35873,54070126
201806,10018000,食,未達50萬,339578,406187655
201806,10018000,食,50(含)-75萬,158656,186278553
201806,10018000,食,75(含)-100萬,74321,91161628
201806,10018000,食,100(含)-125萬,45436,55208394
201806,10018000,食,125(含)-150萬,24100,32570710
201806,10018000,食,150(含)-175萬,20049,28997324
201806,10018000,食,175(含)-200萬,11422,16097353
201806,10018000,食,200(含)萬以上,37857,55050171
201807,10018000,食,未達50萬,363094,437257697
201807,10018000,食,50(含)-75萬,170516,201079862
201807,10018000,食,75(含)-100萬,79619,98711296
201807,10018000,食,100(含)-125萬,48074,57901569
201807,10018000,食,125(含)-150萬,25359,34826430
201807,10018000,食,150(含)-175萬,20884,31834522
201807,10018000,食,175(含)-200萬,11869,17364233
201807,10018000,食,200(含)萬以上,39949,60597339
201808,10018000,食,未達50萬,352056,441220330
201808,10018000,食,50(含)-75萬,165772,203240256
201808,10018000,食,75(含)-100萬,77272,96812229
201808,10018000,食,100(含)-125萬,46797,59237895
201808,10018000,食,125(含)-150萬,24267,34556009
201808,10018000,食,150(含)-175萬,19876,30671591
201808,10018000,食,175(含)-200萬,11400,16429291
201808,10018000,食,200(含)萬以上,38271,56798952
201809,10018000,食,未達50萬,348270,455894433
201809,10018000,食,50(含)-75萬,163371,208162772
201809,10018000,食,75(含)-100萬,77145,102585308
201809,10018000,食,100(含)-125萬,47057,61806751
201809,10018000,食,125(含)-150萬,25136,37080951
201809,10018000,食,150(含)-175萬,20472,32938685
201809,10018000,食,175(含)-200萬,11809,18484292
201809,10018000,食,200(含)萬以上,39295,61057934
201810,10018000,食,未達50萬,295649,376689110
201810,10018000,食,50(含)-75萬,142461,172840642
201810,10018000,食,75(含)-100萬,67173,86916743
201810,10018000,食,100(含)-125萬,40421,49336170
201810,10018000,食,125(含)-150萬,21829,32691443
201810,10018000,食,150(含)-175萬,17832,27485587
201810,10018000,食,175(含)-200萬,10563,15898796
201810,10018000,食,200(含)萬以上,34090,50612236
201811,10018000,食,未達50萬,332379,422320208
201811,10018000,食,50(含)-75萬,152040,191128912
201811,10018000,食,75(含)-100萬,71589,95313462
201811,10018000,食,100(含)-125萬,43454,56262739
201811,10018000,食,125(含)-150萬,23110,37324337
201811,10018000,食,150(含)-175萬,19083,30780827
201811,10018000,食,175(含)-200萬,11219,16915071
201811,10018000,食,200(含)萬以上,37166,57175807
201812,10018000,食,未達50萬,376751,480968772
201812,10018000,食,50(含)-75萬,172845,219685690
201812,10018000,食,75(含)-100萬,81788,110317781
201812,10018000,食,100(含)-125萬,49651,65290969
201812,10018000,食,125(含)-150萬,26468,42331817
201812,10018000,食,150(含)-175萬,21775,36462631
201812,10018000,食,175(含)-200萬,12994,21205052
201812,10018000,食,200(含)萬以上,42710,69309634
201901,10018000,食,未達50萬,335738,482645682
201901,10018000,食,50(含)-75萬,158742,227332671
201901,10018000,食,75(含)-100萬,74548,111576096
201901,10018000,食,100(含)-125萬,45276,67747220
201901,10018000,食,125(含)-150萬,23800,40557454
201901,10018000,食,150(含)-175萬,19930,37033634
201901,10018000,食,175(含)-200萬,11700,20314240
201901,10018000,食,200(含)萬以上,37850,68327480
201902,10018000,食,未達50萬,264071,358286727
201902,10018000,食,50(含)-75萬,126307,166691182
201902,10018000,食,75(含)-100萬,61090,84425887
201902,10018000,食,100(含)-125萬,37279,50227675
201902,10018000,食,125(含)-150萬,19814,30979367
201902,10018000,食,150(含)-175萬,16384,27717073
201902,10018000,食,175(含)-200萬,9868,15779523
201902,10018000,食,200(含)萬以上,32485,52405581
201903,10018000,食,未達50萬,334204,405097597
