年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10018000,其他,未達50萬,30987,139395451
201401,10018000,其他,50(含)-75萬,16076,82706497
201401,10018000,其他,75(含)-100萬,5991,33643931
201401,10018000,其他,100(含)-125萬,4036,26455971
201401,10018000,其他,125(含)-150萬,1389,9048979
201401,10018000,其他,150(含)-175萬,1179,8590432
201401,10018000,其他,175(含)-200萬,597,4220745
201401,10018000,其他,200(含)萬以上,2447,18359020
201402,10018000,其他,未達50萬,24183,100452237
201402,10018000,其他,50(含)-75萬,12168,59904853
201402,10018000,其他,75(含)-100萬,4623,24999232
201402,10018000,其他,100(含)-125萬,3035,18074268
201402,10018000,其他,125(含)-150萬,1047,6637294
201402,10018000,其他,150(含)-175萬,986,6116486
201402,10018000,其他,175(含)-200萬,440,2429642
201402,10018000,其他,200(含)萬以上,1804,14411626
201403,10018000,其他,未達50萬,27737,114747279
201403,10018000,其他,50(含)-75萬,13817,69175767
201403,10018000,其他,75(含)-100萬,5213,28294394
201403,10018000,其他,100(含)-125萬,3417,23536668
201403,10018000,其他,125(含)-150萬,1194,7644818
201403,10018000,其他,150(含)-175萬,1039,6338041
201403,10018000,其他,175(含)-200萬,497,3780891
201403,10018000,其他,200(含)萬以上,2150,16548599
201404,10018000,其他,未達50萬,26019,108415093
201404,10018000,其他,50(含)-75萬,13165,73868283
201404,10018000,其他,75(含)-100萬,5014,33869207
201404,10018000,其他,100(含)-125萬,3099,19809920
201404,10018000,其他,125(含)-150萬,1125,7119663
201404,10018000,其他,150(含)-175萬,945,7437183
201404,10018000,其他,175(含)-200萬,489,3263180
201404,10018000,其他,200(含)萬以上,2047,18406047
201405,10018000,其他,未達50萬,26790,116351682
201405,10018000,其他,50(含)-75萬,13918,74681762
201405,10018000,其他,75(含)-100萬,4981,29425229
201405,10018000,其他,100(含)-125萬,3396,21623678
201405,10018000,其他,125(含)-150萬,1244,7193587
201405,10018000,其他,150(含)-175萬,1067,7864262
201405,10018000,其他,175(含)-200萬,504,3891758
201405,10018000,其他,200(含)萬以上,2115,16922463
201406,10018000,其他,未達50萬,27293,110646389
201406,10018000,其他,50(含)-75萬,13730,70685506
201406,10018000,其他,75(含)-100萬,5307,33138302
201406,10018000,其他,100(含)-125萬,3332,20630313
201406,10018000,其他,125(含)-150萬,1280,7942319
201406,10018000,其他,150(含)-175萬,1049,6064975
201406,10018000,其他,175(含)-200萬,540,3484204
201406,10018000,其他,200(含)萬以上,2181,16147909
201407,10018000,其他,未達50萬,27770,112599539
201407,10018000,其他,50(含)-75萬,14166,71241615
201407,10018000,其他,75(含)-100萬,5353,29890107
201407,10018000,其他,100(含)-125萬,3494,21082935
201407,10018000,其他,125(含)-150萬,1336,8019394
201407,10018000,其他,150(含)-175萬,1036,6151928
201407,10018000,其他,175(含)-200萬,558,3661132
201407,10018000,其他,200(含)萬以上,2181,19140411
201408,10018000,其他,未達50萬,26131,101114856
201408,10018000,其他,50(含)-75萬,13698,63577296
201408,10018000,其他,75(含)-100萬,5076,27214205
201408,10018000,其他,100(含)-125萬,3376,19644395
201408,10018000,其他,125(含)-150萬,1273,7268227
201408,10018000,其他,150(含)-175萬,1057,6089495
201408,10018000,其他,175(含)-200萬,560,2886194
201408,10018000,其他,200(含)萬以上,2159,15878185
201409,10018000,其他,未達50萬,25771,111671554
201409,10018000,其他,50(含)-75萬,13032,66734788
201409,10018000,其他,75(含)-100萬,4891,28266203
201409,10018000,其他,100(含)-125萬,3261,19739339
201409,10018000,其他,125(含)-150萬,1243,7220943
201409,10018000,其他,150(含)-175萬,1022,6897183
201409,10018000,其他,175(含)-200萬,467,3242765
201409,10018000,其他,200(含)萬以上,2025,18443883
201410,10018000,其他,未達50萬,27171,121336053
201410,10018000,其他,50(含)-75萬,14133,78576252
201410,10018000,其他,75(含)-100萬,5216,34366002
201410,10018000,其他,100(含)-125萬,3333,20638541
201410,10018000,其他,125(含)-150萬,1259,7794503
201410,10018000,其他,150(含)-175萬,1077,6639971
201410,10018000,其他,175(含)-200萬,552,3545490
201410,10018000,其他,200(含)萬以上,2197,19653103
201411,10018000,其他,未達50萬,25691,113603405
201411,10018000,其他,50(含)-75萬,13134,69561391
201411,10018000,其他,75(含)-100萬,4956,29473212
201411,10018000,其他,100(含)-125萬,3005,18211935
201411,10018000,其他,125(含)-150萬,1252,8265833
201411,10018000,其他,150(含)-175萬,1035,6906104
201411,10018000,其他,175(含)-200萬,522,3796772
201411,10018000,其他,200(含)萬以上,2072,19822805
201412,10018000,其他,未達50萬,28953,128383615
201412,10018000,其他,50(含)-75萬,14996,84177989
201412,10018000,其他,75(含)-100萬,5844,39713937
201412,10018000,其他,100(含)-125萬,3805,24060848
201412,10018000,其他,125(含)-150萬,1408,9688926
201412,10018000,其他,150(含)-175萬,1147,7316979
201412,10018000,其他,175(含)-200萬,571,3796943
201412,10018000,其他,200(含)萬以上,2387,20827311
201501,10018000,其他,未達50萬,26249,119134036
201501,10018000,其他,50(含)-75萬,13286,72693729
201501,10018000,其他,75(含)-100萬,5073,30309023
201501,10018000,其他,100(含)-125萬,3249,22635318
201501,10018000,其他,125(含)-150萬,1280,9132132
201501,10018000,其他,150(含)-175萬,945,6156491
201501,10018000,其他,175(含)-200萬,619,4849740
201501,10018000,其他,200(含)萬以上,2192,19802938
201502,10018000,其他,未達50萬,22474,102512608
201502,10018000,其他,50(含)-75萬,11869,63058786
201502,10018000,其他,75(含)-100萬,4642,26480326
201502,10018000,其他,100(含)-125萬,2861,18404572
201502,10018000,其他,125(含)-150萬,1125,7572220
201502,10018000,其他,150(含)-175萬,923,5749117
201502,10018000,其他,175(含)-200萬,418,3145672
201502,10018000,其他,200(含)萬以上,1902,15976061
