年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10018000,行,未達50萬,51133,51880417
201401,10018000,行,50(含)-75萬,26058,28472398
201401,10018000,行,75(含)-100萬,11543,13534681
201401,10018000,行,100(含)-125萬,6361,8198505
201401,10018000,行,125(含)-150萬,2494,3097674
201401,10018000,行,150(含)-175萬,1777,2554578
201401,10018000,行,175(含)-200萬,1106,1483945
201401,10018000,行,200(含)萬以上,3545,5101164
201402,10018000,行,未達50萬,44724,46424572
201402,10018000,行,50(含)-75萬,23087,25010613
201402,10018000,行,75(含)-100萬,10261,11775263
201402,10018000,行,100(含)-125萬,5520,6710992
201402,10018000,行,125(含)-150萬,2131,2679394
201402,10018000,行,150(含)-175萬,1548,2132278
201402,10018000,行,175(含)-200萬,969,1205896
201402,10018000,行,200(含)萬以上,3116,4135666
201403,10018000,行,未達50萬,51097,51894143
201403,10018000,行,50(含)-75萬,25864,27455341
201403,10018000,行,75(含)-100萬,11579,13297315
201403,10018000,行,100(含)-125萬,6124,7452909
201403,10018000,行,125(含)-150萬,2389,3282812
201403,10018000,行,150(含)-175萬,1744,2481385
201403,10018000,行,175(含)-200萬,1061,1469072
201403,10018000,行,200(含)萬以上,3538,5676081
201404,10018000,行,未達50萬,49052,49155169
201404,10018000,行,50(含)-75萬,25230,26744865
201404,10018000,行,75(含)-100萬,11129,12993063
201404,10018000,行,100(含)-125萬,5923,7610704
201404,10018000,行,125(含)-150萬,2271,2977255
201404,10018000,行,150(含)-175萬,1626,2070290
201404,10018000,行,175(含)-200萬,974,1243667
201404,10018000,行,200(含)萬以上,3449,5579775
201405,10018000,行,未達50萬,52375,52879183
201405,10018000,行,50(含)-75萬,26789,28787622
201405,10018000,行,75(含)-100萬,11885,13846956
201405,10018000,行,100(含)-125萬,6312,8284229
201405,10018000,行,125(含)-150萬,2330,3216622
201405,10018000,行,150(含)-175萬,1675,2231692
201405,10018000,行,175(含)-200萬,1093,1505640
201405,10018000,行,200(含)萬以上,3610,5907192
201406,10018000,行,未達50萬,52290,54464535
201406,10018000,行,50(含)-75萬,26331,27818787
201406,10018000,行,75(含)-100萬,11732,13509680
201406,10018000,行,100(含)-125萬,6157,8081321
201406,10018000,行,125(含)-150萬,2414,2893750
201406,10018000,行,150(含)-175萬,1692,2556544
201406,10018000,行,175(含)-200萬,1136,1335513
201406,10018000,行,200(含)萬以上,3636,5607602
201407,10018000,行,未達50萬,53703,55102613
201407,10018000,行,50(含)-75萬,27390,29608679
201407,10018000,行,75(含)-100萬,12242,14642886
201407,10018000,行,100(含)-125萬,6394,8836944
201407,10018000,行,125(含)-150萬,2614,3218935
201407,10018000,行,150(含)-175萬,1759,2343448
201407,10018000,行,175(含)-200萬,1145,1806111
201407,10018000,行,200(含)萬以上,3681,5510893
201408,10018000,行,未達50萬,54457,53277167
201408,10018000,行,50(含)-75萬,28117,28722486
201408,10018000,行,75(含)-100萬,12666,14111764
201408,10018000,行,100(含)-125萬,6552,8168618
201408,10018000,行,125(含)-150萬,2649,3340647
201408,10018000,行,150(含)-175萬,1847,2573547
201408,10018000,行,175(含)-200萬,1151,1568756
201408,10018000,行,200(含)萬以上,3789,5945381
201409,10018000,行,未達50萬,52041,50018395
201409,10018000,行,50(含)-75萬,26628,26604816
201409,10018000,行,75(含)-100萬,11918,13349699
201409,10018000,行,100(含)-125萬,6375,7646883
201409,10018000,行,125(含)-150萬,2419,2953586
201409,10018000,行,150(含)-175萬,1748,1938531
201409,10018000,行,175(含)-200萬,1089,1243017
201409,10018000,行,200(含)萬以上,3604,5565581
201410,10018000,行,未達50萬,53502,48722600
201410,10018000,行,50(含)-75萬,27596,25896913
201410,10018000,行,75(含)-100萬,12409,12249124
201410,10018000,行,100(含)-125萬,6558,7494951
201410,10018000,行,125(含)-150萬,2581,2826369
201410,10018000,行,150(含)-175萬,1828,2401527
201410,10018000,行,175(含)-200萬,1159,1279524
201410,10018000,行,200(含)萬以上,3641,5257953
201411,10018000,行,未達50萬,51982,45977225
201411,10018000,行,50(含)-75萬,26647,25419112
201411,10018000,行,75(含)-100萬,11853,12049420
201411,10018000,行,100(含)-125萬,6341,7126602
201411,10018000,行,125(含)-150萬,2496,3218416
201411,10018000,行,150(含)-175萬,1749,2251582
201411,10018000,行,175(含)-200萬,1120,1187654
201411,10018000,行,200(含)萬以上,3549,5198852
201412,10018000,行,未達50萬,54574,46181358
201412,10018000,行,50(含)-75萬,27862,25922584
201412,10018000,行,75(含)-100萬,12630,12900289
201412,10018000,行,100(含)-125萬,6777,7639996
201412,10018000,行,125(含)-150萬,2635,3401436
201412,10018000,行,150(含)-175萬,1843,1797705
201412,10018000,行,175(含)-200萬,1207,1458068
201412,10018000,行,200(含)萬以上,3986,5370770
201501,10018000,行,未達50萬,52332,40200920
201501,10018000,行,50(含)-75萬,26997,22378419
201501,10018000,行,75(含)-100萬,12277,10725806
201501,10018000,行,100(含)-125萬,6611,6717284
201501,10018000,行,125(含)-150萬,2473,2573098
201501,10018000,行,150(含)-175萬,1726,1444544
201501,10018000,行,175(含)-200萬,1190,1260645
201501,10018000,行,200(含)萬以上,3793,4693102
201502,10018000,行,未達50萬,50713,38844386
201502,10018000,行,50(含)-75萬,25600,20781774
201502,10018000,行,75(含)-100萬,11724,10127592
201502,10018000,行,100(含)-125萬,6263,6314026
201502,10018000,行,125(含)-150萬,2569,2136596
201502,10018000,行,150(含)-175萬,1770,1891210
201502,10018000,行,175(含)-200萬,1097,944876
201502,10018000,行,200(含)萬以上,3557,4208919
201503,10018000,行,未達50萬,57074,43884474
