年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10004000,衣,未達50萬,8234,27015416
201401,10004000,衣,50(含)-75萬,3649,12434471
201401,10004000,衣,75(含)-100萬,1209,4336333
201401,10004000,衣,100(含)-125萬,677,2489034
201401,10004000,衣,125(含)-150萬,229,795385
201401,10004000,衣,150(含)-175萬,184,704299
201401,10004000,衣,175(含)-200萬,93,315426
201401,10004000,衣,200(含)萬以上,460,2402357
201402,10004000,衣,未達50萬,5185,15904556
201402,10004000,衣,50(含)-75萬,2301,7187669
201402,10004000,衣,75(含)-100萬,806,2557993
201402,10004000,衣,100(含)-125萬,413,1425882
201402,10004000,衣,125(含)-150萬,178,601348
201402,10004000,衣,150(含)-175萬,133,572504
201402,10004000,衣,175(含)-200萬,58,124998
201402,10004000,衣,200(含)萬以上,289,973456
201403,10004000,衣,未達50萬,5756,17503816
201403,10004000,衣,50(含)-75萬,2545,7751621
201403,10004000,衣,75(含)-100萬,941,2797501
201403,10004000,衣,100(含)-125萬,511,1704835
201403,10004000,衣,125(含)-150萬,186,556318
201403,10004000,衣,150(含)-175萬,139,471403
201403,10004000,衣,175(含)-200萬,74,265005
201403,10004000,衣,200(含)萬以上,326,1486483
201404,10004000,衣,未達50萬,5849,17298305
201404,10004000,衣,50(含)-75萬,2771,8758949
201404,10004000,衣,75(含)-100萬,882,2969050
201404,10004000,衣,100(含)-125萬,446,1566640
201404,10004000,衣,125(含)-150萬,191,491998
201404,10004000,衣,150(含)-175萬,150,480333
201404,10004000,衣,175(含)-200萬,85,269082
201404,10004000,衣,200(含)萬以上,355,1536548
201405,10004000,衣,未達50萬,6930,20358758
201405,10004000,衣,50(含)-75萬,3098,9068708
201405,10004000,衣,75(含)-100萬,1096,3613139
201405,10004000,衣,100(含)-125萬,560,1791459
201405,10004000,衣,125(含)-150萬,189,509770
201405,10004000,衣,150(含)-175萬,178,601618
201405,10004000,衣,175(含)-200萬,97,275255
201405,10004000,衣,200(含)萬以上,385,1516361
201406,10004000,衣,未達50萬,6140,17377358
201406,10004000,衣,50(含)-75萬,2676,7998228
201406,10004000,衣,75(含)-100萬,952,2900456
201406,10004000,衣,100(含)-125萬,492,1627707
201406,10004000,衣,125(含)-150萬,212,760013
201406,10004000,衣,150(含)-175萬,168,510094
201406,10004000,衣,175(含)-200萬,86,310523
201406,10004000,衣,200(含)萬以上,329,1562514
201407,10004000,衣,未達50萬,5989,16329022
201407,10004000,衣,50(含)-75萬,2813,8042760
201407,10004000,衣,75(含)-100萬,1007,3218523
201407,10004000,衣,100(含)-125萬,534,1683077
201407,10004000,衣,125(含)-150萬,189,583226
201407,10004000,衣,150(含)-175萬,149,440322
201407,10004000,衣,175(含)-200萬,84,209297
201407,10004000,衣,200(含)萬以上,364,1631612
201408,10004000,衣,未達50萬,6724,17170446
201408,10004000,衣,50(含)-75萬,3063,8079320
201408,10004000,衣,75(含)-100萬,1089,2936324
201408,10004000,衣,100(含)-125萬,489,1466928
201408,10004000,衣,125(含)-150萬,213,571674
201408,10004000,衣,150(含)-175萬,181,523516
201408,10004000,衣,175(含)-200萬,101,321263
201408,10004000,衣,200(含)萬以上,377,1227631
201409,10004000,衣,未達50萬,6217,18145854
201409,10004000,衣,50(含)-75萬,2604,7981458
201409,10004000,衣,75(含)-100萬,973,3198502
201409,10004000,衣,100(含)-125萬,544,2010939
201409,10004000,衣,125(含)-150萬,226,624409
201409,10004000,衣,150(含)-175萬,170,590289
201409,10004000,衣,175(含)-200萬,88,292634
201409,10004000,衣,200(含)萬以上,386,1837720
201410,10004000,衣,未達50萬,6053,17417335
201410,10004000,衣,50(含)-75萬,2673,8179109
201410,10004000,衣,75(含)-100萬,1002,3168764
201410,10004000,衣,100(含)-125萬,494,1663875
201410,10004000,衣,125(含)-150萬,194,713799
201410,10004000,衣,150(含)-175萬,132,399227
201410,10004000,衣,175(含)-200萬,79,262445
201410,10004000,衣,200(含)萬以上,377,1333534
201411,10004000,衣,未達50萬,5660,17903509
201411,10004000,衣,50(含)-75萬,2552,8214615
201411,10004000,衣,75(含)-100萬,854,3087520
201411,10004000,衣,100(含)-125萬,453,1785151
201411,10004000,衣,125(含)-150萬,197,661280
201411,10004000,衣,150(含)-175萬,159,714722
201411,10004000,衣,175(含)-200萬,82,308990
201411,10004000,衣,200(含)萬以上,338,1797098
201412,10004000,衣,未達50萬,6587,20570941
201412,10004000,衣,50(含)-75萬,2920,9623522
201412,10004000,衣,75(含)-100萬,1016,3614876
201412,10004000,衣,100(含)-125萬,554,2007646
201412,10004000,衣,125(含)-150萬,219,763324
201412,10004000,衣,150(含)-175萬,134,445974
201412,10004000,衣,175(含)-200萬,94,260251
201412,10004000,衣,200(含)萬以上,364,1612135
201501,10004000,衣,未達50萬,5916,19495258
201501,10004000,衣,50(含)-75萬,2619,9038822
201501,10004000,衣,75(含)-100萬,940,3510366
201501,10004000,衣,100(含)-125萬,466,2134577
201501,10004000,衣,125(含)-150萬,186,545307
201501,10004000,衣,150(含)-175萬,163,725480
201501,10004000,衣,175(含)-200萬,95,363789
201501,10004000,衣,200(含)萬以上,360,1681359
201502,10004000,衣,未達50萬,6852,21355020
201502,10004000,衣,50(含)-75萬,3002,9804861
201502,10004000,衣,75(含)-100萬,1136,3884115
201502,10004000,衣,100(含)-125萬,548,1808489
201502,10004000,衣,125(含)-150萬,224,638621
201502,10004000,衣,150(含)-175萬,193,755018
201502,10004000,衣,175(含)-200萬,89,355902
201502,10004000,衣,200(含)萬以上,378,1580779
201503,10004000,衣,未達50萬,6057,18164951
201503,10004000,衣,50(含)-75萬,2690,8347979
201503,10004000,衣,75(含)-100萬,969,3384716
201503,10004000,衣,100(含)-125萬,453,1547114
201503,10004000,衣,125(含)-150萬,210,758293
201503,10004000,衣,150(含)-175萬,170,491824
201503,10004000,衣,175(含)-200萬,81,302089
201503,10004000,衣,200(含)萬以上,359,1244701
201504,10004000,衣,未達50萬,5498,16780616
201504,10004000,衣,50(含)-75萬,2392,7141794
201504,10004000,衣,75(含)-100萬,881,2924456
201504,10004000,衣,100(含)-125萬,448,1452979
201504,10004000,衣,125(含)-150萬,181,619751
201504,10004000,衣,150(含)-175萬,119,302828
201504,10004000,衣,175(含)-200萬,86,253644
201504,10004000,衣,200(含)萬以上,346,1406661
201505,10004000,衣,未達50萬,5589,18201307
201505,10004000,衣,50(含)-75萬,2442,7740367
201505,10004000,衣,75(含)-100萬,888,3026447
201505,10004000,衣,100(含)-125萬,453,1637601
201505,10004000,衣,125(含)-150萬,195,625988
201505,10004000,衣,150(含)-175萬,156,575383
201505,10004000,衣,175(含)-200萬,99,268693
201505,10004000,衣,200(含)萬以上,357,1526900
201506,10004000,衣,未達50萬,4812,15206005
201506,10004000,衣,50(含)-75萬,2103,6781711
201506,10004000,衣,75(含)-100萬,770,2652688
201506,10004000,衣,100(含)-125萬,380,1431910
201506,10004000,衣,125(含)-150萬,171,561899
201506,10004000,衣,150(含)-175萬,141,469310
201506,10004000,衣,175(含)-200萬,91,345773
201506,10004000,衣,200(含)萬以上,296,1082316
201507,10004000,衣,未達50萬,5118,15639376
201507,10004000,衣,50(含)-75萬,2140,6804551
201507,10004000,衣,75(含)-100萬,776,2605146
201507,10004000,衣,100(含)-125萬,420,1636018
