年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10004000,食,未達50萬,39189,42565556
201401,10004000,食,50(含)-75萬,22644,25253335
201401,10004000,食,75(含)-100萬,10126,11799178
201401,10004000,食,100(含)-125萬,6515,8957036
201401,10004000,食,125(含)-150萬,2339,2673520
201401,10004000,食,150(含)-175萬,2069,2667332
201401,10004000,食,175(含)-200萬,1147,1416144
201401,10004000,食,200(含)萬以上,4403,6672057
201402,10004000,食,未達50萬,31790,31237020
201402,10004000,食,50(含)-75萬,19290,19557422
201402,10004000,食,75(含)-100萬,8450,8289329
201402,10004000,食,100(含)-125萬,5417,6072765
201402,10004000,食,125(含)-150萬,2115,1991044
201402,10004000,食,150(含)-175萬,1758,1881852
201402,10004000,食,175(含)-200萬,1039,1335899
201402,10004000,食,200(含)萬以上,4011,6188853
201403,10004000,食,未達50萬,36484,34320509
201403,10004000,食,50(含)-75萬,21694,20418449
201403,10004000,食,75(含)-100萬,9514,9281583
201403,10004000,食,100(含)-125萬,5964,6249276
201403,10004000,食,125(含)-150萬,2291,2414693
201403,10004000,食,150(含)-175萬,1873,1989697
201403,10004000,食,175(含)-200萬,1147,1231699
201403,10004000,食,200(含)萬以上,4208,5705980
201404,10004000,食,未達50萬,35232,31929219
201404,10004000,食,50(含)-75萬,20582,19756200
201404,10004000,食,75(含)-100萬,9268,9374380
201404,10004000,食,100(含)-125萬,5618,5795806
201404,10004000,食,125(含)-150萬,2204,2043624
201404,10004000,食,150(含)-175萬,1921,2063093
201404,10004000,食,175(含)-200萬,1091,1509182
201404,10004000,食,200(含)萬以上,4156,5798116
201405,10004000,食,未達50萬,38335,38469159
201405,10004000,食,50(含)-75萬,22569,23045753
201405,10004000,食,75(含)-100萬,9846,10255962
201405,10004000,食,100(含)-125萬,6187,6854190
201405,10004000,食,125(含)-150萬,2407,2686334
201405,10004000,食,150(含)-175萬,2006,2256931
201405,10004000,食,175(含)-200萬,1104,1211701
201405,10004000,食,200(含)萬以上,4466,6114943
201406,10004000,食,未達50萬,38028,36688525
201406,10004000,食,50(含)-75萬,22307,22002936
201406,10004000,食,75(含)-100萬,10319,11065455
201406,10004000,食,100(含)-125萬,6137,6691732
201406,10004000,食,125(含)-150萬,2396,2261776
201406,10004000,食,150(含)-175萬,2159,2152189
201406,10004000,食,175(含)-200萬,1271,1335703
201406,10004000,食,200(含)萬以上,4615,5477399
201407,10004000,食,未達50萬,40063,37985982
201407,10004000,食,50(含)-75萬,23797,21805590
201407,10004000,食,75(含)-100萬,10584,10594495
201407,10004000,食,100(含)-125萬,6388,7051262
201407,10004000,食,125(含)-150萬,2564,2385717
201407,10004000,食,150(含)-175萬,2094,2513900
201407,10004000,食,175(含)-200萬,1333,1669682
201407,10004000,食,200(含)萬以上,4735,6517675
201408,10004000,食,未達50萬,42315,42865196
201408,10004000,食,50(含)-75萬,25575,26498143
201408,10004000,食,75(含)-100萬,11446,12520692
201408,10004000,食,100(含)-125萬,7078,7984532
201408,10004000,食,125(含)-150萬,2752,2858689
201408,10004000,食,150(含)-175萬,2293,2651683
201408,10004000,食,175(含)-200萬,1430,1587901
201408,10004000,食,200(含)萬以上,5264,7604073
201409,10004000,食,未達50萬,39409,37394558
201409,10004000,食,50(含)-75萬,23124,22611526
201409,10004000,食,75(含)-100萬,10498,10528637
201409,10004000,食,100(含)-125萬,6511,6695647
201409,10004000,食,125(含)-150萬,2473,2505251
201409,10004000,食,150(含)-175萬,2101,2160185
201409,10004000,食,175(含)-200萬,1307,1350246
201409,10004000,食,200(含)萬以上,5028,6888766
201410,10004000,食,未達50萬,40364,37476192
201410,10004000,食,50(含)-75萬,23776,22528834
201410,10004000,食,75(含)-100萬,10651,10698598
201410,10004000,食,100(含)-125萬,6650,6724523
201410,10004000,食,125(含)-150萬,2733,2877277
201410,10004000,食,150(含)-175萬,2171,2308290
201410,10004000,食,175(含)-200萬,1401,1631011
201410,10004000,食,200(含)萬以上,5022,6872424
201411,10004000,食,未達50萬,38488,38173673
201411,10004000,食,50(含)-75萬,22350,22057615
201411,10004000,食,75(含)-100萬,10380,10905659
201411,10004000,食,100(含)-125萬,6432,6720123
201411,10004000,食,125(含)-150萬,2560,2399237
201411,10004000,食,150(含)-175萬,2116,2481704
201411,10004000,食,175(含)-200萬,1388,1378024
201411,10004000,食,200(含)萬以上,4813,7106110
201412,10004000,食,未達50萬,42506,43901204
201412,10004000,食,50(含)-75萬,24574,26190125
201412,10004000,食,75(含)-100萬,11143,12637764
201412,10004000,食,100(含)-125萬,7103,8799119
201412,10004000,食,125(含)-150萬,2794,3550119
201412,10004000,食,150(含)-175萬,2223,2709653
201412,10004000,食,175(含)-200萬,1471,1845303
201412,10004000,食,200(含)萬以上,5090,8516914
201501,10004000,食,未達50萬,39588,41730182
201501,10004000,食,50(含)-75萬,23223,25864571
201501,10004000,食,75(含)-100萬,10636,12462113
201501,10004000,食,100(含)-125萬,6735,8370208
201501,10004000,食,125(含)-150萬,2721,2957073
201501,10004000,食,150(含)-175萬,2175,2850697
201501,10004000,食,175(含)-200萬,1449,1775078
201501,10004000,食,200(含)萬以上,5081,7986640
201502,10004000,食,未達50萬,35052,42580214
201502,10004000,食,50(含)-75萬,21343,27299454
201502,10004000,食,75(含)-100萬,9974,13477446
201502,10004000,食,100(含)-125萬,6297,8647275
201502,10004000,食,125(含)-150萬,2492,3377517
201502,10004000,食,150(含)-175萬,1869,2674987
201502,10004000,食,175(含)-200萬,1237,1634979
201502,10004000,食,200(含)萬以上,4705,7538839
201503,10004000,食,未達50萬,37139,38190418
201503,10004000,食,50(含)-75萬,21496,22594906
201503,10004000,食,75(含)-100萬,10538,11931323
201503,10004000,食,100(含)-125萬,6291,6938909
201503,10004000,食,125(含)-150萬,2514,2901635
201503,10004000,食,150(含)-175萬,2096,2568845
201503,10004000,食,175(含)-200萬,1335,1707855
201503,10004000,食,200(含)萬以上,4902,7331591
201504,10004000,食,未達50萬,37490,36280291
201504,10004000,食,50(含)-75萬,21803,22187313
201504,10004000,食,75(含)-100萬,10101,10887650
201504,10004000,食,100(含)-125萬,6444,6741409
201504,10004000,食,125(含)-150萬,2544,2865210
201504,10004000,食,150(含)-175萬,2112,2418697
201504,10004000,食,175(含)-200萬,1352,1396339
201504,10004000,食,200(含)萬以上,4973,7263073
201505,10004000,食,未達50萬,39660,39188168
201505,10004000,食,50(含)-75萬,22997,22684193
201505,10004000,食,75(含)-100萬,10921,11000842
201505,10004000,食,100(含)-125萬,6758,6757085
201505,10004000,食,125(含)-150萬,2849,3071097
201505,10004000,食,150(含)-175萬,2414,2639451
201505,10004000,食,175(含)-200萬,1508,1476570
201505,10004000,食,200(含)萬以上,5278,6852448
201506,10004000,食,未達50萬,37449,34977965
201506,10004000,食,50(含)-75萬,21693,20823926
201506,10004000,食,75(含)-100萬,10307,10137679
201506,10004000,食,100(含)-125萬,6375,6861688
201506,10004000,食,125(含)-150萬,2586,2690364
201506,10004000,食,150(含)-175萬,2175,2457316
201506,10004000,食,175(含)-200萬,1408,1441699
201506,10004000,食,200(含)萬以上,5088,6931774
201507,10004000,食,未達50萬,40479,38345137
201507,10004000,食,50(含)-75萬,23859,22777169
201507,10004000,食,75(含)-100萬,11131,10981613
201507,10004000,食,100(含)-125萬,6877,6672466
201507,10004000,食,125(含)-150萬,2748,3163002
201507,10004000,食,150(含)-175萬,2243,2614770
201507,10004000,食,175(含)-200萬,1435,1474298
201507,10004000,食,200(含)萬以上,5108,6589704
201508,10004000,食,未達50萬,44531,43352141
201508,10004000,食,50(含)-75萬,26514,25708698
201508,10004000,食,75(含)-100萬,12308,12000770
201508,10004000,食,100(含)-125萬,7553,8603736
201508,10004000,食,125(含)-150萬,3134,2977918
201508,10004000,食,150(含)-175萬,2404,2403745
201508,10004000,食,175(含)-200萬,1629,1584508
201508,10004000,食,200(含)萬以上,5798,7113107
201509,10004000,食,未達50萬,40806,40178915
201509,10004000,食,50(含)-75萬,23795,25115640
201509,10004000,食,75(含)-100萬,11149,10839620
201509,10004000,食,100(含)-125萬,6928,7379244
201509,10004000,食,125(含)-150萬,2835,2794857
201509,10004000,食,150(含)-175萬,2294,2343439
201509,10004000,食,175(含)-200萬,1521,1759594
201509,10004000,食,200(含)萬以上,5420,7577242
201510,10004000,食,未達50萬,39866,37960983
201510,10004000,食,50(含)-75萬,23477,22885308
201510,10004000,食,75(含)-100萬,10801,10155428
201510,10004000,食,100(含)-125萬,6943,6546511
201510,10004000,食,125(含)-150萬,2891,2882677
201510,10004000,食,150(含)-175萬,2315,2622689
201510,10004000,食,175(含)-200萬,1447,1468539
201510,10004000,食,200(含)萬以上,5451,7748433
201511,10004000,食,未達50萬,38610,37063944
201511,10004000,食,50(含)-75萬,23272,22631206
201511,10004000,食,75(含)-100萬,11069,10687033
201511,10004000,食,100(含)-125萬,6804,7034593
201511,10004000,食,125(含)-150萬,2858,2989982
201511,10004000,食,150(含)-175萬,2303,2322440
201511,10004000,食,175(含)-200萬,1489,1559092
201511,10004000,食,200(含)萬以上,5267,6995884
201512,10004000,食,未達50萬,42986,43093778
201512,10004000,食,50(含)-75萬,25587,26724137
201512,10004000,食,75(含)-100萬,12371,13159590
201512,10004000,食,100(含)-125萬,7815,8501917
201512,10004000,食,125(含)-150萬,3268,3619332
201512,10004000,食,150(含)-175萬,2539,2903440
201512,10004000,食,175(含)-200萬,1629,2230366
201512,10004000,食,200(含)萬以上,5976,8963208
201601,10004000,食,未達50萬,76886,98378868
201601,10004000,食,50(含)-75萬,44586,57012278
201601,10004000,食,75(含)-100萬,21414,30589663
201601,10004000,食,100(含)-125萬,14049,20419946
201601,10004000,食,125(含)-150萬,5963,8079847
201601,10004000,食,150(含)-175萬,4831,6998770
201601,10004000,食,175(含)-200萬,2864,4465477
201601,10004000,食,200(含)萬以上,11011,20559312
201602,10004000,食,未達50萬,67364,88079460
201602,10004000,食,50(含)-75萬,39653,53212687
201602,10004000,食,75(含)-100萬,18968,25967311
201602,10004000,食,100(含)-125萬,12940,18053414
201602,10004000,食,125(含)-150萬,5363,7403587
201602,10004000,食,150(含)-175萬,4508,7311992
201602,10004000,食,175(含)-200萬,2758,3852959
201602,10004000,食,200(含)萬以上,10127,18745053
201603,10004000,食,未達50萬,70341,76733563
201603,10004000,食,50(含)-75萬,39350,45526149
201603,10004000,食,75(含)-100萬,19316,22537541
201603,10004000,食,100(含)-125萬,12674,15568983
201603,10004000,食,125(含)-150萬,5553,6759599
201603,10004000,食,150(含)-175萬,4366,6203700
201603,10004000,食,175(含)-200萬,2757,3335804
201603,10004000,食,200(含)萬以上,10294,16961600
201604,10004000,食,未達50萬,68920,78688207
201604,10004000,食,50(含)-75萬,38802,45062456
201604,10004000,食,75(含)-100萬,18736,23463527
201604,10004000,食,100(含)-125萬,12608,15889300
201604,10004000,食,125(含)-150萬,5246,6412436
201604,10004000,食,150(含)-175萬,4259,5213265
201604,10004000,食,175(含)-200萬,2857,3610816
201604,10004000,食,200(含)萬以上,10236,16841269
201605,10004000,食,未達50萬,73572,83220811
201605,10004000,食,50(含)-75萬,41365,48810990
201605,10004000,食,75(含)-100萬,19748,23520183
201605,10004000,食,100(含)-125萬,13254,16102947
201605,10004000,食,125(含)-150萬,5583,6498949
201605,10004000,食,150(含)-175萬,4779,5709194
201605,10004000,食,175(含)-200萬,2987,3980655
201605,10004000,食,200(含)萬以上,11100,17559749
201606,10004000,食,未達50萬,76250,81850758
201606,10004000,食,50(含)-75萬,43261,48351785
201606,10004000,食,75(含)-100萬,20736,24042878
201606,10004000,食,100(含)-125萬,13825,17346384
201606,10004000,食,125(含)-150萬,5756,6871858
201606,10004000,食,150(含)-175萬,4839,6189862
201606,10004000,食,175(含)-200萬,3098,3607532
201606,10004000,食,200(含)萬以上,11375,18167630
201607,10004000,食,未達50萬,82337,89451825
201607,10004000,食,50(含)-75萬,47513,52770045
201607,10004000,食,75(含)-100萬,23166,26918110
201607,10004000,食,100(含)-125萬,14963,18058383
201607,10004000,食,125(含)-150萬,6267,7372871
201607,10004000,食,150(含)-175萬,5497,7624311
201607,10004000,食,175(含)-200萬,3334,4242278
201607,10004000,食,200(含)萬以上,12119,18127029
201608,10004000,食,未達50萬,81659,95682966
201608,10004000,食,50(含)-75萬,46089,55894870
201608,10004000,食,75(含)-100萬,22465,28447329
201608,10004000,食,100(含)-125萬,14115,17766406
201608,10004000,食,125(含)-150萬,6346,7974253
201608,10004000,食,150(含)-175萬,5220,7273411
201608,10004000,食,175(含)-200萬,3151,3982871
201608,10004000,食,200(含)萬以上,11839,19357850
201609,10004000,食,未達50萬,75956,84971722
