年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10004000,住,未達50萬,6873,45527259
201401,10004000,住,50(含)-75萬,4497,27296970
201401,10004000,住,75(含)-100萬,2299,13225714
201401,10004000,住,100(含)-125萬,1360,10228035
201401,10004000,住,125(含)-150萬,537,3335328
201401,10004000,住,150(含)-175萬,348,2510305
201401,10004000,住,175(含)-200萬,257,1869345
201401,10004000,住,200(含)萬以上,928,8474179
201402,10004000,住,未達50萬,4889,24606513
201402,10004000,住,50(含)-75萬,3042,14370768
201402,10004000,住,75(含)-100萬,1671,7752960
201402,10004000,住,100(含)-125萬,925,5994487
201402,10004000,住,125(含)-150萬,392,1940745
201402,10004000,住,150(含)-175萬,271,2026929
201402,10004000,住,175(含)-200萬,180,752403
201402,10004000,住,200(含)萬以上,658,4379133
201403,10004000,住,未達50萬,4910,27840845
201403,10004000,住,50(含)-75萬,3118,15967800
201403,10004000,住,75(含)-100萬,1640,9096623
201403,10004000,住,100(含)-125萬,993,6659096
201403,10004000,住,125(含)-150萬,390,2284412
201403,10004000,住,150(含)-175萬,258,1309915
201403,10004000,住,175(含)-200萬,206,1165082
201403,10004000,住,200(含)萬以上,711,5054430
201404,10004000,住,未達50萬,5309,34157682
201404,10004000,住,50(含)-75萬,3404,22194332
201404,10004000,住,75(含)-100萬,1832,10587968
201404,10004000,住,100(含)-125萬,1035,7100249
201404,10004000,住,125(含)-150萬,432,2253396
201404,10004000,住,150(含)-175萬,305,2617786
201404,10004000,住,175(含)-200萬,237,1080678
201404,10004000,住,200(含)萬以上,768,6360922
201405,10004000,住,未達50萬,5461,33142931
201405,10004000,住,50(含)-75萬,3631,19378647
201405,10004000,住,75(含)-100萬,1775,9035106
201405,10004000,住,100(含)-125萬,1083,6799143
201405,10004000,住,125(含)-150萬,429,2482515
201405,10004000,住,150(含)-175萬,286,1440119
201405,10004000,住,175(含)-200萬,229,1491319
201405,10004000,住,200(含)萬以上,792,6437117
201406,10004000,住,未達50萬,5752,39119348
201406,10004000,住,50(含)-75萬,3597,20565757
201406,10004000,住,75(含)-100萬,1874,9640042
201406,10004000,住,100(含)-125萬,1064,7448634
201406,10004000,住,125(含)-150萬,408,2424210
201406,10004000,住,150(含)-175萬,340,2937469
201406,10004000,住,175(含)-200萬,222,1252127
201406,10004000,住,200(含)萬以上,757,7052247
201407,10004000,住,未達50萬,6279,42351361
201407,10004000,住,50(含)-75萬,3958,24085530
201407,10004000,住,75(含)-100萬,2012,12086519
201407,10004000,住,100(含)-125萬,1215,8691197
201407,10004000,住,125(含)-150萬,453,2221006
201407,10004000,住,150(含)-175萬,377,2144803
201407,10004000,住,175(含)-200萬,225,1208957
201407,10004000,住,200(含)萬以上,848,6409980
201408,10004000,住,未達50萬,5861,34782885
201408,10004000,住,50(含)-75萬,3832,22244782
201408,10004000,住,75(含)-100萬,1837,9861273
201408,10004000,住,100(含)-125萬,1142,7514812
201408,10004000,住,125(含)-150萬,460,2970739
