年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10004000,行,未達50萬,38440,44108863
201401,10004000,行,50(含)-75萬,20948,24767904
201401,10004000,行,75(含)-100萬,11308,13007742
201401,10004000,行,100(含)-125萬,5322,6531023
201401,10004000,行,125(含)-150萬,2169,2961821
201401,10004000,行,150(含)-175萬,1425,1983937
201401,10004000,行,175(含)-200萬,1073,1396337
201401,10004000,行,200(含)萬以上,2839,3912813
201402,10004000,行,未達50萬,35351,39830075
201402,10004000,行,50(含)-75萬,18690,21574935
201402,10004000,行,75(含)-100萬,9854,11597659
201402,10004000,行,100(含)-125萬,4663,5850472
201402,10004000,行,125(含)-150萬,1922,2383132
201402,10004000,行,150(含)-175萬,1287,1567653
201402,10004000,行,175(含)-200萬,887,1152426
201402,10004000,行,200(含)萬以上,2595,3611879
201403,10004000,行,未達50萬,38220,43740054
201403,10004000,行,50(含)-75萬,20580,23775005
201403,10004000,行,75(含)-100萬,10988,12813540
201403,10004000,行,100(含)-125萬,5312,6875025
201403,10004000,行,125(含)-150萬,2018,2534051
201403,10004000,行,150(含)-175萬,1422,1807944
201403,10004000,行,175(含)-200萬,980,1217232
201403,10004000,行,200(含)萬以上,2748,3697419
201404,10004000,行,未達50萬,37472,41703111
201404,10004000,行,50(含)-75萬,20134,23058816
201404,10004000,行,75(含)-100萬,10470,12316686
201404,10004000,行,100(含)-125萬,5091,6389143
201404,10004000,行,125(含)-150萬,2054,2560715
201404,10004000,行,150(含)-175萬,1337,1776630
201404,10004000,行,175(含)-200萬,975,1172584
201404,10004000,行,200(含)萬以上,2648,3731936
201405,10004000,行,未達50萬,39427,44481834
201405,10004000,行,50(含)-75萬,21369,24750532
201405,10004000,行,75(含)-100萬,11247,13025194
201405,10004000,行,100(含)-125萬,5389,6802398
201405,10004000,行,125(含)-150萬,2156,2620905
201405,10004000,行,150(含)-175萬,1313,1801661
201405,10004000,行,175(含)-200萬,1000,1359531
201405,10004000,行,200(含)萬以上,2839,3901219
201406,10004000,行,未達50萬,39844,45359706
201406,10004000,行,50(含)-75萬,21757,25626272
201406,10004000,行,75(含)-100萬,11048,12917482
201406,10004000,行,100(含)-125萬,5286,7051955
201406,10004000,行,125(含)-150萬,2113,2649821
201406,10004000,行,150(含)-175萬,1484,2045970
201406,10004000,行,175(含)-200萬,1045,1395444
201406,10004000,行,200(含)萬以上,2733,3924893
201407,10004000,行,未達50萬,42033,47361267
201407,10004000,行,50(含)-75萬,22947,26723639
201407,10004000,行,75(含)-100萬,11866,14448709
201407,10004000,行,100(含)-125萬,5452,7055615
201407,10004000,行,125(含)-150萬,2309,2813994
201407,10004000,行,150(含)-175萬,1597,2019939
201407,10004000,行,175(含)-200萬,1098,1445978
201407,10004000,行,200(含)萬以上,2989,4431012
201408,10004000,行,未達50萬,42713,46488248
201408,10004000,行,50(含)-75萬,23576,25690462
201408,10004000,行,75(含)-100萬,11967,13291601
201408,10004000,行,100(含)-125萬,5800,7141694
201408,10004000,行,125(含)-150萬,2317,2802220
201408,10004000,行,150(含)-175萬,1580,1874267
201408,10004000,行,175(含)-200萬,1186,1476911
201408,10004000,行,200(含)萬以上,3146,4231918
201409,10004000,行,未達50萬,40174,43483421
201409,10004000,行,50(含)-75萬,22011,23583328
201409,10004000,行,75(含)-100萬,11554,12900333
201409,10004000,行,100(含)-125萬,5595,6759466
201409,10004000,行,125(含)-150萬,2240,2636441
201409,10004000,行,150(含)-175萬,1513,1938908
201409,10004000,行,175(含)-200萬,1068,1311577
201409,10004000,行,200(含)萬以上,3008,3975671
201410,10004000,行,未達50萬,41255,43003279
201410,10004000,行,50(含)-75萬,22754,24135640
201410,10004000,行,75(含)-100萬,12011,12871790
201410,10004000,行,100(含)-125萬,5777,6678522
201410,10004000,行,125(含)-150萬,2351,2594111
201410,10004000,行,150(含)-175萬,1560,1864688
201410,10004000,行,175(含)-200萬,1176,1428391
201410,10004000,行,200(含)萬以上,3163,4180037
201411,10004000,行,未達50萬,39146,38980926
201411,10004000,行,50(含)-75萬,21402,21699074
201411,10004000,行,75(含)-100萬,11496,12158286
201411,10004000,行,100(含)-125萬,5428,6421996
201411,10004000,行,125(含)-150萬,2169,2421175
201411,10004000,行,150(含)-175萬,1547,1896907
201411,10004000,行,175(含)-200萬,1060,1163284
201411,10004000,行,200(含)萬以上,3106,4022393
201412,10004000,行,未達50萬,40532,38639505
201412,10004000,行,50(含)-75萬,22245,21694216
201412,10004000,行,75(含)-100萬,11865,11762771
201412,10004000,行,100(含)-125萬,5590,5904666
201412,10004000,行,125(含)-150萬,2327,2546268
201412,10004000,行,150(含)-175萬,1601,1680033
201412,10004000,行,175(含)-200萬,1151,1231071
201412,10004000,行,200(含)萬以上,3261,4119963
201501,10004000,行,未達50萬,39424,33769202
201501,10004000,行,50(含)-75萬,21832,19107967
201501,10004000,行,75(含)-100萬,11402,10008209
201501,10004000,行,100(含)-125萬,5522,5311088
201501,10004000,行,125(含)-150萬,2268,2152565
201501,10004000,行,150(含)-175萬,1559,1481337
201501,10004000,行,175(含)-200萬,1140,1138413
201501,10004000,行,200(含)萬以上,3143,3852673
201502,10004000,行,未達50萬,36295,31262532
201502,10004000,行,50(含)-75萬,19481,17061671
201502,10004000,行,75(含)-100萬,10578,9355770
201502,10004000,行,100(含)-125萬,5097,4894876
201502,10004000,行,125(含)-150萬,2157,2203205
201502,10004000,行,150(含)-175萬,1451,1445094
201502,10004000,行,175(含)-200萬,1062,1005069
201502,10004000,行,200(含)萬以上,3060,3143813
201503,10004000,行,未達50萬,40320,35890642
201503,10004000,行,50(含)-75萬,22330,19907634
201503,10004000,行,75(含)-100萬,11695,10703529
201503,10004000,行,100(含)-125萬,5556,5463626
201503,10004000,行,125(含)-150萬,2407,2350241
201503,10004000,行,150(含)-175萬,1608,1641009
201503,10004000,行,175(含)-200萬,1156,1261504
201503,10004000,行,200(含)萬以上,3275,3453688
201504,10004000,行,未達50萬,38462,34667894
201504,10004000,行,50(含)-75萬,21424,19989174
201504,10004000,行,75(含)-100萬,11112,10440433
