年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10015000,衣,未達50萬,13101,36545511
201401,10015000,衣,50(含)-75萬,6452,20061396
201401,10015000,衣,75(含)-100萬,2369,7419265
201401,10015000,衣,100(含)-125萬,1003,4029858
201401,10015000,衣,125(含)-150萬,210,614023
201401,10015000,衣,150(含)-175萬,139,539311
201401,10015000,衣,175(含)-200萬,85,225361
201401,10015000,衣,200(含)萬以上,428,1608390
201402,10015000,衣,未達50萬,8031,20124095
201402,10015000,衣,50(含)-75萬,3828,10737292
201402,10015000,衣,75(含)-100萬,1399,4303434
201402,10015000,衣,100(含)-125萬,652,1937158
201402,10015000,衣,125(含)-150萬,150,453602
201402,10015000,衣,150(含)-175萬,94,331598
201402,10015000,衣,175(含)-200萬,60,196513
201402,10015000,衣,200(含)萬以上,246,836746
201403,10015000,衣,未達50萬,8499,20746732
201403,10015000,衣,50(含)-75萬,3622,9907264
201403,10015000,衣,75(含)-100萬,1348,4033702
201403,10015000,衣,100(含)-125萬,628,2031621
201403,10015000,衣,125(含)-150萬,167,410294
201403,10015000,衣,150(含)-175萬,113,359861
201403,10015000,衣,175(含)-200萬,54,147018
201403,10015000,衣,200(含)萬以上,241,945429
201404,10015000,衣,未達50萬,8024,19217435
201404,10015000,衣,50(含)-75萬,3601,10010109
201404,10015000,衣,75(含)-100萬,1351,4034051
201404,10015000,衣,100(含)-125萬,569,1790533
201404,10015000,衣,125(含)-150萬,147,525265
201404,10015000,衣,150(含)-175萬,107,341824
201404,10015000,衣,175(含)-200萬,49,185318
201404,10015000,衣,200(含)萬以上,275,963080
201405,10015000,衣,未達50萬,9492,22831808
201405,10015000,衣,50(含)-75萬,4276,11815116
201405,10015000,衣,75(含)-100萬,1557,4440869
201405,10015000,衣,100(含)-125萬,589,1917633
201405,10015000,衣,125(含)-150萬,173,509991
201405,10015000,衣,150(含)-175萬,109,326046
201405,10015000,衣,175(含)-200萬,52,233584
201405,10015000,衣,200(含)萬以上,270,875341
201406,10015000,衣,未達50萬,9296,22164635
201406,10015000,衣,50(含)-75萬,4150,10746501
201406,10015000,衣,75(含)-100萬,1412,3978954
201406,10015000,衣,100(含)-125萬,666,1971684
201406,10015000,衣,125(含)-150萬,164,413354
201406,10015000,衣,150(含)-175萬,111,273646
201406,10015000,衣,175(含)-200萬,76,309780
201406,10015000,衣,200(含)萬以上,305,968635
201407,10015000,衣,未達50萬,9246,20926631
201407,10015000,衣,50(含)-75萬,4417,10761659
201407,10015000,衣,75(含)-100萬,1784,4645916
201407,10015000,衣,100(含)-125萬,696,2060306
201407,10015000,衣,125(含)-150萬,196,649684
201407,10015000,衣,150(含)-175萬,115,285231
201407,10015000,衣,175(含)-200萬,71,208242
201407,10015000,衣,200(含)萬以上,273,835248
201408,10015000,衣,未達50萬,9647,21383254
201408,10015000,衣,50(含)-75萬,4854,12163656
