年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10015000,食,未達50萬,61084,78008477
201401,10015000,食,50(含)-75萬,32078,42881732
201401,10015000,食,75(含)-100萬,13671,19039478
201401,10015000,食,100(含)-125萬,6495,10159116
201401,10015000,食,125(含)-150萬,1947,3396690
201401,10015000,食,150(含)-175萬,1329,2523394
201401,10015000,食,175(含)-200萬,646,1210425
201401,10015000,食,200(含)萬以上,2522,5191968
201402,10015000,食,未達50萬,51459,53603337
201402,10015000,食,50(含)-75萬,26509,27677449
201402,10015000,食,75(含)-100萬,10705,11375904
201402,10015000,食,100(含)-125萬,5242,6407636
201402,10015000,食,125(含)-150萬,1574,2031802
201402,10015000,食,150(含)-175萬,1108,1329953
201402,10015000,食,175(含)-200萬,547,642237
201402,10015000,食,200(含)萬以上,2177,3201137
201403,10015000,食,未達50萬,54422,52165218
201403,10015000,食,50(含)-75萬,28027,27282783
201403,10015000,食,75(含)-100萬,11295,11793948
201403,10015000,食,100(含)-125萬,5603,7032630
201403,10015000,食,125(含)-150萬,1582,1771575
201403,10015000,食,150(含)-175萬,1107,1316461
201403,10015000,食,175(含)-200萬,542,604262
201403,10015000,食,200(含)萬以上,2130,2868405
201404,10015000,食,未達50萬,52572,50292846
201404,10015000,食,50(含)-75萬,27336,26856146
201404,10015000,食,75(含)-100萬,11018,11326818
201404,10015000,食,100(含)-125萬,5132,5972964
201404,10015000,食,125(含)-150萬,1527,1599239
201404,10015000,食,150(含)-175萬,1063,1213461
201404,10015000,食,175(含)-200萬,560,697955
201404,10015000,食,200(含)萬以上,2021,2993443
201405,10015000,食,未達50萬,57812,58135333
201405,10015000,食,50(含)-75萬,29989,30334149
201405,10015000,食,75(含)-100萬,12101,12884748
201405,10015000,食,100(含)-125萬,5642,6666678
201405,10015000,食,125(含)-150萬,1657,3513581
201405,10015000,食,150(含)-175萬,1164,1367481
201405,10015000,食,175(含)-200萬,569,796087
201405,10015000,食,200(含)萬以上,2314,3703868
201406,10015000,食,未達50萬,58838,57894610
201406,10015000,食,50(含)-75萬,30633,30633919
201406,10015000,食,75(含)-100萬,12225,12814273
201406,10015000,食,100(含)-125萬,5792,6892110
201406,10015000,食,125(含)-150萬,1733,2046505
201406,10015000,食,150(含)-175萬,1208,1397046
201406,10015000,食,175(含)-200萬,648,785254
201406,10015000,食,200(含)萬以上,2390,3411589
201407,10015000,食,未達50萬,72012,73172893
201407,10015000,食,50(含)-75萬,38173,38926755
201407,10015000,食,75(含)-100萬,15944,16713164
201407,10015000,食,100(含)-125萬,7361,8692625
201407,10015000,食,125(含)-150萬,2187,2621036
201407,10015000,食,150(含)-175萬,1427,1872626
201407,10015000,食,175(含)-200萬,829,984227
201407,10015000,食,200(含)萬以上,2908,4356309
201408,10015000,食,未達50萬,77261,84206754
201408,10015000,食,50(含)-75萬,42637,47287167
201408,10015000,食,75(含)-100萬,17281,19538508
201408,10015000,食,100(含)-125萬,8110,10749118
201408,10015000,食,125(含)-150萬,2629,3394745
201408,10015000,食,150(含)-175萬,1728,2277035
201408,10015000,食,175(含)-200萬,929,1176562
201408,10015000,食,200(含)萬以上,3382,5708447
201409,10015000,食,未達50萬,60673,60596354
201409,10015000,食,50(含)-75萬,30684,30358308
201409,10015000,食,75(含)-100萬,12325,13030444
201409,10015000,食,100(含)-125萬,5953,7246585
201409,10015000,食,125(含)-150萬,1870,1983156
201409,10015000,食,150(含)-175萬,1185,1316674
201409,10015000,食,175(含)-200萬,650,864735
201409,10015000,食,200(含)萬以上,2460,3495555
201410,10015000,食,未達50萬,60847,58057939
201410,10015000,食,50(含)-75萬,30523,29449432
201410,10015000,食,75(含)-100萬,12229,12267128
201410,10015000,食,100(含)-125萬,5610,6100603
201410,10015000,食,125(含)-150萬,1753,1966344
201410,10015000,食,150(含)-175萬,1194,1288450
201410,10015000,食,175(含)-200萬,633,669488
201410,10015000,食,200(含)萬以上,2458,3731981
201411,10015000,食,未達50萬,55735,51838988
201411,10015000,食,50(含)-75萬,27916,26974454
201411,10015000,食,75(含)-100萬,11440,11750157
201411,10015000,食,100(含)-125萬,5459,5832793
201411,10015000,食,125(含)-150萬,1678,1752782
201411,10015000,食,150(含)-175萬,1107,1238628
201411,10015000,食,175(含)-200萬,633,843992
201411,10015000,食,200(含)萬以上,2286,3251353
201412,10015000,食,未達50萬,59323,58228740
201412,10015000,食,50(含)-75萬,29527,30568498
201412,10015000,食,75(含)-100萬,12194,13268398
201412,10015000,食,100(含)-125萬,5864,6711565
201412,10015000,食,125(含)-150萬,1718,1958307
201412,10015000,食,150(含)-175萬,1169,1569364
201412,10015000,食,175(含)-200萬,688,826447
201412,10015000,食,200(含)萬以上,2417,3474332
201501,10015000,食,未達50萬,62324,65347053
201501,10015000,食,50(含)-75萬,31605,35653343
201501,10015000,食,75(含)-100萬,13127,15316210
201501,10015000,食,100(含)-125萬,6157,8117760
201501,10015000,食,125(含)-150萬,1826,2417078
201501,10015000,食,150(含)-175萬,1244,1808399
201501,10015000,食,175(含)-200萬,685,908909
201501,10015000,食,200(含)萬以上,2582,3968125
201502,10015000,食,未達50萬,66946,82308930
201502,10015000,食,50(含)-75萬,35507,44245272
201502,10015000,食,75(含)-100萬,15020,19699678
201502,10015000,食,100(含)-125萬,7071,10132281
201502,10015000,食,125(含)-150萬,2103,2760657
201502,10015000,食,150(含)-175萬,1410,2217479
201502,10015000,食,175(含)-200萬,742,1098971
