年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10015000,住,未達50萬,17377,95512398
201401,10015000,住,50(含)-75萬,11570,53667282
201401,10015000,住,75(含)-100萬,5447,26728905
201401,10015000,住,100(含)-125萬,3276,20535421
201401,10015000,住,125(含)-150萬,911,5307008
201401,10015000,住,150(含)-175萬,1064,10195700
201401,10015000,住,175(含)-200萬,416,2512295
201401,10015000,住,200(含)萬以上,2218,27292993
201402,10015000,住,未達50萬,15889,80317098
201402,10015000,住,50(含)-75萬,9945,44373635
201402,10015000,住,75(含)-100萬,4508,21022126
201402,10015000,住,100(含)-125萬,2809,16647825
201402,10015000,住,125(含)-150萬,743,3951225
201402,10015000,住,150(含)-175萬,958,13188903
201402,10015000,住,175(含)-200萬,340,2096826
201402,10015000,住,200(含)萬以上,1919,22009981
201403,10015000,住,未達50萬,14759,81524793
201403,10015000,住,50(含)-75萬,9479,48544056
201403,10015000,住,75(含)-100萬,4382,23920568
201403,10015000,住,100(含)-125萬,2724,18585627
201403,10015000,住,125(含)-150萬,708,3701807
201403,10015000,住,150(含)-175萬,1076,14050780
201403,10015000,住,175(含)-200萬,309,1977675
201403,10015000,住,200(含)萬以上,2176,30486890
201404,10015000,住,未達50萬,15418,94248399
201404,10015000,住,50(含)-75萬,10092,55437298
201404,10015000,住,75(含)-100萬,4468,25602143
201404,10015000,住,100(含)-125萬,2905,23593942
201404,10015000,住,125(含)-150萬,819,6174117
201404,10015000,住,150(含)-175萬,1016,11865644
201404,10015000,住,175(含)-200萬,383,2611622
201404,10015000,住,200(含)萬以上,2279,32730542
201405,10015000,住,未達50萬,19208,112225853
201405,10015000,住,50(含)-75萬,12320,66641022
201405,10015000,住,75(含)-100萬,5425,29537885
201405,10015000,住,100(含)-125萬,3186,24971816
201405,10015000,住,125(含)-150萬,1004,6794306
201405,10015000,住,150(含)-175萬,1011,10028251
201405,10015000,住,175(含)-200萬,453,2797256
201405,10015000,住,200(含)萬以上,2265,29636951
201406,10015000,住,未達50萬,19645,111470290
201406,10015000,住,50(含)-75萬,13190,64224507
201406,10015000,住,75(含)-100萬,6152,31001803
201406,10015000,住,100(含)-125萬,3583,25081587
201406,10015000,住,125(含)-150萬,1071,6249445
201406,10015000,住,150(含)-175萬,989,8957840
201406,10015000,住,175(含)-200萬,489,4105298
201406,10015000,住,200(含)萬以上,2421,29784983
201407,10015000,住,未達50萬,23537,141558867
201407,10015000,住,50(含)-75萬,16859,90876637
201407,10015000,住,75(含)-100萬,7809,45962224
201407,10015000,住,100(含)-125萬,4292,29580458
201407,10015000,住,125(含)-150萬,1467,9979520
201407,10015000,住,150(含)-175萬,1152,7768411
201407,10015000,住,175(含)-200萬,620,6775348
201407,10015000,住,200(含)萬以上,3140,36834615
201408,10015000,住,未達50萬,24803,130720395
201408,10015000,住,50(含)-75萬,16773,84784572
201408,10015000,住,75(含)-100萬,8120,45254981
201408,10015000,住,100(含)-125萬,4563,27695179
201408,10015000,住,125(含)-150萬,1493,8916183
201408,10015000,住,150(含)-175萬,1208,9014384
201408,10015000,住,175(含)-200萬,650,4116545
201408,10015000,住,200(含)萬以上,3106,30920689
201409,10015000,住,未達50萬,17436,94723662
201409,10015000,住,50(含)-75萬,10843,52507860
201409,10015000,住,75(含)-100萬,4968,28557434
201409,10015000,住,100(含)-125萬,3029,20155100
201409,10015000,住,125(含)-150萬,974,5916759
201409,10015000,住,150(含)-175萬,827,6029799
201409,10015000,住,175(含)-200萬,414,3394783
201409,10015000,住,200(含)萬以上,1940,20260776
201410,10015000,住,未達50萬,17640,92596933
201410,10015000,住,50(含)-75萬,11068,55694569
201410,10015000,住,75(含)-100萬,4917,26724384
201410,10015000,住,100(含)-125萬,2963,20330110
201410,10015000,住,125(含)-150萬,881,5119170
201410,10015000,住,150(含)-175萬,798,5990425
201410,10015000,住,175(含)-200萬,394,3110196
201410,10015000,住,200(含)萬以上,2198,27792252
201411,10015000,住,未達50萬,17749,106694256
201411,10015000,住,50(含)-75萬,11277,62312889
201411,10015000,住,75(含)-100萬,5104,30439930
201411,10015000,住,100(含)-125萬,3224,25007199
201411,10015000,住,125(含)-150萬,969,5843854
201411,10015000,住,150(含)-175萬,875,7237053
201411,10015000,住,175(含)-200萬,429,3276611
201411,10015000,住,200(含)萬以上,2284,29271576
201412,10015000,住,未達50萬,16687,88612267
201412,10015000,住,50(含)-75萬,9769,46080477
201412,10015000,住,75(含)-100萬,4837,28559817
201412,10015000,住,100(含)-125萬,2852,19311968
201412,10015000,住,125(含)-150萬,837,4761178
201412,10015000,住,150(含)-175萬,832,6229597
201412,10015000,住,175(含)-200萬,386,2138810
201412,10015000,住,200(含)萬以上,2122,25586085
201501,10015000,住,未達50萬,17632,93078168
201501,10015000,住,50(含)-75萬,11050,52075294
201501,10015000,住,75(含)-100萬,5104,25113207
201501,10015000,住,100(含)-125萬,3005,17070086
201501,10015000,住,125(含)-150萬,868,6932077
201501,10015000,住,150(含)-175萬,905,6680673
201501,10015000,住,175(含)-200萬,368,1984001
201501,10015000,住,200(含)萬以上,2105,21957389
201502,10015000,住,未達50萬,20741,111139491
201502,10015000,住,50(含)-75萬,13785,63870689
201502,10015000,住,75(含)-100萬,6399,30116245
201502,10015000,住,100(含)-125萬,3575,19931172
201502,10015000,住,125(含)-150萬,1077,5930988
201502,10015000,住,150(含)-175萬,1001,7426486
201502,10015000,住,175(含)-200萬,442,2623984
201502,10015000,住,200(含)萬以上,2499,27641283
201503,10015000,住,未達50萬,15050,82028604
201503,10015000,住,50(含)-75萬,9315,45277924
201503,10015000,住,75(含)-100萬,4198,21100374
201503,10015000,住,100(含)-125萬,2454,13952585
201503,10015000,住,125(含)-150萬,689,3695404
201503,10015000,住,150(含)-175萬,627,4237307
201503,10015000,住,175(含)-200萬,319,1794793
201503,10015000,住,200(含)萬以上,1623,19414213
201504,10015000,住,未達50萬,16929,96684729
201504,10015000,住,50(含)-75萬,11098,58983351
201504,10015000,住,75(含)-100萬,4975,25539101
201504,10015000,住,100(含)-125萬,2835,22164967
201504,10015000,住,125(含)-150萬,903,5675203
201504,10015000,住,150(含)-175萬,741,6503434
201504,10015000,住,175(含)-200萬,359,2734628
201504,10015000,住,200(含)萬以上,2065,24875518
201505,10015000,住,未達50萬,17037,104093410
201505,10015000,住,50(含)-75萬,10706,61178750
201505,10015000,住,75(含)-100萬,5023,29990677
201505,10015000,住,100(含)-125萬,2901,19943986
201505,10015000,住,125(含)-150萬,914,5944380
201505,10015000,住,150(含)-175萬,769,6504189
201505,10015000,住,175(含)-200萬,381,2653903
201505,10015000,住,200(含)萬以上,2038,25936190
201506,10015000,住,未達50萬,19399,107910142
201506,10015000,住,50(含)-75萬,12234,64819301
201506,10015000,住,75(含)-100萬,5531,30603869
201506,10015000,住,100(含)-125萬,3223,20434383
201506,10015000,住,125(含)-150萬,1032,8021435
201506,10015000,住,150(含)-175萬,889,6076021
201506,10015000,住,175(含)-200萬,390,2833095
201506,10015000,住,200(含)萬以上,2262,25899793
201507,10015000,住,未達50萬,23608,144733297
201507,10015000,住,50(含)-75萬,16226,88534084
201507,10015000,住,75(含)-100萬,7577,42355585
201507,10015000,住,100(含)-125萬,4053,26820987
201507,10015000,住,125(含)-150萬,1352,11788532
201507,10015000,住,150(含)-175萬,1029,7178582
201507,10015000,住,175(含)-200萬,544,4221459
201507,10015000,住,200(含)萬以上,2838,32837017
201508,10015000,住,未達50萬,21242,116048335
201508,10015000,住,50(含)-75萬,14031,65576474
201508,10015000,住,75(含)-100萬,6485,32592560
201508,10015000,住,100(含)-125萬,3796,23330188
201508,10015000,住,125(含)-150萬,1263,8491799
201508,10015000,住,150(含)-175萬,959,5919007
201508,10015000,住,175(含)-200萬,523,3473602
201508,10015000,住,200(含)萬以上,2443,24411222
201509,10015000,住,未達50萬,17348,95907176
201509,10015000,住,50(含)-75萬,11100,52719709
201509,10015000,住,75(含)-100萬,4919,24163178
201509,10015000,住,100(含)-125萬,2806,16317402
201509,10015000,住,125(含)-150萬,982,6167021
201509,10015000,住,150(含)-175萬,768,6377099
201509,10015000,住,175(含)-200萬,400,2630997
201509,10015000,住,200(含)萬以上,1907,24978007
201510,10015000,住,未達50萬,18082,99771061
201510,10015000,住,50(含)-75萬,11035,56132146
201510,10015000,住,75(含)-100萬,5074,28981828
201510,10015000,住,100(含)-125萬,2848,22521035
201510,10015000,住,125(含)-150萬,941,7957862
201510,10015000,住,150(含)-175萬,769,6966645
201510,10015000,住,175(含)-200萬,363,1933012
201510,10015000,住,200(含)萬以上,2123,26737118
201511,10015000,住,未達50萬,19200,112310536
201511,10015000,住,50(含)-75萬,11887,68180041
201511,10015000,住,75(含)-100萬,5271,32308668
201511,10015000,住,100(含)-125萬,3071,25568895
201511,10015000,住,125(含)-150萬,992,7600488
201511,10015000,住,150(含)-175萬,918,7647151
201511,10015000,住,175(含)-200萬,411,2590706
201511,10015000,住,200(含)萬以上,2040,25119128
201512,10015000,住,未達50萬,17602,91952596
201512,10015000,住,50(含)-75萬,10524,51442275
201512,10015000,住,75(含)-100萬,4979,26861722
201512,10015000,住,100(含)-125萬,2833,18403965
201512,10015000,住,125(含)-150萬,1056,6806796
201512,10015000,住,150(含)-175萬,800,5666477
