年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,10015000,行,未達50萬,53755,59824556
201401,10015000,行,50(含)-75萬,28264,32842993
201401,10015000,行,75(含)-100萬,11515,14251955
201401,10015000,行,100(含)-125萬,6029,8099363
201401,10015000,行,125(含)-150萬,1583,2705267
201401,10015000,行,150(含)-175萬,1020,2033807
201401,10015000,行,175(含)-200萬,526,675928
201401,10015000,行,200(含)萬以上,2524,4747825
201402,10015000,行,未達50萬,57524,63423082
201402,10015000,行,50(含)-75萬,29600,34055568
201402,10015000,行,75(含)-100萬,11904,14452678
201402,10015000,行,100(含)-125萬,6320,8873021
201402,10015000,行,125(含)-150萬,1672,2667551
201402,10015000,行,150(含)-175萬,1146,1878155
201402,10015000,行,175(含)-200萬,567,723845
201402,10015000,行,200(含)萬以上,2580,3971451
201403,10015000,行,未達50萬,56640,60487076
201403,10015000,行,50(含)-75萬,29671,33167058
201403,10015000,行,75(含)-100萬,11707,13643994
201403,10015000,行,100(含)-125萬,6146,7667150
201403,10015000,行,125(含)-150萬,1628,2674855
201403,10015000,行,150(含)-175萬,1168,1880224
201403,10015000,行,175(含)-200萬,528,728361
201403,10015000,行,200(含)萬以上,2443,4270495
201404,10015000,行,未達50萬,54715,58273169
201404,10015000,行,50(含)-75萬,28433,32265951
201404,10015000,行,75(含)-100萬,11527,13550374
201404,10015000,行,100(含)-125萬,5856,7868991
201404,10015000,行,125(含)-150萬,1509,2744608
201404,10015000,行,150(含)-175萬,1069,1575006
201404,10015000,行,175(含)-200萬,514,658743
201404,10015000,行,200(含)萬以上,2351,3445705
201405,10015000,行,未達50萬,57093,60555799
201405,10015000,行,50(含)-75萬,30037,33778994
201405,10015000,行,75(含)-100萬,11688,13940791
201405,10015000,行,100(含)-125萬,6001,8182094
201405,10015000,行,125(含)-150萬,1608,2998067
201405,10015000,行,150(含)-175萬,1097,1951708
201405,10015000,行,175(含)-200萬,515,690467
201405,10015000,行,200(含)萬以上,2503,4057941
201406,10015000,行,未達50萬,60571,67055142
201406,10015000,行,50(含)-75萬,31840,36193789
201406,10015000,行,75(含)-100萬,12857,15558583
201406,10015000,行,100(含)-125萬,6506,9197025
201406,10015000,行,125(含)-150萬,1976,3248174
201406,10015000,行,150(含)-175萬,1297,1820774
201406,10015000,行,175(含)-200萬,534,780725
201406,10015000,行,200(含)萬以上,2640,4897681
201407,10015000,行,未達50萬,67939,74835308
201407,10015000,行,50(含)-75萬,37191,42744528
201407,10015000,行,75(含)-100萬,15284,18725115
201407,10015000,行,100(含)-125萬,7803,10712973
201407,10015000,行,125(含)-150萬,2171,3717851
201407,10015000,行,150(含)-175萬,1453,2940909
201407,10015000,行,175(含)-200萬,718,1074176
201407,10015000,行,200(含)萬以上,3125,5544540
201408,10015000,行,未達50萬,73044,80146719
201408,10015000,行,50(含)-75萬,40356,45748334
201408,10015000,行,75(含)-100萬,16869,20369131
201408,10015000,行,100(含)-125萬,8467,11303286
201408,10015000,行,125(含)-150萬,2478,4114670
201408,10015000,行,150(含)-175萬,1645,2683100
201408,10015000,行,175(含)-200萬,834,1144475
201408,10015000,行,200(含)萬以上,3556,6158974
201409,10015000,行,未達50萬,59781,60957574
201409,10015000,行,50(含)-75萬,31140,34290453
201409,10015000,行,75(含)-100萬,12267,14119415
201409,10015000,行,100(含)-125萬,6536,8598493
201409,10015000,行,125(含)-150萬,1972,3015553
201409,10015000,行,150(含)-175萬,1226,2177827
201409,10015000,行,175(含)-200萬,582,800922
201409,10015000,行,200(含)萬以上,2653,4251635
201410,10015000,行,未達50萬,61412,62060513
201410,10015000,行,50(含)-75萬,31660,32566528
201410,10015000,行,75(含)-100萬,12675,14022178
201410,10015000,行,100(含)-125萬,6482,8929222
201410,10015000,行,125(含)-150萬,1782,2741313
201410,10015000,行,150(含)-175萬,1339,1912921
201410,10015000,行,175(含)-200萬,614,767892
201410,10015000,行,200(含)萬以上,2632,4151873
201411,10015000,行,未達50萬,54501,53852282
201411,10015000,行,50(含)-75萬,28071,28176290
201411,10015000,行,75(含)-100萬,11133,12137280
201411,10015000,行,100(含)-125萬,5704,6647488
201411,10015000,行,125(含)-150萬,1672,2756419
201411,10015000,行,150(含)-175萬,1054,1399092
201411,10015000,行,175(含)-200萬,548,902039
201411,10015000,行,200(含)萬以上,2332,4366743
201412,10015000,行,未達50萬,55106,50941650
201412,10015000,行,50(含)-75萬,28209,27690691
201412,10015000,行,75(含)-100萬,11579,11658546
201412,10015000,行,100(含)-125萬,5854,6819264
201412,10015000,行,125(含)-150萬,1629,2408756
201412,10015000,行,150(含)-175萬,1139,1642117
201412,10015000,行,175(含)-200萬,564,668518
201412,10015000,行,200(含)萬以上,2429,3536487
201501,10015000,行,未達50萬,57195,50678535
201501,10015000,行,50(含)-75萬,30308,27461061
201501,10015000,行,75(含)-100萬,11992,11915170
201501,10015000,行,100(含)-125萬,6152,6379944
201501,10015000,行,125(含)-150萬,1780,2315905
201501,10015000,行,150(含)-175萬,1272,1539380
201501,10015000,行,175(含)-200萬,567,766221
201501,10015000,行,200(含)萬以上,2554,3359018
201502,10015000,行,未達50萬,59966,53149945
201502,10015000,行,50(含)-75萬,31261,27747120
201502,10015000,行,75(含)-100萬,12681,12493118
201502,10015000,行,100(含)-125萬,6702,6891664
201502,10015000,行,125(含)-150萬,1986,2310192
201502,10015000,行,150(含)-175萬,1447,1575009
201502,10015000,行,175(含)-200萬,726,698701
201502,10015000,行,200(含)萬以上,2751,3805699
201503,10015000,行,未達50萬,54663,46894580
201503,10015000,行,50(含)-75萬,27976,24476773
201503,10015000,行,75(含)-100萬,11013,10576271
201503,10015000,行,100(含)-125萬,5738,5935686
201503,10015000,行,125(含)-150萬,1577,2078532
201503,10015000,行,150(含)-175萬,1088,1281221
201503,10015000,行,175(含)-200萬,491,478841
201503,10015000,行,200(含)萬以上,2223,2851033
201504,10015000,行,未達50萬,56812,49257581
201504,10015000,行,50(含)-75萬,29665,26077592
201504,10015000,行,75(含)-100萬,11624,11429665
201504,10015000,行,100(含)-125萬,6035,6696057
201504,10015000,行,125(含)-150萬,1798,1987584
201504,10015000,行,150(含)-175萬,1223,1387117
201504,10015000,行,175(含)-200萬,568,693972
201504,10015000,行,200(含)萬以上,2353,3238800
201505,10015000,行,未達50萬,57186,50940613
201505,10015000,行,50(含)-75萬,29143,26437449
201505,10015000,行,75(含)-100萬,11399,11322092
201505,10015000,行,100(含)-125萬,5797,6309710
201505,10015000,行,125(含)-150萬,1783,2305694
201505,10015000,行,150(含)-175萬,1186,1364609
201505,10015000,行,175(含)-200萬,506,794885
201505,10015000,行,200(含)萬以上,2224,3134689
201506,10015000,行,未達50萬,62519,56579433
201506,10015000,行,50(含)-75萬,31688,28838915
201506,10015000,行,75(含)-100萬,12549,13069778
201506,10015000,行,100(含)-125萬,6165,7187661
201506,10015000,行,125(含)-150萬,1809,2614561
201506,10015000,行,150(含)-175萬,1288,1664593
201506,10015000,行,175(含)-200萬,589,660749
201506,10015000,行,200(含)萬以上,2476,3869801
201507,10015000,行,未達50萬,68129,61707680
201507,10015000,行,50(含)-75萬,36119,34112019
201507,10015000,行,75(含)-100萬,14713,15117906
201507,10015000,行,100(含)-125萬,7328,8095961
201507,10015000,行,125(含)-150萬,2302,3071608
201507,10015000,行,150(含)-175萬,1525,1913254
201507,10015000,行,175(含)-200萬,715,1032353
201507,10015000,行,200(含)萬以上,2869,4574645
201508,10015000,行,未達50萬,63400,53846300
201508,10015000,行,50(含)-75萬,34063,30692309
201508,10015000,行,75(含)-100萬,13455,12736430
201508,10015000,行,100(含)-125萬,6885,7435178
201508,10015000,行,125(含)-150萬,2103,2334523
201508,10015000,行,150(含)-175萬,1394,1862670
201508,10015000,行,175(含)-200萬,645,721354
201508,10015000,行,200(含)萬以上,2915,3901151
201509,10015000,行,未達50萬,60423,51333545
201509,10015000,行,50(含)-75萬,31508,27425137
201509,10015000,行,75(含)-100萬,12105,11759228
201509,10015000,行,100(含)-125萬,6275,6841899
201509,10015000,行,125(含)-150萬,1847,2531019
201509,10015000,行,150(含)-175萬,1351,1658019
201509,10015000,行,175(含)-200萬,587,573845
201509,10015000,行,200(含)萬以上,2486,3270360
201510,10015000,行,未達50萬,59789,49671391
201510,10015000,行,50(含)-75萬,30533,27015423
201510,10015000,行,75(含)-100萬,11854,11121533
201510,10015000,行,100(含)-125萬,6227,6920036
201510,10015000,行,125(含)-150萬,1803,1931153
201510,10015000,行,150(含)-175萬,1231,1591061
201510,10015000,行,175(含)-200萬,530,697084
201510,10015000,行,200(含)萬以上,2547,3713549
201511,10015000,行,未達50萬,57182,47146701
201511,10015000,行,50(含)-75萬,29154,25420455
201511,10015000,行,75(含)-100萬,11362,10838414
201511,10015000,行,100(含)-125萬,5606,5786927
201511,10015000,行,125(含)-150萬,1750,2349526
201511,10015000,行,150(含)-175萬,1215,1701603
201511,10015000,行,175(含)-200萬,553,903306
201511,10015000,行,200(含)萬以上,2362,3195326
201512,10015000,行,未達50萬,55578,43637380
201512,10015000,行,50(含)-75萬,28479,24041082
201512,10015000,行,75(含)-100萬,10779,9821474
201512,10015000,行,100(含)-125萬,5441,5495025
201512,10015000,行,125(含)-150萬,1605,1688972
201512,10015000,行,150(含)-175萬,1200,1487248
201512,10015000,行,175(含)-200萬,465,561113
201512,10015000,行,200(含)萬以上,2338,4073734
201601,10015000,行,未達50萬,40889,34805013
201601,10015000,行,50(含)-75萬,21380,20321255
201601,10015000,行,75(含)-100萬,9047,8612845
201601,10015000,行,100(含)-125萬,3942,4622104
201601,10015000,行,125(含)-150萬,1241,1888530
201601,10015000,行,150(含)-175萬,858,1299419
201601,10015000,行,175(含)-200萬,431,536522
201601,10015000,行,200(含)萬以上,1510,2171524
201602,10015000,行,未達50萬,43479,34633410
201602,10015000,行,50(含)-75萬,22478,19045062
201602,10015000,行,75(含)-100萬,9073,8452881
201602,10015000,行,100(含)-125萬,4364,4497422
201602,10015000,行,125(含)-150萬,1342,1343960
201602,10015000,行,150(含)-175萬,919,1158453
201602,10015000,行,175(含)-200萬,500,983953
201602,10015000,行,200(含)萬以上,1766,2133010
201603,10015000,行,未達50萬,38441,32092586
201603,10015000,行,50(含)-75萬,19514,18079491
201603,10015000,行,75(含)-100萬,8219,8124304
201603,10015000,行,100(含)-125萬,3750,4295680
201603,10015000,行,125(含)-150萬,1134,1881708
201603,10015000,行,150(含)-175萬,778,981980
201603,10015000,行,175(含)-200萬,397,415366
201603,10015000,行,200(含)萬以上,1351,2188536
201604,10015000,行,未達50萬,41130,34234946
201604,10015000,行,50(含)-75萬,21509,19890252
201604,10015000,行,75(含)-100萬,9042,8845280
