年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,64000000,文教康樂,未達50萬,138020,647432156
201401,64000000,文教康樂,50(含)-75萬,64039,341035388
201401,64000000,文教康樂,75(含)-100萬,22496,144122700
201401,64000000,文教康樂,100(含)-125萬,13286,115548137
201401,64000000,文教康樂,125(含)-150萬,4298,34556307
201401,64000000,文教康樂,150(含)-175萬,3643,37769025
201401,64000000,文教康樂,175(含)-200萬,1944,17531169
201401,64000000,文教康樂,200(含)萬以上,9065,119036321
201402,64000000,文教康樂,未達50萬,146456,657315386
201402,64000000,文教康樂,50(含)-75萬,68488,349044787
201402,64000000,文教康樂,75(含)-100萬,23243,142506809
201402,64000000,文教康樂,100(含)-125萬,14415,114996480
201402,64000000,文教康樂,125(含)-150萬,4460,35828370
201402,64000000,文教康樂,150(含)-175萬,3710,32243335
201402,64000000,文教康樂,175(含)-200萬,1932,17466726
201402,64000000,文教康樂,200(含)萬以上,9362,102863764
201403,64000000,文教康樂,未達50萬,146806,682709998
201403,64000000,文教康樂,50(含)-75萬,67086,349370045
201403,64000000,文教康樂,75(含)-100萬,22684,143201010
201403,64000000,文教康樂,100(含)-125萬,13918,109371748
201403,64000000,文教康樂,125(含)-150萬,4419,37092666
201403,64000000,文教康樂,150(含)-175萬,3751,35468157
201403,64000000,文教康樂,175(含)-200萬,1951,17894458
201403,64000000,文教康樂,200(含)萬以上,9492,112784891
201404,64000000,文教康樂,未達50萬,139346,690577090
201404,64000000,文教康樂,50(含)-75萬,63824,357681825
201404,64000000,文教康樂,75(含)-100萬,21492,150447121
201404,64000000,文教康樂,100(含)-125萬,12714,117849680
201404,64000000,文教康樂,125(含)-150萬,4248,39103682
201404,64000000,文教康樂,150(含)-175萬,3646,41005532
201404,64000000,文教康樂,175(含)-200萬,1955,21771701
201404,64000000,文教康樂,200(含)萬以上,9059,118002879
201405,64000000,文教康樂,未達50萬,148920,744138591
201405,64000000,文教康樂,50(含)-75萬,66833,401118116
201405,64000000,文教康樂,75(含)-100萬,22673,171953690
201405,64000000,文教康樂,100(含)-125萬,13326,124778989
201405,64000000,文教康樂,125(含)-150萬,4352,47142905
201405,64000000,文教康樂,150(含)-175萬,3840,41099277
201405,64000000,文教康樂,175(含)-200萬,2017,23243045
201405,64000000,文教康樂,200(含)萬以上,9286,137468798
201406,64000000,文教康樂,未達50萬,131971,704657239
201406,64000000,文教康樂,50(含)-75萬,60895,383288899
201406,64000000,文教康樂,75(含)-100萬,21917,180433928
201406,64000000,文教康樂,100(含)-125萬,12904,129981886
201406,64000000,文教康樂,125(含)-150萬,4364,47714714
201406,64000000,文教康樂,150(含)-175萬,3571,40008024
201406,64000000,文教康樂,175(含)-200萬,2000,23181471
201406,64000000,文教康樂,200(含)萬以上,9204,137147664
201407,64000000,文教康樂,未達50萬,139886,706051398
201407,64000000,文教康樂,50(含)-75萬,66563,389004323
201407,64000000,文教康樂,75(含)-100萬,23994,180077858
201407,64000000,文教康樂,100(含)-125萬,13837,128676467
201407,64000000,文教康樂,125(含)-150萬,4602,44440102
201407,64000000,文教康樂,150(含)-175萬,3849,40565309
201407,64000000,文教康樂,175(含)-200萬,2177,25539707
201407,64000000,文教康樂,200(含)萬以上,9487,135806974
201408,64000000,文教康樂,未達50萬,151482,698107316
201408,64000000,文教康樂,50(含)-75萬,69270,370862662
201408,64000000,文教康樂,75(含)-100萬,24537,167906107
201408,64000000,文教康樂,100(含)-125萬,14165,122472121
201408,64000000,文教康樂,125(含)-150萬,4757,43159788
201408,64000000,文教康樂,150(含)-175萬,3965,40212564
201408,64000000,文教康樂,175(含)-200萬,2141,21652105
201408,64000000,文教康樂,200(含)萬以上,9775,124675416
201409,64000000,文教康樂,未達50萬,137871,753898510
201409,64000000,文教康樂,50(含)-75萬,62447,392551607
201409,64000000,文教康樂,75(含)-100萬,21947,167320018
201409,64000000,文教康樂,100(含)-125萬,12934,124985685
201409,64000000,文教康樂,125(含)-150萬,4356,43469697
201409,64000000,文教康樂,150(含)-175萬,3788,42064796
201409,64000000,文教康樂,175(含)-200萬,2044,21702451
201409,64000000,文教康樂,200(含)萬以上,9537,132692905
201410,64000000,文教康樂,未達50萬,139914,703565191
201410,64000000,文教康樂,50(含)-75萬,63786,368348859
201410,64000000,文教康樂,75(含)-100萬,22410,156463652
201410,64000000,文教康樂,100(含)-125萬,13068,117471628
201410,64000000,文教康樂,125(含)-150萬,4448,43191306
201410,64000000,文教康樂,150(含)-175萬,3878,42268939
201410,64000000,文教康樂,175(含)-200萬,1990,19397369
201410,64000000,文教康樂,200(含)萬以上,9665,134056440
201411,64000000,文教康樂,未達50萬,132330,643314706
201411,64000000,文教康樂,50(含)-75萬,60006,325927667
201411,64000000,文教康樂,75(含)-100萬,21279,136979575
201411,64000000,文教康樂,100(含)-125萬,12584,102583592
201411,64000000,文教康樂,125(含)-150萬,4432,38455477
201411,64000000,文教康樂,150(含)-175萬,3664,33960344
201411,64000000,文教康樂,175(含)-200萬,2062,20411001
201411,64000000,文教康樂,200(含)萬以上,9263,108333160
201412,64000000,文教康樂,未達50萬,149038,689720980
201412,64000000,文教康樂,50(含)-75萬,67233,346880395
201412,64000000,文教康樂,75(含)-100萬,23963,150191437
201412,64000000,文教康樂,100(含)-125萬,13810,111450446
201412,64000000,文教康樂,125(含)-150萬,4570,36630987
201412,64000000,文教康樂,150(含)-175萬,3946,36657386
201412,64000000,文教康樂,175(含)-200萬,2136,18874116
201412,64000000,文教康樂,200(含)萬以上,9988,122790988
201501,64000000,文教康樂,未達50萬,146685,694660321
201501,64000000,文教康樂,50(含)-75萬,67459,370788840
201501,64000000,文教康樂,75(含)-100萬,24330,150591625
201501,64000000,文教康樂,100(含)-125萬,13620,107392485
201501,64000000,文教康樂,125(含)-150萬,4760,39147574
201501,64000000,文教康樂,150(含)-175萬,4141,37955061
201501,64000000,文教康樂,175(含)-200萬,2217,20735312
201501,64000000,文教康樂,200(含)萬以上,10055,120377262
201502,64000000,文教康樂,未達50萬,151824,727572638
201502,64000000,文教康樂,50(含)-75萬,69854,380243561
201502,64000000,文教康樂,75(含)-100萬,24898,161852297
201502,64000000,文教康樂,100(含)-125萬,13920,113857136
201502,64000000,文教康樂,125(含)-150萬,4989,42735802
201502,64000000,文教康樂,150(含)-175萬,4213,37348338
201502,64000000,文教康樂,175(含)-200萬,2261,22185361
201502,64000000,文教康樂,200(含)萬以上,10381,124978569
