年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,64000000,住,未達50萬,139022,562965498
201401,64000000,住,50(含)-75萬,73329,299711960
201401,64000000,住,75(含)-100萬,31723,136479813
201401,64000000,住,100(含)-125萬,18363,104333867
201401,64000000,住,125(含)-150萬,5719,36364102
201401,64000000,住,150(含)-175萬,4973,38212759
201401,64000000,住,175(含)-200萬,2573,16406290
201401,64000000,住,200(含)萬以上,11147,117829884
201402,64000000,住,未達50萬,114422,409986547
201402,64000000,住,50(含)-75萬,61449,219807882
201402,64000000,住,75(含)-100萬,25343,95306583
201402,64000000,住,100(含)-125萬,14884,72189389
201402,64000000,住,125(含)-150萬,4595,28605825
201402,64000000,住,150(含)-175萬,4414,31428086
201402,64000000,住,175(含)-200萬,2076,11771091
201402,64000000,住,200(含)萬以上,9260,82397362
201403,64000000,住,未達50萬,112945,421270554
201403,64000000,住,50(含)-75萬,58972,218572624
201403,64000000,住,75(含)-100萬,24746,95188041
201403,64000000,住,100(含)-125萬,14555,72885554
201403,64000000,住,125(含)-150萬,4555,25302632
201403,64000000,住,150(含)-175萬,4456,33407824
201403,64000000,住,175(含)-200萬,2201,11150468
201403,64000000,住,200(含)萬以上,9543,80168189
201404,64000000,住,未達50萬,109055,453149464
201404,64000000,住,50(含)-75萬,57645,239350783
201404,64000000,住,75(含)-100萬,24143,99411311
201404,64000000,住,100(含)-125萬,14165,74812897
201404,64000000,住,125(含)-150萬,4489,25595306
201404,64000000,住,150(含)-175萬,3946,27237164
201404,64000000,住,175(含)-200萬,1941,12672361
201404,64000000,住,200(含)萬以上,9053,79160180
201405,64000000,住,未達50萬,119119,477733830
201405,64000000,住,50(含)-75萬,62718,255505570
201405,64000000,住,75(含)-100萬,26508,113815149
201405,64000000,住,100(含)-125萬,15124,80954528
201405,64000000,住,125(含)-150萬,4844,26315745
201405,64000000,住,150(含)-175萬,4458,28445685
201405,64000000,住,175(含)-200萬,2282,13162893
201405,64000000,住,200(含)萬以上,9959,80979665
201406,64000000,住,未達50萬,119178,474048267
201406,64000000,住,50(含)-75萬,62240,247122768
201406,64000000,住,75(含)-100萬,26335,108077412
201406,64000000,住,100(含)-125萬,14932,75004095
201406,64000000,住,125(含)-150萬,4923,26577077
201406,64000000,住,150(含)-175萬,4216,25073600
201406,64000000,住,175(含)-200萬,2269,10926543
201406,64000000,住,200(含)萬以上,9577,80530694
201407,64000000,住,未達50萬,133929,554824130
201407,64000000,住,50(含)-75萬,70140,286953523
201407,64000000,住,75(含)-100萬,30163,127245227
201407,64000000,住,100(含)-125萬,16936,89465514
201407,64000000,住,125(含)-150萬,5541,28661054
201407,64000000,住,150(含)-175萬,4518,25594811
201407,64000000,住,175(含)-200萬,2530,14555848
201407,64000000,住,200(含)萬以上,10899,89806887
201408,64000000,住,未達50萬,126310,473538402
201408,64000000,住,50(含)-75萬,67462,251821315
201408,64000000,住,75(含)-100萬,29387,110718821
201408,64000000,住,100(含)-125萬,15979,78601646
201408,64000000,住,125(含)-150萬,5364,26819227
201408,64000000,住,150(含)-175萬,4480,25273508
201408,64000000,住,175(含)-200萬,2238,11804977
201408,64000000,住,200(含)萬以上,10383,78872003
201409,64000000,住,未達50萬,115809,442513984
201409,64000000,住,50(含)-75萬,59035,222250222
201409,64000000,住,75(含)-100萬,24938,100671841
201409,64000000,住,100(含)-125萬,14335,72428762
201409,64000000,住,125(含)-150萬,4569,22495371
201409,64000000,住,150(含)-175萬,4204,23826825
201409,64000000,住,175(含)-200萬,2150,10879162
201409,64000000,住,200(含)萬以上,9126,70623625
201410,64000000,住,未達50萬,115633,437956489
201410,64000000,住,50(含)-75萬,59130,221319770
201410,64000000,住,75(含)-100萬,25309,98450096
201410,64000000,住,100(含)-125萬,14745,72027240
201410,64000000,住,125(含)-150萬,4785,22953385
201410,64000000,住,150(含)-175萬,4113,22292313
201410,64000000,住,175(含)-200萬,2147,11220682
201410,64000000,住,200(含)萬以上,10056,80338128
201411,64000000,住,未達50萬,115356,454160186
201411,64000000,住,50(含)-75萬,59878,240880676
201411,64000000,住,75(含)-100萬,24419,105124705
201411,64000000,住,100(含)-125萬,14636,76042253
201411,64000000,住,125(含)-150萬,4963,26931324
201411,64000000,住,150(含)-175萬,4084,24776578
201411,64000000,住,175(含)-200萬,2299,13394627
201411,64000000,住,200(含)萬以上,9573,81465535
201412,64000000,住,未達50萬,120165,467530183
201412,64000000,住,50(含)-75萬,60790,240441892
201412,64000000,住,75(含)-100萬,25923,108871366
201412,64000000,住,100(含)-125萬,15030,77934455
201412,64000000,住,125(含)-150萬,5216,29120418
201412,64000000,住,150(含)-175萬,4135,27419304
201412,64000000,住,175(含)-200萬,2414,13103606
201412,64000000,住,200(含)萬以上,10651,92039347
201501,64000000,住,未達50萬,126999,520281348
201501,64000000,住,50(含)-75萬,65425,271881203
201501,64000000,住,75(含)-100萬,27113,121392361
201501,64000000,住,100(含)-125萬,16024,84974962
201501,64000000,住,125(含)-150萬,5449,34750182
201501,64000000,住,150(含)-175萬,4676,28902590
201501,64000000,住,175(含)-200萬,2264,13241669
201501,64000000,住,200(含)萬以上,11103,106139760
201502,64000000,住,未達50萬,129858,516635913
201502,64000000,住,50(含)-75萬,69443,264727639
201502,64000000,住,75(含)-100萬,29159,118674865
201502,64000000,住,100(含)-125萬,16574,87218627
201502,64000000,住,125(含)-150萬,5706,27766970
201502,64000000,住,150(含)-175萬,4712,25103104
201502,64000000,住,175(含)-200萬,2552,14913623
201502,64000000,住,200(含)萬以上,10732,91909468
201503,64000000,住,未達50萬,115449,427496173
201503,64000000,住,50(含)-75萬,59011,212746428
201503,64000000,住,75(含)-100萬,24339,93080831
201503,64000000,住,100(含)-125萬,14222,72120228
201503,64000000,住,125(含)-150萬,4761,24595344
201503,64000000,住,150(含)-175萬,3972,22288691
201503,64000000,住,175(含)-200萬,2126,12147951
201503,64000000,住,200(含)萬以上,9524,69250805
201504,64000000,住,未達50萬,114108,478192521
201504,64000000,住,50(含)-75萬,58230,242315403
201504,64000000,住,75(含)-100萬,24195,106437157
201504,64000000,住,100(含)-125萬,13757,71293240
201504,64000000,住,125(含)-150萬,4692,24453657
201504,64000000,住,150(含)-175萬,4100,23342515
201504,64000000,住,175(含)-200萬,2084,11862275
201504,64000000,住,200(含)萬以上,9520,82213600
201505,64000000,住,未達50萬,120180,495326233
201505,64000000,住,50(含)-75萬,61277,251025981
201505,64000000,住,75(含)-100萬,25894,112429155
201505,64000000,住,100(含)-125萬,14710,78187887
201505,64000000,住,125(含)-150萬,5209,28165456
201505,64000000,住,150(含)-175萬,4247,25669743
201505,64000000,住,175(含)-200萬,2223,12285409
201505,64000000,住,200(含)萬以上,10231,90644360
201506,64000000,住,未達50萬,122508,524402556
201506,64000000,住,50(含)-75萬,61628,258130349
201506,64000000,住,75(含)-100萬,25415,113956071
201506,64000000,住,100(含)-125萬,14705,77106273
201506,64000000,住,125(含)-150萬,5113,28099233
201506,64000000,住,150(含)-175萬,4004,25190863
201506,64000000,住,175(含)-200萬,2213,11608515
201506,64000000,住,200(含)萬以上,9606,78452535
201507,64000000,住,未達50萬,130086,524195937
201507,64000000,住,50(含)-75萬,66826,274296138
201507,64000000,住,75(含)-100萬,28308,119260823
201507,64000000,住,100(含)-125萬,15936,77739459
201507,64000000,住,125(含)-150萬,5723,29378012
201507,64000000,住,150(含)-175萬,4721,25892632
201507,64000000,住,175(含)-200萬,2532,13281594
201507,64000000,住,200(含)萬以上,11026,96044723
201508,64000000,住,未達50萬,132109,489443231
201508,64000000,住,50(含)-75萬,69054,253714645
201508,64000000,住,75(含)-100萬,29347,115801278
201508,64000000,住,100(含)-125萬,16503,79954385
201508,64000000,住,125(含)-150萬,5771,29219000
201508,64000000,住,150(含)-175萬,4722,23891426
201508,64000000,住,175(含)-200萬,2639,13409204
201508,64000000,住,200(含)萬以上,10906,78718892
201509,64000000,住,未達50萬,117778,443520745
201509,64000000,住,50(含)-75萬,59631,227724741
201509,64000000,住,75(含)-100萬,25402,98660186
201509,64000000,住,100(含)-125萬,13987,69891818
201509,64000000,住,125(含)-150萬,5072,26269596
201509,64000000,住,150(含)-175萬,4051,23018172
201509,64000000,住,175(含)-200萬,2259,11800367
201509,64000000,住,200(含)萬以上,9648,76075526
201510,64000000,住,未達50萬,115658,447182914
201510,64000000,住,50(含)-75萬,58384,230397764
201510,64000000,住,75(含)-100萬,24980,102442707
201510,64000000,住,100(含)-125萬,13956,73585804
201510,64000000,住,125(含)-150萬,5092,27108241
201510,64000000,住,150(含)-175萬,4139,22707620
201510,64000000,住,175(含)-200萬,2182,12002266
201510,64000000,住,200(含)萬以上,9685,77015978
201511,64000000,住,未達50萬,118955,497041511
201511,64000000,住,50(含)-75萬,59977,262543447
201511,64000000,住,75(含)-100萬,25672,113435133
201511,64000000,住,100(含)-125萬,14695,81243947
201511,64000000,住,125(含)-150萬,5238,29138118
201511,64000000,住,150(含)-175萬,4395,27735048
201511,64000000,住,175(含)-200萬,2283,14039670
201511,64000000,住,200(含)萬以上,9848,82102734
201512,64000000,住,未達50萬,122009,500885208
201512,64000000,住,50(含)-75萬,60966,252981229
201512,64000000,住,75(含)-100萬,26580,115388249
201512,64000000,住,100(含)-125萬,15080,83424133
201512,64000000,住,125(含)-150萬,5435,30540834
201512,64000000,住,150(含)-175萬,4441,29836694
201512,64000000,住,175(含)-200萬,2360,14233079
201512,64000000,住,200(含)萬以上,10668,98047632
201601,64000000,住,未達50萬,137638,593301072
201601,64000000,住,50(含)-75萬,69562,312376885
201601,64000000,住,75(含)-100萬,29855,139461578
201601,64000000,住,100(含)-125萬,16315,92221509
201601,64000000,住,125(含)-150萬,5860,33726906
201601,64000000,住,150(含)-175萬,4829,30218674
201601,64000000,住,175(含)-200萬,2551,15057478
201601,64000000,住,200(含)萬以上,11083,101819681
201602,64000000,住,未達50萬,136336,577602516
201602,64000000,住,50(含)-75萬,70738,289719032
201602,64000000,住,75(含)-100萬,29327,127881350
201602,64000000,住,100(含)-125萬,15990,80750551
201602,64000000,住,125(含)-150萬,5861,30539518
201602,64000000,住,150(含)-175萬,4872,26621438
201602,64000000,住,175(含)-200萬,2530,14256112
201602,64000000,住,200(含)萬以上,10684,89349696
201603,64000000,住,未達50萬,104922,371713477
201603,64000000,住,50(含)-75萬,52620,191100445
201603,64000000,住,75(含)-100萬,22237,83405292
201603,64000000,住,100(含)-125萬,12589,60173079
201603,64000000,住,125(含)-150萬,4467,21317519
201603,64000000,住,150(含)-175萬,3884,21404594
201603,64000000,住,175(含)-200萬,1987,10702469
201603,64000000,住,200(含)萬以上,8670,67024998
201604,64000000,住,未達50萬,107079,456208493
201604,64000000,住,50(含)-75萬,54461,229887540
201604,64000000,住,75(含)-100萬,22317,95866800
201604,64000000,住,100(含)-125萬,12276,66747305
201604,64000000,住,125(含)-150萬,4525,24490494
201604,64000000,住,150(含)-175萬,3894,21138687
201604,64000000,住,175(含)-200萬,1990,11361706
201604,64000000,住,200(含)萬以上,8673,66989216
201605,64000000,住,未達50萬,107685,458265665
201605,64000000,住,50(含)-75萬,53982,237753395
201605,64000000,住,75(含)-100萬,22169,95857188
201605,64000000,住,100(含)-125萬,12625,67718668
201605,64000000,住,125(含)-150萬,4717,26032094
201605,64000000,住,150(含)-175萬,3792,23446007
201605,64000000,住,175(含)-200萬,2063,13382250
201605,64000000,住,200(含)萬以上,8831,69836133
201606,64000000,住,未達50萬,120635,513392203
201606,64000000,住,50(含)-75萬,60869,259399300
201606,64000000,住,75(含)-100萬,25634,111975839
201606,64000000,住,100(含)-125萬,14082,75034018
201606,64000000,住,125(含)-150萬,5242,26243854
201606,64000000,住,150(含)-175萬,4457,25526362
201606,64000000,住,175(含)-200萬,2219,10608912
201606,64000000,住,200(含)萬以上,10169,79781502
201607,64000000,住,未達50萬,122800,521125848
201607,64000000,住,50(含)-75萬,62160,261606165
201607,64000000,住,75(含)-100萬,26596,112376196
201607,64000000,住,100(含)-125萬,14690,74173081
201607,64000000,住,125(含)-150萬,5429,29113290
201607,64000000,住,150(含)-175萬,4565,24436739
201607,64000000,住,175(含)-200萬,2343,13701094
201607,64000000,住,200(含)萬以上,9940,71997154
201608,64000000,住,未達50萬,117906,464376583
201608,64000000,住,50(含)-75萬,60069,237663117
201608,64000000,住,75(含)-100萬,24976,102807140
201608,64000000,住,100(含)-125萬,13937,69333313
201608,64000000,住,125(含)-150萬,5518,28410123
201608,64000000,住,150(含)-175萬,4329,22264433
201608,64000000,住,175(含)-200萬,2328,12436169
201608,64000000,住,200(含)萬以上,9649,63462992
201609,64000000,住,未達50萬,102092,405060580
201609,64000000,住,50(含)-75萬,50787,205331247
201609,64000000,住,75(含)-100萬,20997,89905728
201609,64000000,住,100(含)-125萬,11834,56281940
201609,64000000,住,125(含)-150萬,4682,23060550
201609,64000000,住,150(含)-175萬,3796,19094066
201609,64000000,住,175(含)-200萬,1933,9242107
201609,64000000,住,200(含)萬以上,8281,59069812
201610,64000000,住,未達50萬,108730,424527954
201610,64000000,住,50(含)-75萬,54706,220166335
201610,64000000,住,75(含)-100萬,22430,94843851
201610,64000000,住,100(含)-125萬,13173,66606917
201610,64000000,住,125(含)-150萬,5033,23546238
201610,64000000,住,150(含)-175萬,3986,21380629
201610,64000000,住,175(含)-200萬,2103,11086682
201610,64000000,住,200(含)萬以上,8879,63882303
201611,64000000,住,未達50萬,108911,443095149
201611,64000000,住,50(含)-75萬,55363,234916603
201611,64000000,住,75(含)-100萬,23435,103362764
201611,64000000,住,100(含)-125萬,13089,67186631
201611,64000000,住,125(含)-150萬,5018,29275346
201611,64000000,住,150(含)-175萬,4101,22988374
201611,64000000,住,175(含)-200萬,2195,13094814
201611,64000000,住,200(含)萬以上,10007,74570572
201612,64000000,住,未達50萬,114831,442161584
201612,64000000,住,50(含)-75萬,57469,238425237
201612,64000000,住,75(含)-100萬,23898,103427558
201612,64000000,住,100(含)-125萬,13843,70822694
201612,64000000,住,125(含)-150萬,5469,31286775
201612,64000000,住,150(含)-175萬,4545,24891217
201612,64000000,住,175(含)-200萬,2310,14055076
201612,64000000,住,200(含)萬以上,10468,79402335
201701,64000000,住,未達50萬,122859,565748367
201701,64000000,住,50(含)-75萬,61424,290824855
201701,64000000,住,75(含)-100萬,25373,125644643
201701,64000000,住,100(含)-125萬,14715,83185026
201701,64000000,住,125(含)-150萬,5857,35688624
201701,64000000,住,150(含)-175萬,4722,28991410
201701,64000000,住,175(含)-200萬,2480,15578198
201701,64000000,住,200(含)萬以上,11238,93675888
201702,64000000,住,未達50萬,112302,419962444
201702,64000000,住,50(含)-75萬,55550,217081475
201702,64000000,住,75(含)-100萬,22700,96348376
201702,64000000,住,100(含)-125萬,13257,63837625
201702,64000000,住,125(含)-150萬,5315,26900103
201702,64000000,住,150(含)-175萬,4167,22168700
201702,64000000,住,175(含)-200萬,2104,11425363
201702,64000000,住,200(含)萬以上,9738,71386676
201703,64000000,住,未達50萬,104322,395513611
201703,64000000,住,50(含)-75萬,51255,198183637
201703,64000000,住,75(含)-100萬,20920,88192253
201703,64000000,住,100(含)-125萬,12464,60486653
201703,64000000,住,125(含)-150萬,4839,23201509
201703,64000000,住,150(含)-175萬,3763,19206469
201703,64000000,住,175(含)-200萬,2096,13017467
201703,64000000,住,200(含)萬以上,9360,68407223
201704,64000000,住,未達50萬,110398,488476220
201704,64000000,住,50(含)-75萬,54891,243030535
201704,64000000,住,75(含)-100萬,22368,105270983
201704,64000000,住,100(含)-125萬,12792,68093744
201704,64000000,住,125(含)-150萬,5165,25733871
201704,64000000,住,150(含)-175萬,3984,23755707
201704,64000000,住,175(含)-200萬,2106,13711311
201704,64000000,住,200(含)萬以上,9712,73896427
201705,64000000,住,未達50萬,110299,464517070
201705,64000000,住,50(含)-75萬,54443,242386249
201705,64000000,住,75(含)-100萬,22090,99300630
201705,64000000,住,100(含)-125萬,13099,67652520
201705,64000000,住,125(含)-150萬,5165,25962076
201705,64000000,住,150(含)-175萬,4114,24523954
201705,64000000,住,175(含)-200萬,2177,12059984
201705,64000000,住,200(含)萬以上,10112,73151096
201706,64000000,住,未達50萬,103943,459612125
201706,64000000,住,50(含)-75萬,51434,231269944
201706,64000000,住,75(含)-100萬,20331,92903289
201706,64000000,住,100(含)-125萬,12184,65594150
201706,64000000,住,125(含)-150萬,4747,23877519
201706,64000000,住,150(含)-175萬,3776,21208469
201706,64000000,住,175(含)-200萬,2044,11219781
201706,64000000,住,200(含)萬以上,9920,71624281
201707,64000000,住,未達50萬,122172,527611744
201707,64000000,住,50(含)-75萬,60939,271488021
201707,64000000,住,75(含)-100萬,24626,113153467
201707,64000000,住,100(含)-125萬,14516,73923949
201707,64000000,住,125(含)-150萬,5575,28857971
201707,64000000,住,150(含)-175萬,4508,27082192
201707,64000000,住,175(含)-200萬,2370,13386097
201707,64000000,住,200(含)萬以上,11038,82810467
201708,64000000,住,未達50萬,128484,519632217
201708,64000000,住,50(含)-75萬,64914,267686825
201708,64000000,住,75(含)-100萬,26332,116304785
201708,64000000,住,100(含)-125萬,15338,75122359
201708,64000000,住,125(含)-150萬,5801,33370062
201708,64000000,住,150(含)-175萬,4890,29534854
201708,64000000,住,175(含)-200萬,2568,13682218
201708,64000000,住,200(含)萬以上,11864,80999928
201709,64000000,住,未達50萬,110109,446481549
201709,64000000,住,50(含)-75萬,54721,233269578
201709,64000000,住,75(含)-100萬,21895,98776971
201709,64000000,住,100(含)-125萬,12845,65361317
201709,64000000,住,125(含)-150萬,5077,26504287
201709,64000000,住,150(含)-175萬,4129,24027743
201709,64000000,住,175(含)-200萬,2204,11781904
201709,64000000,住,200(含)萬以上,10182,70997112
201710,64000000,住,未達50萬,115002,470412995
201710,64000000,住,50(含)-75萬,57971,242760888
