年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,64000000,其他,未達50萬,292941,1070257723
201401,64000000,其他,50(含)-75萬,126854,516290883
201401,64000000,其他,75(含)-100萬,51258,205874357
201401,64000000,其他,100(含)-125萬,26086,138777813
201401,64000000,其他,125(含)-150萬,8341,43669611
201401,64000000,其他,150(含)-175萬,6329,36367896
201401,64000000,其他,175(含)-200萬,3862,19890769
201401,64000000,其他,200(含)萬以上,13141,103796318
201402,64000000,其他,未達50萬,241513,852801869
201402,64000000,其他,50(含)-75萬,107320,405347770
201402,64000000,其他,75(含)-100萬,44354,165899255
201402,64000000,其他,100(含)-125萬,22252,110495049
201402,64000000,其他,125(含)-150萬,7181,35626693
201402,64000000,其他,150(含)-175萬,5294,30081016
201402,64000000,其他,175(含)-200萬,3301,17964830
201402,64000000,其他,200(含)萬以上,10938,86620145
201403,64000000,其他,未達50萬,261707,952612371
201403,64000000,其他,50(含)-75萬,113964,476546912
201403,64000000,其他,75(含)-100萬,46102,180452444
201403,64000000,其他,100(含)-125萬,23261,125750478
201403,64000000,其他,125(含)-150萬,7645,40928085
201403,64000000,其他,150(含)-175萬,5678,35384310
201403,64000000,其他,175(含)-200萬,3585,20189665
201403,64000000,其他,200(含)萬以上,11610,95674737
201404,64000000,其他,未達50萬,242230,879281504
201404,64000000,其他,50(含)-75萬,106625,436532813
201404,64000000,其他,75(含)-100萬,43873,172782437
201404,64000000,其他,100(含)-125萬,21438,109098776
201404,64000000,其他,125(含)-150萬,7394,36832861
201404,64000000,其他,150(含)-175萬,5359,32966473
201404,64000000,其他,175(含)-200萬,3218,16020946
201404,64000000,其他,200(含)萬以上,11016,95671957
201405,64000000,其他,未達50萬,260975,931172140
201405,64000000,其他,50(含)-75萬,113380,447519201
201405,64000000,其他,75(含)-100萬,46030,181901332
201405,64000000,其他,100(含)-125萬,22347,115467428
201405,64000000,其他,125(含)-150萬,7610,38206311
201405,64000000,其他,150(含)-175萬,5690,33895930
201405,64000000,其他,175(含)-200萬,3520,18343302
201405,64000000,其他,200(含)萬以上,11452,92337134
201406,64000000,其他,未達50萬,257076,874524331
201406,64000000,其他,50(含)-75萬,112586,426144510
201406,64000000,其他,75(含)-100萬,46330,172813296
201406,64000000,其他,100(含)-125萬,21949,104575143
201406,64000000,其他,125(含)-150萬,7766,36909082
201406,64000000,其他,150(含)-175萬,5504,31899259
201406,64000000,其他,175(含)-200萬,3513,17325132
201406,64000000,其他,200(含)萬以上,11380,86979520
201407,64000000,其他,未達50萬,277391,953229348
201407,64000000,其他,50(含)-75萬,124152,478738838
201407,64000000,其他,75(含)-100萬,50198,187613351
201407,64000000,其他,100(含)-125萬,24500,124248029
201407,64000000,其他,125(含)-150萬,8241,41645163
201407,64000000,其他,150(含)-175萬,5807,33597749
201407,64000000,其他,175(含)-200萬,3863,19145495
201407,64000000,其他,200(含)萬以上,12999,98499867
201408,64000000,其他,未達50萬,266046,904750469
201408,64000000,其他,50(含)-75萬,116850,447813372
201408,64000000,其他,75(含)-100萬,47885,176571623
201408,64000000,其他,100(含)-125萬,22903,115596472
201408,64000000,其他,125(含)-150萬,8030,37901053
201408,64000000,其他,150(含)-175萬,5681,33354424
201408,64000000,其他,175(含)-200萬,3649,17157756
201408,64000000,其他,200(含)萬以上,12169,85680787
201409,64000000,其他,未達50萬,266043,963112703
201409,64000000,其他,50(含)-75萬,117375,467889281
201409,64000000,其他,75(含)-100萬,47729,185093134
201409,64000000,其他,100(含)-125萬,23490,115842490
201409,64000000,其他,125(含)-150萬,7983,39372938
201409,64000000,其他,150(含)-175萬,5862,33611072
201409,64000000,其他,175(含)-200萬,3584,18230672
201409,64000000,其他,200(含)萬以上,12227,90535943
201410,64000000,其他,未達50萬,287805,1014008236
201410,64000000,其他,50(含)-75萬,123788,486112698
201410,64000000,其他,75(含)-100萬,49490,187859051
201410,64000000,其他,100(含)-125萬,24530,121924362
201410,64000000,其他,125(含)-150萬,8173,41411049
201410,64000000,其他,150(含)-175萬,5970,34285103
201410,64000000,其他,175(含)-200萬,3858,19025811
201410,64000000,其他,200(含)萬以上,12811,94932970
201411,64000000,其他,未達50萬,279101,991262034
201411,64000000,其他,50(含)-75萬,120807,475624749
201411,64000000,其他,75(含)-100萬,47667,182007662
201411,64000000,其他,100(含)-125萬,23538,115516278
201411,64000000,其他,125(含)-150萬,8148,39949409
201411,64000000,其他,150(含)-175萬,5760,33998011
201411,64000000,其他,175(含)-200萬,3728,18026672
201411,64000000,其他,200(含)萬以上,12545,97055891
201412,64000000,其他,未達50萬,300066,1148283931
201412,64000000,其他,50(含)-75萬,130099,543419637
201412,64000000,其他,75(含)-100萬,52454,217648700
201412,64000000,其他,100(含)-125萬,25787,141906401
201412,64000000,其他,125(含)-150萬,9291,47804026
