年月,地區,產業別,年收入,信用卡交易筆數,信用卡交易金額[新台幣]
201401,64000000,行,未達50萬,662607,681702620
201401,64000000,行,50(含)-75萬,274868,316099800
201401,64000000,行,75(含)-100萬,105088,134225399
201401,64000000,行,100(含)-125萬,61073,95577601
201401,64000000,行,125(含)-150萬,20221,30454278
201401,64000000,行,150(含)-175萬,15990,25099880
201401,64000000,行,175(含)-200萬,7666,11704690
201401,64000000,行,200(含)萬以上,32710,62403298
201402,64000000,行,未達50萬,594544,608211739
201402,64000000,行,50(含)-75萬,250755,286570519
201402,64000000,行,75(含)-100萬,95271,121704178
201402,64000000,行,100(含)-125萬,55322,80017648
201402,64000000,行,125(含)-150萬,18297,27612080
201402,64000000,行,150(含)-175萬,14310,21388013
201402,64000000,行,175(含)-200萬,6858,10280891
201402,64000000,行,200(含)萬以上,29330,55594720
201403,64000000,行,未達50萬,668298,678745518
201403,64000000,行,50(含)-75萬,278855,318314452
201403,64000000,行,75(含)-100萬,105624,133031222
201403,64000000,行,100(含)-125萬,61878,92958719
201403,64000000,行,125(含)-150萬,20426,30285448
201403,64000000,行,150(含)-175萬,15797,24613794
201403,64000000,行,175(含)-200萬,7741,12216675
201403,64000000,行,200(含)萬以上,33804,62955017
201404,64000000,行,未達50萬,645789,662314635
201404,64000000,行,50(含)-75萬,269788,310294731
201404,64000000,行,75(含)-100萬,102588,130672908
201404,64000000,行,100(含)-125萬,58506,86655453
201404,64000000,行,125(含)-150萬,19654,29290054
201404,64000000,行,150(含)-175萬,14850,22752081
201404,64000000,行,175(含)-200萬,7497,12796449
201404,64000000,行,200(含)萬以上,31546,59051708
201405,64000000,行,未達50萬,687414,704431582
201405,64000000,行,50(含)-75萬,286216,329798796
201405,64000000,行,75(含)-100萬,108942,141046523
201405,64000000,行,100(含)-125萬,61327,92949400
201405,64000000,行,125(含)-150萬,21106,29757010
201405,64000000,行,150(含)-175萬,16220,26928631
201405,64000000,行,175(含)-200萬,7956,12776088
201405,64000000,行,200(含)萬以上,33184,61253290
201406,64000000,行,未達50萬,680435,707295967
201406,64000000,行,50(含)-75萬,283125,332544204
201406,64000000,行,75(含)-100萬,107943,140199570
201406,64000000,行,100(含)-125萬,61139,92003960
201406,64000000,行,125(含)-150萬,20761,31058488
201406,64000000,行,150(含)-175萬,15805,24262342
201406,64000000,行,175(含)-200萬,7864,12835830
201406,64000000,行,200(含)萬以上,32751,61086818
201407,64000000,行,未達50萬,691016,719115933
201407,64000000,行,50(含)-75萬,292895,342799645
201407,64000000,行,75(含)-100萬,111466,147694891
201407,64000000,行,100(含)-125萬,62641,96467994
201407,64000000,行,125(含)-150萬,21259,31775810
201407,64000000,行,150(含)-175萬,16060,26638146
201407,64000000,行,175(含)-200萬,8173,13050653
201407,64000000,行,200(含)萬以上,34192,66935881
201408,64000000,行,未達50萬,689480,699094086
201408,64000000,行,50(含)-75萬,292679,331910683
201408,64000000,行,75(含)-100萬,111935,141423113
201408,64000000,行,100(含)-125萬,62157,89412877
201408,64000000,行,125(含)-150萬,21250,30248111
201408,64000000,行,150(含)-175萬,15940,24531163
201408,64000000,行,175(含)-200萬,8085,13113194
201408,64000000,行,200(含)萬以上,34152,63932724
201409,64000000,行,未達50萬,665498,662888029
201409,64000000,行,50(含)-75萬,279479,311947007
201409,64000000,行,75(含)-100萬,106478,133277949
201409,64000000,行,100(含)-125萬,59515,86213488
201409,64000000,行,125(含)-150萬,20272,28566284
201409,64000000,行,150(含)-175萬,15755,24235860
201409,64000000,行,175(含)-200萬,7894,12576238
201409,64000000,行,200(含)萬以上,32964,60379804
201410,64000000,行,未達50萬,694188,655574829
201410,64000000,行,50(含)-75萬,291664,312719695
201410,64000000,行,75(含)-100萬,110895,135116001
201410,64000000,行,100(含)-125萬,62564,88754138
201410,64000000,行,125(含)-150萬,21492,29574729
201410,64000000,行,150(含)-175萬,16455,24978624
201410,64000000,行,175(含)-200萬,8154,12579927
201410,64000000,行,200(含)萬以上,34526,61345357
201411,64000000,行,未達50萬,667662,606053265
201411,64000000,行,50(含)-75萬,279207,290442562
201411,64000000,行,75(含)-100萬,106392,126135721
201411,64000000,行,100(含)-125萬,59133,80306449
201411,64000000,行,125(含)-150萬,20722,27290656
201411,64000000,行,150(含)-175萬,15773,21664349
201411,64000000,行,175(含)-200萬,7874,11859594
201411,64000000,行,200(含)萬以上,33434,58386116
201412,64000000,行,未達50萬,695597,601246300
201412,64000000,行,50(含)-75萬,291964,288451625
201412,64000000,行,75(含)-100萬,110836,123592796
201412,64000000,行,100(含)-125萬,62167,80673334
201412,64000000,行,125(含)-150萬,21994,28736862
201412,64000000,行,150(含)-175萬,16518,23188098
201412,64000000,行,175(含)-200萬,8446,12746522
201412,64000000,行,200(含)萬以上,35307,59247397
201501,64000000,行,未達50萬,658210,536789508
201501,64000000,行,50(含)-75萬,280075,258541093
201501,64000000,行,75(含)-100萬,107221,109600716
